class_uri	label
http://dbpedia.org/ontology/ArchitecturalStructure	architectural structure
http://dbpedia.org/ontology/GrossDomesticProduct	gross domestic product
http://dbpedia.org/ontology/GrossDomesticProductPerCapita	gross domestic product per capita
http://dbpedia.org/ontology/MeanOfTransportation	mean of transportation
http://dbpedia.org/ontology/ChartsPlacements	Place in the Music Charts
http://dbpedia.org/ontology/SportCompetitionResult	results of a sport competition
http://dbpedia.org/ontology/Activity	activity
http://dbpedia.org/ontology/Agent	agent
http://dbpedia.org/ontology/Algorithm	Algorithm
http://dbpedia.org/ontology/Altitude	altitude
http://dbpedia.org/ontology/AnatomicalStructure	anatomical structure
http://dbpedia.org/ontology/Area	area
http://dbpedia.org/ontology/Award	award
http://dbpedia.org/ontology/Biomolecule	Biomolecule
http://dbpedia.org/ontology/Blazon	Blazon
http://dbpedia.org/ontology/Browser	Browser
http://dbpedia.org/ontology/ChemicalSubstance	chemical substance
http://dbpedia.org/ontology/Cipher	Cipher
http://dbpedia.org/ontology/Colour	colour
http://dbpedia.org/ontology/Skos	Concept
http://dbpedia.org/ontology/Covid19	COVID-19 pandemic
http://dbpedia.org/ontology/Currency	currency
http://dbpedia.org/ontology/Demographics	demographics
http://dbpedia.org/ontology/Depth	depth
http://dbpedia.org/ontology/Device	device
http://dbpedia.org/ontology/Diploma	diploma
http://dbpedia.org/ontology/Disease	disease
http://dbpedia.org/ontology/ElectionDiagram	Election Diagram
http://dbpedia.org/ontology/prov:Entity	Entity
http://dbpedia.org/ontology/EthnicGroup	ethnic group
http://dbpedia.org/ontology/Event	event
http://dbpedia.org/ontology/FileSystem	File system
http://dbpedia.org/ontology/Flag	flag
http://dbpedia.org/ontology/Food	Food
http://dbpedia.org/ontology/GeneLocation	GeneLocation
http://dbpedia.org/ontology/Identifier	identifier
http://dbpedia.org/ontology/Language	language
http://dbpedia.org/ontology/List	list
http://dbpedia.org/ontology/Media	media
http://dbpedia.org/ontology/MedicalSpecialty	medical specialty
http://dbpedia.org/ontology/Medicine	Medicine
http://dbpedia.org/ontology/Name	name
http://dbpedia.org/ontology/Pandemic	Pandemic
http://dbpedia.org/ontology/PersonFunction	person function
http://dbpedia.org/ontology/Place	place
http://dbpedia.org/ontology/Population	population
http://dbpedia.org/ontology/Protocol	Protocol
http://dbpedia.org/ontology/PublicService	public service
http://dbpedia.org/ontology/Relationship	Relationship
http://dbpedia.org/ontology/prov:Revision	Revision
http://dbpedia.org/ontology/Species	species
http://dbpedia.org/ontology/SportsSeason	sports season
http://dbpedia.org/ontology/Spreadsheet	Spreadsheet
http://dbpedia.org/ontology/StarCluster	Star сluster
http://dbpedia.org/ontology/Statistic	statistic
http://dbpedia.org/ontology/Tank	Tank
http://dbpedia.org/ontology/TimePeriod	time period
http://dbpedia.org/ontology/TopicalConcept	topical concept
http://dbpedia.org/ontology/UnitOfWork	unit of work
http://dbpedia.org/ontology/Unknown	Unknown
http://dbpedia.org/ontology/Work	work
