qid,label,class_label,class_qid
Q177898,sieve of Eratosthenes,Algorithm,Q8366
Q486598,quicksort,Algorithm,Q8366
Q2658,Gaussian elimination,Algorithm,Q8366
Q232207,Monte Carlo method,Algorithm,Q8366
Q8548,Dijkstra's algorithm,Algorithm,Q8366
Q243754,binary search algorithm,Algorithm,Q8366
Q189057,merge sort,Algorithm,Q8366
Q374195,Newton's method,Algorithm,Q8366
Q322666,Cramer's rule,Algorithm,Q8366
Q117241,insertion sort,Algorithm,Q8366
Q830687,reinforcement learning,Algorithm,Q8366
Q273328,integration by parts,Algorithm,Q8366
Q209372,transport layer,Algorithm,Q8366
Q2647,Huffman coding,Algorithm,Q8366
Q1071270,integration by substitution,Algorithm,Q8366
Q1152135,unsupervised learning,Algorithm,Q8366
Q150474,one-time pad,Algorithm,Q8366
Q787903,linear search,Algorithm,Q8366
Q470813,Prim's algorithm,Algorithm,Q8366
Q940334,Shor's algorithm,Algorithm,Q8366
Q848955,shellsort,Algorithm,Q8366
Q515636,FIFO,Algorithm,Q8366
Q39601771,Face ID,Algorithm,Q8366
Q797860,Kruskal's algorithm,Algorithm,Q8366
Q310401,k-means clustering,Algorithm,Q8366
Q825377,critical path method,Algorithm,Q8366
Q1199743,gradient descent,Algorithm,Q8366
Q798503,backpropagation,Algorithm,Q8366
Q259563,Atbash,Algorithm,Q8366
Q1196582,round-robin scheduling,Algorithm,Q8366
Q1069090,Gauss–Seidel method,Algorithm,Q8366
Q1854385,long division,Algorithm,Q8366
Q192445,Delaunay triangulation,Algorithm,Q8366
Q1028292,Grover's algorithm,Algorithm,Q8366
Q549860,Bresenham's line algorithm,Algorithm,Q8366
Q1501324,Wallis product,Algorithm,Q8366
Q1275153,expectation–maximization algorithm,Algorithm,Q8366
Q2681,Lempel–Ziv–Welch,Algorithm,Q8366
Q1136838,self-organizing map,Algorithm,Q8366
Q97226587,Leibniz formula for π,Algorithm,Q8366
Q980224,Miller–Rabin primality test,Algorithm,Q8366
Q959710,Password Authentication Protocol,Algorithm,Q8366
Q1079392,neusis construction,Algorithm,Q8366
Q728507,Strassen algorithm,Algorithm,Q8366
Q1004415,run-time system,Algorithm,Q8366
Q294284,AKS primality test,Algorithm,Q8366
Q2734005,integrating factor,Algorithm,Q8366
Q583546,Needleman–Wunsch algorithm,Algorithm,Q8366
Q570496,alpha–beta pruning,Algorithm,Q8366
Q2164465,speculative execution,Algorithm,Q8366
Q629940,Karatsuba algorithm,Algorithm,Q8366
Q1028209,Deutsch–Jozsa algorithm,Algorithm,Q8366
Q2806,Burrows–Wheeler transform,Algorithm,Q8366
Q2712,DEFLATE,Algorithm,Q8366
Q1542201,Sieve of Atkin,Algorithm,Q8366
Q290299,ADFGVX cipher,Algorithm,Q8366
Q1114630,DBSCAN,Algorithm,Q8366
Q737492,Fermat primality test,Algorithm,Q8366
Q2733,Lempel–Ziv–Markov chain algorithm,Algorithm,Q8366
Q477049,Booth's multiplication algorithm,Algorithm,Q8366
Q3373850,peak signal-to-noise ratio,Algorithm,Q8366
Q1190228,linear congruential generator,Algorithm,Q8366
Q140770,general number field sieve,Algorithm,Q8366
Q1138992,Lucas–Lehmer primality test,Algorithm,Q8366
Q1820313,learning by teaching,Algorithm,Q8366
Q1683352,Smith–Waterman algorithm,Algorithm,Q8366
Q27963927,extraordinary claims require extraordinary evidence,Algorithm,Q8366
Q2030088,DPLL algorithm,Algorithm,Q8366
Q803807,Bailey–Borwein–Plouffe formula,Algorithm,Q8366
Q1333681,Trial division,Algorithm,Q8366
Q1194678,shortest job next,Algorithm,Q8366
Q2704282,Ruffini's rule,Algorithm,Q8366
Q1154443,variable bitrate,Algorithm,Q8366
Q946489,Pollard's rho algorithm,Algorithm,Q8366
Q32980,fast inverse square root,Algorithm,Q8366
Q284678,iconv,Algorithm,Q8366
Q1346420,Ancient Egyptian multiplication,Algorithm,Q8366
Q1253278,Nelder–Mead method,Algorithm,Q8366
Q1196406,Mersenne twister,Algorithm,Q8366
Q1195672,received signal strength indication,Algorithm,Q8366
Q1142376,LIFO,Algorithm,Q8366
Q385989,Bonferroni correction,Algorithm,Q8366
Q1151850,Quadratic sieve,Algorithm,Q8366
Q116076,CORDIC,Algorithm,Q8366
Q812923,Beale ciphers,Algorithm,Q8366
Q382486,affine cipher,Algorithm,Q8366
Q1675274,iterative deepening depth-first search,Algorithm,Q8366
Q1395653,introsort,Algorithm,Q8366
Q1195020,Gauss–Jordan elimination,Algorithm,Q8366
Q1041418,semi-supervised learning,Algorithm,Q8366
Q2709102,PRIAM enzyme-specific profiles,Algorithm,Q8366
Q1938391,Schönhage–Strassen algorithm,Algorithm,Q8366
Q2835852,beam search,Algorithm,Q8366
Q71746,Trachtenberg system,Algorithm,Q8366
Q2415400,managed code,Algorithm,Q8366
Q1568194,Lucas primality test,Algorithm,Q8366
Q1277497,Earley parser,Algorithm,Q8366
Q605499,short-circuit evaluation,Algorithm,Q8366
Q2891044,link layer,Algorithm,Q8366
Q2296113,Solovay–Strassen primality test,Algorithm,Q8366
Q983978,Fermat's factorization method,Algorithm,Q8366
Q59750,bidirectional search,Algorithm,Q8366
Q942403,Timsort,Algorithm,Q8366
Q938141,quantum annealing,Algorithm,Q8366
Q9299950,proof by exhaustion,Algorithm,Q8366
Q2389810,Sieve of Sundaram,Algorithm,Q8366
Q2675,LZ77,Algorithm,Q8366
Q798585,Bacon's cipher,Algorithm,Q8366
Q6522952,Fisher–Yates shuffle,Algorithm,Q8366
Q15624241,LZ4,Algorithm,Q8366
Q3771212,Proth's theorem,Algorithm,Q8366
Q1937853,Pollard's p − 1 algorithm,Algorithm,Q8366
Q1935806,neighbor joining,Algorithm,Q8366
Q440818,Ewald's sphere,Algorithm,Q8366
Q1819156,tridiagonal matrix algorithm,Algorithm,Q8366
Q1779961,Theban alphabet,Algorithm,Q8366
Q5519271,Galois/Counter Mode,Algorithm,Q8366
Q74253442,knowledge distillation,Algorithm,Q8366
Q18205644,Brotli,Algorithm,Q8366
Q1147856,interpolation search,Algorithm,Q8366
Q9067355,spiking neural network,Algorithm,Q8366
Q829647,depth-limited search,Algorithm,Q8366
Q2424337,golden section search,Algorithm,Q8366
Q2682,Lempel–Ziv–Oberhumer,Algorithm,Q8366
Q352487,Aadaptive resonance theory,Algorithm,Q8366
Q1578122,satisficing,Algorithm,Q8366
Q1561270,successive over-relaxation,Algorithm,Q8366
Q1522355,Toom–Cook multiplication,Algorithm,Q8366
Q1143090,dead code elimination,Algorithm,Q8366
Q4119155,criterion of embarrassment,Algorithm,Q8366
Q3927837,quickselect,Algorithm,Q8366
Q2719731,Lagged Fibonacci generator,Algorithm,Q8366
Q526938,Bessel's correction,Algorithm,Q8366
Q497516,Mix network,Algorithm,Q8366
Q2910948,Internet layer,Algorithm,Q8366
Q1779497,UPGMA,Algorithm,Q8366
Q2208385,Chudnovsky algorithm,Algorithm,Q8366
Q615541,eager evaluation,Algorithm,Q8366
Q3278015,line search,Algorithm,Q8366
Q93593,common subexpression elimination,Algorithm,Q8366
Q2448949,Gauss–Legendre algorithm,Algorithm,Q8366
Q2342581,Constant folding,Algorithm,Q8366
Q2679,Lempel–Ziv–Storer–Szymanski,Algorithm,Q8366
Q120759195,Whisper,Algorithm,Q8366
Q1325924,constant bitrate,Algorithm,Q8366
Q4053693,Pollard's rho algorithm for logarithms,Algorithm,Q8366
Q466575,middle-square method,Algorithm,Q8366
Q3081789,Ziegler–Nichols method,Algorithm,Q8366
Q1779493,Pépin's test,Algorithm,Q8366
Q1771226,Nihilist cipher,Algorithm,Q8366
Q4918918,bitonic sorter,Algorithm,Q8366
Q2140717,Zeller's congruence,Algorithm,Q8366
Q797983,baby-step giant-step,Algorithm,Q8366
Q770846,structural similarity,Algorithm,Q8366
Q1430701,inverse distance weighting,Algorithm,Q8366
Q17086396,Newton's method in optimization,Algorithm,Q8366
Q549992,LZ78,Algorithm,Q8366
