qid,label,class_label,class_qid
Q648266,Wayback Machine,Archive,Q166118
Q461,Internet Archive,Archive,Q166118
Q637413,United States Census Bureau,Archive,Q166118
Q156591,Yad Vashem,Archive,Q166118
Q214195,Italian National Institute of Statistics,Archive,Q166118
Q156616,National Institute of Statistics and Economic Studies,Archive,Q166118
Q217659,Eurostat,Archive,Q166118
Q1322278,Matenadaran,Archive,Q166118
Q13515725,Q13515725,Archive,Q166118
Q536580,Vatican Apostolic Archives,Archive,Q166118
Q247318,Records of the Three Kingdoms,Archive,Q166118
Q268072,Instituto Brasileiro de Geografia e Estatística,Archive,Q166118
Q845937,National Statistics Institute,Archive,Q166118
Q338489,Accademia della Crusca,Archive,Q166118
Q685918,National Bank of Belgium,Archive,Q166118
Q1043319,Israel Central Bureau of Statistics,Archive,Q166118
Q1422903,University of Porto,Archive,Q166118
Q1751928,Linnaeus University,Archive,Q166118
Q2624680,Federal State Statistics Service,Archive,Q166118
Q1334971,Office for National Statistics,Archive,Q166118
Q1760005,Oxford University Museum of Natural History,Archive,Q166118
Q1472511,Statistics Sweden,Archive,Q166118
Q5412398,European Commission Data Portal,Archive,Q166118
Q1155740,Statistics Canada,Archive,Q166118
Q814779,Beinecke Rare Book & Manuscript Library,Archive,Q166118
Q2521159,Mitrokhin Archive,Archive,Q166118
Q795074,Instituto Nacional de Estadística y Geografía,Archive,Q166118
Q764739,Federal Statistical Office of Germany,Archive,Q166118
Q123347,Australian Bureau of Statistics,Archive,Q166118
Q513902,Braga Cathedral,Archive,Q166118
Q167086,Statistics Netherlands,Archive,Q166118
Q2367019,Statistics Norway,Archive,Q166118
Q2895680,Palestinian Central Bureau of Statistics,Archive,Q166118
Q172266,Biodiversity Heritage Library,Archive,Q166118
Q4146845,State Statistical Committee,Archive,Q166118
Q55604158,Arctic World Archive,Archive,Q166118
Q2087619,Manchester Museum,Archive,Q166118
Q2901355,Chetham's Library,Archive,Q166118
Q1665219,National Institute of Statistics and Censuses,Archive,Q166118
Q2928428,Bureau of Labor Statistics,Archive,Q166118
Q1375058,Turkish Statistical Institute,Archive,Q166118
Q555946,Kupferstichkabinett Berlin,Archive,Q166118
Q5060484,Central Bureau of Statistics,Archive,Q166118
Q12480,Statbel,Archive,Q166118
Q285453,Federal Statistical Office,Archive,Q166118
Q1334270,Norwegian Maritime Museum,Archive,Q166118
Q190360,Central Statistical Agency,Archive,Q166118
Q191228,ZKM Center for Art and Media Karlsruhe,Archive,Q166118
Q549714,Union of International Associations,Archive,Q166118
Q2629661,Statistical Office of the Republic of Slovenia,Archive,Q166118
Q7603543,State Statistics Service of Ukraine,Archive,Q166118
Q28028118,Arolsen Archives,Archive,Q166118
Q1547190,Statistics Poland,Archive,Q166118
Q570620,Kupferstich-Kabinett Dresden,Archive,Q166118
Q3449895,Statistics Indonesia,Archive,Q166118
Q2708415,In Flanders Fields Museum,Archive,Q166118
Q2000339,Pavillon de l'Arsenal,Archive,Q166118
Q1125966,Hungarian Central Statistical Office,Archive,Q166118
Q1443033,Bureau of Economic Analysis,Archive,Q166118
Q2210813,"Bodleian Art, Archaeology and Ancient World Library",Archive,Q166118
Q3504917,Czech Statistical Office,Archive,Q166118
Q942479,Yokohama Archives of History,Archive,Q166118
Q793736,Instituto Nacional de Estadística e Informática,Archive,Q166118
Q1753291,National Office of Statistics,Archive,Q166118
Q6973708,National Institute of Statistics,Archive,Q166118
Q2265585,United Nations Statistics Division,Archive,Q166118
Q2569007,Wiener Library,Archive,Q166118
Q6530249,Lesbian Herstory Archives,Archive,Q166118
Q1819197,Statistics New Zealand,Archive,Q166118
Q7981192,Wellcome Library,Archive,Q166118
Q6941088,History of Science Museum,Archive,Q166118
Q1275124,Hellenic Statistical Authority,Archive,Q166118
Q1190181,Departamento Administrativo Nacional de Estadística,Archive,Q166118
Q1412194,National Institute of Statistics,Archive,Q166118
Q2860429,Russian State Archive of Literature and Art,Archive,Q166118
Q798557,Statistics Finland,Archive,Q166118
Q3656004,Central Statistical Directorate,Archive,Q166118
Q5560904,Statistics Greenland,Archive,Q166118
Q487857,Meertens Institute,Archive,Q166118
Q358870,Statistics Austria,Archive,Q166118
Q6978691,National Statistical Service,Archive,Q166118
Q1164337,Statistics Denmark,Archive,Q166118
Q1361597,Institute of Statistics,Archive,Q166118
Q3288549,Instituto Nacional de Estadísticas,Archive,Q166118
Q4315007,National Historical Archives of Belarus,Archive,Q166118
Q2882475,Bangladesh Bureau of Statistics,Archive,Q166118
Q3791513,United States Bureau of Justice Statistics,Archive,Q166118
Q3738605,Statistics Estonia,Archive,Q166118
Q3639558,Civic Library Angelo Mai,Archive,Q166118
Q464404,Staatliche Graphische Sammlung München,Archive,Q166118
Q2081788,Central Statistics Office,Archive,Q166118
Q7604433,Statistics South Africa,Archive,Q166118
Q2903101,The Central Zionist Archives,Archive,Q166118
Q7061184,Norwegian Museum of Science and Technology,Archive,Q166118
Q12627215,The State Archives in Dubrovnik,Archive,Q166118
Q16353956,Kosovo Agency of Statistics,Archive,Q166118
Q1739999,Kettle's Yard,Archive,Q166118
Q2256734,Swiss Social Archives,Archive,Q166118
Q3513788,Croatian Bureau of Statistics,Archive,Q166118
Q4676321,Ibaraki Prefectural Museum of History,Archive,Q166118
Q4314923,National Bureau of Statistics,Archive,Q166118
Q2822657,Accademia dei Georgofili,Archive,Q166118
Q810379,Basque Statistics Office,Archive,Q166118
Q3887925,Pandora Archive,Archive,Q166118
Q3782407,Statistics Iceland,Archive,Q166118
Q683842,Basel University Library (institution),Archive,Q166118
Q22095877,Albert Einstein Archives,Archive,Q166118
Q20988519,"Statistical, Economic and Social Research and Training Centre for Islamic Countries",Archive,Q166118
