qid,label,class_label,class_qid
Q18233,ABBA,Band,Q215380
Q11036,The Rolling Stones,Band,Q215380
Q484918,Simon & Garfunkel,Band,Q215380
Q161723,t.A.T.u.,Band,Q215380
Q268160,The White Stripes,Band,Q215380
Q189991,Gorillaz,Band,Q215380
Q485625,Pet Shop Boys,Band,Q215380
Q484885,Erasure,Band,Q215380
Q24261863,Little Big,Band,Q215380
Q5494459,Ha*Ash,Band,Q215380
Q10583424,The Metropolitan Opera,Band,Q215380
Q277551,Panic! at the Disco,Band,Q215380
Q7721993,The Chainsmokers,Band,Q215380
Q690138,The Everly Brothers,Band,Q215380
Q269091,Tears for Fears,Band,Q215380
Q10461933,"Crosby, Stills, Nash & Young",Band,Q215380
Q273171,"Emerson, Lake & Palmer",Band,Q215380
Q744087,Wham!,Band,Q215380
Q48978,LMFAO,Band,Q215380
Q318452,Air,Band,Q215380
Q201811,Jedward,Band,Q215380
Q192983,TVXQ,Band,Q215380
Q283339,Paris Opera,Band,Q215380
Q606226,The Black Keys,Band,Q215380
Q159351,Run-DMC,Band,Q215380
Q118835746,Kalush,Band,Q215380
Q493042,Hurts,Band,Q215380
Q114196,Olsen Brothers,Band,Q215380
Q222015,2Cellos,Band,Q215380
Q683473,SunStroke Project,Band,Q215380
Q1140101,The Tolmachevy Twins,Band,Q215380
Q357340,Bon Iver,Band,Q215380
Q726773,Gnarls Barkley,Band,Q215380
Q563255,Kessler Twins,Band,Q215380
Q826255,Suede,Band,Q215380
Q393151,Inga and Anush Arshakyan,Band,Q215380
Q222900,2 Unlimited,Band,Q215380
Q745741,Madness,Band,Q215380
Q753066,Baccara,Band,Q215380
Q18608591,Years & Years,Band,Q215380
Q610228,The Righteous Brothers,Band,Q215380
Q721992,The Veronicas,Band,Q215380
Q917295,Alvin and the Chipmunks,Band,Q215380
Q131540322,Shkodra Elektronike,Band,Q215380
Q19057,The Specials,Band,Q215380
Q606250,Q606250,Band,Q215380
Q727115,Mobb Deep,Band,Q215380
Q733182,Hall & Oates,Band,Q215380
Q12009,Ell & Nikki,Band,Q215380
Q808703,Icona Pop,Band,Q215380
Q239177,Lennon–McCartney,Band,Q215380
Q832760,Q832760,Band,Q215380
Q6757975,Marcus & Martinus,Band,Q215380
Q5807252,Dimitri Vegas & Like Mike,Band,Q215380
Q2829184,Akwid,Band,Q215380
Q722778,Q722778,Band,Q215380
Q872222,Opéra-Comique,Band,Q215380
Q741532,Bad Meets Evil,Band,Q215380
Q862520,The Last Shadow Puppets,Band,Q215380
