qid,label,class_label,class_qid
Q12199,HIV/AIDS,Disease,Q12136
Q12156,malaria,Disease,Q12136
Q2840,influenza,Disease,Q12136
Q12090,cholera,Disease,Q12136
Q39222,rabies,Disease,Q12136
Q51993,Ebola hemorrhagic fever,Disease,Q12136
Q36956,leprosy,Disease,Q12136
Q12125,common cold,Disease,Q12136
Q12192,pneumonia,Disease,Q12136
Q12214,smallpox,Disease,Q12136
Q86,headache,Disease,Q12136
Q12202,stroke,Disease,Q12136
Q12195,poliomyelitis,Disease,Q12136
Q41083,syphilis,Disease,Q12136
Q41112,schizophrenia,Disease,Q12136
Q44727,chickenpox,Disease,Q12136
Q30953,dengue fever,Disease,Q12136
Q43987,avian influenza,Disease,Q12136
Q11085,Parkinson's disease,Disease,Q12136
Q36855,swine influenza,Disease,Q12136
Q83319,typhoid fever,Disease,Q12136
Q8388,pedophilia,Disease,Q12136
Q167178,scabies,Disease,Q12136
Q178275,1918–1920 flu pandemic,Disease,Q12136
Q101896,gonorrhea,Disease,Q12136
Q157661,hepatitis A,Disease,Q12136
Q47790,tetanus,Disease,Q12136
Q6853,hepatitis B,Disease,Q12136
Q134649,diphtheria,Disease,Q12136
Q177708,menopause,Disease,Q12136
Q129279,dysentery,Disease,Q12136
Q129104,anthrax,Disease,Q12136
Q164655,abscess,Disease,Q12136
Q170990,arthritis,Disease,Q12136
Q132971,dyslexia,Disease,Q12136
Q505619,insanity,Disease,Q12136
Q154874,yellow fever,Disease,Q12136
Q160649,typhus,Disease,Q12136
Q131749,anorexia nervosa,Disease,Q12136
Q81867,albinism,Disease,Q12136
Q155857,rubella,Disease,Q12136
Q180266,scarlet fever,Disease,Q12136
Q154869,hepatitis C,Disease,Q12136
Q1229994,paranoia,Disease,Q12136
Q192077,melancholia,Disease,Q12136
Q206901,amyotrophic lateral sclerosis,Disease,Q12136
Q103177,severe acute respiratory syndrome,Disease,Q12136
Q203133,African trypanosomiasis,Disease,Q12136
Q1485,systemic lupus erythematosus,Disease,Q12136
Q184627,human papillomavirus infection,Disease,Q12136
Q134003,hemophilia,Disease,Q12136
Q6473911,herpes simplex,Disease,Q12136
Q182155,herpes zoster,Disease,Q12136
Q331283,leishmaniasis,Disease,Q12136
Q201989,Lyme disease,Disease,Q12136
Q180614,melanoma,Disease,Q12136
