qid,label,class_label,class_qid
Q25052149,2017 United Kingdom general election,Election,Q40231
Q108761711,2025 German federal election,Election,Q40231
Q30173038,2019 United Kingdom general election,Election,Q40231
Q4422669,2013 conclave,Election,Q40231
Q16970032,2018 Italian general election,Election,Q40231
Q579144,2013 Italian general election,Election,Q40231
Q165999,2005 German federal election,Election,Q40231
Q65053343,2022 Brazilian general election,Election,Q40231
Q50379923,2022 Italian parliamentary election,Election,Q40231
Q1570656,United States midterm election,Election,Q40231
Q113495737,2022 annexation referendums in Russian-occupied Ukraine,Election,Q40231
Q111588743,2024 Iranian presidential election,Election,Q40231
Q17091742,January 2015 Greek legislative election,Election,Q40231
Q24950867,2017 Indian presidential election,Election,Q40231
Q666536,2005 conclave,Election,Q40231
Q131398188,2025 Romanian presidential election,Election,Q40231
Q568458,2004 Ukrainian presidential election,Election,Q40231
Q84082018,2023 Spanish general election,Election,Q40231
Q48834963,April 2019 Spanish general election,Election,Q40231
Q28220142,2018 Brazilian general election,Election,Q40231
Q22812047,2016 Spanish general election,Election,Q40231
Q20853340,September 2015 Greek legislative election,Election,Q40231
Q24961165,2018 Mexican general election,Election,Q40231
Q702022,1983 West German federal election,Election,Q40231
Q751553,June 2012 Greek legislative election,Election,Q40231
Q1140920,20th Congress of the Communist Party of the Soviet Union,Election,Q40231
Q1131198,2006 Italian general election,Election,Q40231
Q99015824,2025 Belarusian presidential election,Election,Q40231
Q77929387,2020 Israeli legislative election,Election,Q40231
Q47522716,2019 Austrian legislative election,Election,Q40231
Q65072493,2024 Venezuelan presidential election,Election,Q40231
Q429958,May 2012 Greek legislative election,Election,Q40231
Q1166185,2008 Italian general election,Election,Q40231
Q104821709,2024 Moldovan presidential election,Election,Q40231
Q106181016,2022 Israeli legislative election,Election,Q40231
Q84025971,2022 Indian presidential election,Election,Q40231
Q96395543,2021 Israeli legislative election,Election,Q40231
Q64159775,September 2019 Israeli legislative election,Election,Q40231
Q45842337,2018 Georgian presidential election,Election,Q40231
Q25226840,2017 Catalan parliamentary election,Election,Q40231
Q1059559,2011 Spanish general election,Election,Q40231
Q84029141,2024 Romanian presidential election,Election,Q40231
Q65121437,November 2019 Spanish general election,Election,Q40231
Q7573397,2015 Spanish general election,Election,Q40231
Q701799,1972 West German federal election,Election,Q40231
Q573455,rotten borough,Election,Q40231
Q863595,2009 Greek legislative election,Election,Q40231
Q84025987,2024 Indonesian presidential election,Election,Q40231
Q105043728,2023 Slovak parliamentary election,Election,Q40231
Q18353155,2014–15 Croatian presidential election,Election,Q40231
Q924020,2010 Belgian federal election,Election,Q40231
