qid,label,class_label,class_qid
Q40987,Pininfarina,Employer,Q3053337
Q202468,Abt Sportsline,Employer,Q3053337
Q173571,Offenhauser,Employer,Q3053337
Q140266,Zagato,Employer,Q3053337
Q784953,Auto Technisches Spezialzubehör,Employer,Q3053337
Q1363908,Heuliez,Employer,Q3053337
Q3088115,Genelec,Employer,Q3053337
Q57378140,Ugreen,Employer,Q3053337
Q328885,Adolf Bleichert & Co.,Employer,Q3053337
Q16560357,GISA (Sports prototype),Employer,Q3053337
Q6913651,Morris Commercial Cars,Employer,Q3053337
Q367405,Hebmüller,Employer,Q3053337
Q320521,Maurer Söhne,Employer,Q3053337
Q252610,Duple Metsec,Employer,Q3053337
Q7039614,Nippon Chemi-Con,Employer,Q3053337
Q17998404,Astra Honda Motor,Employer,Q3053337
Q4787395,Arcimoto,Employer,Q3053337
Q3378857,Philadelphia Toboggan Coasters,Employer,Q3053337
Q3355816,Oregon Scientific,Employer,Q3053337
Q2138080,Ateliers Moës-Freres,Employer,Q3053337
Q162810,Gerstlauer,Employer,Q3053337
Q1000076,Custom Coasters International,Employer,Q3053337
Q56283546,Abul Khair Group,Employer,Q3053337
Q51715681,Carl Lindström A.G.,Employer,Q3053337
Q28667042,Lobaev Arms,Employer,Q3053337
Q3337766,Negretti and Zambra,Employer,Q3053337
Q735004,Quick,Employer,Q3053337
Q7992391,Whelen Engineering Company,Employer,Q3053337
Q60742125,American Writing Paper Company,Employer,Q3053337
Q4748309,Amphion Loudspeakers,Employer,Q3053337
Q3521118,The Gravity Group,Employer,Q3053337
Q2398244,Hopkins Rides,Employer,Q3053337
Q1326079,Electronic Music Laboratories,Employer,Q3053337
Q5321681,E. & H. T. Anthony & Co.,Employer,Q3053337
Q85200164,Allied Glass,Employer,Q3053337
Q65064148,O.C. Tanner,Employer,Q3053337
Q48802940,Walcutt and Leeds,Employer,Q3053337
Q17090573,Gabriel,Employer,Q3053337
Q16240762,Arrow Development,Employer,Q3053337
Q6737706,Majestic Percussion,Employer,Q3053337
Q6502615,"Lavers, Barraud and Westlake",Employer,Q3053337
Q6435788,Kraco Enterprises,Employer,Q3053337
Q5681545,Hathorn Davey,Employer,Q3053337
Q2884442,Barenthal,Employer,Q3053337
Q96472657,Imperial Productions,Employer,Q3053337
Q88484819,Spendor,Employer,Q3053337
Q79866178,Peak Scientific,Employer,Q3053337
Q7497288,Shindana Toys,Employer,Q3053337
Q65063422,Farr Alpaca Company,Employer,Q3053337
Q65058145,Elizabeth Suzann,Employer,Q3053337
Q60756085,Documation,Employer,Q3053337
Q58783376,Loch Lomond Radium Works,Employer,Q3053337
Q21008560,The Chelsea Cobbler,Employer,Q3053337
Q20713685,Robert Noble,Employer,Q3053337
Q17107879,Martin & Vleminckx,Employer,Q3053337
Q16256243,Olympic Organ Builders,Employer,Q3053337
Q6822979,Metamec,Employer,Q3053337
Q6515735,Leece-Neville,Employer,Q3053337
Q5515219,"Gaar, Scott & Co.",Employer,Q3053337
Q5127126,Clark-Kent,Employer,Q3053337
Q5020267,California Bell Company,Employer,Q3053337
Q4979580,"Brunton, Inc.",Employer,Q3053337
Q4893956,Bernardo Sandals,Employer,Q3053337
Q15617,Oxygen SpA,Employer,Q3053337
Q308720,Burgtheater,Employer,Q3053337
Q441937,Ringtheater,Employer,Q3053337
Q1471174,"Zakłady Przemysłu Bawełnianego ""Frotex""",Employer,Q3053337
Q3398729,Portable Antiquities Scheme,Employer,Q3053337
Q5020433,California Department of Human Resources,Employer,Q3053337
Q6395471,Kettering Grammar School,Employer,Q3053337
Q7552396,Society of Biological Inorganic Chemistry,Employer,Q3053337
