qid,label,class_label,class_qid
Q7325,Jewish people,EthnicGroup,Q41710
Q12542,Aztec,EthnicGroup,Q41710
Q8060,Romani people,EthnicGroup,Q41710
Q49085,African Americans,EthnicGroup,Q41710
Q84072,Turks,EthnicGroup,Q41710
Q35966,Ancient Celts,EthnicGroup,Q41710
Q40477,Slavs,EthnicGroup,Q41710
Q121842,French,EthnicGroup,Q41710
Q44806,Ukrainians,EthnicGroup,Q41710
Q45315,Berbers,EthnicGroup,Q41710
Q48199,Sámi people,EthnicGroup,Q41710
Q45813,Huns,EthnicGroup,Q41710
Q42193,Goths,EthnicGroup,Q41710
Q17161,Etruscans,EthnicGroup,Q41710
Q43482,Franks,EthnicGroup,Q41710
Q5406,Hittites,EthnicGroup,Q41710
Q163943,Druze Faith,EthnicGroup,Q41710
Q178484,Mapuche,EthnicGroup,Q41710
Q131802,Scythians,EthnicGroup,Q41710
Q83328,Turkic peoples,EthnicGroup,Q41710
Q22633,Germanic people,EthnicGroup,Q41710
Q201190,Palestinians,EthnicGroup,Q41710
Q377085,Assyrians,EthnicGroup,Q41710
Q23693,Visigoths,EthnicGroup,Q41710
Q173282,Khazars,EthnicGroup,Q41710
Q42211,Vandals,EthnicGroup,Q41710
Q101935,Huguenots,EthnicGroup,Q41710
Q484479,Kyrgyz people,EthnicGroup,Q41710
Q846570,Americans,EthnicGroup,Q41710
Q130900,Lombards,EthnicGroup,Q41710
Q485732,Quraysh,EthnicGroup,Q41710
Q200885,Yazidis,EthnicGroup,Q41710
Q103122,Ostrogoths,EthnicGroup,Q41710
Q101985,Saxons,EthnicGroup,Q41710
Q200569,Dutch,EthnicGroup,Q41710
Q179733,Aryan,EthnicGroup,Q41710
Q102090,Apache,EthnicGroup,Q41710
Q162858,Sarmatians,EthnicGroup,Q41710
Q104444,Amish,EthnicGroup,Q41710
Q142702,Malays,EthnicGroup,Q41710
Q146744,Copts,EthnicGroup,Q41710
Q178054,Alans,EthnicGroup,Q41710
Q132990,Alamanni,EthnicGroup,Q41710
Q62928,Semitic people,EthnicGroup,Q41710
Q188836,Xiongnu,EthnicGroup,Q41710
Q193776,Philistines,EthnicGroup,Q41710
Q161205,Safavid dynasty,EthnicGroup,Q41710
Q203507,Amorites,EthnicGroup,Q41710
Q182651,Samaritan,EthnicGroup,Q41710
Q105763,Saracen,EthnicGroup,Q41710
