qid,label,class_label,class_qid
Q80110,flag of Canada,Flag,Q14660
Q122482,flag of Europe,Flag,Q14660
Q160255,flag of Peru,Flag,Q14660
Q79198,flag of Vatican City,Flag,Q14660
Q182773,Jolly Roger,Flag,Q14660
Q51401,LGBTQ pride flag,Flag,Q14660
Q235445,flag of Norfolk Island,Flag,Q14660
Q1130142,Buddhist flag,Flag,Q14660
Q630077,flag of the African Union,Flag,Q14660
Q702031,Rising Sun Flag,Flag,Q14660
Q264655,vexillum,Flag,Q14660
Q1426529,bisexual pride flag,Flag,Q14660
Q327721,International Code of Signals,Flag,Q14660
Q1184980,flag of East Turkestan,Flag,Q14660
Q1095488,flag of Puntland,Flag,Q14660
Q1084035,Christian Flag,Flag,Q14660
Q2742210,Esperanto flag,Flag,Q14660
Q1199905,Derafsh Kaviani,Flag,Q14660
Q2029729,Pan-African flag,Flag,Q14660
Q105593273,disability flag,Flag,Q14660
Q543471,flag of the Region of Murcia,Flag,Q14660
Q2361835,flag of Benelux,Flag,Q14660
Q17094384,homosexual pride flag,Flag,Q14660
Q8042899,peace flag,Flag,Q14660
Q17424533,flag of Novorossiya,Flag,Q14660
Q3500259,flag of Cusco,Flag,Q14660
Q97359653,lesbian pride flag,Flag,Q14660
Q17053858,intersex flag,Flag,Q14660
Q62604586,non-binary pride flag,Flag,Q14660
Q12741387,Flag of the Aromanians,Flag,Q14660
Q135658407,Straw Hat Pirates' Jolly Roger,Flag,Q14660
Q1420736,flag of the Republic of Venice,Flag,Q14660
Q61642208,asexual pride flag,Flag,Q14660
Q2361840,flag of Great Britain,Flag,Q14660
Q5528579,gay pride flag of South Africa,Flag,Q14660
Q1254400,draco,Flag,Q14660
Q63889113,aromantic pride flag,Flag,Q14660
Q4876605,bear flag,Flag,Q14660
Q2920201,Eureka Flag,Flag,Q14660
Q1455578,leather flag,Flag,Q14660
Q5456886,flag of the Republic of the Rio Grande,Flag,Q14660
Q993435,flag of the Finland Swedes,Flag,Q14660
Q94652289,flag of the United States Space Force,Flag,Q14660
Q5456862,flag of the Community of Portuguese Language Countries,Flag,Q14660
Q2940223,Jain flag,Flag,Q14660
Q106947253,gay men's pride flag,Flag,Q14660
Q133117660,Disability flag,Flag,Q14660
Q137734311,Lion and Sun flag,Flag,Q14660
Q96633914,“Progress” pride flag,Flag,Q14660
Q19840392,Malay tricolour,Flag,Q14660
Q2244549,flag of Santa Fe Province,Flag,Q14660
Q2165848,flag of Donetsk,Flag,Q14660
Q111983925,Sign Union flag,Flag,Q14660
Q96378021,flag of San Antonio,Flag,Q14660
Q62566819,labrys lesbian pride flag,Flag,Q14660
Q7241469,Presidential Standard of Pakistan,Flag,Q14660
Q6919069,Moultrie Flag,Flag,Q14660
Q5456858,flag of the Cherokee Nation,Flag,Q14660
Q96378020,flag of Saint Paul,Flag,Q14660
Q96378017,flag of El Paso,Flag,Q14660
Q96378013,"flag of Austin, Texas",Flag,Q14660
Q114714073,flag of Honolulu,Flag,Q14660
Q114243922,United Tribes of New Zealand flag,Flag,Q14660
Q5456899,flag of the United States Navy,Flag,Q14660
Q5456897,flag of the United States Marine Corps,Flag,Q14660
Q5456894,flag of the United States Air Force,Flag,Q14660
Q85761218,"flag of Spokane, Washington",Flag,Q14660
Q62604938,agender pride flag,Flag,Q14660
Q33403901,vegan flag,Flag,Q14660
Q5915864,Household pennants,Flag,Q14660
Q11908043,flag of Val d'Aran,Flag,Q14660
Q5456786,flag of New England,Flag,Q14660
Q5440667,federalist flag,Flag,Q14660
Q96758247,new pride flag,Flag,Q14660
Q96378019,flag of Memphis,Flag,Q14660
Q107689743,bigender pride flag,Flag,Q14660
Q107452170,disability pride flag,Flag,Q14660
Q124530369,flag of the Selk'nam people,Flag,Q14660
Q131126824,Flag of the Aceh Sultanate,Flag,Q14660
Q117286279,flag of Laredo,Flag,Q14660
Q116938803,"flag of Kansas City, Missouri",Flag,Q14660
Q61650188,polyamory flag,Flag,Q14660
Q61641270,genderqueer pride flag,Flag,Q14660
Q54958758,flag of Long Beach,Flag,Q14660
Q47013273,transgender pride flag,Flag,Q14660
Q24885029,flag of Knoxville,Flag,Q14660
Q24191589,flag of Vancouver Island,Flag,Q14660
Q8554928,Flag of Elbląg,Flag,Q14660
Q16932726,Russian-American Company flag,Flag,Q14660
Q5456731,flag of Denison,Flag,Q14660
Q97627821,"flag of London, Ontario",Flag,Q14660
Q96655516,straight flag,Flag,Q14660
Q105778209,Japan–Ming trade-ship flag,Flag,Q14660
Q6981850,naval jack of the Philippines,Flag,Q14660
Q136393844,Moshiach flag,Flag,Q14660
Q127974,flag of Ukraine,Flag,Q14660
Q42537,flag of the United States of America,Flag,Q14660
Q16611,flag of Russia,Flag,Q14660
Q43175,flag of Japan,Flag,Q14660
Q41673,flag of India,Flag,Q14660
Q42876,flag of Italy,Flag,Q14660
Q48160,flag of Germany,Flag,Q14660
Q82236,flag of Azerbaijan,Flag,Q14660
Q43192,flag of France,Flag,Q14660
Q4485506,flag of Belgorod,Flag,Q14660
Q42436,flag of Poland,Flag,Q14660
Q48409,flag of Albania,Flag,Q14660
Q79874,flag of Afghanistan,Flag,Q14660
Q81952,flag of Turkey,Flag,Q14660
Q101472,flag of Indonesia,Flag,Q14660
Q131147,flag of China,Flag,Q14660
Q128480,flag of Israel,Flag,Q14660
Q46835,flag of Austria,Flag,Q14660
Q127179,flag of Bangladesh,Flag,Q14660
Q127296,flag of South Korea,Flag,Q14660
Q81676,flag of Australia,Flag,Q14660
Q81970,flag of Hungary,Flag,Q14660
Q12990,flag of Belgium,Flag,Q14660
Q47891,flag of Finland,Flag,Q14660
Q81526,flag of Andorra,Flag,Q14660
Q82194,flag of Brazil,Flag,Q14660
Q160872,flag of Chile,Flag,Q14660
Q33213,flag of Armenia,Flag,Q14660
Q46585,flag of the Netherlands,Flag,Q14660
Q60149,flag of Denmark,Flag,Q14660
Q121688,flag of Spain,Flag,Q14660
Q130774,flag of Argentina,Flag,Q14660
Q81471,flag of Estonia,Flag,Q14660
Q93335,flag of Iceland,Flag,Q14660
Q126622,flag of Iran,Flag,Q14660
Q131204,flag of Vietnam,Flag,Q14660
Q83392,flag of Algeria,Flag,Q14660
Q225360,flag of Bulgaria,Flag,Q14660
Q82205,flag of Ireland,Flag,Q14660
Q160250,flag of South África,Flag,Q14660
Q81477,flag of Lithuania,Flag,Q14660
Q160877,flag of Saudi Arabia,Flag,Q14660
Q83149,flag of Norway,Flag,Q14660
Q83278,flag of the United Kingdom,Flag,Q14660
Q122462,flag of Mexico,Flag,Q14660
Q122462,flag of Mexico,Flag,Q14660
Q127155,flag of the Czech Republic,Flag,Q14660
Q134521,flag of Bhutan,Flag,Q14660
Q159741,flag of Nepal,Flag,Q14660
Q26491,flag of Georgia,Flag,Q14660
Q159865,flag of Morocco,Flag,Q14660
Q81286,flag of Sweden,Flag,Q14660
Q124329,flag of Angola,Flag,Q14660
Q128347,flag of Pakistan,Flag,Q14660
Q160260,Flag of New Zealand,Flag,Q14660
Q160676,flag of Ghana,Flag,Q14660
Q101769,flag of Gabon,Flag,Q14660
Q103064,flag of North Korea,Flag,Q14660
Q124020,flag of Switzerland,Flag,Q14660
Q129132,flag of Greece,Flag,Q14660
Q130481,flag of Bahrain,Flag,Q14660
Q134627,flag of the Philippines,Flag,Q14660
Q134885,flag of Thailand,Flag,Q14660
Q34599,flag of Libya,Flag,Q14660
Q46008,flag of Laos,Flag,Q14660
Q160425,flag of Colombia,Flag,Q14660
Q130811,flag of Romania,Flag,Q14660
Q131650,flag of Kazakhstan,Flag,Q14660
Q132633,flag of Belarus,Flag,Q14660
Q30768,flag of East Timor,Flag,Q14660
Q483774,flag of Uzbekistan,Flag,Q14660
Q162033,flag of Bosnia and Herzegovina,Flag,Q14660
Q102184,flag of Djibouti,Flag,Q14660
Q165641,flag of Kyrgyzstan,Flag,Q14660
Q103055,flag of Liechtenstein,Flag,Q14660
Q130449,flag of Latvia,Flag,Q14660
Q130458,flag of Egypt,Flag,Q14660
Q154823,flag of Sri Lanka,Flag,Q14660
Q159746,flag of Monaco,Flag,Q14660
Q160124,flag of Tajikistan,Flag,Q14660
Q162781,flag of Iraq,Flag,Q14660
Q162999,flag of Cambodia,Flag,Q14660
Q163753,flag of Myanmar,Flag,Q14660
Q168935,flag of Malaysia,Flag,Q14660
Q168935,flag of Malaysia,Flag,Q14660
Q128812,flag of Portugal,Flag,Q14660
Q130442,flag of Benin,Flag,Q14660
Q131469,flag of Malta,Flag,Q14660
Q133015,flag of Croatia,Flag,Q14660
Q133022,flag of Luxembourg,Flag,Q14660
Q134247,flag of the United Arab Emirates,Flag,Q14660
Q134252,flag of Burkina Faso,Flag,Q14660
Q45136,flag of Syria,Flag,Q14660
Q160242,flag of Botswana,Flag,Q14660
Q162068,flag of Ethiopia,Flag,Q14660
Q165542,flag of Ecuador,Flag,Q14660
Q165545,flag of Kuwait,Flag,Q14660
Q165552,flag of Mongolia,Flag,Q14660
Q165905,flag of Kenya,Flag,Q14660
Q170064,flag of Jordan,Flag,Q14660
Q130807,flag of Slovenia,Flag,Q14660
Q178179,flag of Guatemala,Flag,Q14660
Q36005,flag of Lebanon,Flag,Q14660
Q483659,flag of Singapore,Flag,Q14660
Q162699,flag of Yemen,Flag,Q14660
Q162980,flag of Montenegro,Flag,Q14660
Q102198,flag of Sudan,Flag,Q14660
Q102392,flag of Scotland,Flag,Q14660
Q102392,flag of Scotland,Flag,Q14660
Q164584,flag of the Democratic Republic of the Congo,Flag,Q14660
Q165500,flag of Guinea,Flag,Q14660
Q102953,flag of Guinea-Bissau,Flag,Q14660
Q103001,flag of Malawi,Flag,Q14660
Q165872,flag of Brunei,Flag,Q14660
Q167584,flag of Moldova,Flag,Q14660
Q104969,flag of Lesotho,Flag,Q14660
Q172530,flag of Qatar,Flag,Q14660
Q134874,flag of Bolivia,Flag,Q14660
Q135014,flag of the Gambia,Flag,Q14660
Q4633,flag of Cyprus,Flag,Q14660
Q41327,flag of Turkmenistan,Flag,Q14660
Q159872,flag of Cameroon,Flag,Q14660
Q160861,flag of Slovakia,Flag,Q14660
Q163333,flag of the Republic of the Congo,Flag,Q14660
Q163832,flag of Serbia,Flag,Q14660
Q163832,flag of Serbia,Flag,Q14660
Q102939,flag of Honduras,Flag,Q14660
Q165230,flag of the Soviet Union,Flag,Q14660
Q165538,flag of Venezuela,Flag,Q14660
Q167119,flag of North Macedonia,Flag,Q14660
Q103447,flag of The Bahamas,Flag,Q14660
Q104351,flag of Barbados,Flag,Q14660
Q168941,flag of Panama,Flag,Q14660
Q169903,flag of Mali,Flag,Q14660
Q170795,flag of Liberia,Flag,Q14660
Q171103,flag of Uruguay,Flag,Q14660
Q171124,flag of Guyana,Flag,Q14660
Q135034,flag of Antigua and Barbuda,Flag,Q14660
Q191731,Flag of Palestine,Flag,Q14660
Q162789,flag of Tunisia,Flag,Q14660
Q163008,flag of Cuba,Flag,Q14660
Q163008,flag of Cuba,Flag,Q14660
Q102944,flag of Cape Verde,Flag,Q14660
Q102967,flag of Ivory Coast,Flag,Q14660
Q102993,flag of Eswatini,Flag,Q14660
Q165811,flag of Chad,Flag,Q14660
Q165822,flag of Namibia,Flag,Q14660
Q103084,flag of Burundi,Flag,Q14660
Q159986,flag of Zimbabwe,Flag,Q14660
Q484249,flag of Mozambique,Flag,Q14660
Q102960,flag of Nigeria,Flag,Q14660
Q102977,flag of Mauritania,Flag,Q14660
Q165550,flag of Oman,Flag,Q14660
Q165775,flag of the Central African Republic,Flag,Q14660
Q169441,flag of Maldives,Flag,Q14660
Q170289,flag of Costa Rica,Flag,Q14660
Q170465,flag of Paraguay,Flag,Q14660
Q170555,flag of Eritrea,Flag,Q14660
Q134933,flag of Senegal,Flag,Q14660
Q102987,flag of Haiti,Flag,Q14660
Q169192,flag of Belize,Flag,Q14660
Q103046,flag of Niger,Flag,Q14660
Q103414,flag of Grenada,Flag,Q14660
Q168711,flag of Kosovo,Flag,Q14660
Q168917,flag of the Comoros,Flag,Q14660
Q170543,flag of Rwanda,Flag,Q14660
Q170814,flag of Zambia,Flag,Q14660
Q103019,flag of Madagascar,Flag,Q14660
Q103037,flag of Uganda,Flag,Q14660
Q168925,flag of San Marino,Flag,Q14660
Q170554,flag of Equatorial Guinea,Flag,Q14660
Q173554,flag of El Salvador,Flag,Q14660
Q159538,flag of Somalia,Flag,Q14660
Q103070,flag of Togo,Flag,Q14660
Q171117,flag of England,Flag,Q14660
Q171117,flag of England,Flag,Q14660
Q172517,flag of Jamaica,Flag,Q14660
Q172533,flag of Nicaragua,Flag,Q14660
Q180725,flag of Suriname,Flag,Q14660
Q117758,flag of Kiribati,Flag,Q14660
Q172446,flag of the United Nations,Flag,Q14660
Q173548,flag of Mauritius,Flag,Q14660
Q182514,flag of Fiji,Flag,Q14660
Q184283,flag of Trinidad and Tobago,Flag,Q14660
Q185277,flag of Nauru,Flag,Q14660
Q168912,flag of Sierra Leone,Flag,Q14660
Q169907,flag of São Tomé and Príncipe,Flag,Q14660
Q173201,flag of Seychelles,Flag,Q14660
Q184265,flag of Dominican Republic,Flag,Q14660
Q186456,flag of Hong Kong,Flag,Q14660
Q190648,flag of the Federated States of Micronesia,Flag,Q14660
Q199621,flag of Abkhazia,Flag,Q14660
Q170809,flag of Tanzania,Flag,Q14660
Q179383,flag of Dominica,Flag,Q14660
Q182782,flag of South Sudan,Flag,Q14660
Q184268,flag of Greenland,Flag,Q14660
Q185271,flag of Papua New Guinea,Flag,Q14660
Q75374,flag of the Solomon Islands,Flag,Q14660
Q4575,flag of the Faroe Islands,Flag,Q14660
Q188477,flag of Samoa,Flag,Q14660
Q188609,flag of Palau,Flag,Q14660
Q105643,flag of Tuvalu,Flag,Q14660
Q181120,flag of Saint Kitts and Nevis,Flag,Q14660
Q185285,flag of Vanuatu,Flag,Q14660
Q185692,flag of Wales,Flag,Q14660
Q185692,flag of Wales,Flag,Q14660
Q199961,flag of Transnistria,Flag,Q14660
Q200260,flag of the Marshall Islands,Flag,Q14660
Q375554,flag of the Sahrawi Arab Democratic Republic,Flag,Q14660
Q375554,flag of the Sahrawi Arab Democratic Republic,Flag,Q14660
Q184596,flag of Saint Lucia,Flag,Q14660
Q188072,flag of Tonga,Flag,Q14660
Q33037,flag of Gibraltar,Flag,Q14660
Q202610,flag of Åland Islands,Flag,Q14660
Q173535,flag of the Republic of China,Flag,Q14660
Q184584,flag of Saint Vincent and the Grenadines,Flag,Q14660
Q186226,flag of the Isle of Man,Flag,Q14660
Q238759,flag of Macau,Flag,Q14660
Q458651,Blue Flag beach,Flag,Q14660
Q201987,flag of Somaliland,Flag,Q14660
Q204678,flag of Artsakh,Flag,Q14660
Q209060,flag of South Ossetia,Flag,Q14660
Q193693,flag of the Cook Islands,Flag,Q14660
Q207518,flag of Northern Cyprus,Flag,Q14660
Q208671,flag of Kurdistan,Flag,Q14660
Q188839,flag of Aruba,Flag,Q14660
Q189612,flag of Jersey,Flag,Q14660
Q15994084,flag of Puerto Rico,Flag,Q14660
Q202189,flag of Niue,Flag,Q14660
Q242502,flag of American Samoa,Flag,Q14660
Q156564,flag of Alaska,Flag,Q14660
Q158591,flag of Guernsey,Flag,Q14660
Q189604,flag of Anguilla,Flag,Q14660
Q190064,flag of Bermuda,Flag,Q14660
Q204666,flag of the United States Virgin Islands,Flag,Q14660
Q235475,Ikurrina,Flag,Q14660
Q235475,Ikurrina,Flag,Q14660
