qid,label,class_label,class_qid
Q1829,Kaliningrad,Historical region,Q1620908
Q3995,Basque Country,Historical region,Q1620908
Q5777,Extremadura,Historical region,Q1620908
Q93195,Ulster,Historical region,Q1620908
Q605714,Donbas,Historical region,Q1620908
Q159736,Leinster,Historical region,Q1620908
Q131438,Munster,Historical region,Q1620908
Q164421,Connacht,Historical region,Q1620908
Q174994,Bessarabia,Historical region,Q1620908
Q105206,Bukovina,Historical region,Q1620908
Q180086,Galicia,Historical region,Q1620908
Q14118,Savoy,Historical region,Q1620908
Q62633,Grand Duchy of Finland,Historical region,Q1620908
Q191085,Gascony,Historical region,Q1620908
Q206221,Languedoc,Historical region,Q1620908
Q191607,Podolia,Historical region,Q1620908
Q7530,Volhynia,Historical region,Q1620908
Q273827,Champagne,Historical region,Q1620908
Q151999,Dauphiné,Historical region,Q1620908
Q303421,Kingdom of Galicia,Historical region,Q1620908
Q214662,Budjak,Historical region,Q1620908
Q1122052,Cumania,Historical region,Q1620908
Q213763,Béarn,Historical region,Q1620908
Q2396442,Kingdom of Galicia and Lodomeria,Historical region,Q1620908
Q1148511,Transcarpathia,Historical region,Q1620908
Q954076,Poitou,Historical region,Q1620908
Q159987,Artois,Historical region,Q1620908
Q827169,Berry,Historical region,Q1620908
Q803639,Bahr el Ghazal,Historical region,Q1620908
Q732738,Maine,Historical region,Q1620908
Q215695,Prekmurje,Historical region,Q1620908
Q842604,Right-bank Ukraine,Historical region,Q1620908
Q605051,Touraine,Historical region,Q1620908
Q598570,Sloboda Ukraine,Historical region,Q1620908
Q255572,Equatoria,Historical region,Q1620908
Q1068981,Left-bank Ukraine,Historical region,Q1620908
Q2017655,Greater Upper Nile,Historical region,Q1620908
Q13522657,Roussillon,Historical region,Q1620908
Q1043594,Old Castile,Historical region,Q1620908
Q330785,Ü-Tsang,Historical region,Q1620908
Q15710,Saudi–Iraqi Neutral Zone,Historical region,Q1620908
Q9876461,Duchy of Estonia (1219–1346),Historical region,Q1620908
