qid,label,class_label,class_qid
Q379764,lactase,Hormone,Q8047
Q416589,maltase,Hormone,Q8047
Q10891385,Sucrose alpha-glucosidase,Hormone,Q8047
Q5332143,Ecarin,Hormone,Q8047
Q7811495,Tobacco acid pyrophosphatase,Hormone,Q8047
Q4897208,Beta-galactoside permease,Hormone,Q8047
Q21132604,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4",Hormone,Q8047
Q62536,ion channel complex,Hormone,Q8047
Q305481,glutamic-pyruvic transaminase,Hormone,Q8047
Q15322916,calcium channel complex,Hormone,Q8047
Q105296036,Asparaginase,Hormone,Q8047
Q412272,proton pump,Hormone,Q8047
Q423778,potassium channel,Hormone,Q8047
Q331451,abrin,Hormone,Q8047
Q911011,ion pump,Hormone,Q8047
Q2853339,antiporter,Hormone,Q8047
Q381068,aequorin,Hormone,Q8047
Q11323875,Nattokinase,Hormone,Q8047
Q285307,symporters,Hormone,Q8047
Q412728,Lactoperoxidase,Hormone,Q8047
Q1134983,transferrin receptor family,Hormone,Q8047
Q1401099,solute carrier family,Hormone,Q8047
Q17079236,neurotransmitter transporter,Hormone,Q8047
Q408628,androgen-binding protein,Hormone,Q8047
Q411927,transcobalamins,Hormone,Q8047
Q5649486,neurophysin,Hormone,Q8047
Q5044071,carnitine palmitoyltransferase 2,Hormone,Q8047
Q26916851,N-type calcium channel,Hormone,Q8047
Q7670065,TEV protease,Hormone,Q8047
Q426782,Bone morphogenetic protein 1,Hormone,Q8047
Q3775177,M-phase inducer phosphatase,Hormone,Q8047
Q21789862,sebelipase alfa,Hormone,Q8047
Q812784,BCL2 associated agonist of cell death,Hormone,Q8047
Q3023824,dermaseptins,Hormone,Q8047
Q3645271,Fruit bromelain,Hormone,Q8047
Q5135499,Clostridium perfringens alpha toxin,Hormone,Q8047
Q11903647,P-type ATPase,Hormone,Q8047
Q12905982,endothiapepsin,Hormone,Q8047
Q6994882,nepenthesin,Hormone,Q8047
Q7115077,Oxaloacetase,Hormone,Q8047
Q7201782,plasma membrane Ca2+ ATPase,Hormone,Q8047
Q108841452,Cyclic GMP-AMP synthase,Hormone,Q8047
Q76858465,Photinus luciferin 4-monooxygenase,Hormone,Q8047
Q21428408,Kallikrein 1-related peptidase b16,Hormone,Q8047
Q6546700,lignin-modifying enzyme,Hormone,Q8047
Q7205996,Pneumolysin,Hormone,Q8047
Q126265029,Cytochrome P450,Hormone,Q8047
Q1886097,major facilitator superfamily,Hormone,Q8047
Q4122191,Pentalenic acid synthase,Hormone,Q8047
Q4746435,Amino acid transporter,Hormone,Q8047
Q4906731,big dynorphin,Hormone,Q8047
Q5018801,calcium-activated potassium channel,Hormone,Q8047
Q25384427,MHETase,Hormone,Q8047
Q62561871,lipid-gated ion channels,Hormone,Q8047
Q10853506,Ribonuclease Phyb,Hormone,Q8047
Q7240014,prekallikrein,Hormone,Q8047
Q7957566,exopolysaccharide glucosyl ketal-pyruvate-transferase,Hormone,Q8047
Q126126518,3α-Hydroxysteroid dehydrogenase,Hormone,Q8047
Q134445699,Methyl acetate hydrolase,Hormone,Q8047
Q136433027,Lanthanide-dependent methanol dehydrogenase,Hormone,Q8047
Q136466897,ABC-type ferric hydroxamate transporter,Hormone,Q8047
Q1026649,Intestinal-type alkaline phosphatase,Hormone,Q8047
Q3596313,(myelin basic protein)-arginine N-methyltransferase,Hormone,Q8047
Q4746432,Amino acid permease,Hormone,Q8047
Q5054717,cauxin,Hormone,Q8047
Q109236534,carbamoyl phosphate synthetase III,Hormone,Q8047
Q25103777,Holin superfamily II,Hormone,Q8047
Q25103787,Holin superfamily III,Hormone,Q8047
Q25103795,Ion transporter superfamily,Hormone,Q8047
Q25106428,NgAgo,Hormone,Q8047
Q59617859,acutolysin A,Hormone,Q8047
Q62491123,stonustoxin,Hormone,Q8047
Q65920385,adenylate cyclase toxin,Hormone,Q8047
Q95677119,Ferulic acid decarboxylase,Hormone,Q8047
Q21400335,Methylpurine-DNA glycosylase AlkD,Hormone,Q8047
Q11056551,Immobilized Enzyme Reactor System,Hormone,Q8047
Q6714058,MACPF,Hormone,Q8047
Q7041499,nitrophorin,Hormone,Q8047
Q7669118,T7 DNA polymerase,Hormone,Q8047
Q130748721,Imine reductase,Hormone,Q8047
Q131320105,3-Hydroxyacyl-CoA dehydratase,Hormone,Q8047
Q134429163,Salicylate 1-O-methyltransferase,Hormone,Q8047
Q134437680,Acetyl-CoA carboxytransferase,Hormone,Q8047
Q134437644,Phloroglucinol synthase,Hormone,Q8047
Q134455130,Phenylacetate decarboxylase,Hormone,Q8047
Q134531676,"Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase",Hormone,Q8047
Q135225472,CpG methyltransferase,Hormone,Q8047
Q136954117,Avenacosidase,Hormone,Q8047
Q138544202,Thebaine synthase,Hormone,Q8047
Q5053549,Cation diffusion facilitator superfamily,Hormone,Q8047
Q5282577,Dispersin B,Hormone,Q8047
Q5317513,Duteplase,Hormone,Q8047
Q5323813,Cysteine proteinase EP-B 2,Hormone,Q8047
Q100144778,CYP170B1,Hormone,Q8047
Q101175227,(S)-corytuberine synthase,Hormone,Q8047
Q105973256,Juvenile hormone acid O-methyltransferase,Hormone,Q8047
Q106695171,bovhyaluronidase azoximer,Hormone,Q8047
Q106830320,Carbonyl sulfide hydrolase,Hormone,Q8047
Q108695709,LigD,Hormone,Q8047
Q108695709,LigD,Hormone,Q8047
Q109373823,Nucleotide kinase,Hormone,Q8047
Q110722837,Coenzyme A transferases,Hormone,Q8047
Q115808988,Iron superoxide dismutase,Hormone,Q8047
Q117196260,Spirotetronate cyclase AbyU,Hormone,Q8047
Q25101019,APC superfamily,Hormone,Q8047
Q25103835,BART superfamily,Hormone,Q8047
Q25103768,Holin superfamily I,Hormone,Q8047
Q25102066,Lysine exporter,Hormone,Q8047
Q25112332,PTS-GFL superfamily,Hormone,Q8047
Q25323934,CPA superfamily,Hormone,Q8047
Q25323885,Holin superfamily IV,Hormone,Q8047
Q25323884,Holin superfamily V,Hormone,Q8047
Q25323886,Holin superfamily VI,Hormone,Q8047
Q25323887,Holin superfamily VII,Hormone,Q8047
Q25323808,TOG superfamily,Hormone,Q8047
Q28209124,Mrp superfamily,Hormone,Q8047
Q56289843,FERONIA,Hormone,Q8047
Q60788498,volkensin,Hormone,Q8047
Q99530576,CYP28A1,Hormone,Q8047
Q99976356,vitamin D3 dihydroxylase,Hormone,Q8047
Q99976356,vitamin D3 dihydroxylase,Hormone,Q8047
Q110469205,EC 4.1.1.102,Hormone,Q8047
Q15997127,serine dehydratase,Hormone,Q8047
Q19903283,Aminoglycoside-3'-phosphotransferase,Hormone,Q8047
Q21102175,PRC1 complex,Hormone,Q8047
Q5445892,Fet3p,Hormone,Q8047
Q6063416,Ion channel linked receptors,Hormone,Q8047
