qid,label,class_label,class_qid
Q1374337,Euregio,Intercommunality,Q3153117
Q688352,Trinational Eurodistrict Basel,Intercommunality,Q3153117
Q2138467,Frankfurt Rhein-Main Regional Authority,Intercommunality,Q3153117
Q6837623,Michigan Municipal League,Intercommunality,Q3153117
Q16902012,Tualatin Valley Fire and Rescue,Intercommunality,Q3153117
Q16665915,Grand Paris,Intercommunality,Q3153117
Q1120022,Saint-Quentin-en-Yvelines,Intercommunality,Q3153117
Q471969,Lille metropolis,Intercommunality,Q3153117
Q519607,Boldecker Land,Intercommunality,Q3153117
Q2606802,Valle del Jerte,Intercommunality,Q3153117
Q2472448,La Serena,Intercommunality,Q3153117
Q2472461,La Vera,Intercommunality,Q3153117
Q2598911,Ambroz Valley,Intercommunality,Q3153117
Q586704,Eurometropolis of Strasbourg,Intercommunality,Q3153117
Q2935539,Campo Arañuelo,Intercommunality,Q3153117
Q28092866,Communauté d'agglomération du Pays Basque,Intercommunality,Q3153117
Q16665884,Métropole Aix-Marseille-Provence,Intercommunality,Q3153117
Q1117116,Bordeaux Métropole,Intercommunality,Q3153117
Q2651675,Sierra de Alcaraz y Campo de Montiel,Intercommunality,Q3153117
Q3335802,Urban Community of Nantes Métropole,Intercommunality,Q3153117
Q2986889,Communauté urbaine Caen la Mer,Intercommunality,Q3153117
Q2986935,Métropole Toulon Provence Méditerranée,Intercommunality,Q3153117
Q2986948,Eurométropole de Metz,Intercommunality,Q3153117
Q2989397,Métropole du Grand Nancy,Intercommunality,Q3153117
Q646802,Communauté d'agglomération Grand Montauban,Intercommunality,Q3153117
Q1120275,Communauté urbaine d'Arras,Intercommunality,Q3153117
Q1144869,Metropolitan Association of Upper Silesia,Intercommunality,Q3153117
Q2991607,Concarneau Cornouaille Agglomération,Intercommunality,Q3153117
Q3259565,Lorient Agglomeration,Intercommunality,Q3153117
Q3322697,Montfort Communauté,Intercommunality,Q3153117
Q3324151,Morlaix Communauté,Intercommunality,Q3153117
Q3333866,Metropole Nice Cote d'Azur,Intercommunality,Q3153117
Q2988685,Communauté d'agglomération du Pays de Landerneau-Daoulas,Intercommunality,Q3153117
Q12194,Metropolitan Brest,Intercommunality,Q3153117
Q744934,Le Mans Métropole,Intercommunality,Q3153117
Q753163,Community of Communes of the Kochersberg,Intercommunality,Q3153117
Q762950,Clermont Auvergne Métropole,Intercommunality,Q3153117
Q1119855,Communauté d'agglomération Hérault Méditerranée,Intercommunality,Q3153117
Q1119885,Métropole Rouen-Normandie,Intercommunality,Q3153117
Q1120177,Saint-Malo Agglomération,Intercommunality,Q3153117
Q1143710,Mulhouse Alsace Agglomération,Intercommunality,Q3153117
Q1484162,Grand Reims,Intercommunality,Q3153117
Q2989211,Redon Agglomération,Intercommunality,Q3153117
Q2986891,communauté d'agglomération de la Presqu'île de Guérande Atlantique,Intercommunality,Q3153117
Q2986971,Communauté d'agglomération de la Région Nazairienne et de l'Estuaire,Intercommunality,Q3153117
Q2986953,Tours Métropole Val de Loire,Intercommunality,Q3153117
Q2986995,Rodez Agglomération,Intercommunality,Q3153117
Q2989386,Communauté urbaine d'Alençon,Intercommunality,Q3153117
Q3217604,Lannion-Trégor Communauté,Intercommunality,Q3153117
Q28123044,Quimperlé Communauté,Intercommunality,Q3153117
Q28495891,Grand Belfort,Intercommunality,Q3153117
Q3553435,Val de Garonne Agglomération,Intercommunality,Q3153117
Q28035513,Quimper Bretagne Occidentale,Intercommunality,Q3153117
Q15277730,Sierra de Gata (comarca),Intercommunality,Q3153117
Q16541438,Communauté de communes des Hauts de Flandre,Intercommunality,Q3153117
Q2874,Urban Community of Lyon,Intercommunality,Q3153117
Q1117456,Communauté d'agglomération Tulle Agglo,Intercommunality,Q3153117
Q687926,Communauté d'agglomération de Blois Agglopolys,Intercommunality,Q3153117
Q1119935,Colmar Agglomération,Intercommunality,Q3153117
Q1119840,Communauté d'agglomération Béziers Méditerranée,Intercommunality,Q3153117
Q1119907,Communauté d'agglomération Ventoux-Comtat-Venaissin,Intercommunality,Q3153117
Q1119894,Perpignan Méditerranée Métropole,Intercommunality,Q3153117
Q471415,Urban community of Nice Côte d'Azur,Intercommunality,Q3153117
Q1120014,Communauté d'agglomération de la Porte du Hainaut,Intercommunality,Q3153117
Q1120105,Grand Avignon,Intercommunality,Q3153117
Q1120000,Agglomeration Community of Metropolitan Valenciennes,Intercommunality,Q3153117
Q1120063,Communauté d'agglomération du Bassin de Thau,Intercommunality,Q3153117
Q1120203,Agglomeration community of Le Havre,Intercommunality,Q3153117
Q1120245,Urban community of Marseille Provence Métropole,Intercommunality,Q3153117
Q1479310,Vitré Communauté,Intercommunality,Q3153117
Q1619392,Communauté de communes de Petite Camargue,Intercommunality,Q3153117
Q2014359,Communauté urbaine de Dunkerque,Intercommunality,Q3153117
Q2987719,Communauté d'agglomération Étampois Sud Essonne,Intercommunality,Q3153117
Q2851472,Agglomeration community of Annemasse – Les Voirons,Intercommunality,Q3153117
Q2986934,Communauté d'agglomération de Castres Mazamet,Intercommunality,Q3153117
Q2986937,Communauté d’agglomération de Châlons-en-Champagne,Intercommunality,Q3153117
Q2986927,Communauté d'agglomération Versailles Grand Parc,Intercommunality,Q3153117
Q2986940,Estérel Côte d'Azur Agglomération,Intercommunality,Q3153117
Q2986908,Orléans Métropole,Intercommunality,Q3153117
Q2986914,Saint-Étienne Métropole,Intercommunality,Q3153117
Q2986958,Communauté d'agglomération de l'Albigeois,Intercommunality,Q3153117
Q2986968,Communauté d'agglomération de la Riviera Française,Intercommunality,Q3153117
Q2986947,Communauté d'agglomération de Nevers,Intercommunality,Q3153117
Q2987123,Communauté de communes Caux vallée de Seine,Intercommunality,Q3153117
Q2987017,Communauté d'agglomération du Pays de l'Or,Intercommunality,Q3153117
Q2986991,Dijon Métropole,Intercommunality,Q3153117
Q2987005,Communauté d'agglomération du Soissonnais,Intercommunality,Q3153117
Q3212368,La Roche-sur-Yon Agglomération,Intercommunality,Q3153117
Q2987548,Communauté de communes de Miribel et du Plateau,Intercommunality,Q3153117
Q3508248,Val d'Europe Agglomération,Intercommunality,Q3153117
Q28114695,Golfe du Morbihan - Vannes Agglomération,Intercommunality,Q3153117
Q28127492,communauté d'agglomération du Bassin de Bourg-en-Bresse,Intercommunality,Q3153117
Q28465087,Grand Annecy Agglomération,Intercommunality,Q3153117
Q2988626,Communauté de communes du Pays de Bitche,Intercommunality,Q3153117
Q29298569,Communauté d'agglomération Gaillac-Graulhet,Intercommunality,Q3153117
Q3847021,Trasierra/Tierras de Granadilla,Intercommunality,Q3153117
Q33114187,Communauté d'agglomération Rambouillet Territoires,Intercommunality,Q3153117
Q50368667,Communauté d'agglomération Sarreguemines Confluences,Intercommunality,Q3153117
Q6530034,Les Thermes,Intercommunality,Q3153117
Q28496160,Communauté d'agglomération de Haguenau,Intercommunality,Q3153117
Q22249216,Communauté d'agglomération Saint-Germain Boucles de Seine,Intercommunality,Q3153117
Q27854191,Les Sables-d'Olonne Agglomération,Intercommunality,Q3153117
Q13646314,Mancomunidad de Municipios de la Sierra del Segura,Intercommunality,Q3153117
Q28031448,Dinan agglomération,Intercommunality,Q3153117
Q28088238,Vichy Communauté,Intercommunality,Q3153117
Q115627750,Agglomération d'Agen,Intercommunality,Q3153117
Q1117267,Communauté d'agglomération Cœur d’Ostrevent,Intercommunality,Q3153117
Q1117410,Communauté d'agglomération Terre de Provence,Intercommunality,Q3153117
Q765455,Communauté de communes du Provinois,Intercommunality,Q3153117
Q132251,Communauté d'agglomération du Grand Villeneuvois,Intercommunality,Q3153117
Q162115,Communauté d'agglomération Melun-Val de Seine,Intercommunality,Q3153117
Q1118057,Communauté de communes de la Terre des Deux Caps,Intercommunality,Q3153117
Q1118128,Grand Longwy Agglomération,Intercommunality,Q3153117
Q1118828,Communauté de communes du Nord du Bassin de Thau,Intercommunality,Q3153117
Q1118905,Communauté de communes du Pays de Châtenois,Intercommunality,Q3153117
Q1118453,Communauté de communes du Bernavillois,Intercommunality,Q3153117
Q1119794,Communauté de communes des Villes Sœurs,Intercommunality,Q3153117
Q1119833,Communauté d'agglomération Amiens Métropole,Intercommunality,Q3153117
Q1119847,Communauté d'agglomération Beaune Côte et Sud,Intercommunality,Q3153117
Q1119902,Communauté d'agglomération d'Épinal,Intercommunality,Q3153117
Q1119865,Communauté d’agglomération Nîmes Métropole,Intercommunality,Q3153117
Q1119049,Pays de Saint-Gilles-Croix-de-Vie Agglomération,Intercommunality,Q3153117
Q277585,Agglomeration community of Boulogne,Intercommunality,Q3153117
Q283605,Communauté de communes Moret Seine et Loing,Intercommunality,Q3153117
Q431026,Communauté de communes à l'Ouest d'Amiens,Intercommunality,Q3153117
Q448702,Saxon Museum of Industry,Intercommunality,Q3153117
Q2987360,communauté d'agglomération Sud Sainte Baume,Intercommunality,Q3153117
Q937786,Communauté de communes de Londinières,Intercommunality,Q3153117
Q1119954,Communauté d'agglomération de Forbach Porte de France,Intercommunality,Q3153117
Q1119960,Communauté d'agglomération de Marne et Gondoire,Intercommunality,Q3153117
Q1120065,Communauté d'agglomération du Beauvaisis,Intercommunality,Q3153117
Q1120141,Communauté d'agglomération du Pays de Meaux,Intercommunality,Q3153117
Q1035596,Carcassonne Agglo,Intercommunality,Q3153117
Q1117180,communauté de communes de Bayeux Intercom,Intercommunality,Q3153117
Q999238,Grenoble-Alpes Métropole,Intercommunality,Q3153117
Q1119214,Communauté de communes Le Grésivaudan,Intercommunality,Q3153117
Q1120190,Communauté urbaine Angers Loire Métropole,Intercommunality,Q3153117
Q2988101,communauté de communes des Falaises du Talou,Intercommunality,Q3153117
Q1119346,Communauté de communes du Pays Fertois,Intercommunality,Q3153117
Q1808808,Agglomeration community of the Laval agglomeration,Intercommunality,Q3153117
Q1809897,Le Grand Narbonne,Intercommunality,Q3153117
Q2987715,Communauté de communes de l'Orée de la Brie,Intercommunality,Q3153117
Q2988406,Communauté de communes Cœur de France,Intercommunality,Q3153117
Q2987752,Communauté de communes de la Campagne de Caux,Intercommunality,Q3153117
Q2987766,Communauté de communes de la Côte d'Albâtre,Intercommunality,Q3153117
Q2987751,Communauté de communes La Brie Nangissienne,Intercommunality,Q3153117
Q1119464,Communauté de communes du Saulnois,Intercommunality,Q3153117
Q2826815,Agglomeration community of Rouen,Intercommunality,Q3153117
Q2826818,Communauté d'agglomération Montargoise et Rives du Loing,Intercommunality,Q3153117
Q2922328,Communauté d'agglomération Bourges Plus,Intercommunality,Q3153117
Q2937034,Communauté d'agglomération CAP Excellence,Intercommunality,Q3153117
Q2986887,Communauté d'agglomération Chartres Métropole,Intercommunality,Q3153117
Q2986853,Communauté intercommunale du Nord de La Réunion,Intercommunality,Q3153117
Q2986931,Communauté d'agglomération de Bastia,Intercommunality,Q3153117
Q2986890,Communauté d'agglomération du Pays de Dreux,Intercommunality,Q3153117
Q2986911,Communauté d'agglomération Porte de l'Isère,Intercommunality,Q3153117
Q2986913,Communauté d'agglomération Portes de France-Thionville,Intercommunality,Q3153117
Q2986899,Limoges Métropole,Intercommunality,Q3153117
Q2986901,Loire Forez Agglomération,Intercommunality,Q3153117
Q2986976,Communauté d’agglomération des Hauts-de-Bièvre,Intercommunality,Q3153117
Q2986974,Communauté d'agglomération Bassin d'Arcachon Sud,Intercommunality,Q3153117
Q2986960,Communauté d'agglomération de l'Espace Sud de la Martinique,Intercommunality,Q3153117
Q2986973,Communauté d'agglomération dracénoise,Intercommunality,Q3153117
Q2986980,Communauté d'agglomération du Centre de la Martinique,Intercommunality,Q3153117
Q2986987,Communauté d'agglomération du Grand Cahors,Intercommunality,Q3153117
Q2986990,Communauté d'agglomération du Grand Dole,Intercommunality,Q3153117
Q2988792,Communauté de communes du Pays de l'Ourcq,Intercommunality,Q3153117
Q2988776,Communauté de communes du Pays de Tronçais,Intercommunality,Q3153117
Q2987213,Communauté de communes Gâtinais-Val de Loing,Intercommunality,Q3153117
Q2987003,Communauté d'agglomération du Pays Ajaccien,Intercommunality,Q3153117
Q2987014,Communauté d'agglomération du Val de Fensch,Intercommunality,Q3153117
Q2986992,Grand Besançon Métropole,Intercommunality,Q3153117
Q2989385,Communauté urbaine Creusot-Montceau,Intercommunality,Q3153117
Q2989302,Community of Greater Annecy,Intercommunality,Q3153117
Q3027493,Communauté d'agglomération de la région Dieppoise,Intercommunality,Q3153117
Q3113706,Grand Poitiers,Intercommunality,Q3153117
Q2987182,Communauté de communes Cœur du Var,Intercommunality,Q3153117
Q2987159,Communauté de communes Cœur de Nacre,Intercommunality,Q3153117
Q3297794,Pamplona metropolitan area,Intercommunality,Q3153117
Q3483057,Sicoval,Intercommunality,Q3153117
Q2987515,communauté d'agglomération du Grand Guéret,Intercommunality,Q3153117
Q28365187,communauté d'agglomération du Cotentin,Intercommunality,Q3153117
Q28494460,communauté d'agglomération Bergeracoise,Intercommunality,Q3153117
Q28494227,Communauté d'agglomération Lisieux Normandie,Intercommunality,Q3153117
Q2988315,communauté de communes du canton de Criquetot-l'Esneval,Intercommunality,Q3153117
Q28495742,Communauté de communes des Deux Morin,Intercommunality,Q3153117
Q28495716,Communauté de communes du Val Briard,Intercommunality,Q3153117
Q28495596,Saint-Louis Agglomération,Intercommunality,Q3153117
Q29315317,Communauté d'agglomération Territoires Vendômois,Intercommunality,Q3153117
Q2988694,Communauté de Communes du Pays de Lure,Intercommunality,Q3153117
Q2988693,Lunel Agglo,Intercommunality,Q3153117
Q2988658,Pays de Fayence,Intercommunality,Q3153117
Q2987590,Communauté d'agglomération de Saint-Dizier Der et Blaise,Intercommunality,Q3153117
Q19544163,Communauté d'agglomération de Fécamp Caux Littoral,Intercommunality,Q3153117
Q19544165,Communauté d'agglomération du Grand Verdun,Intercommunality,Q3153117
Q19945071,Communauté urbaine Grand Paris Seine et Oise,Intercommunality,Q3153117
Q2988521,Communauté d'agglomération du Pays Nord Martinique,Intercommunality,Q3153117
Q28495837,"Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne",Intercommunality,Q3153117
Q28495750,communauté d'agglomération du Pays de Fontainebleau,Intercommunality,Q3153117
Q28495743,Communauté de communes de la Brie des Rivières et Châteaux,Intercommunality,Q3153117
Q28495745,Communauté de communes du Pays de Montereau,Intercommunality,Q3153117
Q28495914,Communauté de communes Intercom de la Vire au Noireau,Intercommunality,Q3153117
Q28495940,Communauté de communes Normandie-Cabourg-Pays d'Auge,Intercommunality,Q3153117
Q30055927,Annonay Rhône Agglo,Intercommunality,Q3153117
Q2988543,Communauté de communes du Pays Créçois,Intercommunality,Q3153117
Q29401756,Communauté d'agglomération Grand Auch Cœur de Gascogne,Intercommunality,Q3153117
Q29946853,Communauté d'agglomération Pau Béarn Pyrénées,Intercommunality,Q3153117
Q21007661,Communauté de communes Portes de la Creuse en Marche,Intercommunality,Q3153117
Q3516140,Commonwealth Taula del Sénia,Intercommunality,Q3153117
Q30283360,Communauté de communes de l'Ouest Vosgien,Intercommunality,Q3153117
Q30308629,Communauté d'agglomération de la Provence Verte,Intercommunality,Q3153117
Q30738040,"Communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane",Intercommunality,Q3153117
Q30738820,Communauté d'agglomération de la Région de Compiègne et de la Basse Automne,Intercommunality,Q3153117
Q33130281,Le Muretain Agglo,Intercommunality,Q3153117
Q28496085,Communauté de communes Isigny-Omaha Intercom,Intercommunality,Q3153117
Q28499787,Communauté d'agglomération du Pays de Foix-Varilhes,Intercommunality,Q3153117
Q22248259,Cœur d'Essonne Agglomération,Intercommunality,Q3153117
Q22248272,Communauté d’agglomération Roissy Pays de France,Intercommunality,Q3153117
Q1118739,Communauté d'agglomération du Pays de Laon,Intercommunality,Q3153117
Q28804092,Communauté de communes des 4 rivières,Intercommunality,Q3153117
Q28809162,Communauté de communes Plateau de Caux,Intercommunality,Q3153117
Q28815617,Communauté de communes Terroir de Caux,Intercommunality,Q3153117
Q28822804,Communauté de communes Bray-Eawy,Intercommunality,Q3153117
Q28840993,Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,Intercommunality,Q3153117
Q28843567,Troyes Champagne Métropole,Intercommunality,Q3153117
Q28969314,Grand Chambéry,Intercommunality,Q3153117
Q29019068,Communauté d'agglomération Tarbes-Lourdes-Pyrénées,Intercommunality,Q3153117
Q22248273,Communauté d'agglomération Communauté Paris-Saclay,Intercommunality,Q3153117
Q22248504,Communauté d'agglomération Grand Paris Sud Seine-Essonne-Sénart,Intercommunality,Q3153117
Q22249036,Communauté d'agglomération Paris - Vallée de la Marne,Intercommunality,Q3153117
Q22249424,Communauté d'agglomération Val d'Yerres Val de Seine,Intercommunality,Q3153117
Q22249041,Communauté d’agglomération Val Parisis,Intercommunality,Q3153117
Q22813635,Communauté d'agglomération de Dembeni-Mamoudzou,Intercommunality,Q3153117
Q22815078,Communauté d'agglomération du Grand Nord de Mayotte,Intercommunality,Q3153117
Q24931599,Communauté d'agglomération Plaine Vallée,Intercommunality,Q3153117
Q27990808,Communauté d'agglomération Terres de Montaigu,Intercommunality,Q3153117
