qid,label,class_label,class_qid
Q2071566,Military Advocate General,Lawyer,Q40348
Q12276986,Attorney General of Brazil,Lawyer,Q40348
Q112684090,Government Legal Profession,Lawyer,Q40348
Q7216254,Chancellor of Justice,Lawyer,Q40348
Q61874943,Grand Mufti of India,Lawyer,Q40348
Q61874943,Grand Mufti of India,Lawyer,Q40348
Q16375406,Public Defender of Georgia,Lawyer,Q40348
Q21016051,Public defender (United States),Lawyer,Q40348
Q17003098,Director of Public Prosecutions,Lawyer,Q40348
Q39056673,United States Attorney for the District of South Dakota,Lawyer,Q40348
Q43080086,Special Narcotics Prosecutor for the City of New York,Lawyer,Q40348
Q7413629,San Diego County District Attorney,Lawyer,Q40348
Q7603178,State Counsel,Lawyer,Q40348
