qid,label,class_label,class_qid
Q355,Facebook,Media,Q340169
Q907311,Netflix,Media,Q340169
Q1049511,Q1049511,Media,Q340169
Q15616276,Q15616276,Media,Q340169
Q40984,Q40984,Media,Q340169
Q41675,Guinness World Records,Media,Q340169
Q25161472,Forbes,Media,Q340169
Q13679,Wikispecies,Media,Q340169
Q689141,Spotify,Media,Q340169
Q43297,Time,Media,Q340169
Q2918660,Duolingo,Media,Q340169
Q80042,cheque,Media,Q340169
Q50008,The Times,Media,Q340169
Q228389,Voice of America,Media,Q340169
Q150820,Playboy,Media,Q340169
Q333618,Q333618,Media,Q340169
Q485240,Billboard,Media,Q340169
Q153770,Deutsche Welle,Media,Q340169
Q180089,The Economist,Media,Q340169
Q20966579,Pokémon Go,Media,Q340169
Q11266,Q11266,Media,Q340169
Q22907849,Discord,Media,Q340169
Q103204,Flickr,Media,Q340169
Q33511,Rolling Stone,Media,Q340169
Q180012,Behistun Inscription,Media,Q340169
Q485500,Radio Free Europe/Radio Liberty,Media,Q340169
Q154008,Vogue,Media,Q340169
Q332707,Viber,Media,Q340169
Q192621,The Daily Telegraph,Media,Q340169
Q131478,Der Spiegel,Media,Q340169
Q283233,WeChat,Media,Q340169
Q192864,Science,Media,Q340169
Q37041,Classical Chinese,Media,Q340169
Q487343,solid-state drive,Media,Q340169
Q368215,Q368215,Media,Q340169
Q116947,Messenger,Media,Q340169
Q171477,Q171477,Media,Q340169
Q210534,Daily Mail,Media,Q340169
Q217305,The New Yorker,Media,Q340169
Q19718090,Signal,Media,Q340169
Q61503,The Hollywood Reporter,Media,Q340169
Q58166,ICQ,Media,Q340169
Q405008,Cyrus cylinder,Media,Q340169
Q71493,Windows Live Messenger,Media,Q340169
Q22906900,Brave,Media,Q340169
Q275033,Entertainment Weekly,Media,Q340169
Q166180,France 24,Media,Q340169
Q28406404,Microsoft Teams,Media,Q340169
Q372989,Fortune,Media,Q340169
Q71380,Pidgin,Media,Q340169
Q1574,Avast Antivirus,Media,Q340169
Q9593,iTunes Store,Media,Q340169
Q333644,Cosmopolitan,Media,Q340169
Q65359104,HBO Max,Media,Q340169
Q308705,France Football,Media,Q340169
Q371820,Reader's Digest,Media,Q340169
Q15078152,Tinder,Media,Q340169
Q864889,Microsoft OneDrive,Media,Q340169
