qid,label,class_label,class_qid
Q382641,phimosis,MedicalSpecialty,Q930752
Q118301,orthodontics,MedicalSpecialty,Q930752
Q907359,dental restoration,MedicalSpecialty,Q930752
Q504033,oral and maxillofacial surgery,MedicalSpecialty,Q930752
Q13445028,oral hygiene,MedicalSpecialty,Q930752
Q852143,endodontics,MedicalSpecialty,Q930752
Q938196,periodontology,MedicalSpecialty,Q930752
Q1407263,forensic psychiatry,MedicalSpecialty,Q930752
Q1349700,prosthodontics,MedicalSpecialty,Q930752
Q2086597,pediatric dentistry,MedicalSpecialty,Q930752
Q1741745,child and adolescent psychiatry,MedicalSpecialty,Q930752
Q4115091,epizootiology,MedicalSpecialty,Q930752
Q1278031,geriatric psychiatry,MedicalSpecialty,Q930752
Q256771,emergency psychiatry,MedicalSpecialty,Q930752
Q158230,pharmacoepidemiology,MedicalSpecialty,Q930752
Q4313186,narcology,MedicalSpecialty,Q930752
Q2976167,cross-cultural psychiatry,MedicalSpecialty,Q930752
Q2706176,biological psychiatry,MedicalSpecialty,Q930752
Q21714486,lithotomy,MedicalSpecialty,Q930752
Q5532897,genetic epidemiology,MedicalSpecialty,Q930752
Q5933911,consultation-liaison psychiatry,MedicalSpecialty,Q930752
Q5834738,clinical epidemiology,MedicalSpecialty,Q930752
Q5382717,cancer epidemiology,MedicalSpecialty,Q930752
Q7099381,Oral and maxillofacial radiology,MedicalSpecialty,Q930752
Q6857804,military psychiatry,MedicalSpecialty,Q930752
Q4118435,molecular epidemiology,MedicalSpecialty,Q930752
Q4117950,dental public health,MedicalSpecialty,Q930752
Q7551096,social epidemiology,MedicalSpecialty,Q930752
Q17069638,molecular pathological epidemiology,MedicalSpecialty,Q930752
Q17056302,infodemiology,MedicalSpecialty,Q930752
Q5381223,environmental epidemiology,MedicalSpecialty,Q930752
Q1380905,social psychiatry,MedicalSpecialty,Q930752
Q16592775,phenomenological psychiatry,MedicalSpecialty,Q930752
Q7923727,veterinary parasitology,MedicalSpecialty,Q930752
Q7070522,nutritional epidemiology,MedicalSpecialty,Q930752
Q5157310,computational epidemiology,MedicalSpecialty,Q930752
Q7923723,veterinary obstetrics,MedicalSpecialty,Q930752
Q5141223,cognitive neuropsychiatry,MedicalSpecialty,Q930752
Q4681117,addiction psychiatry,MedicalSpecialty,Q930752
Q64784845,disaster psychiatry,MedicalSpecialty,Q930752
Q7574064,spatial epidemiology,MedicalSpecialty,Q930752
Q7002187,neuroepidemiology,MedicalSpecialty,Q930752
Q6746728,managerial epidemiology,MedicalSpecialty,Q930752
Q5333462,economic epidemiology,MedicalSpecialty,Q930752
Q5259399,dental anesthesiology,MedicalSpecialty,Q930752
Q28402643,immuno-psychiatry,MedicalSpecialty,Q930752
Q25113111,Combat lifesaver course,MedicalSpecialty,Q930752
Q25110578,veterinary immunology,MedicalSpecialty,Q930752
Q7604393,statistical epidemiology,MedicalSpecialty,Q930752
Q7189739,physiurgy,MedicalSpecialty,Q930752
Q40821,surgery,MedicalSpecialty,Q930752
Q7867,psychiatry,MedicalSpecialty,Q930752
Q12128,dentistry,MedicalSpecialty,Q930752
Q7208,pathology,MedicalSpecialty,Q930752
Q128406,pharmacology,MedicalSpecialty,Q930752
Q10379,cardiology,MedicalSpecialty,Q930752
Q83042,neurology,MedicalSpecialty,Q930752
Q1221899,gynaecology,MedicalSpecialty,Q930752
Q161437,ophthalmology,MedicalSpecialty,Q930752
Q162555,oncology,MedicalSpecialty,Q930752
Q101929,immunology,MedicalSpecialty,Q930752
Q170201,veterinary medicine,MedicalSpecialty,Q930752
Q171171,dermatology,MedicalSpecialty,Q930752
Q123028,pediatrics,MedicalSpecialty,Q930752
Q103824,hematology,MedicalSpecialty,Q930752
Q77604,radiology,MedicalSpecialty,Q930752
Q162606,endocrinology,MedicalSpecialty,Q930752
Q7218,toxicology,MedicalSpecialty,Q930752
Q120569,gastroenterology,MedicalSpecialty,Q930752
Q182442,plastic surgery,MedicalSpecialty,Q930752
Q180507,adaptive radiation therapy,MedicalSpecialty,Q930752
Q177635,nephrology,MedicalSpecialty,Q930752
Q216685,orthopedics,MedicalSpecialty,Q930752
Q203337,pulmonology,MedicalSpecialty,Q930752
Q327657,rheumatology,MedicalSpecialty,Q930752
Q11180,internal medicine,MedicalSpecialty,Q930752
Q189553,otolaryngology,MedicalSpecialty,Q930752
Q188449,neurosurgery,MedicalSpecialty,Q930752
Q10384,geriatrics,MedicalSpecialty,Q930752
Q33226,speech-language pathology,MedicalSpecialty,Q930752
Q615057,anaesthesiology,MedicalSpecialty,Q930752
Q222046,genomics,MedicalSpecialty,Q930752
Q1280670,family planning,MedicalSpecialty,Q930752
Q5284418,obstetrics,MedicalSpecialty,Q930752
Q376680,traumatology,MedicalSpecialty,Q930752
Q214963,nuclear medicine,MedicalSpecialty,Q930752
Q235007,cardiac surgery,MedicalSpecialty,Q930752
Q335057,andrology,MedicalSpecialty,Q930752
Q539690,angiology,MedicalSpecialty,Q930752
Q2861470,emergency medicine,MedicalSpecialty,Q930752
Q454812,medical jurisprudence,MedicalSpecialty,Q930752
Q246128,cytogenetics,MedicalSpecialty,Q930752
Q473867,psychosomatic medicine,MedicalSpecialty,Q930752
Q550675,hysterectomy,MedicalSpecialty,Q930752
Q668064,hepatology,MedicalSpecialty,Q930752
Q840545,sports medicine,MedicalSpecialty,Q930752
Q1773974,preventive medicine,MedicalSpecialty,Q930752
Q898674,neonatology,MedicalSpecialty,Q930752
Q569965,audiology,MedicalSpecialty,Q930752
Q932510,general surgery,MedicalSpecialty,Q930752
Q1071953,medical genetics,MedicalSpecialty,Q930752
Q1120908,medical physics,MedicalSpecialty,Q930752
Q1135939,pathophysiology,MedicalSpecialty,Q930752
Q2964004,thoracic surgery,MedicalSpecialty,Q930752
Q788926,infectious diseases,MedicalSpecialty,Q930752
Q870895,health informatics,MedicalSpecialty,Q930752
Q683455,anatomical pathology,MedicalSpecialty,Q930752
Q1498222,vascular surgery,MedicalSpecialty,Q930752
Q1784782,venereology,MedicalSpecialty,Q930752
Q3505712,family medicine,MedicalSpecialty,Q930752
Q80015,obstetrics and gynaecology,MedicalSpecialty,Q930752
Q3332475,aviation medicine,MedicalSpecialty,Q930752
Q628764,occupational medicine,MedicalSpecialty,Q930752
Q679690,intensive care medicine,MedicalSpecialty,Q930752
Q1046686,allergology,MedicalSpecialty,Q930752
Q1413084,proctology,MedicalSpecialty,Q930752
Q1070952,histopathology,MedicalSpecialty,Q930752
Q1365243,tropical medicine,MedicalSpecialty,Q930752
Q1480945,military medicine,MedicalSpecialty,Q930752
Q845300,nosology,MedicalSpecialty,Q930752
Q2678675,physical medicine and rehabilitation,MedicalSpecialty,Q930752
Q2699874,neuropsychiatry,MedicalSpecialty,Q930752
Q1430622,space medicine,MedicalSpecialty,Q930752
Q598976,medical microbiology,MedicalSpecialty,Q930752
Q621261,pain management,MedicalSpecialty,Q930752
Q1231861,dietetics,MedicalSpecialty,Q930752
Q1430816,pediatric surgery,MedicalSpecialty,Q930752
Q1458711,harm reduction,MedicalSpecialty,Q930752
Q284411,refractive surgery,MedicalSpecialty,Q930752
Q3673891,oral medicine,MedicalSpecialty,Q930752
Q551875,neuroimaging,MedicalSpecialty,Q930752
Q760348,eye surgery,MedicalSpecialty,Q930752
Q1061415,regenerative medicine,MedicalSpecialty,Q930752
