qid,label,class_label,class_qid
Q925936,tumble finishing,Mill,Q44494
Q734863,Great Mill in Gdańsk,Mill,Q44494
Q4289955,Gerhardt Mill,Mill,Q44494
Q2892385,Bazacle,Mill,Q44494
Q17389990,Ensemble consisting of the Roman pavement and bridge and watermill in Catribana,Mill,Q44494
Q880337,International Wind- and Watermill Museum,Mill,Q44494
Q383286,Kolliger Mühle,Mill,Q44494
Q6020968,Santa Olaja tide mill,Mill,Q44494
Q110588079,Imota rice mill,Mill,Q44494
Q5645718,Hammermøllen,Mill,Q44494
Q6721644,Mabry Mill,Mill,Q44494
Q2682764,De Akkermolen,Mill,Q44494
Q1179449,Lindekemale Mill,Mill,Q44494
Q124460185,moulin de Macaire,Mill,Q44494
Q15217175,Faber Mill,Mill,Q44494
Q2452053,Tot Voordeel en Genoegen,Mill,Q44494
Q6894653,Moinho de Corroios,Mill,Q44494
Q5913694,House Mill,Mill,Q44494
Q16325165,Ørholm,Mill,Q44494
Q1958397,Quetivel Mill,Mill,Q44494
Q2249373,Dounby Click Mill,Mill,Q44494
Q4878573,Bechs Mølle,Mill,Q44494
Q7695245,Tejn Mølle,Mill,Q44494
Q7199059,Pitstone Windmill,Mill,Q44494
Q28752752,Moulin d'Olivet,Mill,Q44494
Q2678257,Post mill Rosmalen,Mill,Q44494
Q4025938,Backus Mill Heritage and Conservation Centre,Mill,Q44494
Q3972121,Weltermolen,Mill,Q44494
Q3427177,Kruitmolen,Mill,Q44494
Q28134950,penal treadmill,Mill,Q44494
Q1853569,Luizenmolen,Mill,Q44494
Q82108,Sarehole Mill,Mill,Q44494
Q1528564,Watermill Museum Brüglingen,Mill,Q44494
Q2006050,De Hoed,Mill,Q44494
Q15249467,Marvel's Mill,Mill,Q44494
Q33423996,Karlstrup Windmill,Mill,Q44494
Q2351081,Watermill Sint-Gertrudis-Pede,Mill,Q44494
Q93488808,Moulin de Rouvres,Mill,Q44494
Q5578981,Golda's Mill,Mill,Q44494
Q5521528,Gants Mill,Mill,Q44494
Q5347738,Egeby Mølle,Mill,Q44494
Q5288114,Doesburgermolen,Mill,Q44494
Q12338696,Tadre Watermill,Mill,Q44494
Q12327419,Moesgård Forest Mill,Mill,Q44494
