qid,label,class_label,class_qid
Q131985882,2025 Nobel Peace Prize,Nobel Prize,Q7191
Q3231462,2009 Nobel Peace Prize,Nobel Prize,Q7191
Q105409333,2021 Nobel Peace Prize,Nobel Prize,Q7191
Q4618031,2010 Nobel Peace Prize,Nobel Prize,Q7191
Q21078165,2015 Nobel Peace Prize,Nobel Prize,Q7191
Q96370427,2020 Nobel Peace Prize,Nobel Prize,Q7191
Q4626364,2012 Nobel Peace Prize,Nobel Prize,Q7191
Q70418234,2019 Nobel Peace Prize,Nobel Prize,Q7191
Q59653078,2018 Nobel Peace Prize,Nobel Prize,Q7191
Q4609021,2007 Nobel Peace Prize,Nobel Prize,Q7191
Q116264867,2023 Nobel Peace Prize,Nobel Prize,Q7191
Q27132539,2016 Nobel Peace Prize,Nobel Prize,Q7191
Q18204229,2014 Nobel Peace Prize,Nobel Prize,Q7191
Q18204701,2001 Nobel Peace Prize,Nobel Prize,Q7191
Q123152934,2024 Nobel Peace Prize,Nobel Prize,Q7191
Q111950342,2022 Nobel Peace Prize,Nobel Prize,Q7191
Q7045636,2013 Nobel Peace Prize,Nobel Prize,Q7191
Q5959408,2003 Nobel Peace Prize,Nobel Prize,Q7191
Q4622018,2011 Nobel Peace Prize,Nobel Prize,Q7191
Q4611662,2008 Nobel Peace Prize,Nobel Prize,Q7191
Q4604682,2005 Nobel Peace Prize,Nobel Prize,Q7191
Q10845886,2012 Nobel Prize in Literature,Nobel Prize,Q7191
Q124784012,1973 Nobel Peace Prize,Nobel Prize,Q7191
Q42417649,2017 Nobel Peace Prize,Nobel Prize,Q7191
Q18204717,2006 Nobel Peace Prize,Nobel Prize,Q7191
Q18204705,2002 Nobel Peace Prize,Nobel Prize,Q7191
Q10844314,2000 Nobel Prize in Literature,Nobel Prize,Q7191
Q10844039,1989 Nobel Peace Prize,Nobel Prize,Q7191
Q136468555,2026 Nobel Peace Prize,Nobel Prize,Q7191
Q30324704,2011 Nobel Prize in Physics,Nobel Prize,Q7191
Q21187755,2004 Nobel Peace Prize,Nobel Prize,Q7191
Q116910024,1901 Nobel Peace Prize,Nobel Prize,Q7191
Q116770862,1971 Nobel Peace Prize,Nobel Prize,Q7191
Q116759084,1964 Nobel Peace Prize,Nobel Prize,Q7191
Q38104,Nobel Prize in Physics,Nobel Prize,Q7191
Q44585,Nobel Prize in Chemistry,Nobel Prize,Q7191
Q80061,Nobel Prize in Physiology or Medicine,Nobel Prize,Q7191
