qid,label,class_label,class_qid
Q65968,House of Habsburg,Noble family,Q13417114
Q58389,House of Bourbon,Noble family,Q13417114
Q133602,Carolingian dynasty,Noble family,Q13417114
Q131976,Ptolemaic dynasty,Noble family,Q13417114
Q3708255,Seljuk dynasty,Noble family,Q13417114
Q75613,Almoravid dynasty,Noble family,Q13417114
Q59488,Merovingian dynasty,Noble family,Q13417114
Q112707,House of Romanov,Noble family,Q13417114
Q180114,Ayyubid dynasty,Noble family,Q13417114
Q161205,Safavid dynasty,Noble family,Q13417114
Q101978,House of Tudor,Noble family,Q13417114
Q170022,House of Medici,Noble family,Q13417114
Q81589,House of Windsor,Noble family,Q13417114
Q189326,Qajar dynasty,Noble family,Q13417114
Q179544,Capetian dynasty,Noble family,Q13417114
Q179840,House of Stuart,Noble family,Q13417114
Q83969,House of Hohenzollern,Noble family,Q13417114
Q106151,House of Plantagenet,Noble family,Q13417114
Q207991,Pahlavi dynasty,Noble family,Q13417114
Q182135,House of Valois,Noble family,Q13417114
Q28208,Goryeo,Noble family,Q13417114
Q194355,Jagiellonian dynasty,Noble family,Q13417114
Q193383,Ottoman dynasty,Noble family,Q13417114
Q243312,Kassites,Noble family,Q13417114
Q486181,Samanid dynasty,Noble family,Q13417114
Q31711,House of Saud,Noble family,Q13417114
Q201625,House of Bernadotte,Noble family,Q13417114
Q105278,House of Lancaster,Noble family,Q13417114
Q210398,Rurikids,Noble family,Q13417114
Q207600,Aghlabids,Noble family,Q13417114
Q201615,Piast dynasty,Noble family,Q13417114
Q200565,Flavian dynasty,Noble family,Q13417114
Q192841,Julio-Claudian dynasty,Noble family,Q13417114
Q130875,House of Hohenstaufen,Noble family,Q13417114
Q112581,House of Bonaparte,Noble family,Q13417114
Q155616,House of Glücksburg,Noble family,Q13417114
Q4437641,Abbasids,Noble family,Q13417114
Q582861,Marinid dynasty,Noble family,Q13417114
Q496922,Hasmonean dynasty,Noble family,Q13417114
Q431575,Idrisid dynasty,Noble family,Q13417114
Q273874,Buyid dynasty,Noble family,Q13417114
Q3202662,Nerva–Antonine dynasty,Noble family,Q13417114
Q199443,Ghurid dynasty,Noble family,Q13417114
Q373981,Tahirid dynasty,Noble family,Q13417114
Q1774915,Hashemites,Noble family,Q13417114
Q733668,Ghassanids,Noble family,Q13417114
