qid,label,class_label,class_qid
Q673826,Akademik Lomonosov,Nuclear Power plant,Q134447
Q1739361,Bilibino Nuclear Power Plant,Nuclear Power plant,Q134447
Q4357176,Sturgis,Nuclear Power plant,Q134447
Q114295,Fukushima Daiichi Nuclear Power Plant,Nuclear Power plant,Q134447
Q215419,Chernobyl Nuclear Power Plant,Nuclear Power plant,Q134447
Q909477,Zaporizhzhia Nuclear Power Plant,Nuclear Power plant,Q134447
Q847687,Ignalina Nuclear Power Plant,Nuclear Power plant,Q134447
Q946058,Armenian Nuclear Power Plant,Nuclear Power plant,Q134447
Q204637,Bushehr Nuclear Power Plant,Nuclear Power plant,Q134447
Q1412996,Olkiluoto Nuclear Power Plant,Nuclear Power plant,Q134447
Q862589,Three Mile Island Nuclear Generating Station,Nuclear Power plant,Q134447
Q725100,Kashiwazaki-Kariwa Nuclear Power Plant,Nuclear Power plant,Q134447
Q838816,Fukushima Daini Nuclear Power Plant,Nuclear Power plant,Q134447
Q1061884,Loviisa Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739453,Obninsk Nuclear Power Plant,Nuclear Power plant,Q134447
Q301915,Rivne Nuclear Power Plant,Nuclear Power plant,Q134447
Q1037144,Khmelnytskyi Nuclear Power Plant,Nuclear Power plant,Q134447
Q1630042,Akkuyu Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739436,Kursk Nuclear Power Plant,Nuclear Power plant,Q134447
Q3279825,Leningrad Nuclear Power Plant,Nuclear Power plant,Q134447
Q593463,Zwentendorf Nuclear Power Plant,Nuclear Power plant,Q134447
Q186223,South Ukraine Nuclear Power Plant,Nuclear Power plant,Q134447
Q1085951,Mochovce Nuclear Power Plant,Nuclear Power plant,Q134447
Q687033,Dukovany Nuclear Power Station,Nuclear Power plant,Q134447
Q337376,Kudankulam Nuclear Power Plant,Nuclear Power plant,Q134447
Q474478,Krško Nuclear Power Plant,Nuclear Power plant,Q134447
Q1032792,Kozloduy Nuclear Power Plant,Nuclear Power plant,Q134447
Q1188635,Paks Nuclear Power Plant,Nuclear Power plant,Q134447
Q1201465,Ikata Nuclear Power Plant,Nuclear Power plant,Q134447
Q1502091,Temelín Nuclear Power Station,Nuclear Power plant,Q134447
Q154006,Tricastin nuclear power plant,Nuclear Power plant,Q134447
Q1739463,Rostov Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739474,Smolensk Nuclear Power Plant,Nuclear Power plant,Q134447
Q2639309,Belarusian nuclear power plant,Nuclear Power plant,Q134447
Q1067623,Onagawa Nuclear Power Plant,Nuclear Power plant,Q134447
Q1248956,Cernavodă Nuclear Power Plant,Nuclear Power plant,Q134447
Q795104,Bruce Nuclear Generating Stationc,Nuclear Power plant,Q134447
Q1431041,Almaraz Nuclear Power Plant,Nuclear Power plant,Q134447
Q740586,Angra Nuclear Power Plant,Nuclear Power plant,Q134447
Q833602,Bohunice Nuclear Power Plant,Nuclear Power plant,Q134447
Q1640751,Kola Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739407,Gravelines Nuclear Power Station,Nuclear Power plant,Q134447
Q1739356,Balakovo Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739359,Beloyarsk Nuclear Power Station,Nuclear Power plant,Q134447
Q1739448,Novovoronezh Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739418,Kalinin Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739481,Tihange Nuclear Power Station,Nuclear Power plant,Q134447
Q496260,Hanbit Nuclear Power Plant,Nuclear Power plant,Q134447
Q496248,Hanul Nuclear Power Plant,Nuclear Power plant,Q134447
Q205774,Ringhals Nuclear Power Plant,Nuclear Power plant,Q134447
Q19959586,Barakah nuclear power plant,Nuclear Power plant,Q134447
Q367676,Tomari Nuclear Power Plant,Nuclear Power plant,Q134447
Q390252,Flamanville Nuclear Power Plant,Nuclear Power plant,Q134447
Q486898,Kori Nuclear Power Plant,Nuclear Power plant,Q134447
Q1756456,Atucha Nuclear Power Plant,Nuclear Power plant,Q134447
Q1371612,Cattenom Nuclear Power Plant,Nuclear Power plant,Q134447
Q1519910,Taishan Nuclear Power Plant,Nuclear Power plant,Q134447
Q1539046,Oskarshamn Nuclear Power Plant,Nuclear Power plant,Q134447
Q738945,Tōkai Nuclear Power Plant,Nuclear Power plant,Q134447
Q1575435,Forsmark Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739377,Chooz Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739375,Civaux Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739399,Doel Nuclear Power Station,Nuclear Power plant,Q134447
Q1739363,Blayais Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739422,Kaliningrad Nuclear Power Plant,Nuclear Power plant,Q134447
Q384685,Mihama Nuclear Power Plant,Nuclear Power plant,Q134447
Q941797,Koeberg Nuclear Power Station,Nuclear Power plant,Q134447
Q995979,Hamaoka Nuclear Power Plant,Nuclear Power plant,Q134447
Q1465285,Golfech Nuclear Power Plant,Nuclear Power plant,Q134447
Q676411,Fessenheim Nuclear Power Plant,Nuclear Power plant,Q134447
Q1633906,Ōi Nuclear Power Plant,Nuclear Power plant,Q134447
Q1623116,Tsuruga Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739416,Kaiga Atomic Power Station..,Nuclear Power plant,Q134447
Q1739455,Pickering Nuclear Generating Station,Nuclear Power plant,Q134447
Q1739471,Shimane Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739478,Tianwan Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739484,Trillo Nuclear Power Plant,Nuclear Power plant,Q134447
Q288334,Cruas Nuclear Power Plant,Nuclear Power plant,Q134447
Q2008105,Higashidōri Nuclear Power Plant,Nuclear Power plant,Q134447
Q507704,Vandellòs Nuclear Power Plant,Nuclear Power plant,Q134447
Q1513575,Genkai Nuclear Power Plant,Nuclear Power plant,Q134447
Q1520384,Lemoniz Nuclear Power Plant,Nuclear Power plant,Q134447
Q688190,Emsland Nuclear Power Plant,Nuclear Power plant,Q134447
Q1530519,Paluel Nuclear Power Plant,Nuclear Power plant,Q134447
Q1640098,Ascó Nuclear Power Plant,Nuclear Power plant,Q134447
Q1715858,Cofrentes Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739415,Kakrapar Atomic Power Station,Nuclear Power plant,Q134447
Q94805,Biblis Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739475,Tarapur Atomic Power Station,Nuclear Power plant,Q134447
Q484896,Wolseong Nuclear Power Plant,Nuclear Power plant,Q134447
Q1029375,Yangjiang Nuclear Power Station,Nuclear Power plant,Q134447
Q1312991,Narora Atomic Power Station,Nuclear Power plant,Q134447
Q644493,Saint-Laurent Nuclear Power Plant,Nuclear Power plant,Q134447
Q656534,Barsebäck Nuclear Power Plant,Nuclear Power plant,Q134447
Q687422,Gösgen Nuclear Power Plant,Nuclear Power plant,Q134447
Q1645882,Belleville Nuclear Power Plant,Nuclear Power plant,Q134447
Q918661,Dampierre Nuclear Power Plant,Nuclear Power plant,Q134447
Q964007,Daya Bay Nuclear Power Plant,Nuclear Power plant,Q134447
Q1318977,Penly Nuclear Power Plant,Nuclear Power plant,Q134447
Q1331046,Monju Nuclear Power Plant,Nuclear Power plant,Q134447
Q656869,Grafenrheinfeld Nuclear Power Plant,Nuclear Power plant,Q134447
Q657029,Gundremmingen Nuclear Power Plant,Nuclear Power plant,Q134447
Q686800,Beznau Nuclear Power Plant,Nuclear Power plant,Q134447
Q712574,Jinshan Nuclear Power Plant,Nuclear Power plant,Q134447
Q1695264,Santa María de Garoña Nuclear Power Plant,Nuclear Power plant,Q134447
Q1735581,Chinon Nuclear Power Plant,Nuclear Power plant,Q134447
Q1735730,Sendai Nuclear Power Plant,Nuclear Power plant,Q134447
Q1739391,Darlington Nuclear Generating Station,Nuclear Power plant,Q134447
