qid,label,class_label,class_qid
Q208136,Tethys Ocean,Ocean,Q9430
Q288291,Paratethys,Ocean,Q9430
Q581244,Iapetus Ocean,Ocean,Q9430
Q3705990,Pannonian Sea,Ocean,Q9430
Q1083697,Western Interior Seaway,Ocean,Q9430
Q1432114,Paleo-Tethys Ocean,Ocean,Q9430
Q1891116,Rheic Ocean,Ocean,Q9430
Q2274793,Turgai Sea,Ocean,Q9430
Q2113702,Proto-Tethys Ocean,Ocean,Q9430
Q3039909,Lunar magma ocean,Ocean,Q9430
Q1740563,Khanty Ocean,Ocean,Q9430
Q2233441,Ural Ocean,Ocean,Q9430
Q1026852,Pan-African Ocean,Ocean,Q9430
Q3310378,Sundance Sea,Ocean,Q9430
Q921481,Piemont-Liguria Ocean,Ocean,Q9430
Q7826151,Tornquist Sea,Ocean,Q9430
Q763928,Valais Ocean,Ocean,Q9430
Q4944777,Boreal Sea,Ocean,Q9430
Q3202980,Central American Seaway,Ocean,Q9430
Q7540325,Slide Mountain Ocean,Ocean,Q9430
Q7180872,Pharusian Ocean,Ocean,Q9430
Q4966279,Bridge River Ocean,Ocean,Q9430
Q7233001,Poseidon Ocean,Ocean,Q9430
Q55603186,Adamastor Ocean,Ocean,Q9430
Q136093216,Meliata Ocean,Ocean,Q9430
Q85750029,Cache Creek Ocean,Ocean,Q9430
Q97,Atlantic Ocean,Ocean,Q9430
Q98,Pacific Ocean,Ocean,Q9430
Q1239,Indian Ocean,Ocean,Q9430
Q788,Arctic Ocean,Ocean,Q9430
Q7354,Southern Ocean,Ocean,Q9430
Q715269,World Ocean,Ocean,Q9430
Q208378,Panthalassa,Ocean,Q9430
Q1938548,Mirovia,Ocean,Q9430
Q12355425,South Pacific Ocean,Ocean,Q9430
