qid,label,class_label,class_qid
Q111786554,Madonna of Kyiv,Painting,Q3305213
Q573619,Black Madonna of Częstochowa,Painting,Q3305213
Q2246489,The Storm on the Sea of Galilee,Painting,Q3305213
Q546241,Theotokos of Vladimir,Painting,Q3305213
Q2410932,"My God, Help Me to Survive This Deadly Love",Painting,Q3305213
Q1632877,Rock Paintings of Hua Mountain,Painting,Q3305213
Q714802,Along the River During the Qingming Festival,Painting,Q3305213
Q540173,Our Lady of Kazan,Painting,Q3305213
Q2045726,The Battle of Anghiari,Painting,Q3305213
Q178754,Our Lady of Perpetual Help,Painting,Q3305213
Q570188,Trinity icon,Painting,Q3305213
Q1539066,Trojeručica,Painting,Q3305213
Q22000063,Balloon Girl,Painting,Q3305213
Q4501499,Christ Pantocrator (Sinai),Painting,Q3305213
Q2308934,Leda and the Swan,Painting,Q3305213
Q1539056,Panagia Portaitissa,Painting,Q3305213
Q1477693,Madonna of the Yarnwinder,Painting,Q3305213
Q10860702,Wall of Love,Painting,Q3305213
Q3633419,Blue Dancers,Painting,Q3305213
Q699388,Young Hare,Painting,Q3305213
Q716162,Arrival of the Hungarians,Painting,Q3305213
Q19697889,Pornocrates,Painting,Q3305213
Q2422889,Portrait of a Young Man,Painting,Q3305213
Q2348017,San Damiano cross,Painting,Q3305213
Q2714237,Cestello Annunciation,Painting,Q3305213
Q445627,The Chocolate Girl,Painting,Q3305213
Q1998132,Our Lady of Smolensk,Painting,Q3305213
Q1569622,Madonna and Child Enthroned with Angels and Prophets. ˋSanta Trinità Maestà´,Painting,Q3305213
Q21257918,Death playing chess,Painting,Q3305213
Q684689,Beethoven Frieze,Painting,Q3305213
Q254794,Great Piece of Turf,Painting,Q3305213
Q4056937,Agiosoritissa,Painting,Q3305213
Q1136827,Virgin of Almudena,Painting,Q3305213
Q3210257,Madonna Bardi,Painting,Q3305213
Q649059,Theotokos of Tikhvin,Painting,Q3305213
Q5316622,Duria Antiquior,Painting,Q3305213
Q2303840,Saint Sebastian,Painting,Q3305213
Q2029588,Theotokos of Pochayiv,Painting,Q3305213
Q1760226,Manoppello Image,Painting,Q3305213
Q1114806,The Annunciation,Painting,Q3305213
Q21151884,Wing of a European Roller,Painting,Q3305213
Q3649209,Our Lady of the Don,Painting,Q3305213
Q735326,Lamentation over the Dead Christ,Painting,Q3305213
Q1089704,Blachernitissa,Painting,Q3305213
Q23343,Investiture of Zimrilim,Painting,Q3305213
Q2002404,Cambrai Madonna,Painting,Q3305213
Q3918454,Our Lady of Budslau,Painting,Q3305213
Q4478714,Ustyug Annunciation,Painting,Q3305213
Q1115423,Lamentation over the Dead Christ with Saints,Painting,Q3305213
Q1114329,Saint Augustine,Painting,Q3305213
Q16685337,The History of Mexico,Painting,Q3305213
Q9191525,Christ and Abbot Mena,Painting,Q3305213
Q2661742,Theotokos Fyodorovskaya,Painting,Q3305213
Q196181,Kursk Root Icon of the Sign,Painting,Q3305213
