qid,label,class_label,class_qid
Q79797,Armenians,Population,Q33829
Q42884,Germans,Population,Q33829
Q84072,Turks,Population,Q33829
Q121842,French,Population,Q33829
Q44806,Ukrainians,Population,Q33829
Q50001,Italians,Population,Q33829
Q126756,Basque people,Population,Q33829
Q133032,Hungarians,Population,Q33829
Q201190,Palestinians,Population,Q33829
Q160894,Spaniards,Population,Q33829
Q170217,Czechs,Population,Q33829
Q846570,Americans,Population,Q33829
Q188779,Norwegians,Population,Q33829
Q200569,Dutch,Population,Q33829
Q164714,Danes,Population,Q33829
Q179248,Albanians,Population,Q33829
Q11188,world population,Population,Q33829
Q178630,Portuguese,Population,Q33829
Q191356,Icelanders,Population,Q33829
Q186192,Lithuanians,Population,Q33829
Q49540,Latvians,Population,Q33829
Q237534,Austrians,Population,Q33829
Q6501380,Chinese people,Population,Q33829
Q842438,British,Population,Q33829
Q1276073,Chileans,Population,Q33829
Q862086,Indians,Population,Q33829
Q244504,Catalans,Population,Q33829
Q873625,Brazilians,Population,Q33829
Q1061510,Egyptians,Population,Q33829
Q170355,Indigenous Australians,Population,Q33829
Q223179,Faroese,Population,Q33829
Q1209676,Mexicans,Population,Q33829
Q124216,Swiss,Population,Q33829
Q1318423,Australians,Population,Q33829
Q310983,Malagasy people,Population,Q33829
Q1196645,Canadians,Population,Q33829
Q875556,Israelis,Population,Q33829
Q878607,Syrians,Population,Q33829
Q1286876,Maltese people,Population,Q33829
Q4224,demographics of Russia,Population,Q33829
Q939691,Swazi people,Population,Q33829
Q1377716,Belgians,Population,Q33829
Q2365041,Argentines,Population,Q33829
Q165235,Bosnians,Population,Q33829
Q1092641,Luxembourgers,Population,Q33829
Q1195125,Cubans,Population,Q33829
Q220379,Adriatic Veneti,Population,Q33829
Q844570,Pomors,Population,Q33829
Q752526,Galicians,Population,Q33829
Q2140968,Sardinians,Population,Q33829
Q1651392,Romans,Population,Q33829
Q2997267,Colombians,Population,Q33829
Q3310017,Pakistanis,Population,Q33829
Q1762752,Melanesians,Population,Q33829
Q509590,Corsicans,Population,Q33829
Q2606511,Lebanese people,Population,Q33829
Q379636,Torres Strait Islanders,Population,Q33829
Q2996826,Venezuelans,Population,Q33829
Q16007968,Afghans,Population,Q33829
Q1567862,Iraqis,Population,Q33829
Q1891793,Moroccans,Population,Q33829
Q4317274,Nepalis,Population,Q33829
Q1135531,Samoans,Population,Q33829
Q394067,European people,Population,Q33829
Q4200853,Indonesians,Population,Q33829
Q794439,Fijians,Population,Q33829
Q1266280,Nauruans,Population,Q33829
Q893594,Puerto Ricans,Population,Q33829
Q4131845,Católica,Population,Q33829
Q4359289,Peruvians,Population,Q33829
Q871904,New Zealanders,Population,Q33829
Q2459831,Tunisians,Population,Q33829
Q7901501,Uruguayans,Population,Q33829
Q13048507,Bavarians,Population,Q33829
Q16799549,Latin Americans,Population,Q33829
Q1562783,Maldivians,Population,Q33829
Q40554819,Sicilians,Population,Q33829
Q6127469,Jamaicans,Population,Q33829
Q397297,Iranians,Population,Q33829
Q1075929,African people,Population,Q33829
Q2624833,Sart,Population,Q33829
Q4855428,Bangladeshis,Population,Q33829
Q12480578,Algerians,Population,Q33829
Q18600381,Saudis,Population,Q33829
Q1290668,ni-Vanuatu,Population,Q33829
Q2035264,Hondurans,Population,Q33829
Q3247924,Dominicans,Population,Q33829
