qid,label,class_label,class_qid
Q2211,Malmö,Port,Q44782
Q105037,Callao,Port,Q44782
Q5660,Baltiysk,Port,Q44782
Q185672,Grytviken,Port,Q44782
Q157341,King's Lynn,Port,Q44782
Q762570,Guantanamo Bay Naval Base,Port,Q44782
Q1027807,Port of Rotterdam,Port,Q44782
Q943517,Newquay,Port,Q44782
Q3964,Port of Hamburg,Port,Q44782
Q1349796,Port of Barcelona,Port,Q44782
Q1854554,Southwold,Port,Q44782
Q848212,Boscastle,Port,Q44782
Q2930793,Porthleven,Port,Q44782
Q1435206,Nelson's Dockyard,Port,Q44782
Q82310,Port of Piraeus,Port,Q44782
Q1627684,Naval Station Norfolk,Port,Q44782
Q662529,Port of Antwerp,Port,Q44782
Q1545354,Port of London,Port,Q44782
Q628776,HMNB Clyde,Port,Q44782
Q7231147,Port of Giurgiulești,Port,Q44782
Q12438381,Port of Busan,Port,Q44782
Q1515803,Port of Genoa,Port,Q44782
Q6763959,Marina da Glória,Port,Q44782
Q574818,Tartus naval base,Port,Q44782
Q1458032,Viking Ship Museum,Port,Q44782
Q1308991,Port of Los Angeles,Port,Q44782
Q1984452,Nhava Sheva,Port,Q44782
Q2182478,Dublin Port,Port,Q44782
Q1509410,Naval Base Kitsap,Port,Q44782
Q729530,Naval Station Rota,Port,Q44782
Q2069059,Port of Valencia,Port,Q44782
Q2037271,Portus,Port,Q44782
Q5669602,Joint Base Pearl Harbor-Hickam,Port,Q44782
Q4411903,Sevastopol Naval Base,Port,Q44782
Q7231282,Port of Thessaloniki,Port,Q44782
Q1995529,Port of New York and New Jersey,Port,Q44782
Q3348944,Port of Chittagong,Port,Q44782
Q2290818,Port of Belgrade,Port,Q44782
Q437959,Old Port of Marseille,Port,Q44782
Q1063054,Charax Spasinu,Port,Q44782
Q3303198,Port of Durrës,Port,Q44782
Q6820607,Port of Mersin,Port,Q44782
Q2117451,Puerto Banús,Port,Q44782
Q139413,Port of Bratislava,Port,Q44782
Q1567868,Port of Gdańsk,Port,Q44782
Q972156,Karlskrona naval base,Port,Q44782
Q2516978,Port of Algeciras,Port,Q44782
Q621760,Apra Harbor,Port,Q44782
Q75646,PortMiami,Port,Q44782
Q1129891,Port of Le Havre,Port,Q44782
Q7231152,Port of Haydarpaşa,Port,Q44782
Q16460,Port of Santos,Port,Q44782
Q2073103,Port of Turku,Port,Q44782
Q5998368,Port of İzmir,Port,Q44782
Q1191845,Huis Ten Bosch,Port,Q44782
Q171204,Port Olímpic,Port,Q44782
Q1566397,Haakonsvern Naval Station,Port,Q44782
Q17064236,Ream Naval Base,Port,Q44782
Q1902682,Port of Marseille-Fos,Port,Q44782
Q1885884,Porto Carras,Port,Q44782
Q839214,Naval Station Everett,Port,Q44782
Q4412417,North River Terminal,Port,Q44782
Q739207,Port of Dover,Port,Q44782
Q2911475,Jaffa Port,Port,Q44782
Q2886663,United States Fleet Activities Yokosuka,Port,Q44782
Q30693574,Chinese naval base in Djibouti,Port,Q44782
Q3593112,Kekerten Island,Port,Q44782
Q1477819,Port of Zeebrugge,Port,Q44782
Q1450747,Oakland Seaport,Port,Q44782
Q2104689,Port Everglades,Port,Q44782
Q5354480,Port of Osaka,Port,Q44782
Q3398484,Port of Felixstowe,Port,Q44782
Q2618206,Porkkala Naval Base,Port,Q44782
Q7232177,Porto di Ripetta,Port,Q44782
Q3398577,Port of Seville,Port,Q44782
Q1796227,Port of Gothenburg,Port,Q44782
Q1567864,Port of Brussels,Port,Q44782
Q3324718,Port of Tarragona,Port,Q44782
Q2988385,Zapadnaya Litsa,Port,Q44782
Q990472,Pisagua,Port,Q44782
Q858692,Big Creek,Port,Q44782
Q30968284,Batumi seaport,Port,Q44782
Q3561270,Siphae,Port,Q44782
Q1474709,Puerto Belgrano Naval Base,Port,Q44782
Q3398522,Port of Manila,Port,Q44782
Q3393980,Pontevedra Marina,Port,Q44782
Q1733873,Karljohansvern,Port,Q44782
Q657718,Port of Ghent,Port,Q44782
Q645657,Pasha Liman Base,Port,Q44782
Q4353067,Olavsvern,Port,Q44782
Q121964,Husvik,Port,Q44782
Q1567857,Port of Varna,Port,Q44782
Q113571957,Port of Halmstad,Port,Q44782
Q7231231,Port of Pori,Port,Q44782
Q7231072,Port international de Port-au-Prince,Port,Q44782
Q2985605,Acre Port,Port,Q44782
Q3101088,Les Issambres,Port,Q44782
Q3053354,Emporium,Port,Q44782
Q6092240,Port of Cartagena,Port,Q44782
Q9650528,Ushuaia Naval Base,Port,Q44782
Q1458014,Naval Base Subic Bay,Port,Q44782
Q1228828,Port of Liège,Port,Q44782
Q3909236,Port of Gioia Tauro,Port,Q44782
Q1525783,Westhafen,Port,Q44782
Q7943692,Vuosaari Harbour,Port,Q44782
Q96484531,Port of Marín,Port,Q44782
