qid,label,class_label,class_qid
Q228389,Voice of America,PublicService,Q161837
Q48989,ZDF,PublicService,Q161837
Q262386,Österreichischer Rundfunk,PublicService,Q161837
Q55442335,European Travel Information and Authorisation System,PublicService,Q161837
Q860935,Japan Meteorological Agency,PublicService,Q161837
Q722715,RTCG,PublicService,Q161837
Q960061,Radiotelevizija Slovenija,PublicService,Q161837
Q12052688,Aadhaar,PublicService,Q161837
Q612637,TeleRadio-Moldova,PublicService,Q161837
Q366567,Radio Television of Kosovo,PublicService,Q161837
Q1851405,Met Office,PublicService,Q161837
Q697698,Technisches Hilfswerk,PublicService,Q161837
Q31837832,Entry/Exit System,PublicService,Q161837
Q2166873,Royal National Lifeboat Institution,PublicService,Q161837
Q1285463,prefect,PublicService,Q161837
Q1514290,Kosovo Protection Corps,PublicService,Q161837
Q1513499,Outre-Mer 1ère,PublicService,Q161837
Q325859,Deutscher Wetterdienst,PublicService,Q161837
Q4098033,Budjak Horde,PublicService,Q161837
Q115152481,TVMONACO,PublicService,Q161837
Q3323383,Corporació Catalana de Mitjans Audiovisuals,PublicService,Q161837
Q1063933,China Meteorological Administration,PublicService,Q161837
Q97379831,Diia,PublicService,Q161837
Q3382119,sub-prefect,PublicService,Q161837
Q2029948,Federal Service for Hydrometeorology and Environmental Monitoring of Russia,PublicService,Q161837
Q1794466,London Ambulance Service,PublicService,Q161837
Q482712,Korea Meteorological Administration,PublicService,Q161837
Q119858784,028,PublicService,Q161837
Q3597258,Civil Aid Service,PublicService,Q161837
Q107707870,Gobierno Civil de Pontevedra,PublicService,Q161837
Q4043199,Lotnicze Pogotowie Ratunkowe,PublicService,Q161837
Q3152508,Royal Meteorological Institute,PublicService,Q161837
Q3121214,National Office of Emergency of the Interior Ministry,PublicService,Q161837
Q2640743,Górskie Ochotnicze Pogotowie Ratunkowe,PublicService,Q161837
Q6319135,juxtaposed controls,PublicService,Q161837
Q4892669,Bermuda Weather Service,PublicService,Q161837
Q2890179,"Institute of Hydrology, Meteorology and Environmental Studies",PublicService,Q161837
Q2828743,Airport Core Programme,PublicService,Q161837
Q190033,Central Institute for Meteorology and Geodynamics / GeoSphere Austria,PublicService,Q161837
Q87766926,Palestinian Meteorological Department,PublicService,Q161837
Q65600580,First Responder Network Authority,PublicService,Q161837
Q59771383,Udyog Aadhar,PublicService,Q161837
Q18418523,Uruguayan Institute of Meteorology,PublicService,Q161837
Q4689151,Afghanistan Meteorological Authority,PublicService,Q161837
Q3408858,United States border preclearance,PublicService,Q161837
Q1561180,Croatian Mountain Rescue Service,PublicService,Q161837
Q779429,library circulation,PublicService,Q161837
Q64869394,Radiodifusión Nacional del Uruguay,PublicService,Q161837
Q28180518,Fire and Emergency New Zealand,PublicService,Q161837
Q18395870,WGBH Educational Foundation,PublicService,Q161837
Q5602459,Green Cross Code,PublicService,Q161837
Q7413070,Samur,PublicService,Q161837
Q7281083,National Radio Television of Colombia,PublicService,Q161837
Q2538208,DigiD,PublicService,Q161837
Q61928531,Fremantle Volunteer Sea Rescue Group Inc,PublicService,Q161837
Q25241012,Life Flight,PublicService,Q161837
Q25001404,Portland Fire & Rescue,PublicService,Q161837
Q123588485,Nafath,PublicService,Q161837
Q5370711,Emergency medical services in Poland,PublicService,Q161837
Q5030518,Canadian Radio Broadcasting Commission,PublicService,Q161837
Q4819552,Auckland Rescue Helicopter Trust,PublicService,Q161837
Q15807170,EasyPASS,PublicService,Q161837
Q7108353,Otago Rescue Helicopter Trust,PublicService,Q161837
Q7059516,Northland Emergency Services Trust,PublicService,Q161837
Q1335457,emergency service unit,PublicService,Q161837
Q96419023,MyGovID,PublicService,Q161837
Q85846754,National Sewerage Program,PublicService,Q161837
Q111169476,Fleet Weather Center San Diego,PublicService,Q161837
Q30687098,GOV.UK Verify,PublicService,Q161837
Q24887034,Bay Area Reference Center,PublicService,Q161837
Q5921527,Howe Bridge Mines Rescue Station,PublicService,Q161837
Q5157248,Compulsory public education in the United States,PublicService,Q161837
Q7257362,Public Education in Mississippi,PublicService,Q161837
Q6911361,Moremi High School,PublicService,Q161837
Q7813,Universal Declaration of Human Rights,PublicService,Q161837
Q40591,The Communist Manifesto,PublicService,Q161837
Q127912,United States Declaration of Independence,PublicService,Q161837
Q80355,First Epistle to the Corinthians,PublicService,Q161837
Q48203,Epistle to the Romans,PublicService,Q161837
Q128620,Epistle to the Galatians,PublicService,Q161837
Q128608,Epistle to the Hebrews,PublicService,Q161837
Q408673,Epistle to the Ephesians,PublicService,Q161837
Q123808,Second Epistle to the Corinthians,PublicService,Q161837
Q51613,Epistle to the Philippians,PublicService,Q161837
Q131097,Epistle of James,PublicService,Q161837
Q131104,Epistle to Philemon,PublicService,Q161837
Q131180,First Epistle to Timothy,PublicService,Q161837
Q131095,Epistle to the Colossians,PublicService,Q161837
Q131101,First Epistle of John,PublicService,Q161837
Q131466,Epistle of Jude,PublicService,Q161837
Q131119,First Epistle of Peter,PublicService,Q161837
Q131178,Second Epistle of Peter,PublicService,Q161837
Q131453,Second Epistle of John,PublicService,Q161837
Q131489,Second Epistle to Timothy,PublicService,Q161837
Q131493,Epistle to Titus,PublicService,Q161837
Q131462,Third Epistle of John,PublicService,Q161837
Q131107,Second Epistle to the Thessalonians,PublicService,Q161837
Q131115,First Epistle to the Thessalonians,PublicService,Q161837
Q165783,British Antarctic Territory,PublicService,Q161837
Q178994,Australian Antarctic Territory,PublicService,Q161837
Q189999,Queen Maud Land,PublicService,Q161837
Q223732,Declaration of the Establishment of the State of Israel,PublicService,Q161837
Q203073,Ross Dependency,PublicService,Q161837
Q646243,Argentine Antarctica (Ignálea),PublicService,Q161837
Q741304,J’accuse…!,PublicService,Q161837
Q11224,United States Coast Guard,PublicService,Q161837
Q11224,United States Coast Guard,PublicService,Q161837
Q3626,Chilean Antarctic Territory,PublicService,Q161837
Q328473,New York City Police Department,PublicService,Q161837
Q335987,Rerum Novarum,PublicService,Q161837
Q861510,2008 Kosovo declaration of independence,PublicService,Q161837
Q252609,New Swabia,PublicService,Q161837
Q2412892,Estonian Declaration of Independence,PublicService,Q161837
Q214126,Los Angeles Police Department,PublicService,Q161837
Q211481,Dogme 95,PublicService,Q161837
Q109878,October Manifesto,PublicService,Q161837
Q277182,Declaration of Independence of Ukraine,PublicService,Q161837
Q122382481,Project 2025,PublicService,Q161837
Q545991,artificial respiration,PublicService,Q161837
Q709465,Hirohito surrender broadcast,PublicService,Q161837
Q1139213,Metropolitan Police,PublicService,Q161837
Q166981,Act of Independence of Lithuania,PublicService,Q161837
Q331878,Russell–Einstein Manifesto,PublicService,Q161837
Q1321122,All India Radio,PublicService,Q161837
Q646350,Four Freedoms,PublicService,Q161837
Q162663,Mit brennender Sorge,PublicService,Q161837
Q20064904,Laudato si',PublicService,Q161837
Q1004065,Greater Bulgaria,PublicService,Q161837
Q581695,Declaration of Boulogne,PublicService,Q161837
Q598496,Declaration of Arbroath,PublicService,Q161837
Q367300,Magyar Televízió,PublicService,Q161837
Q41796018,Catalan declaration of independence,PublicService,Q161837
Q1816561,Palestinian Declaration of Independence,PublicService,Q161837
Q1983009,Futurist Manifesto,PublicService,Q161837
Q1994771,Finnish Declaration of Independence,PublicService,Q161837
Q683261,Humanae Vitae,PublicService,Q161837
Q1048671,Prague Manifesto,PublicService,Q161837
Q596381,Quadragesimo Anno,PublicService,Q161837
Q1661772,Proclamation of Indonesian Independence,PublicService,Q161837
Q871256,Earth Charter,PublicService,Q161837
Q2375101,Lenin's Testament,PublicService,Q161837
Q605550,Deus Caritas Est,PublicService,Q161837
Q152481,WTFPL,PublicService,Q161837
Q111010500,Putin's invasion of Ukraine speech,PublicService,Q161837
Q13582394,Lumen fidei,PublicService,Q161837
Q968895,Pacem in Terris,PublicService,Q161837
Q1094151,City of London Police,PublicService,Q161837
Q1235047,Pascendi Dominici gregis,PublicService,Q161837
Q189304,Hacker Manifesto,PublicService,Q161837
Q634839,Act of Abjuration,PublicService,Q161837
Q11275,GNU Manifesto,PublicService,Q161837
Q1053644,Centesimus Annus,PublicService,Q161837
Q1310621,Erik the Red's Land,PublicService,Q161837
Q281097,Albanian Declaration of Independence,PublicService,Q161837
Q1890411,Ventotene Manifesto,PublicService,Q161837
Q100152858,Great Barrington Declaration,PublicService,Q161837
Q2291024,Surrealist Manifesto,PublicService,Q161837
Q6895819,Moldovan Declaration of Independence,PublicService,Q161837
Q2364255,SCUM Manifesto,PublicService,Q161837
Q16414371,Declaration of Independence of Azerbaijan,PublicService,Q161837
Q69772,Philippine Declaration of Independence,PublicService,Q161837
Q686828,Vienna Declaration and Programme of Action,PublicService,Q161837
Q3042763,Universal Declaration of Linguistic Rights,PublicService,Q161837
Q356379,Indian Coast Guard,PublicService,Q161837
Q127066,Laborem Exercens,PublicService,Q161837
Q524753,Divini Redemptoris,PublicService,Q161837
Q565418,Japan Coast Guard,PublicService,Q161837
Q606264,Quanta cura,PublicService,Q161837
Q845571,Casti connubii,PublicService,Q161837
Q174548,Mater et Magistra,PublicService,Q161837
Q3111341,The Quadrature of the Parabola,PublicService,Q161837
Q98918602,Fratelli tutti,PublicService,Q161837
Q685432,Prague Declaration on European Conscience and Communism,PublicService,Q161837
Q1266145,sexual orientation and gender identity at the United Nations,PublicService,Q161837
Q708407,Brunswick Manifesto,PublicService,Q161837
Q708407,Brunswick Manifesto,PublicService,Q161837
Q549993,Berlin Declaration,PublicService,Q161837
Q677816,Caritas in Veritate,PublicService,Q161837
Q5401642,Estonian Sovereignty Declaration,PublicService,Q161837
Q381906,Aeterni Patris,PublicService,Q161837
Q2708575,Manifesto of the 343,PublicService,Q161837
Q741318,Spe Salvi,PublicService,Q161837
Q1144977,cursus publicus,PublicService,Q161837
Q1846303,The Two Thousand Words,PublicService,Q161837
Q1238432,Dominus Iesus,PublicService,Q161837
Q669096,Declaration of Geneva,PublicService,Q161837
Q2916197,1988 Hamas charter,PublicService,Q161837
Q369960,Evangelium Vitae,PublicService,Q161837
Q2000320,Open Letter to Hobbyists,PublicService,Q161837
Q105974394,Malé Declaration on the Human Dimension of Global Climate Change,PublicService,Q161837
Q58120,Dumb Ways to Die,PublicService,Q161837
Q2823577,Act of the Re-Establishment of the State of Lithuania,PublicService,Q161837
Q15925292,declaration of Independence of the Republic of Crimea,PublicService,Q161837
Q1247063,Redemptor Hominis,PublicService,Q161837
Q1312559,Tokyo Metropolitan Police Department,PublicService,Q161837
Q729646,Sollicitudo Rei Socialis,PublicService,Q161837
Q1340186,Chicago Police Department,PublicService,Q161837
Q1232732,Veritatis Splendor,PublicService,Q161837
Q1232827,Fides et Ratio,PublicService,Q161837
Q1235290,Humanum Genus,PublicService,Q161837
Q246741,Manifesto of the Ninety-Three,PublicService,Q161837
Q3491175,Martin Declaration,PublicService,Q161837
Q1925172,Declaration of Independence of the Democratic Republic of Vietnam,PublicService,Q161837
Q11896903,Industrial Society and Its Future,PublicService,Q161837
Q1196069,Declaration of Breda,PublicService,Q161837
Q781802,Dives in Misericordia,PublicService,Q161837
Q1628090,Bulgarian Declaration of Independence,PublicService,Q161837
Q1636606,Mirari Vos,PublicService,Q161837
Q1235053,Providentissimus Deus,PublicService,Q161837
Q1235060,Ut Unum Sint,PublicService,Q161837
Q643030,National Pact,PublicService,Q161837
Q1244321,Mortalium Animos,PublicService,Q161837
Q673793,Populorum progressio,PublicService,Q161837
Q8036137,World Scientists' Warning to Humanity,PublicService,Q161837
Q12593144,Proclamation of Korean Independence,PublicService,Q161837
Q2835799,Grau Sea,PublicService,Q161837
Q1320247,San Francisco Police Department,PublicService,Q161837
Q729202,Ecclesia de Eucharistia,PublicService,Q161837
Q129631,Athens Charter,PublicService,Q161837
Q1172005,China Coast Guard,PublicService,Q161837
Q743862,Redemptoris Mater,PublicService,Q161837
Q1552839,Corps of the Port Captaincies – Coast Guard,PublicService,Q161837
Q1235078,Redemptoris Missio,PublicService,Q161837
Q206683,Slavorum Apostoli,PublicService,Q161837
Q3063789,Colombian War of Independence,PublicService,Q161837
Q3508048,Czechoslovak declaration of independence,PublicService,Q161837
Q3089201,separation of Panama from Colombia,PublicService,Q161837
Q7321053,Rhodesia's Unilateral Declaration of Independence,PublicService,Q161837
Q2429474,Leuenberg Agreement,PublicService,Q161837
Q2735500,Hellenic Coast Guard,PublicService,Q161837
Q2735500,Hellenic Coast Guard,PublicService,Q161837
Q1246905,Humani generis,PublicService,Q161837
Q1246909,Vehementer Nos,PublicService,Q161837
Q1067752,Charter 97,PublicService,Q161837
Q1474813,Icelandic Coast Guard,PublicService,Q161837
Q1474813,Icelandic Coast Guard,PublicService,Q161837
Q773838,Non Abbiamo Bisogno,PublicService,Q161837
Q2920882,United Hatzalah,PublicService,Q161837
Q345606,Ad Beatissimi Apostolorum,PublicService,Q161837
Q381901,Aeterna Dei Sapientia,PublicService,Q161837
Q3382350,Venezuela Declaration of Independence,PublicService,Q161837
Q2025348,Sicut dudum,PublicService,Q161837
Q29018604,Declaration on the Common Language,PublicService,Q161837
Q38558,Declaration of Montreal,PublicService,Q161837
Q1246942,Summi Pontificatus,PublicService,Q161837
Q1121008,Quas primas,PublicService,Q161837
Q764823,Dominum et Vivificantem,PublicService,Q161837
Q1226888,E Supremi,PublicService,Q161837
Q1227289,Graves de Communi Re,PublicService,Q161837
Q245173,Twelve Articles,PublicService,Q161837
Q345552,Ad Petri Cathedram,PublicService,Q161837
Q3266836,Swedish Coast Guard,PublicService,Q161837
Q3266836,Swedish Coast Guard,PublicService,Q161837
Q3735409,Welles Declaration,PublicService,Q161837
Q383520,Canadian Coast Guard,PublicService,Q161837
Q2088649,Fascist Manifesto,PublicService,Q161837
Q110993803,Address concerning the events in Ukraine,PublicService,Q161837
Q2094672,Qui Pluribus,PublicService,Q161837
Q22948697,Oran fatwa,PublicService,Q161837
Q59915946,Declaration on the Rights of Peasants,PublicService,Q161837
Q15651025,Guerilla Open Access Manifesto,PublicService,Q161837
Q488480,Korea Coast Guard,PublicService,Q161837
Q684841,Quod Iam Diu,PublicService,Q161837
Q1055742,Azawadi declaration of independence,PublicService,Q161837
Q729168,Etsi Nos,PublicService,Q161837
Q550587,Sacerdotalis Caelibatus,PublicService,Q161837
Q582322,Humani generis redemptionem,PublicService,Q161837
Q1475298,Malayan Declaration of Independence,PublicService,Q161837
Q1186774,Texas Declaration of Independence,PublicService,Q161837
Q768514,Načertanije,PublicService,Q161837
Q1225465,Dilectissima Nobis,PublicService,Q161837
Q1231426,Inimica vis,PublicService,Q161837
Q1244349,Mystici Corporis Christi,PublicService,Q161837
Q345627,Ad Diem Illum,PublicService,Q161837
Q5545908,George Washington's Farewell Address,PublicService,Q161837
Q1890351,Manifesto of the 121,PublicService,Q161837
Q1999070,Le Corbusier's Five Points of Architecture,PublicService,Q161837
Q28221452,Coke Fatwa,PublicService,Q161837
Q21659044,Unlicense,PublicService,Q161837
Q22906266,Lands of the Hungarian Crown,PublicService,Q161837
Q6670316,London Declaration,PublicService,Q161837
Q7878508,Ukrainian Sea Guard,PublicService,Q161837
Q4363784,A letter to American workingmen,PublicService,Q161837
Q536746,Iniquis afflictisque,PublicService,Q161837
Q1131780,Declaration of Independence of the Mexican Empire,PublicService,Q161837
Q572492,Traditi Humilitati,PublicService,Q161837
Q763484,Mysterium fidei,PublicService,Q161837
Q771759,Grata Recordatio,PublicService,Q161837
Q1231127,Acerba Animi,PublicService,Q161837
Q1609768,Letter from Birmingham Jail,PublicService,Q161837
Q1231421,Sacerdotii Nostri Primordia,PublicService,Q161837
Q1235037,Princeps Pastorum,PublicService,Q161837
Q631715,Arcanum,PublicService,Q161837
Q667873,Ecclesiam Suam,PublicService,Q161837
Q947084,Windhoek Declaration,PublicService,Q161837
Q2896015,Coast guard of Russia,PublicService,Q161837
Q3248484,Argentine Declaration of Independence,PublicService,Q161837
Q345479,Ad Caeli Reginam,PublicService,Q161837
Q3889721,Prague Manifesto,PublicService,Q161837
Q7091483,On the Restoration of Independence of the Republic of Latvia,PublicService,Q161837
Q130633650,Dilexit nos,PublicService,Q161837
Q2583161,Unilateral Declaration of Egyptian Independence,PublicService,Q161837
Q61606899,Document on Human Fraternity,PublicService,Q161837
Q14748650,Basel Program,PublicService,Q161837
Q15963807,Crimean speech of Vladimir Putin,PublicService,Q161837
Q16642507,Declaration of State Sovereignty of Bashkortostan,PublicService,Q161837
Q477382,Quod Apostolici Muneris,PublicService,Q161837
Q478287,Amsterdam Declaration,PublicService,Q161837
