qid,label,class_label,class_qid
Q37200,Great Pyramid of Giza,Pyramid,Q12516
Q192418,Pyramid of Djoser,Pyramid,Q12516
Q208358,Pyramid of Khafre,Pyramid,Q12516
Q238623,Pyramid of Menkaure,Pyramid,Q12516
Q459608,Bent Pyramid,Pyramid,Q12516
Q135332,Red Pyramid,Pyramid,Q12516
Q1478801,Pyramid of Unas,Pyramid,Q12516
Q774021,Templo Mayor,Pyramid,Q12516
Q29240,Pyramid of the Moon,Pyramid,Q12516
Q1609149,Pyramid of Neferirkare,Pyramid,Q12516
Q740691,Layer Pyramid,Pyramid,Q12516
Q1570082,Pyramid of Userkaf,Pyramid,Q12516
Q135318,Buried Pyramid,Pyramid,Q12516
Q131820,Pyramid of Sahure,Pyramid,Q12516
Q1569654,Pyramid of Djedefre,Pyramid,Q12516
Q284794,Pyramid of Amenemhat III,Pyramid,Q12516
Q13444093,Meidum Pyramid,Pyramid,Q12516
Q240579,Pyramid of Neferefre,Pyramid,Q12516
Q1751693,Pyramid of Nyuserre Ini,Pyramid,Q12516
Q1278166,Pyramid of Teti,Pyramid,Q12516
Q1698602,Pyramid of Senusret II,Pyramid,Q12516
Q275666,White Pyramid,Pyramid,Q12516
Q629240,Pyramid of Merenre,Pyramid,Q12516
Q1544441,Huaca de la Luna,Pyramid,Q12516
Q462160,Pyramid of Amenemhet I,Pyramid,Q12516
Q402041,Pyramid of Ahmose,Pyramid,Q12516
Q838479,Pyramid of Khentkaus I,Pyramid,Q12516
Q2559153,Temple of the Inscriptions,Pyramid,Q12516
Q206610,Pyramid of Senusret I,Pyramid,Q12516
Q1536118,mortuary complex of Pepi I,Pyramid,Q12516
Q1752090,Pyramid of Senusret III,Pyramid,Q12516
Q1232134,Pyramid of Djedkare-Isesi,Pyramid,Q12516
Q1478835,Pyramid of Pepi II,Pyramid,Q12516
Q166248,Pyramid of Khui,Pyramid,Q12516
Q1069846,Pyramid of Khendjer,Pyramid,Q12516
Q462453,Pyramid of Ameny Qemau,Pyramid,Q12516
Q1070133,pyramid of Khentkaus II,Pyramid,Q12516
Q3177458,La Pyramide Inversée,Pyramid,Q12516
Q785696,Unfinished Northern Pyramid of Zawyet el'Aryan,Pyramid,Q12516
Q688720,Pyramid of Seila,Pyramid,Q12516
Q821146,Headless Pyramid,Pyramid,Q12516
Q2381000,Southern Mazghuna pyramid,Pyramid,Q12516
Q1694723,Southern South Saqqara pyramid,Pyramid,Q12516
Q838236,Lepsius-I Pyramid,Pyramid,Q12516
Q1820141,Lepsius XXIV,Pyramid,Q12516
Q3411256,Pyramid G1-c,Pyramid,Q12516
Q3411252,Pyramid G1-a,Pyramid,Q12516
Q2006734,Northern Mazghuna pyramid,Pyramid,Q12516
Q1377626,Double Pyramid,Pyramid,Q12516
Q7698758,"Temple of the Feathered Serpent, Teotihuacan",Pyramid,Q12516
Q3411254,Pyramid G1-d,Pyramid,Q12516
Q587347,Pyramid G1-b,Pyramid,Q12516
Q1273879,Pyramid of Zawyet el-Maiyitin,Pyramid,Q12516
Q1649679,Pyramid of Sinki,Pyramid,Q12516
Q1603917,Edfu South Pyramid,Pyramid,Q12516
Q1574230,Unfinished Pyramid of Abusir,Pyramid,Q12516
Q25389687,Pyramid G3-a,Pyramid,Q12516
