qid,label,class_label,class_qid
Q867913,Snowdonia,Site of Special Scientific Interest,Q422211
Q1028218,Cambrian Mountains,Site of Special Scientific Interest,Q422211
Q1570958,Hampstead Heath,Site of Special Scientific Interest,Q422211
Q2300821,Steep Holm,Site of Special Scientific Interest,Q422211
Q1226281,Castell Dinas Brân,Site of Special Scientific Interest,Q422211
Q1876030,River Lugg,Site of Special Scientific Interest,Q422211
Q5396240,Erwood,Site of Special Scientific Interest,Q422211
Q1332478,Wye Valley,Site of Special Scientific Interest,Q422211
Q7636467,Sully Island,Site of Special Scientific Interest,Q422211
Q5566550,Glamorganshire Canal,Site of Special Scientific Interest,Q422211
Q7232468,Portsmouth Harbour,Site of Special Scientific Interest,Q422211
Q12068771,Severn Estuary,Site of Special Scientific Interest,Q422211
Q4962793,Breydon Water,Site of Special Scientific Interest,Q422211
Q5058743,Cemlyn Bay and lagoon,Site of Special Scientific Interest,Q422211
Q1470850,Ogof Ffynnon Ddu,Site of Special Scientific Interest,Q422211
Q3401424,Cosmeston Lakes Country Park,Site of Special Scientific Interest,Q422211
Q5593469,Graig Wood,Site of Special Scientific Interest,Q422211
Q15518564,Trewent Point,Site of Special Scientific Interest,Q422211
Q24662533,Newbourne Springs,Site of Special Scientific Interest,Q422211
Q1230260,Ditchling Common,Site of Special Scientific Interest,Q422211
Q195163,Angle Peninsula Coast,Site of Special Scientific Interest,Q422211
Q250520,Lochs of Spiggie and Brow,Site of Special Scientific Interest,Q422211
Q5049669,Castell Coch Woodlands and Road Section,Site of Special Scientific Interest,Q422211
Q2490225,Hartlepool Submerged Forest,Site of Special Scientific Interest,Q422211
Q3401478,Ynys Feurig,Site of Special Scientific Interest,Q422211
Q3404537,Malltraeth Marsh,Site of Special Scientific Interest,Q422211
Q5267212,Devil's Punch Bowl,Site of Special Scientific Interest,Q422211
Q5190490,Crymlyn Bog,Site of Special Scientific Interest,Q422211
Q5197256,Cwmsymlog,Site of Special Scientific Interest,Q422211
Q5278029,Dinefwr Park National Nature Reserve,Site of Special Scientific Interest,Q422211
Q5500970,Freeman's Marsh,Site of Special Scientific Interest,Q422211
Q6964280,Nant Llech,Site of Special Scientific Interest,Q422211
Q7162260,Penarth Coast,Site of Special Scientific Interest,Q422211
Q7162268,Penarth Quarry,Site of Special Scientific Interest,Q422211
Q7165328,Pentwyn Farm Grasslands,Site of Special Scientific Interest,Q422211
Q7569555,Southerham Grey Pit,Site of Special Scientific Interest,Q422211
Q7828483,Totternhoe Knolls,Site of Special Scientific Interest,Q422211
Q4789163,Arfordir Gogleddol Penmon,Site of Special Scientific Interest,Q422211
Q4875948,Beacon Hill,Site of Special Scientific Interest,Q422211
Q4980856,Bryn Euryn,Site of Special Scientific Interest,Q422211
Q7235297,Potteric Carr,Site of Special Scientific Interest,Q422211
Q11021283,Newborough Warren,Site of Special Scientific Interest,Q422211
Q13653049,Newport Wetlands,Site of Special Scientific Interest,Q422211
Q15242178,Leck Beck Head Catchment Area,Site of Special Scientific Interest,Q422211
Q15515425,Dwrhyd Pit,Site of Special Scientific Interest,Q422211
Q15517361,Gallt Llanerch - Coed Gelli-deg,Site of Special Scientific Interest,Q422211
Q5612004,Gruinart Flats SSSI,Site of Special Scientific Interest,Q422211
Q5648055,Hangman's Wood and Deneholes,Site of Special Scientific Interest,Q422211
Q5648625,Hanmer Mere,Site of Special Scientific Interest,Q422211
Q6389766,Kennet Valley Alderwoods,Site of Special Scientific Interest,Q422211
Q20586963,Cambrian Quarry,Site of Special Scientific Interest,Q422211
Q28195272,Ashton Wold,Site of Special Scientific Interest,Q422211
Q21403417,Edwardstone Woods,Site of Special Scientific Interest,Q422211
Q92752830,Whitecross Green and Oriel Woods,Site of Special Scientific Interest,Q422211
Q94108805,Hazeley Heath,Site of Special Scientific Interest,Q422211
Q55099549,Hunstanton Cliffs,Site of Special Scientific Interest,Q422211
Q30624434,Red House Farm Pit,Site of Special Scientific Interest,Q422211
Q20599641,Taf estuary,Site of Special Scientific Interest,Q422211
Q87651940,Blenheim Park,Site of Special Scientific Interest,Q422211
Q881874,Blashenwell Farm Pit,Site of Special Scientific Interest,Q422211
Q5016693,Caeau Ffos Fach,Site of Special Scientific Interest,Q422211
Q5016697,Caeau Nant Garenig,Site of Special Scientific Interest,Q422211
Q5016699,Caeau Nant y Llechau,Site of Special Scientific Interest,Q422211
Q5016700,Caeau Nantsais,Site of Special Scientific Interest,Q422211
Q5016701,Caeau Pen-y-coed,Site of Special Scientific Interest,Q422211
Q5016702,Caeau Rhyd-y-gwiail,Site of Special Scientific Interest,Q422211
Q5016703,Caeau Tir-mawr,Site of Special Scientific Interest,Q422211
Q5016704,Caeau Ton-y-fildre,Site of Special Scientific Interest,Q422211
Q5016706,Caeau Ty-mawr,Site of Special Scientific Interest,Q422211
Q5016705,Caeau Ty'n-llwyni,Site of Special Scientific Interest,Q422211
Q5016940,Caerwys Tufa,Site of Special Scientific Interest,Q422211
Q5017852,Caistor St Edmund Chalk Pit,Site of Special Scientific Interest,Q422211
Q5023985,Calthorpe Broad,Site of Special Scientific Interest,Q422211
Q5034159,Canyards Hills,Site of Special Scientific Interest,Q422211
Q5046180,Carricknath Point to Porthbean Beach,Site of Special Scientific Interest,Q422211
Q5050118,"Castle Hill, Brighton",Site of Special Scientific Interest,Q422211
Q5057247,Cefn Blaenau,Site of Special Scientific Interest,Q422211
Q5057272,Cefn Rofft,Site of Special Scientific Interest,Q422211
Q5057275,Cefn y Brithdir,Site of Special Scientific Interest,Q422211
Q5064571,Cernydd Carmel,Site of Special Scientific Interest,Q422211
Q5070865,Chanctonbury Hill,Site of Special Scientific Interest,Q422211
Q5103469,Chobham Common,Site of Special Scientific Interest,Q422211
Q5118464,Chwarel Pant Glas,Site of Special Scientific Interest,Q422211
Q5118467,Chwarel Singret,Site of Special Scientific Interest,Q422211
Q5130376,Clayton to Offham Escarpment,Site of Special Scientific Interest,Q422211
Q5131042,Cleddon Bog,Site of Special Scientific Interest,Q422211
Q5132799,Cliff Wood – Golden Stairs,Site of Special Scientific Interest,Q422211
Q5134781,Clock House Brickworks,Site of Special Scientific Interest,Q422211
Q5134889,Clogau Quarry,Site of Special Scientific Interest,Q422211
Q5137324,Cnap Twt,Site of Special Scientific Interest,Q422211
Q5140501,Coed Allt Craig Arth,Site of Special Scientific Interest,Q422211
Q5140507,Coed Cwm Cletwr,Site of Special Scientific Interest,Q422211
Q5140508,Coed Cwm Einion,Site of Special Scientific Interest,Q422211
Q5140510,Coed Dolgarrog National Nature Reserve,Site of Special Scientific Interest,Q422211
Q5140511,Coed Dyrysiog,Site of Special Scientific Interest,Q422211
Q5140515,Coed Gwempa,Site of Special Scientific Interest,Q422211
