qid,label,class_label,class_qid
Q159375,standard deviation,Statistic,Q1949963
Q175199,variance,Statistic,Q1949963
Q221094,Barbary lion,Statistic,Q1949963
Q287251,kurtosis,Statistic,Q1949963
Q534851,home run,Statistic,Q1949963
Q840922,bit error rate,Statistic,Q1949963
Q713493,hit,Statistic,Q1949963
Q1145091,earned run average,Statistic,Q1949963
Q1432420,Kaplan–Meier estimator,Statistic,Q1949963
Q1377846,save,Statistic,Q1949963
Q849149,deviation,Statistic,Q1949963
Q818544,state observer,Statistic,Q1949963
Q742407,assist,Statistic,Q1949963
Q581390,triple,Statistic,Q1949963
Q112631150,excess kurtosis,Statistic,Q1949963
Q1196988,single,Statistic,Q1949963
Q107340462,Nesher Ramla Homo,Statistic,Q1949963
Q1194630,double,Statistic,Q1949963
Q1132884,complete game,Statistic,Q1949963
Q1815849,slugging percentage,Statistic,Q1949963
Q1154654,on-base percentage,Statistic,Q1949963
Q60739794,batting average,Statistic,Q1949963
Q56223802,total bases,Statistic,Q1949963
Q860149,caught stealing,Statistic,Q1949963
Q3983339,mean time to repair,Statistic,Q1949963
Q105076364,win–loss record,Statistic,Q1949963
Q1045147,assist,Statistic,Q1949963
Q2421034,cricket batting average,Statistic,Q1949963
Q1591996,point-biserial correlation coefficient,Statistic,Q1949963
Q8192188,innings pitched,Statistic,Q1949963
Q2999029,extra base hit,Statistic,Q1949963
Q18356434,Ungava brown bear,Statistic,Q1949963
Q15729148,Hodges–Lehmann estimator,Statistic,Q1949963
Q859991,passed ball,Statistic,Q1949963
Q1046690,putout,Statistic,Q1949963
Q1915484,mean time to recovery,Statistic,Q1949963
Q7862949,U-statistic,Statistic,Q1949963
Q3823926,Laplace–Bayes estimator,Statistic,Q1949963
Q859741,fielding percentage,Statistic,Q1949963
Q841833,Hold,Statistic,Q1949963
Q1296015,efficiency,Statistic,Q1949963
Q6146297,James–Stein estimator,Statistic,Q1949963
Q4291882,Least absolute deviations,Statistic,Q1949963
Q3327009,stolen base percentage,Statistic,Q1949963
Q838184,quality start,Statistic,Q1949963
Q121878844,2023 Rugby World Cup statistics,Statistic,Q1949963
Q8023661,Win probability added,Statistic,Q1949963
Q7806591,times on base,Statistic,Q1949963
Q7379547,run average,Statistic,Q1949963
Q6436967,Krichevsky–Trofimov estimator,Statistic,Q1949963
Q5610472,Gross Production Average,Statistic,Q1949963
Q5374245,empirical likelihood,Statistic,Q1949963
Q4869927,batting park factor,Statistic,Q1949963
Q4622276,2011 Rugby World Cup statistics,Statistic,Q1949963
Q3983340,mean down time,Statistic,Q1949963
Q18659042,Hits per nine innings,Statistic,Q1949963
Q17103906,Minimum chi-square estimation,Statistic,Q1949963
Q16386332,Orel Hershiser's scoreless innings streak,Statistic,Q1949963
Q74125294,1995 Rugby World Cup statistics,Statistic,Q1949963
Q74125476,1991 Rugby World Cup statistics,Statistic,Q1949963
Q74126018,1987 Rugby World Cup statistics,Statistic,Q1949963
Q74124138,2007 Rugby World Cup statistics,Statistic,Q1949963
Q74124961,1999 Rugby World Cup statistics,Statistic,Q1949963
Q72227705,2003 Rugby World Cup statistics,Statistic,Q1949963
Q68217153,2019 Rugby World Cup statistics,Statistic,Q1949963
Q21030615,2015 Rugby World Cup statistics,Statistic,Q1949963
Q104873255,Premiership Rugby top scorers,Statistic,Q1949963
Q7974953,Watterson estimator,Statistic,Q1949963
Q7079062,Offense efficiency rating,Statistic,Q1949963
Q6823723,Method of simulated moments,Statistic,Q1949963
Q5203038,D',Statistic,Q1949963
Q4889648,"Bennett, Alpert, and Goldstein’s S",Statistic,Q1949963
Q17299941,Indirect inference,Statistic,Q1949963
Q96379433,Ghanaian records in Olympic weightlifting,Statistic,Q1949963
Q25041440,Corsi statistic,Statistic,Q1949963
Q22682100,Medcouple,Statistic,Q1949963
Q19877442,Dolphin-Union caribou,Statistic,Q1949963
Q115825884,2021 Rugby World Cup statistics,Statistic,Q1949963
Q113134251,exit velocity,Statistic,Q1949963
Q79797,Armenians,Statistic,Q1949963
Q42884,Germans,Statistic,Q1949963
Q84072,Turks,Statistic,Q1949963
Q121842,French,Statistic,Q1949963
Q44806,Ukrainians,Statistic,Q1949963
Q50001,Italians,Statistic,Q1949963
