qid,label,class_label,class_qid
Q862890,Chicago Water Tower,Water tower,Q274153
Q7943424,Vukovar water tower,Water tower,Q274153
Q2501338,Water Tower of Chișinău,Water tower,Q274153
Q1619084,Palais Longchamp,Water tower,Q274153
Q676525,House in the Clouds,Water tower,Q274153
Q961913,Hamburg Planetarium,Water tower,Q274153
Q6136032,Peachoid,Water tower,Q274153
Q4439835,"Old city watertower, Mariupol",Water tower,Q274153
Q10511094,Shukhov tower in Polibino,Water tower,Q274153
Q613568,Svampen,Water tower,Q274153
Q2968376,Château d'eau,Water tower,Q274153
Q3363242,Svaneke Water Tower,Water tower,Q274153
Q179134,Museum zur Vorgeschichte des Films,Water tower,Q274153
Q824657,Lüneburg Water Tower,Water tower,Q274153
Q6509813,Leaning Tower of Teluk Intan,Water tower,Q274153
Q2301715,Poldertoren,Water tower,Q274153
Q18618761,Watertower San Nicolas,Water tower,Q274153
Q12090095,Vinnytsia water tower,Water tower,Q274153
Q52146942,Water Tower,Water tower,Q274153
Q54958890,Warner Bros. Water Tower,Water tower,Q274153
Q2541566,Earffel Tower,Water tower,Q274153
Q15073511,Otaniemi water tower,Water tower,Q274153
Q32662967,Wasserturm Prenzlauer Berg,Water tower,Q274153
Q29876740,Minar of Firuzabad,Water tower,Q274153
Q4962882,Brežice Water Tower,Water tower,Q274153
Q4992954,Haukilahti water tower,Water tower,Q274153
Q869761,Ahlen Water Tower,Water tower,Q274153
Q1695592,Nave Espacial de Varginha,Water tower,Q274153
Q7838003,Trelleborg Old Water Tower,Water tower,Q274153
Q10529121,Hyllie Watertower,Water tower,Q274153
Q11903374,Vinohrady Water Tower,Water tower,Q274153
Q24278937,Mocó Reservoir,Water tower,Q274153
Q2551820,Wasserturm Mönchengladbach,Water tower,Q274153
Q1890718,Watertower of Mannheim,Water tower,Q274153
Q1142684,Alcatraz Water Tower,Water tower,Q274153
Q5613926,Guaranteed Pure Milk bottle,Water tower,Q274153
Q3263909,Louisville Water Tower,Water tower,Q274153
Q4081645,White Tower,Water tower,Q274153
Q1472839,Újpest Water Tower,Water tower,Q274153
Q8059473,Ypsilanti Water Tower,Water tower,Q274153
Q106678779,Wasserturm Wilhelmshaven,Water tower,Q274153
Q54871416,Leaning Tower of Britten,Water tower,Q274153
Q113052886,Landskrona Water Tower,Water tower,Q274153
Q19908174,Water Tower in Novosibirsk,Water tower,Q274153
Q10688846,Södervärnstornet,Water tower,Q274153
Q21059969,Mar del Plata Water Tower,Water tower,Q274153
Q11048793,Gangshan Water Tower,Water tower,Q274153
Q11962498,Brønshøj Water Tower,Water tower,Q274153
Q12008999,Randersvej water tower,Water tower,Q274153
Q23009349,Palembang Water Tower,Water tower,Q274153
Q12310595,Esbjerg Water Tower,Water tower,Q274153
