qid,label,class_label,class_qid
Q6020980,Molino de la Albolafia,Watermill,Q185187
Q1567442,Hierapolis sawmill,Watermill,Q185187
Q17658509,Surrender lead smelt mill,Watermill,Q185187
Q17662708,Keld Heads lead smelt mill and mine complex,Watermill,Q185187
Q17523710,Cooper's Sawmill,Watermill,Q185187
Q112083296,Sykes Smelt Mill,Watermill,Q185187
Q734863,Great Mill in Gdańsk,Watermill,Q185187
Q2892385,Bazacle,Watermill,Q185187
Q383286,Kolliger Mühle,Watermill,Q185187
Q17389990,Ensemble consisting of the Roman pavement and bridge and watermill in Catribana,Watermill,Q185187
Q1179449,Lindekemale Mill,Watermill,Q185187
Q5645718,Hammermøllen,Watermill,Q185187
Q6721644,Mabry Mill,Watermill,Q185187
Q82108,Sarehole Mill,Watermill,Q185187
Q1958397,Quetivel Mill,Watermill,Q185187
Q2249373,Dounby Click Mill,Watermill,Q185187
Q3427177,Kruitmolen,Watermill,Q185187
Q3972121,Weltermolen,Watermill,Q185187
Q4025938,Backus Mill Heritage and Conservation Centre,Watermill,Q185187
Q28752752,Moulin d'Olivet,Watermill,Q185187
Q15217175,Faber Mill,Watermill,Q185187
Q16325165,Ørholm,Watermill,Q185187
Q255278,Stony Brook Grist Mill,Watermill,Q185187
Q526926,Farmar Mill,Watermill,Q185187
Q1616813,Hexenloch Mill,Watermill,Q185187
Q2015758,Tormiston Mill,Watermill,Q185187
Q2095095,Pillsbury A Mill,Watermill,Q185187
Q2117023,Watermill at Kollen,Watermill,Q185187
Q1817379,Watermill at Opwetten,Watermill,Q185187
Q1843870,"Oliemolen, Heerlen",Watermill,Q185187
Q1694671,Montgomery Worsted Mills,Watermill,Q185187
Q1469598,Frohnauer Hammer,Watermill,Q185187
Q1496185,West Point Rice Mill,Watermill,Q185187
Q1969755,Genneper Watermolen,Watermill,Q185187
Q2137475,Regenstein Mill,Watermill,Q185187
Q3031355,Houghton Mill,Watermill,Q185187
Q3325579,Moulin Legendre,Watermill,Q185187
Q26836673,Bienertmühle Plauen,Watermill,Q185187
Q3325639,Moulin de Mervé,Watermill,Q185187
Q3325711,Moulin du Domaine-de-Lotbinière,Watermill,Q185187
Q3325718,Moulin du Portage,Watermill,Q185187
Q2296808,Oude Molen,Watermill,Q185187
Q2351081,Watermill Sint-Gertrudis-Pede,Watermill,Q185187
Q2482418,Bulkemsmolen,Watermill,Q185187
Q3867002,Olona mills,Watermill,Q185187
Q3876136,Newmills Corn and Flax Mills,Watermill,Q185187
Q4864515,Barry Mill,Watermill,Q185187
Q5521528,Gants Mill,Watermill,Q185187
Q5578981,Golda's Mill,Watermill,Q185187
Q18004874,Molí del Castell,Watermill,Q185187
Q12327419,Moesgård Forest Mill,Watermill,Q185187
Q6020983,Molino de la Alegría,Watermill,Q185187
Q20716030,Melaka Sultanate Watermill,Watermill,Q185187
Q20857793,Aderholdt's Mill,Watermill,Q185187
Q6421395,Klostermølle,Watermill,Q185187
Q6896221,Molino de Perez,Watermill,Q185187
Q7130250,Panchakki,Watermill,Q185187
Q15249467,Marvel's Mill,Watermill,Q185187
Q7931108,Villines Mill,Watermill,Q185187
Q7974783,Watson's Mill,Watermill,Q185187
Q12338696,Tadre Watermill,Watermill,Q185187
Q93488808,Moulin de Rouvres,Watermill,Q185187
Q14708440,Hildebrand Mill,Watermill,Q185187
Q22806754,Tarskov Mill Farm,Watermill,Q185187
Q16321288,Molí de la Torre (el Far d'Empordà),Watermill,Q185187
Q17572328,"Water Mill, Aberfeldy",Watermill,Q185187
Q17571358,Ironmacannie Mill,Watermill,Q185187
Q17569710,Knockando Woolmill,Watermill,Q185187
Q17570934,Lower City Mills,Watermill,Q185187
Q61138207,"Kostojčinoski water-based fulling mill, dry-based fulling mill and water-based gristmill",Watermill,Q185187
Q1302154,Eichmühle,Watermill,Q185187
Q1378658,Liethen Mill,Watermill,Q185187
Q2109481,Price's Mill,Watermill,Q185187
Q1244884,Village Mill,Watermill,Q185187
Q3212861,Bazacle Milling Company,Watermill,Q185187
Q3325726,Nendrum Monastery mill,Watermill,Q185187
Q28464638,Laverstoke Mill,Watermill,Q185187
Q3325801,Trois-Saumons river water mill in Saint-Jean-Port-Joli,Watermill,Q185187
Q4165495,Culver Randel House and Mill,Watermill,Q185187
Q4664038,Abbey Mill,Watermill,Q185187
Q4682067,Adelphi Mill,Watermill,Q185187
Q19461849,French's Mill,Watermill,Q185187
Q19462114,Guilford Mill,Watermill,Q185187
Q4914544,Bintry Watermill,Watermill,Q185187
Q4997426,Bunbury Mill,Watermill,Q185187
Q5019389,Caledonia Mill,Watermill,Q185187
Q5049100,Casper and Abraham Shafer Grist Mill Complex,Watermill,Q185187
Q5070017,Champion Mill,Watermill,Q185187
Q5140976,Coffeetown Grist Mill,Watermill,Q185187
Q5141111,Cogglesford Mill,Watermill,Q185187
Q5150311,Colvin Run Mill,Watermill,Q185187
Q5216874,Daniel Cragin Mill,Watermill,Q185187
Q5254220,Dells Mill,Watermill,Q185187
Q5306886,Dreibelbis Mill,Watermill,Q185187
Q5446810,Fidler's Mill,Watermill,Q185187
Q5457890,Flatford Mill,Watermill,Q185187
Q5566606,Glandford Watermill,Watermill,Q185187
Q5584147,Gooseville Mill/Grist Mill,Watermill,Q185187
Q5638791,Hagood Mill,Watermill,Q185187
Q19987021,McCosh Grist Mill,Watermill,Q185187
Q18330945,G.T. Wilburn Grist Mill,Watermill,Q185187
Q20638928,Cavan Water Mill,Watermill,Q185187
Q115824130,Nether Mill,Watermill,Q185187
Q12325250,Lyngby Southern Mill,Watermill,Q185187
Q5682994,Hauxton Mill,Watermill,Q185187
Q5685720,Haxted Watermill,Watermill,Q185187
Q5689738,Headley Water Mill,Watermill,Q185187
Q5694232,Heatherslaw Corn Mill,Watermill,Q185187
Q5991194,Ifield Water Mill,Watermill,Q185187
Q6411021,King's Mill,Watermill,Q185187
Q6412953,Kings Mill,Watermill,Q185187
Q6505036,Lawton's Mill,Watermill,Q185187
Q6533351,Letheringsett Watermill,Watermill,Q185187
Q6650443,Little Isabella,Watermill,Q185187
Q6673634,Longbridge Mill,Watermill,Q185187
Q6858324,Mill Green Museum and Working Mill,Watermill,Q185187
Q6968988,Nathan Cooper Gristmill,Watermill,Q185187
Q6998956,Nether Alderley Mill,Watermill,Q185187
Q7144635,Path Head Watermill,Watermill,Q185187
Q7181273,Phelps Mill,Watermill,Q185187
Q7185545,Philipsburg Manor,Watermill,Q185187
Q7190956,Pickwick Mill,Watermill,Q185187
Q7193283,Pigeon Forge Mill,Watermill,Q185187
Q7235231,Potter's Mill,Watermill,Q185187
Q7305486,Redbournbury Mill,Watermill,Q185187
Q7369057,Roslyn Grist Mill,Watermill,Q185187
Q7428833,Saxon Mill,Watermill,Q185187
Q7431021,Schech Mill,Watermill,Q185187
Q7494489,Shepherd Wheel,Watermill,Q185187
Q7597067,Stainsby Mill,Watermill,Q185187
Q7623527,Stretton Watermill,Watermill,Q185187
Q7697631,Tellisford Mill,Watermill,Q185187
Q7832578,Trafford Mill,Watermill,Q185187
Q7846660,Trovinger Mill,Watermill,Q185187
Q106018986,Dunham's Mill,Watermill,Q185187
Q15203565,Borneman Mill,Watermill,Q185187
Q15204532,Breneman-Turner Mill,Watermill,Q185187
Q15205200,Broxbourne Mill,Watermill,Q185187
Q15223731,Heron Corn Mill,Watermill,Q185187
Q15226172,Howsham Mill,Watermill,Q185187
Q15241668,Lantz Mill,Watermill,Q185187
Q7856932,Tuthilltown Gristmill,Watermill,Q185187
Q7980376,Weisdale Mill,Watermill,Q185187
Q7981229,Wellesbourne Watermill,Watermill,Q185187
Q8026576,Winthrop Mill,Watermill,Q185187
Q8054280,Yoder Mill,Watermill,Q185187
Q17740741,Gelli-groes Mill,Watermill,Q185187
Q17744244,Mathern Mill,Watermill,Q185187
Q26491828,Old Mill,Watermill,Q185187
Q26535777,Salisbury Generating Station,Watermill,Q185187
Q26442569,Nunnington Mill,Watermill,Q185187
Q26603244,High Corn Mill,Watermill,Q185187
Q14685432,Greenbank Historic Area,Watermill,Q185187
Q14712114,Burwell-Morgan Mill,Watermill,Q185187
Q14707062,New Hope Mills Complex,Watermill,Q185187
Q21088441,Tullekensmolen,Watermill,Q185187
Q109058021,Melin Hywel,Watermill,Q185187
Q134304360,Old Brick Mill,Watermill,Q185187
Q127393838,Ickornshaw Mill,Watermill,Q185187
Q2585346,Wippermühle,Watermill,Q185187
Q16858479,Causey's Mill,Watermill,Q185187
Q16900968,Swigart's Mill,Watermill,Q185187
Q16903226,White's Mill,Watermill,Q185187
Q16952566,Cream of Barley Mill,Watermill,Q185187
Q17542513,Eskdale Corn Mill,Watermill,Q185187
Q17551855,Charlecote Mill,Watermill,Q185187
Q65052067,Old Dowlin Mill,Watermill,Q185187
Q23807911,Blarney Woollen Mills,Watermill,Q185187
Q25005660,Lermond Mill,Watermill,Q185187
Q26268184,Abbey Mill,Watermill,Q185187
Q26299328,Kings Mill,Watermill,Q185187
Q26304035,Water Mill Inn,Watermill,Q185187
Q60746601,Dellinge Watermill,Watermill,Q185187
Q99897682,Hanford Mill,Watermill,Q185187
Q26643187,Cotes Mill,Watermill,Q185187
Q4753985,Anderson's Mill,Watermill,Q185187
Q19461317,Dellinger Mill,Watermill,Q185187
Q19461820,Francis Grist Mill,Watermill,Q185187
Q4884083,Bello Mill,Watermill,Q185187
Q4956097,Bramanville Mill,Watermill,Q185187
Q5018859,Calcot Mill,Watermill,Q185187
Q5130777,Clear Spring Mill,Watermill,Q185187
Q5142204,Cold Brook Feed Mill,Watermill,Q185187
Q5443541,Fenner–Snyder Mill,Watermill,Q185187
Q5523431,Garland Mill,Watermill,Q185187
Q19987182,Morgan's Mill,Watermill,Q185187
Q20540998,"Milford Mills, County Carlow",Watermill,Q185187
Q5691675,Hearn and Rawlins Mill,Watermill,Q185187
Q5704305,Helfrich's Springs Grist Mill,Watermill,Q185187
Q5928680,Hudson Grist Mill,Watermill,Q185187
Q6187908,Jessup's Mill,Watermill,Q185187
Q6217627,John A. DeBaun Mill,Watermill,Q185187
Q20708725,Clark-Miller Roller Mill,Watermill,Q185187
Q6323110,K. B. Fletcher Mill,Watermill,Q185187
Q6421707,Knabb-Bieber Mill,Watermill,Q185187
Q6533349,Letheringsett Brewery watermill,Watermill,Q185187
Q6550331,Linchester Mill,Watermill,Q185187
Q6671820,Long-Hawerter Mill,Watermill,Q185187
Q6858459,Mill of Morphie,Watermill,Q185187
Q6858460,Mill of Muchalls,Watermill,Q185187
Q6965599,Narborough Watermill,Watermill,Q185187
Q7011211,New Ringgold Gristmill,Watermill,Q185187
Q7114811,Owings Upper Mill,Watermill,Q185187
Q7169703,Perry-Carpenter Grist Mill,Watermill,Q185187
Q7302506,Reckart Mill,Watermill,Q185187
Q7397995,Sadler's Mill,Watermill,Q185187
Q7441753,Searight's Fulling Mill,Watermill,Q185187
Q7592077,St. Vincent Archabbey Gristmill,Watermill,Q185187
Q7620646,Stover Mill,Watermill,Q185187
Q7620641,Stover-Myers Mill,Watermill,Q185187
Q7660732,Sylvanus Selleck Gristmill,Watermill,Q185187
Q7796664,Thorp Mill,Watermill,Q185187
Q43371276,Reed Creek Mill,Watermill,Q185187
Q48840706,Otis Angell Gristmill,Watermill,Q185187
Q15051801,Pearce's Mill,Watermill,Q185187
Q15206068,Bush Mill,Watermill,Q185187
Q15221780,Goblintown Mill,Watermill,Q185187
Q15223399,Hays Creek Mill,Watermill,Q185187
Q15229526,Jessees Mill,Watermill,Q185187
Q15378759,Pinsley Mill,Watermill,Q185187
Q7885837,"Union Mills, Burnham Overy",Watermill,Q185187
Q7962720,Wallace-Cross Mill,Watermill,Q185187
Q7969978,Warren's Mill,Watermill,Q185187
Q7973321,Water Mill,Watermill,Q185187
Q85750900,Cassidy Mill,Watermill,Q185187
Q14712026,Big Otter Mill,Watermill,Q185187
Q14712966,Nininger's Mill,Watermill,Q185187
Q133933777,"Castle Mill, Knaresborough",Watermill,Q185187
Q54869700,Pittendreich Mill,Watermill,Q185187
Q128800184,Freeman's Mill,Watermill,Q185187
Q55611408,Fair Haven Flour Mill,Watermill,Q185187
Q16891678,Gilreath's Mill,Watermill,Q185187
Q16902265,Ulery Mill,Watermill,Q185187
Q16950827,Glenbeulah Mill/Grist Mill,Watermill,Q185187
Q24970301,Clary Mill,Watermill,Q185187
Q25006084,East Vassalboro Grist and Saw Mill,Watermill,Q185187
Q25004782,Mill at Freedom Falls,Watermill,Q185187
Q25303494,Drinkwater & Schriver Mill,Watermill,Q185187
