qid,label,class_label,class_qid
Q4847311,Template:Speedy delete,Wikimedia template,Q11266439
Q4844001,Template:Soft redirect,Wikimedia template,Q11266439
Q5637226,Template:Cite web,Wikimedia template,Q11266439
Q92570,Template:Cite book,Wikimedia template,Q11266439
Q5529697,Template:Stub,Wikimedia template,Q11266439
Q5030944,Template:Navbox,Wikimedia template,Q11266439
Q5626735,Template:Infobox,Wikimedia template,Q11266439
Q5624899,Template:cite-journal,Wikimedia template,Q11266439
Q5625676,Template:Cite news,Wikimedia template,Q11266439
Q5621162,Template:Infobox country,Wikimedia template,Q11266439
Q5400225,Template:Error,Wikimedia template,Q11266439
Q6925554,Template:citation,Wikimedia template,Q11266439
Q5816752,Template:GFDL-1.2-or-later,Wikimedia template,Q11266439
Q6249834,Template:Infobox person,Wikimedia template,Q11266439
Q5683132,Template:Infobox settlement,Wikimedia template,Q11266439
Q7217946,Template:Infobox language,Wikimedia template,Q11266439
Q52496,Template:Taxobox,Wikimedia template,Q11266439
Q5615832,Template:Infobox writer,Wikimedia template,Q11266439
Q6328695,Template:Sovereign states of Europe,Wikimedia template,Q11266439
Q5614379,Template:Cc-by-sa-3.0,Wikimedia template,Q11266439
Q6687153,Template:Article for deletion,Wikimedia template,Q11266439
Q15243492,Template:CC-BY-SA-4.0,Wikimedia template,Q11266439
Q5849910,Template:Copyvio,Wikimedia template,Q11266439
Q6846209,Template:PD-self,Wikimedia template,Q11266439
Q5641467,Template:Flag data,Wikimedia template,Q11266439
Q5047,Template:Countries of Asia,Wikimedia template,Q11266439
Q6437108,Template:Cite encyclopedia,Wikimedia template,Q11266439
Q6091158,Template:Days of the week,Wikimedia template,Q11266439
Q5615646,Template:Countries of Africa,Wikimedia template,Q11266439
Q6171351,Template:Infobox film,Wikimedia template,Q11266439
Q25719831,Template:Country data Belgium,Wikimedia template,Q11266439
Q6260047,Template:Country data Ukraine,Wikimedia template,Q11266439
Q6613936,Template:Country data United States,Wikimedia template,Q11266439
Q25719804,Template:Country data Germany,Wikimedia template,Q11266439
Q5828850,Template:Category redirect,Wikimedia template,Q11266439
Q5607175,Template:Location map/Info,Wikimedia template,Q11266439
Q5845846,Template:Country data China,Wikimedia template,Q11266439
Q5827917,Template:Infobox ethnic group,Wikimedia template,Q11266439
Q5875625,Template:Infobox website,Wikimedia template,Q11266439
Q5623004,Template:Country data Japan,Wikimedia template,Q11266439
Q5851081,Template:Country data Switzerland,Wikimedia template,Q11266439
Q5830052,Template:Infobox officeholder,Wikimedia template,Q11266439
Q6522629,Template:Country data Brazil,Wikimedia template,Q11266439
Q5614615,Template:Country data South Africa,Wikimedia template,Q11266439
Q5613988,Template:Country data Poland,Wikimedia template,Q11266439
Q25719984,Template:Country data Russia,Wikimedia template,Q11266439
Q6277877,Template:Country data France,Wikimedia template,Q11266439
Q6435191,Template:Country data United Kingdom,Wikimedia template,Q11266439
Q5621523,Template:Infobox military conflict,Wikimedia template,Q11266439
Q5616508,Template:Country data Australia,Wikimedia template,Q11266439
Q5616161,Template:Infobox musical artist,Wikimedia template,Q11266439
Q6261804,Template:Country data South Korea,Wikimedia template,Q11266439
Q5818710,Template:Country data India,Wikimedia template,Q11266439
Q5621415,Template:Country data Austria,Wikimedia template,Q11266439
Q5858283,Template:Infobox book,Wikimedia template,Q11266439
Q5623657,Template:Country data Netherlands,Wikimedia template,Q11266439
Q22765453,Template:Infobox medical condition,Wikimedia template,Q11266439
Q7611933,Template:Country data Canada,Wikimedia template,Q11266439
Q5849826,Template:Country data Turkey,Wikimedia template,Q11266439
Q6373275,Template:Cite AV media,Wikimedia template,Q11266439
Q7580905,Template:Country data Spain,Wikimedia template,Q11266439
Q6643401,Template:Infobox river,Wikimedia template,Q11266439
Q5849109,Template:Countries and territories of Oceania,Wikimedia template,Q11266439
Q5638154,Template:Country data Italy,Wikimedia template,Q11266439
Q25719878,Template:Country data Czech Republic,Wikimedia template,Q11266439
Q5614207,Template:Country data Bulgaria,Wikimedia template,Q11266439
Q4641,Template:Country data Iran,Wikimedia template,Q11266439
Q7670353,Template:Country data Syria,Wikimedia template,Q11266439
Q5613328,Template:Country data Honduras,Wikimedia template,Q11266439
Q3179859,Template:Solar System table,Wikimedia template,Q11266439
Q25719947,Template:Country data Mexico,Wikimedia template,Q11266439
Q5622750,Template:Country data Egypt,Wikimedia template,Q11266439
Q6263301,Template:Continents of Earth,Wikimedia template,Q11266439
Q5652622,Template:Country data Sweden,Wikimedia template,Q11266439
Q5614599,Template:Country data Norway,Wikimedia template,Q11266439
Q5622323,Template:Country data Finland,Wikimedia template,Q11266439
Q6260610,Template:Country data Romania,Wikimedia template,Q11266439
Q5833014,Template:Country data Portugal,Wikimedia template,Q11266439
Q5624951,Template:Country data Azerbaijan,Wikimedia template,Q11266439
Q5612912,Template:Country data Indonesia,Wikimedia template,Q11266439
Q5853542,Template:Country data Malaysia,Wikimedia template,Q11266439
Q5614642,Template:Country data Georgia (country),Wikimedia template,Q11266439
Q6254699,Template:Country data Israel,Wikimedia template,Q11266439
Q5853627,Template:Country data Armenia,Wikimedia template,Q11266439
Q5825897,Template:Infobox mountain,Wikimedia template,Q11266439
Q6580244,Template:Country data Hungary,Wikimedia template,Q11266439
Q5615392,Template:Country data Saudi Arabia,Wikimedia template,Q11266439
Q5625028,Template:Infobox company,Wikimedia template,Q11266439
Q5622774,Template:Country data Lithuania,Wikimedia template,Q11266439
Q6055018,Template:Cite conference,Wikimedia template,Q11266439
Q5615218,Template:Country data Greece,Wikimedia template,Q11266439
Q5613025,Template:Country data Albania,Wikimedia template,Q11266439
Q6190581,Template:Infobox organization,Wikimedia template,Q11266439
Q5615605,Template:Country data Croatia,Wikimedia template,Q11266439
Q5614659,Template:Country data Argentina,Wikimedia template,Q11266439
Q5621231,Template:Infobox software,Wikimedia template,Q11266439
Q25719841,Template:Country data Denmark,Wikimedia template,Q11266439
Q6260398,Template:Country data Pakistan,Wikimedia template,Q11266439
Q5850636,Template:Country data Cyprus,Wikimedia template,Q11266439
Q6651068,Template:Country data Afghanistan,Wikimedia template,Q11266439
Q5615175,Template:Category other,Wikimedia template,Q11266439
Q5621913,Template:Country data Nepal,Wikimedia template,Q11266439
Q5608399,Template:Country data Tajikistan,Wikimedia template,Q11266439
Q7670676,Template:Country data Singapore,Wikimedia template,Q11266439
Q5625811,Template:Country data Vietnam,Wikimedia template,Q11266439
Q6585198,Template:Country data New Zealand,Wikimedia template,Q11266439
Q5857780,Template:Country data Kazakhstan,Wikimedia template,Q11266439
Q6630855,Template:Infobox food,Wikimedia template,Q11266439
Q5851656,Template:Country data Philippines,Wikimedia template,Q11266439
Q5827086,Template:Country data Algeria,Wikimedia template,Q11266439
Q5819839,Template:Country data Hong Kong,Wikimedia template,Q11266439
Q5613376,Template:Country data Bolivia,Wikimedia template,Q11266439
Q5613346,Template:Country data Uzbekistan,Wikimedia template,Q11266439
Q5851795,Template:Country data Belarus,Wikimedia template,Q11266439
Q5616006,Template:Infobox television,Wikimedia template,Q11266439
Q5612609,Template:Country data Ecuador,Wikimedia template,Q11266439
Q6243307,Template:Cite press release,Wikimedia template,Q11266439
Q5853959,Template:Country data East Timor,Wikimedia template,Q11266439
Q5615945,Template:Country data United Arab Emirates,Wikimedia template,Q11266439
Q5624848,Template:Infobox university,Wikimedia template,Q11266439
Q5612691,Template:Country data Tunisia,Wikimedia template,Q11266439
Q5616380,Template:Country data Morocco,Wikimedia template,Q11266439
Q25720834,Template:Country data Thailand,Wikimedia template,Q11266439
Q6959978,Template:Infobox language/family-color,Wikimedia template,Q11266439
Q5831656,Template:Country data Angola,Wikimedia template,Q11266439
Q5822620,Template:US presidents,Wikimedia template,Q11266439
Q5615269,Template:Country data Luxembourg,Wikimedia template,Q11266439
Q5615147,Template:Country data Sri Lanka,Wikimedia template,Q11266439
Q5614291,Template:Country data Bosnia and Herzegovina,Wikimedia template,Q11266439
Q5613823,Template:Country data Malta,Wikimedia template,Q11266439
Q5901616,Template:Cc-by-3.0,Wikimedia template,Q11266439
Q5612327,Template:Country data Slovakia,Wikimedia template,Q11266439
