qid,label,class_label,class_qid
Q2746079,De Otter,Windmill,Q38720
Q2548656,Aylvapoldermolen,Windmill,Q38720
Q4687217,Terpensmole,Windmill,Q38720
Q2707931,De Hiemerter Mole,Windmill,Q38720
Q2227739,De Eendracht,Windmill,Q38720
Q2226692,Molen Hoogland,Windmill,Q38720
Q2464791,Alde Swarte,Windmill,Q38720
Q2371491,Achlumer Molen,Windmill,Q38720
Q3917198,De Groene Molen,Windmill,Q38720
Q3221018,Cornwerdermolen,Windmill,Q38720
Q2201122,Haensmolen,Windmill,Q38720
Q2123987,De Zwaluw,Windmill,Q38720
Q2682764,De Akkermolen,Windmill,Q38720
Q2644832,Roekmole,Windmill,Q38720
Q2631965,Princehofmolen,Windmill,Q38720
Q2632037,De Jansmolen,Windmill,Q38720
Q1907180,De Klaver,Windmill,Q38720
Q1866264,Huinsermolen,Windmill,Q38720
Q29375995,Kulla Gunnarstorp mill,Windmill,Q38720
Q12061168,Lille Mølle,Windmill,Q38720
Q7509827,Miedenmolen,Windmill,Q38720
Q5244666,Oegekloostermolen,Windmill,Q38720
Q3033561,De Prins van Oranje,Windmill,Q38720
Q2863892,De Bird,Windmill,Q38720
Q2802691,Heechhiem,Windmill,Q38720
Q2585351,De Modderige Bol,Windmill,Q38720
Q935897,Arkens,Windmill,Q38720
Q614767,Kramersmolen,Windmill,Q38720
Q305126,Mellemolen,Windmill,Q38720
Q1474371,Heckington Windmill,Windmill,Q38720
Q11715003,De Ikkers,Windmill,Q38720
Q7695245,Tejn Mølle,Windmill,Q38720
Q7199059,Pitstone Windmill,Windmill,Q38720
Q96573429,De Olde Molen,Windmill,Q38720
Q7125161,Paiser Meul,Windmill,Q38720
Q5614595,Gudhjem Windmill,Windmill,Q38720
Q5350121,Ejegod Windmill,Windmill,Q38720
Q5244446,De Hondsrug,Windmill,Q38720
Q2909487,Monnikenburenmolen,Windmill,Q38720
Q2848085,Sint Martinus,Windmill,Q38720
Q2832557,Marssumermolen,Windmill,Q38720
Q2786072,De Sterrenberg,Windmill,Q38720
Q2780699,Duivenhok,Windmill,Q38720
Q2082092,Koartwâld,Windmill,Q38720
Q2078667,De Vlijt,Windmill,Q38720
Q2020965,De Gekroonde Poelenburg,Windmill,Q38720
Q2009750,Teunismolen,Windmill,Q38720
Q2006050,De Hoed,Windmill,Q38720
Q2334075,De Verrekijker,Windmill,Q38720
Q2296702,De Eendracht,Windmill,Q38720
Q2261284,De Vlijt,Windmill,Q38720
Q940294,Fatum,Windmill,Q38720
Q675288,Doris Mooltsje,Windmill,Q38720
Q2484562,Schoonoord,Windmill,Q38720
Q4878573,Bechs Mølle,Windmill,Q38720
Q4739650,Geeuwpoldermolen,Windmill,Q38720
Q2718906,Schoterveense Molen,Windmill,Q38720
Q2694998,De Eenhoorn,Windmill,Q38720
Q2452053,Tot Voordeel en Genoegen,Windmill,Q38720
Q2373386,Himriksmole,Windmill,Q38720
Q1990610,De Weyert,Windmill,Q38720
Q1923842,Het Klaverblad,Windmill,Q38720
Q1919205,Terpzigt,Windmill,Q38720
Q4375462,Meerswal,Windmill,Q38720
Q3973820,Aarsdale Windmill,Windmill,Q38720
Q3522086,The Old Windmill,Windmill,Q38720
