qid,label,class_label,class_qid
Q1653169,International Conference on Computer Vision,academic conference,Q2020153
Q1290184,Congress of Monastir,academic conference,Q2020153
Q903554,Karlsruhe Congress,academic conference,Q2020153
Q1377907,European Congress of Mathematics,academic conference,Q2020153
Q861711,Asilomar Conference on Recombinant DNA,academic conference,Q2020153
Q479009,Colloque Walter Lippmann,academic conference,Q2020153
Q5017756,Cairo Congress of Arab Music,academic conference,Q2020153
Q18667963,Swatantra 2014,academic conference,Q2020153
Q48999309,Asilomar Conference on Beneficial AI,academic conference,Q2020153
Q8035745,World Forestry Congress,academic conference,Q2020153
Q6269281,Joint Mathematics Meetings,academic conference,Q2020153
Q6053124,International Seapower Symposium,academic conference,Q2020153
Q13638303,International conference on Physics of Light–Matter Coupling in Nanostructures,academic conference,Q2020153
Q8033474,Woodstock of physics,academic conference,Q2020153
Q111165235,International Medical Congress,academic conference,Q2020153
Q55637979,"XXII International AIDS Conference, 2018",academic conference,Q2020153
Q6049601,International Conference on Computer Communications,academic conference,Q2020153
Q30686542,Charleston Conference,academic conference,Q2020153
Q7418267,Sanibel Symposium,academic conference,Q2020153
Q5447202,Fields Medal Symposium,academic conference,Q2020153
Q5453100,First International Conference on the World-Wide Web,academic conference,Q2020153
Q15616331,Vienna Summer of Logic,academic conference,Q2020153
Q16938518,International Conference on the Malaysia Agreement,academic conference,Q2020153
Q24884575,"Archives, Libraries, Museums, and Special Collections ALMS Conference",academic conference,Q2020153
Q27824506,Symposium on Principles of Self-Organization,academic conference,Q2020153
Q6364774,Kansas City Interscholastic Conference,academic conference,Q2020153
Q6970241,National Air Pollution Symposium,academic conference,Q2020153
Q7206521,Pocono Conference,academic conference,Q2020153
Q7611258,Stereoscopic Displays and Applications,academic conference,Q2020153
Q7661895,Symposium on Turtle Evolution,academic conference,Q2020153
Q106405795,Susreti na dragom kamenu,academic conference,Q2020153
Q123684840,SigmaPhi International Conference on Statistical Physics,academic conference,Q2020153
Q130051597,Operating Systems Design and Implementation,academic conference,Q2020153
Q56280039,International Conference on Defects in Semiconductors,academic conference,Q2020153
Q63248377,International Conference on Surface Plasmon Photonics,academic conference,Q2020153
Q85808993,Theoretical Archaeology Group,academic conference,Q2020153
Q97193415,1989 Vatican AIDS conference,academic conference,Q2020153
Q97274869,Second International Congress of the History of Science,academic conference,Q2020153
Q135673674,Psychedelic Science,academic conference,Q2020153
Q136786118,IEEE VR,academic conference,Q2020153
