qid,label,class_label,class_qid
Q395,mathematics,academic subject,Q11862829
Q420,biology,academic subject,Q11862829
Q5891,philosophy,academic subject,Q11862829
Q1071,geography,academic subject,Q11862829
Q2329,chemistry,academic subject,Q11862829
Q735,art,academic subject,Q11862829
Q11190,medicine,academic subject,Q11862829
Q8134,economics,academic subject,Q11862829
Q8162,linguistics,academic subject,Q11862829
Q8087,geometry,academic subject,Q11862829
Q441,botany,academic subject,Q11862829
Q8078,logic,academic subject,Q11862829
Q12483,statistics,academic subject,Q11862829
Q21201,sociology,academic subject,Q11862829
Q21198,computer science,academic subject,Q11862829
Q3968,algebra,academic subject,Q11862829
Q23404,anthropology,academic subject,Q11862829
Q11205,arithmetic,academic subject,Q11862829
Q23498,archaeology,academic subject,Q11862829
Q9465,ethics,academic subject,Q11862829
Q11030,journalism,academic subject,Q11862829
Q431,zoology,academic subject,Q11862829
Q7553,translation,academic subject,Q11862829
Q8084,trigonometry,academic subject,Q11862829
Q34178,theology,academic subject,Q11862829
Q11351,organic chemistry,academic subject,Q11862829
Q9471,epistemology,academic subject,Q11862829
Q12453,measurement,academic subject,Q11862829
Q36442,political science,academic subject,Q11862829
Q35277,metaphysics,academic subject,Q11862829
Q35986,aesthetics,academic subject,Q11862829
Q7754,mathematical analysis,academic subject,Q11862829
Q35395,phonetics,academic subject,Q11862829
Q12482,set theory,academic subject,Q11862829
Q521,physiology,academic subject,Q11862829
Q7922,pedagogy,academic subject,Q11862829
Q12479,number theory,academic subject,Q11862829
Q82571,linear algebra,academic subject,Q11862829
Q42989,topology,academic subject,Q11862829
Q37732,demography,academic subject,Q11862829
Q43035,electrical engineering,academic subject,Q11862829
Q43015,finance,academic subject,Q11862829
Q590870,cinematography,academic subject,Q11862829
Q80006,computer programming,academic subject,Q11862829
Q36649,visual arts,academic subject,Q11862829
Q149972,calculus,academic subject,Q11862829
Q11372,physical chemistry,academic subject,Q11862829
Q4116214,accounting,academic subject,Q11862829
Q38311,morphology,academic subject,Q11862829
Q2346,analytical chemistry,academic subject,Q11862829
Q4394526,international law,academic subject,Q11862829
Q81009,rhetoric,academic subject,Q11862829
Q80083,humanities,academic subject,Q11862829
Q40634,philology,academic subject,Q11862829
Q43518,oceanography,academic subject,Q11862829
Q11216,numerical analysis,academic subject,Q11862829
Q1166618,mathematical logic,academic subject,Q11862829
Q39645,semantics,academic subject,Q11862829
Q614304,pharmacy,academic subject,Q11862829
Q166542,international relations,academic subject,Q11862829
Q80993,software engineering,academic subject,Q11862829
Q44455,game theory,academic subject,Q11862829
Q60195,semiotics,academic subject,Q11862829
Q46255,geophysics,academic subject,Q11862829
Q173113,agronomy,academic subject,Q11862829
Q411,astrobiology,academic subject,Q11862829
Q5862903,probability theory,academic subject,Q11862829
Q83353,mineralogy,academic subject,Q11862829
Q170978,robotics,academic subject,Q11862829
Q77590,civil engineering,academic subject,Q11862829
Q146491,criminal law,academic subject,Q11862829
Q131089,geodesy,academic subject,Q11862829
Q52106,biogeography,academic subject,Q11862829
Q162886,Euclidean geometry,academic subject,Q11862829
Q52107,physical geography,academic subject,Q11862829
Q201486,history of science,academic subject,Q11862829
Q170201,veterinary medicine,academic subject,Q11862829
Q121176,nursing,academic subject,Q11862829
Q52109,geomorphology,academic subject,Q11862829
Q121416,discrete mathematics,academic subject,Q11862829
Q33521,applied mathematics,academic subject,Q11862829
Q179805,political philosophy,academic subject,Q11862829
Q76592,combinatorics,academic subject,Q11862829
Q59115,philosophy of science,academic subject,Q11862829
Q161272,social psychology,academic subject,Q11862829
Q159943,abstract algebra,academic subject,Q11862829
Q127993,geothermal energy,academic subject,Q11862829
Q874429,group theory,academic subject,Q11862829
Q161733,criminology,academic subject,Q11862829
Q134787,analytic geometry,academic subject,Q11862829
Q83588,chemical engineering,academic subject,Q11862829
Q12831143,human geography,academic subject,Q11862829
Q8424,aerodynamics,academic subject,Q11862829
Q5308718,early modern period,academic subject,Q11862829
Q161764,geochemistry,academic subject,Q11862829
Q131476,graph theory,academic subject,Q11862829
Q58854,literary criticism,academic subject,Q11862829
Q48803,horticulture,academic subject,Q11862829
Q3281534,modern period,academic subject,Q11862829
Q11206,constitutional law,academic subject,Q11862829
Q207011,neuroscience,academic subject,Q11862829
Q162314,Roman law,academic subject,Q11862829
Q134783,stratigraphy,academic subject,Q11862829
Q164204,musicology,academic subject,Q11862829
Q145903,Egyptology,academic subject,Q11862829
Q170337,eschatology,academic subject,Q11862829
Q163082,petrology,academic subject,Q11862829
Q182468,hydrography,academic subject,Q11862829
Q170912,sexology,academic subject,Q11862829
Q149999,differential calculus,academic subject,Q11862829
Q134435,topography,academic subject,Q11862829
Q52120,glaciology,academic subject,Q11862829
Q178433,lexicology,academic subject,Q11862829
Q3908516,entrepreneurship,academic subject,Q11862829
Q394,metrology,academic subject,Q11862829
Q173183,Boolean algebra,academic subject,Q11862829
Q171251,administrative law,academic subject,Q11862829
Q243748,bacteriology,academic subject,Q11862829
Q166314,chaos theory,academic subject,Q11862829
Q165838,limnology,academic subject,Q11862829
Q160039,econometrics,academic subject,Q11862829
Q428691,computer engineering,academic subject,Q11862829
Q30216,common law,academic subject,Q11862829
Q27172,biological anthropology,academic subject,Q11862829
Q23373,cognitive psychology,academic subject,Q11862829
Q181260,epigraphy,academic subject,Q11862829
Q156495,mathematical physics,academic subject,Q11862829
Q102904,volcanology,academic subject,Q11862829
Q50641,history of art,academic subject,Q11862829
Q484761,philosophy of language,academic subject,Q11862829
Q199655,library science,academic subject,Q11862829
Q628967,labor law,academic subject,Q11862829
