qid,label,class_label,class_qid
Q40953,prayer,activity,Q1914636
Q7281,propaganda,activity,Q1914636
Q159810,economy,activity,Q1914636
Q38695,cooking,activity,Q1914636
Q14373,fishing,activity,Q1914636
Q590870,cinematography,activity,Q1914636
Q11453,agricultural irrigation,activity,Q1914636
Q47092,rape,activity,Q1914636
Q33761,Arab Spring,activity,Q1914636
Q133981,first aid,activity,Q1914636
Q178915,fasting in Islam,activity,Q1914636
Q64365,bonsai,activity,Q1914636
Q608,human sexual behavior,activity,Q1914636
Q127050,Manhattan Project,activity,Q1914636
Q182899,quarantine,activity,Q1914636
Q64403,electrolysis,activity,Q1914636
Q6160,vandalism,activity,Q1914636
Q180046,space exploration,activity,Q1914636
Q130788,chronology,activity,Q1914636
Q133220,sonar,activity,Q1914636
Q58854,literary criticism,activity,Q1914636
Q192296,weaving,activity,Q1914636
Q484847,e-commerce,activity,Q1914636
Q877729,handicraft,activity,Q1914636
Q179415,massage,activity,Q1914636
Q15224558,Euromaidan,activity,Q1914636
Q217164,floor,activity,Q1914636
Q6460735,meal,activity,Q1914636
Q202398,industrialisation,activity,Q1914636
Q173445,amen,activity,Q1914636
Q29198,2011 Egyptian revolution,activity,Q1914636
Q16335075,War in Donbas,activity,Q1914636
Q19024,Boston Tea Party,activity,Q1914636
Q46952,organized crime,activity,Q1914636
Q185802,Falun Gong,activity,Q1914636
Q652122,sewing,activity,Q1914636
Q133475,copyleft,activity,Q1914636
Q170474,modulation,activity,Q1914636
Q60797,sermon,activity,Q1914636
Q84036549,intangible cultural heritage,activity,Q1914636
Q137612545,2025–2026 Iranian protests,activity,Q1914636
Q245117,relief sculpture,activity,Q1914636
Q193188,knitting,activity,Q1914636
Q175096,SWOT analysis,activity,Q1914636
Q207714,transcription,activity,Q1914636
Q214267,prophecy,activity,Q1914636
Q300920,esports,activity,Q1914636
Q852100,laundry,activity,Q1914636
Q309029,Alaska Purchase,activity,Q1914636
Q473858,Memory of the World,activity,Q1914636
Q210150,hanami,activity,Q1914636
Q389646,Baltic Way,activity,Q1914636
Q79708,General Packet Radio Service,activity,Q1914636
Q27617,denazification,activity,Q1914636
Q191258,crop rotation,activity,Q1914636
Q208386,crocheting,activity,Q1914636
Q194163,broadband,activity,Q1914636
Q114065797,Mahsa Amini protests,activity,Q1914636
Q110413718,2022 Kazakh unrest,activity,Q1914636
Q243237,taxidermy,activity,Q1914636
Q232932,open access,activity,Q1914636
Q180654,Occupy Wall Street,activity,Q1914636
Q369570,shaving,activity,Q1914636
Q97384381,2020–2021 Belarusian protests,activity,Q1914636
Q208376,positron emission tomography,activity,Q1914636
Q110254389,prelude to the Russian invasion of Ukraine,activity,Q1914636
Q948437,dhikr,activity,Q1914636
Q211517,anathema,activity,Q1914636
Q584049,ventilation,activity,Q1914636
Q837143,Flight into Egypt,activity,Q1914636
Q607699,three-body problem,activity,Q1914636
Q95965839,George Floyd protests,activity,Q1914636
Q221474,first arrival of Christopher Columbus to America,activity,Q1914636
Q191062,mnemonic,activity,Q1914636
Q341045,mindfulness,activity,Q1914636
Q12888920,selection,activity,Q1914636
Q496098,casting,activity,Q1914636
Q142539,Dropbox,activity,Q1914636
Q1349130,geotechnical engineering,activity,Q1914636
Q332997,embalming,activity,Q1914636
Q136160164,2025 Nepalese Gen Z protests,activity,Q1914636
Q130314422,2024 Lebanon electronic device attacks,activity,Q1914636
Q1956672,agritourism,activity,Q1914636
Q2990807,management accounting,activity,Q1914636
Q211736,Van de Graaff generator,activity,Q1914636
Q843389,canning,activity,Q1914636
Q1104185,coaching,activity,Q1914636
Q279790,May Fourth Movement,activity,Q1914636
Q622424,Tesla coil,activity,Q1914636
Q59172,spinning,activity,Q1914636
Q188467,Q188467,activity,Q1914636
Q1628963,appetizer,activity,Q1914636
Q108941486,prompt engineering,activity,Q1914636
Q246658,Sexagenary cycle,activity,Q1914636
Q217418,cloud seeding,activity,Q1914636
Q749457,product placement,activity,Q1914636
Q714750,Brinell hardness test,activity,Q1914636
Q864184,whistling,activity,Q1914636
Q334055,Bessemer process,activity,Q1914636
Q332075,sakoku,activity,Q1914636
Q827742,mastication,activity,Q1914636
Q13410316,Gezi Park protests,activity,Q1914636
Q754479,nonviolent resistance,activity,Q1914636
Q898653,climate change mitigation,activity,Q1914636
Q816754,benchmarking,activity,Q1914636
Q847493,Yogacara,activity,Q1914636
Q924713,efficient energy use,activity,Q1914636
Q839475,Socratic method,activity,Q1914636
Q115468992,2022 COVID-19 protests in China,activity,Q1914636
Q210813,direct memory access,activity,Q1914636
Q210005,2011 Yemeni revolution,activity,Q1914636
Q127378229,2024 Bangladesh quota reform movement,activity,Q1914636
Q211024,Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,activity,Q1914636
Q26674,high fidelity,activity,Q1914636
Q46999835,2017–2018 Iranian protests,activity,Q1914636
Q1163564,screening,activity,Q1914636
Q620591,apotropaic magic,activity,Q1914636
Q242864,Bahraini protests of 2011,activity,Q1914636
Q455037,assembly line,activity,Q1914636
Q877998,students' union,activity,Q1914636
Q4738155,financial management,activity,Q1914636
Q1606582,nasalization,activity,Q1914636
Q1540695,January Events,activity,Q1914636
Q47148,Śruti,activity,Q1914636
Q3239189,grazing,activity,Q1914636
Q244939,228 Incident,activity,Q1914636
Q1121851,PechaKucha,activity,Q1914636
Q74532,foreign policy of Russia,activity,Q1914636
Q52967,Poznań 1956 protests,activity,Q1914636
Q23399,memetics,activity,Q1914636
Q3027665,live streaming,activity,Q1914636
Q791801,estimation,activity,Q1914636
Q828074,pin,activity,Q1914636
Q111458253,Aragalaya,activity,Q1914636
Q2091716,Pomodoro Technique,activity,Q1914636
Q843962,Saffron Revolution,activity,Q1914636
Q547416,hedge,activity,Q1914636
Q51846024,2018 Armenian Revolution,activity,Q1914636
Q260606,injection molding,activity,Q1914636
Q485544,CinemaScope,activity,Q1914636
Q661470,lomography,activity,Q1914636
Q901663,molecular dynamics simulation,activity,Q1914636
Q867147,product distribution,activity,Q1914636
Q834770,guerrilla gardening,activity,Q1914636
Q1562464,ultra-high-temperature processing,activity,Q1914636
