qid,label,class_label,class_qid
Q1502051,Rin Tin Tin,actor,Q33999
Q890911,Keiko,actor,Q33999
Q2433338,Tiliku,actor,Q33999
Q18536420,Jovian,actor,Q33999
Q997482,Bubbles,actor,Q33999
Q2679876,Crystal the Monkey,actor,Q33999
Q14832020,Lil Bub,actor,Q33999
Q82356,Winter,actor,Q33999
Q809222,Bart the Bear,actor,Q33999
Q677525,Orangey,actor,Q33999
Q697098,Strongheart,actor,Q33999
Q1632992,Uggie,actor,Q33999
Q7126106,Pal,actor,Q33999
Q7704028,Terry,actor,Q33999
Q614508,Trigger,actor,Q33999
Q3608249,Koko,actor,Q33999
Q3807723,Vitagraph Dog,actor,Q33999
Q6819212,Skippy,actor,Q33999
Q18450138,Douglas,actor,Q33999
Q18379191,Jimmy the raven,actor,Q33999
Q7673957,Taco Bell chihuahua,actor,Q33999
Q6417173,Cook,actor,Q33999
Q6105760,J. Fred Muggs,actor,Q33999
Q4673047,Ace the Wonder Dog,actor,Q33999
Q3544700,Madison,actor,Q33999
Q492396,Moose,actor,Q33999
Q40281162,Luke the Dog,actor,Q33999
Q20686121,Bruno,actor,Q33999
Q16938954,Brownie the Wonder Dog,actor,Q33999
Q4820098,Audrey,actor,Q33999
Q7487799,Shamu,actor,Q33999
Q856093,Pankun,actor,Q33999
Q96405697,Silver Streak,actor,Q33999
Q131549283,Burt,actor,Q33999
Q21978595,Teddy,actor,Q33999
Q21002371,Doug the Pug,actor,Q33999
Q21002368,Darla,actor,Q33999
Q16200891,Hercules,actor,Q33999
Q7577178,Spike,actor,Q33999
Q7319120,Rex,actor,Q33999
Q6913965,Morris the Cat,actor,Q33999
Q6546419,Lightning,actor,Q33999
Q6192329,Jiggs,actor,Q33999
Q4985197,Budweiser Clydesdales,actor,Q33999
Q4853408,Bamboo Harvester,actor,Q33999
Q3658715,Koton,actor,Q33999
Q1276251,Sam & Mark,actor,Q33999
Q137761671,Indy,actor,Q33999
Q87783199,Thunder the Dog,actor,Q33999
Q124822009,Messi,actor,Q33999
Q20686004,Bart the Bear 2,actor,Q33999
Q17594130,Shep,actor,Q33999
Q17115887,Champion the Wonder Horse,actor,Q33999
Q12600417,Sanggeun,actor,Q33999
Q12277979,Jed,actor,Q33999
Q5174238,Cosmo,actor,Q33999
Q4967881,Brigitte,actor,Q33999
Q4697770,Buddy,actor,Q33999
Q7550288,Soccer,actor,Q33999
Q65083394,Moonie,actor,Q33999
Q55611761,Flame (dog),actor,Q33999
Q109348232,Golden Eagle Award Audience's Choice for Actress (China),actor,Q33999
Q7857941,Twiggy the Water-Skiing Squirrel,actor,Q33999
Q28457432,Carlos,actor,Q33999
Q16201826,Higgins,actor,Q33999
Q7660509,Sykes,actor,Q33999
Q7285629,Rajah,actor,Q33999
Q6749859,Manis,actor,Q33999
Q4973200,Brody the Bear,actor,Q33999
Q78820580,Daisy,actor,Q33999
Q60792101,Kuma von Clifford,actor,Q33999
Q60755872,Olivia,actor,Q33999
Q48791299,Kokomo Jr.,actor,Q33999
Q135419750,Lord Nelson,actor,Q33999
Q3216108,Chés Cabotans,actor,Q33999
Q7560637,Son of Ghoul,actor,Q33999
