qid,label,class_label,class_qid
Q8646,Hong Kong,administrative region,Q3455524
Q3769,French Guiana,administrative region,Q3455524
Q3624,Addis Ababa,administrative region,Q3455524
Q16635,Guam,administrative region,Q3455524
Q17054,Martinique,administrative region,Q3455524
Q14112,Corsica,administrative region,Q3455524
Q17070,Réunion,administrative region,Q3455524
Q17012,Guadeloupe,administrative region,Q3455524
Q1273,Tuscany,administrative region,Q3455524
Q17063,Mayotte,administrative region,Q3455524
Q1210,Lombardy,administrative region,Q3455524
Q1282,Lazio,administrative region,Q3455524
Q1458,Calabria,administrative region,Q3455524
Q1216,Piedmont,administrative region,Q3455524
Q1447,Apulia,administrative region,Q3455524
Q1243,Veneto,administrative region,Q3455524
Q1263,Emilia-Romagna,administrative region,Q3455524
Q13917,Île-de-France,administrative region,Q3455524
Q1284,Abruzzo,administrative region,Q3455524
Q1438,Campania,administrative region,Q3455524
Q1256,Liguria,administrative region,Q3455524
Q7779,Commonwealth of Independent States,administrative region,Q3455524
Q1280,Umbria,administrative region,Q3455524
Q1452,Basilicata,administrative region,Q3455524
Q1279,Marche,administrative region,Q3455524
Q1443,Molise,administrative region,Q3455524
Q16994,Pays de la Loire,administrative region,Q3455524
Q15104,Provence-Alpes-Côte d'Azur,administrative region,Q3455524
Q13947,Centre-Val de Loire,administrative region,Q3455524
Q1179,Aquitaine,administrative region,Q3455524
Q18338206,Auvergne-Rhône-Alpes,administrative region,Q3455524
Q17005,Languedoc-Roussillon,administrative region,Q3455524
Q1173,Burgundy,administrative region,Q3455524
Q16394,Franche-Comté,administrative region,Q3455524
Q16987,Nord-Pas-de-Calais,administrative region,Q3455524
Q12130,Brittany,administrative region,Q3455524
Q18678082,Nouvelle-Aquitaine,administrative region,Q3455524
Q18677983,Grand Est,administrative region,Q3455524
Q16961,Upper Normandy,administrative region,Q3455524
Q16954,Lower Normandy,administrative region,Q3455524
Q1190,Limousin,administrative region,Q3455524
Q14103,Champagne-Ardenne,administrative region,Q3455524
Q18677767,Hauts-de-France,administrative region,Q3455524
Q17009,Poitou-Charentes,administrative region,Q3455524
Q463,Rhône-Alpes,administrative region,Q3455524
Q16393,Midi-Pyrénées,administrative region,Q3455524
Q18678265,Occitania,administrative region,Q3455524
Q18578267,Bourgogne-Franche-Comté,administrative region,Q3455524
Q18677875,Normandy,administrative region,Q3455524
Q193486,Dire Dawa,administrative region,Q3455524
Q24082791,Auvergne,administrative region,Q3455524
Q141810,Laval,administrative region,Q3455524
Q13580,Metro Manila,administrative region,Q3455524
Q200127,Tigray Region,administrative region,Q3455524
Q202107,Oromia Region,administrative region,Q3455524
Q193494,Afar Region,administrative region,Q3455524
Q202800,Somali Region,administrative region,Q3455524
Q203009,Amhara Region,administrative region,Q3455524
Q207638,Gambela Region,administrative region,Q3455524
Q203193,"Southern Nations, Nationalities, and Peoples' Region",administrative region,Q3455524
Q207635,Benishangul-Gumuz Region,administrative region,Q3455524
Q216923,Chinese Taipei,administrative region,Q3455524
Q13650,Calabarzon,administrative region,Q3455524
Q1033855,Harari Region,administrative region,Q3455524
Q12933,Ilocos Region,administrative region,Q3455524
Q13669,Central Visayas,administrative region,Q3455524
Q13662,Bicol Region,administrative region,Q3455524
Q13617,Central Luzon,administrative region,Q3455524
Q13615,Cagayan Valley,administrative region,Q3455524
Q13694,Davao Region,administrative region,Q3455524
Q13665,Western Visayas,administrative region,Q3455524
Q13704,Caraga,administrative region,Q3455524
Q13682,Zamboanga Peninsula,administrative region,Q3455524
Q13606,Cordillera Administrative Region,administrative region,Q3455524
Q13690,Northern Mindanao,administrative region,Q3455524
Q13675,Eastern Visayas,administrative region,Q3455524
Q13658,Mimaropa,administrative region,Q3455524
Q13701,Soccsksargen,administrative region,Q3455524
Q806550,Bangsamoro,administrative region,Q3455524
Q1152,Auvergne,administrative region,Q3455524
Q1143947,Diana Region,administrative region,Q3455524
Q1143915,Sava Region,administrative region,Q3455524
Q1165783,Sofia,administrative region,Q3455524
Q1463029,Vakinankaratra,administrative region,Q3455524
Q1124109,Côte-Nord,administrative region,Q3455524
Q16045730,Anosy,administrative region,Q3455524
Q484625,Analamanga,administrative region,Q3455524
Q757781,Atsimo-Andrefana,administrative region,Q3455524
Q615914,Saguenay–Lac-Saint-Jean,administrative region,Q3455524
Q1513970,Ihorombe,administrative region,Q3455524
Q1440747,Haute Matsiatra,administrative region,Q3455524
Q931679,Montérégie,administrative region,Q3455524
Q218981,Androy,administrative region,Q3455524
Q692825,Lanaudière,administrative region,Q3455524
Q178449,Analanjirofo,administrative region,Q3455524
Q510572,Mauricie,administrative region,Q3455524
Q222948,Outaouais,administrative region,Q3455524
Q573931,Itasy,administrative region,Q3455524
Q1352996,Alaotra-Mangoro,administrative region,Q3455524
Q1344087,Menabe,administrative region,Q3455524
Q1514040,Melaky,administrative region,Q3455524
Q1070673,Sidama Region,administrative region,Q3455524
Q474134,Amoron'i Mania,administrative region,Q3455524
Q321529,Abitibi-Témiscamingue,administrative region,Q3455524
Q740164,Boeny,administrative region,Q3455524
Q680780,Capitale-Nationale,administrative region,Q3455524
Q1462671,Vatovavy-Fitovinany,administrative region,Q3455524
Q927561,Nord-du-Québec,administrative region,Q3455524
Q832223,Betsiboka,administrative region,Q3455524
Q809729,Bas-Saint-Laurent,administrative region,Q3455524
Q757783,Atsinanana,administrative region,Q3455524
Q2304022,Laurentides,administrative region,Q3455524
Q757782,Atsimo-Atsinanana,administrative region,Q3455524
Q679739,Bongolava,administrative region,Q3455524
Q1068386,Chaudière-Appalaches,administrative region,Q3455524
Q764294,Centre-du-Québec,administrative region,Q3455524
Q1122368,Estrie,administrative region,Q3455524
Q728139,Gaspésie–Îles-de-la-Madeleine,administrative region,Q3455524
Q28155263,Olympic Athletes from Russia at the 2018 Winter Olympics,administrative region,Q3455524
Q109788993,Southwest Ethiopia Regional State,administrative region,Q3455524
Q17081785,Negros Island Region,administrative region,Q3455524
Q122148951,South Ethiopia Regional State,administrative region,Q3455524
Q122415622,Central Ethiopia Regional State,administrative region,Q3455524
Q109313604,Fitovinany,administrative region,Q3455524
Q107377358,Vatovavy,administrative region,Q3455524
Q3236252,Central Zone of São Paulo,administrative region,Q3455524
Q126684680,Ambatosoa,administrative region,Q3455524
Q67145861,Unified Korean sporting teams,administrative region,Q3455524
Q5195889,South-Central Zone,administrative region,Q3455524
Q9296727,Northeast Zone,administrative region,Q3455524
Q9097778,Northwest Zone,administrative region,Q3455524
Q5558295,Southeast Zone,administrative region,Q3455524
Q279830,West Zone of São Paulo,administrative region,Q3455524
Q9097789,South Zone of São Paulo,administrative region,Q3455524
Q7936427,Vista Alegre,administrative region,Q3455524
Q6793575,Mauricie–Bois-Francs,administrative region,Q3455524
Q1460,Sicily,administrative region,Q3455524
Q1462,Sardinia,administrative region,Q3455524
Q1222,Aosta Valley,administrative region,Q3455524
Q1237,Trentino-South Tyrol,administrative region,Q3455524
Q1250,Friuli Venezia Giulia,administrative region,Q3455524
Q3941,Astrakhan Oblast,administrative region,Q3455524
Q153326,Singida Region,administrative region,Q3455524
Q868515,Labé Region,administrative region,Q3455524
Q190600,Central Greece,administrative region,Q3455524
Q1514910,Lakeland South,administrative region,Q3455524
Q1515157,Mount Vista,administrative region,Q3455524
Q206489,Lower Mainland,administrative region,Q3455524
Q734609,Taguatinga,administrative region,Q3455524
Q768515,Thebaid,administrative region,Q3455524
Q920229,Temple Bar,administrative region,Q3455524
Q1480452,Helgeland,administrative region,Q3455524
Q1508606,Tanglewilde-Thompson Place,administrative region,Q3455524
Q647927,Jæren,administrative region,Q3455524
Q1603149,Ryfylke,administrative region,Q3455524
Q2262887,Hålogaland,administrative region,Q3455524
Q1317388,Kokang,administrative region,Q3455524
Q1503595,West Side Highway,administrative region,Q3455524
Q245107,Taiwan Area,administrative region,Q3455524
Q1467860,Romsdal,administrative region,Q3455524
Q1552899,Novempopulania,administrative region,Q3455524
Q1815684,Ofoten,administrative region,Q3455524
Q1002818,Ceilândia,administrative region,Q3455524
Q1414048,Hardanger,administrative region,Q3455524
Q3375019,South Zone of Rio de Janeiro,administrative region,Q3455524
Q1000858,region of the Faroe Islands,administrative region,Q3455524
Q1516706,Sunnhordland,administrative region,Q3455524
Q93572,Gama,administrative region,Q3455524
Q2034965,Salten,administrative region,Q3455524
Q3335462,Namdalen,administrative region,Q3455524
Q1479714,Romerike,administrative region,Q3455524
Q1589276,Haugaland,administrative region,Q3455524
Q1753666,Sunnmøre,administrative region,Q3455524
Q2445374,Ngo-Ketunjia,administrative region,Q3455524
Q3695717,Sunnfjord,administrative region,Q3455524
Q683934,Nordmøre,administrative region,Q3455524
Q901284,Dalane,administrative region,Q3455524
Q975708,Sogn,administrative region,Q3455524
Q1504275,Stimson Crossing,administrative region,Q3455524
Q1636415,Viken,administrative region,Q3455524
Q1932088,Midhordland,administrative region,Q3455524
Q308349,Østerdalen,administrative region,Q3455524
Q1439374,Fosen,administrative region,Q3455524
Q5300523,Vrhbosna,administrative region,Q3455524
Q1092453,North Slave Region,administrative region,Q3455524
Q176828,Nordhordland,administrative region,Q3455524
Q3050626,Hadeland,administrative region,Q3455524
Q718887,Inuvik Region,administrative region,Q3455524
Q1545695,Grenland,administrative region,Q3455524
Q3056708,Innherred,administrative region,Q3455524
Q3056703,Stjørdalen,administrative region,Q3455524
Q3421820,Recanto das Emas,administrative region,Q3455524
Q4132291,Follo,administrative region,Q3455524
Q1092228,Dehcho Region,administrative region,Q3455524
Q1092446,South Slave Region,administrative region,Q3455524
Q1092564,Sahtu Region,administrative region,Q3455524
Q2572868,Sobradinho,administrative region,Q3455524
Q2596736,Toten,administrative region,Q3455524
Q3050652,Solør,administrative region,Q3455524
Q3357050,Hedmarken,administrative region,Q3455524
Q1452004,Lago Sul,administrative region,Q3455524
Q3244313,Vest-Telemark,administrative region,Q3455524
Q3643980,Brazlândia,administrative region,Q3455524
Q3655167,Candangolândia,administrative region,Q3455524
Q3807308,Jardim Botânico,administrative region,Q3455524
Q3825755,Lago Norte,administrative region,Q3455524
Q3949105,Santa Maria,administrative region,Q3455524
Q3979258,São Sebastião,administrative region,Q3455524
Q2041340,Riacho Fundo,administrative region,Q3455524
Q2577688,Planaltina,administrative region,Q3455524
Q3175799,Orkdalen,administrative region,Q3455524
Q3437426,Aust-Telemark,administrative region,Q3455524
Q3576964,Águas Claras,administrative region,Q3455524
Q3698803,Cruzeiro,administrative region,Q3455524
Q3778442,Guará,administrative region,Q3455524
Q3804504,Itapoã,administrative region,Q3455524
Q3895255,Paranoá,administrative region,Q3455524
Q3976670,Sudoeste/Octogonal,administrative region,Q3455524
Q4008814,Varjão,administrative region,Q3455524
Q10281128,Fercal,administrative region,Q3455524
Q778250,Samambaia,administrative region,Q3455524
Q17035232,Skorta,administrative region,Q3455524
Q3880035,Núcleo Bandeirante,administrative region,Q3455524
Q3896114,Park Way,administrative region,Q3455524
Q3934199,Riacho Fundo II,administrative region,Q3455524
Q3958293,Setor Complementar de Indústria e Abastecimento,administrative region,Q3455524
Q3958292,Setor de Indústria e Abastecimento,administrative region,Q3455524
Q5845392,Mixcoac,administrative region,Q3455524
Q6146459,Three Fanzhen of Hebei,administrative region,Q3455524
Q747028,Sobradinho II,administrative region,Q3455524
Q10390279,Vicente Pires,administrative region,Q3455524
Q1762586,Glåmdal,administrative region,Q3455524
Q1770844,Indre Østfold,administrative region,Q3455524
Q135125494,Julga Bahador,administrative region,Q3455524
Q49303,Acuera,administrative region,Q3455524
Q12200602,East Beirut canton,administrative region,Q3455524
Q3440222,Inntrøndelag,administrative region,Q3455524
Q4101354,Buchan,administrative region,Q3455524
Q4569173,Midt-Telemark,administrative region,Q3455524
Q4575228,Østre Agder,administrative region,Q3455524
Q4575259,Lindesnes Region,administrative region,Q3455524
Q4575300,Lister Region,administrative region,Q3455524
Q6516140,Vinger,administrative region,Q3455524
Q1799842,Kristiansand Region,administrative region,Q3455524
Q4147087,Gowrie,administrative region,Q3455524
Q6516245,Strilelandet,administrative region,Q3455524
Q6986327,Nedre Romerike,administrative region,Q3455524
Q7963585,Walnut Grove,administrative region,Q3455524
Q8079287,Øvre Romerike,administrative region,Q3455524
Q97181430,Arniqueira,administrative region,Q3455524
Q97182731,Sol Nascente/Pôr do Sol,administrative region,Q3455524
Q12009533,Vestoppland,administrative region,Q3455524
Q8059830,Ytre Østfold,administrative region,Q3455524
Q60760283,West Kimberley,administrative region,Q3455524
Q137762564,Voss,administrative region,Q3455524
Q4789855,Argyll and Clyde,administrative region,Q3455524
Q5314178,Dunbartonshire and Argyll & Bute,administrative region,Q3455524
Q5690731,Health and Community Services St. John's Region,administrative region,Q3455524
Q25424373,Central Hålogaland,administrative region,Q3455524
Q43371212,Corporation and District Council of Clare,administrative region,Q3455524
