qid,label,class_label,class_qid
Q21467398,Poseidon,aircraft,Q11436
Q1325379,Elbit Hermes 450,aircraft,Q11436
Q60747369,Kratos XQ-58 Valkyrie,aircraft,Q11436
Q63994866,Boeing MQ-28 Ghost Bat,aircraft,Q11436
Q1353965,AeroVironment Helios Prototype,aircraft,Q11436
Q892990,L'Oiseau Blanc,aircraft,Q11436
Q892372,mystery airship,aircraft,Q11436
Q1734367,Karrar,aircraft,Q11436
Q1930397,USS Shenandoah,aircraft,Q11436
Q65071968,TAI Aksungur,aircraft,Q11436
Q60746579,Shahed 171,aircraft,Q11436
Q1739991,Kettering Bug,aircraft,Q11436
Q1120516,ADM-160 MALD,aircraft,Q11436
Q28169746,Shahed 191,aircraft,Q11436
Q28666311,Eleron-3,aircraft,Q11436
Q527431,La France,aircraft,Q11436
Q106937564,Shahed 149,aircraft,Q11436
Q1601605,thermal airship,aircraft,Q11436
Q3951128,Savoia-Marchetti S.66,aircraft,Q11436
Q2343905,Desert Hawk,aircraft,Q11436
Q123253322,V-BAT,aircraft,Q11436
Q121781725,Mohajer 10,aircraft,Q11436
Q5556831,Ghods Mohajer,aircraft,Q11436
Q85746058,Bayraktar Tactical UAS,aircraft,Q11436
Q1356636,La-17,aircraft,Q11436
Q1164696,CP-140 Aurora,aircraft,Q11436
Q136033,Zero Emission Hyper Sonic Transport,aircraft,Q11436
Q14762469,Evo Morales grounding incident,aircraft,Q11436
Q110128851,General Atomics Mojave,aircraft,Q11436
Q751649,Scottish Aviation Twin Pioneer,aircraft,Q11436
Q384054,Roma,aircraft,Q11436
Q137462698,Low-cost Uncrewed Combat Attack System,aircraft,Q11436
Q3556952,23 class airship,aircraft,Q11436
Q12251618,Yabhon United 40,aircraft,Q11436
Q125213070,Liutyi,aircraft,Q11436
Q5699827,Heinkel HE 18,aircraft,Q11436
Q5353751,Elbit Hermes 90,aircraft,Q11436
Q4242158,Krunk UAV,aircraft,Q11436
Q65126216,Luch Korsar,aircraft,Q11436
Q1133094,Lockheed Martin Cormorant,aircraft,Q11436
Q2578038,Giffard dirigible,aircraft,Q11436
Q2178758,Lebaudy République,aircraft,Q11436
Q28666314,Eleron-10,aircraft,Q11436
Q20097228,A1-S Furia,aircraft,Q11436
Q4969475,British Army Dirigible No 1,aircraft,Q11436
Q4536596,Yakovlev Yak-201,aircraft,Q11436
Q6511225,Lebaudy Patrie,aircraft,Q11436
Q107354115,Shahed 121,aircraft,Q11436
Q4053514,ZALA 421-06,aircraft,Q11436
Q3878577,Northrop Grumman Switchblade,aircraft,Q11436
Q3814687,Denel Dynamics Seeker,aircraft,Q11436
Q12062347,AeroVironment Centurion,aircraft,Q11436
Q5628904,Pegasus,aircraft,Q11436
Q4084945,Berkut,aircraft,Q11436
Q8195097,ALFLEX,aircraft,Q11436
Q48802942,Facebook Aquila,aircraft,Q11436
