qid,label,class_label,class_qid
Q32491,Qantas Airways,airline,Q46970
Q201821,Finnair,airline,Q46970
Q460373,Air Serbia,airline,Q46970
Q822130,Q822130,airline,Q46970
Q407292,Air Greenland,airline,Q46970
Q283790,Flybe,airline,Q46970
Q162174,Air Dolomiti,airline,Q46970
Q583843,Olympic Air,airline,Q46970
Q508417,TUI fly Deutschland,airline,Q46970
Q794959,B&H Airlines,airline,Q46970
Q782557,FedEx Express,airline,Q46970
Q1156859,TUI Airways,airline,Q46970
Q934983,Loganair,airline,Q46970
Q1365358,HK Express,airline,Q46970
Q1344593,Enter Air,airline,Q46970
Q151174,Darwin Airline,airline,Q46970
Q265138,Lufthansa Cargo,airline,Q46970
Q1318737,UPS Airlines,airline,Q46970
Q381078,Aer Arann,airline,Q46970
Q1458703,Air Canada Jazz,airline,Q46970
Q381509,AeroLogic,airline,Q46970
Q28149,Air Åland,airline,Q46970
Q1066031,ASL Airlines Belgium,airline,Q46970
Q1030192,Yamal Airlines,airline,Q46970
Q773662,SkyWest Airlines,airline,Q46970
Q406645,AirBridgeCargo Airlines,airline,Q46970
Q1586376,Q1586376,airline,Q46970
Q407371,Air Inuit,airline,Q46970
Q664721,Air China Cargo,airline,Q46970
Q311233,EuroLOT,airline,Q46970
Q1188206,Hokkaido Air System,airline,Q46970
Q1366724,ABX Air,airline,Q46970
Q1368765,MASkargo,airline,Q46970
Q1319130,EgyptAir Cargo,airline,Q46970
Q1939338,Poste Air Cargo,airline,Q46970
Q1922297,Mesa Airlines,airline,Q46970
Q1811473,Porter Airlines,airline,Q46970
Q1364998,Nippon Cargo Airlines,airline,Q46970
Q408808,PNG Air,airline,Q46970
Q1136917,Q1136917,airline,Q46970
Q699514,XL Airways Germany,airline,Q46970
Q48732422,Amazon Air,airline,Q46970
Q407055,Air Creebec,airline,Q46970
Q406653,Q406653,airline,Q46970
Q18434260,Silk Way West Airlines,airline,Q46970
Q123144232,KM Malta Airlines,airline,Q46970
Q666821,Air Canada Express,airline,Q46970
Q30344196,Buta Airways,airline,Q46970
Q107657417,Air Montenegro,airline,Q46970
Q2736943,Airest,airline,Q46970
Q1139445,Avianca Cargo,airline,Q46970
Q869352,Qantas Freight,airline,Q46970
Q1027577,Rostvertol,airline,Q46970
Q813036,Bearskin Airlines,airline,Q46970
Q152528,Baboo,airline,Q46970
Q260807,Colgan Air,airline,Q46970
Q295624,ANA Wings,airline,Q46970
Q288836,Air ACT,airline,Q46970
Q15614811,Up,airline,Q46970
Q833531,Central Mountain Air,airline,Q46970
Q1346236,I-Fly,airline,Q46970
Q1319923,LATAM Cargo Chile,airline,Q46970
Q326794,DHL International Aviation ME,airline,Q46970
Q2071382,Air Georgian,airline,Q46970
Q1669658,Republic Airways,airline,Q46970
Q1189646,MasAir Cargo Mexico,airline,Q46970
Q1189545,LATAM Cargo Brasil,airline,Q46970
Q1151882,Oriental Air Bridge,airline,Q46970
Q790858,Aviavilsa,airline,Q46970
Q153797,Air Labrador,airline,Q46970
Q292251,Cargo Air,airline,Q46970
Q1316985,Jade Cargo International,airline,Q46970
Q27917033,BRA Braathens Regional Airlines,airline,Q46970
Q27493922,Wingo,airline,Q46970
Q1931750,Mid East Jet,airline,Q46970
Q1810388,748 Air Services,airline,Q46970
Q4688300,Q4688300,airline,Q46970
Q55371187,Corendon Airlines Europe,airline,Q46970
Q11289522,Air Incheon,airline,Q46970
Q873330,PAL Express,airline,Q46970
Q749069,Heli Air Monaco,airline,Q46970
Q17113508,Manx2,airline,Q46970
Q17096618,Stobart Air,airline,Q46970
Q15840489,Piedmont Airlines,airline,Q46970
Q13418307,Ravn Alaska,airline,Q46970
Q2550235,Wasaya Airways,airline,Q46970
Q2073908,Perimeter Aviation,airline,Q46970
Q381195,Aerosucre,airline,Q46970
Q1810636,SATENA,airline,Q46970
Q528492,CommuteAir,airline,Q46970
Q12072764,WestJet Encore,airline,Q46970
Q407847,Air Tindi,airline,Q46970
Q3408507,PAL Airlines,airline,Q46970
Q17070034,Aer Arann Islands,airline,Q46970
Q27886697,Sundair,airline,Q46970
Q5327564,East-West Airlines,airline,Q46970
Q21884331,CargoLogicAir,airline,Q46970
Q1549336,Partnair,airline,Q46970
Q499539,Skippers Aviation,airline,Q46970
Q479159,European Air Transport Leipzig,airline,Q46970
Q4052803,Voyageur Airways,airline,Q46970
Q1187202,Denim Air,airline,Q46970
Q835482,DHL Air UK,airline,Q46970
Q537223,LATAM Cargo Colombia,airline,Q46970
Q16984141,Q16984141,airline,Q46970
Q48723676,Air Deccan,airline,Q46970
Q385885,Air Zermatt,airline,Q46970
Q2554316,Sobelair,airline,Q46970
Q2282575,Inversija,airline,Q46970
Q5450036,Fine Air,airline,Q46970
Q372914,Copterline,airline,Q46970
Q325722,Air Cargo Germany,airline,Q46970
Q478476,Amsterdam Airlines,airline,Q46970
Q12125952,Asia Atlantic Airlines,airline,Q46970
Q4048145,R1 Airlines,airline,Q46970
Q4036611,Cougar Helicopters,airline,Q46970
Q166300,Aero-Dienst,airline,Q46970
Q117851008,One Air,airline,Q46970
Q111212527,CMA CGM Air Cargo,airline,Q46970
Q15222783,Alsie Express,airline,Q46970
Q4969137,Bristow Helicopters,airline,Q46970
Q7050695,Nordic Global Airlines,airline,Q46970
Q327569,Bremenfly,airline,Q46970
Q20688256,YTO Cargo Airlines,airline,Q46970
Q1489383,Gum Air,airline,Q46970
Q77604531,TUM AeroCarga,airline,Q46970
Q4050397,Sunwest Aviation,airline,Q46970
Q4045480,North Cariboo Air,airline,Q46970
Q4042123,Keewatin Air,airline,Q46970
Q4040522,Helijet,airline,Q46970
Q3366527,Det Danske Luftfartselskab,airline,Q46970
Q1063314,Interstate Airlines,airline,Q46970
Q684612,Heliswiss,airline,Q46970
Q659057,Republic Express Airlines,airline,Q46970
Q573300,European Air Transport,airline,Q46970
Q17310422,Aviolet,airline,Q46970
Q29017964,AirX Charter,airline,Q46970
Q407089,Air Excel,airline,Q46970
