qid,label,class_label,class_qid
Q478595,Tan Son Nhat International Airport,airport,Q1248784
Q773330,Da Nang International Airport,airport,Q1248784
Q25226,Cam Ranh International Airport,airport,Q1248784
Q8691,London Heathrow Airport,airport,Q1248784
Q9694,Amsterdam Schiphol Airport,airport,Q1248784
Q46280,Paris-Charles de Gaulle Airport,airport,Q1248784
Q46033,Frankfurt Airport,airport,Q1248784
Q186614,Domodedovo International Airport,airport,Q1248784
Q8685,John F. Kennedy International Airport,airport,Q1248784
Q181479,Ben Gurion Airport,airport,Q1248784
Q192733,Sheremetyevo International Airport,airport,Q1248784
Q193439,Dubai International Airport,airport,Q1248784
Q32159,Singapore Changi Airport,airport,Q1248784
Q32190,Beijing Capital International Airport,airport,Q1248784
Q166276,Madrid-Barajas Airport,airport,Q1248784
Q204853,Tokyo International Airport,airport,Q1248784
Q8703,London Gatwick Airport,airport,Q1248784
Q32999,Wien-Schwechat Airport,airport,Q1248784
Q386864,Heydar Aliyev International Airport,airport,Q1248784
Q36454,Narita International Airport,airport,Q1248784
Q193682,Kansai International Airport,airport,Q1248784
Q28934,Brussels Airport,airport,Q1248784
Q19101,Roma Fiumicino Airport,airport,Q1248784
Q8731,Los Angeles International Airport,airport,Q1248784
Q214861,Hartsfield–Jackson Atlanta International Airport,airport,Q1248784
Q213717,O'Hare International Airport,airport,Q1248784
Q194316,Suvarnabhumi Airport,airport,Q1248784
Q17704,Hong Kong International Airport,airport,Q1248784
Q500253,Kuala Lumpur International Airport,airport,Q1248784
Q131402,Munich Airport,airport,Q1248784
Q1423325,Phu Quoc International Airport,airport,Q1248784
Q20932,Incheon International Airport,airport,Q1248784
Q36420,Shanghai Pudong International Airport,airport,Q1248784
Q223416,Orly Airport,airport,Q1248784
Q821275,Indira Gandhi International Airport,airport,Q1248784
Q15114,Zurich Airport,airport,Q1248784
Q3661908,Istanbul Airport,airport,Q1248784
Q273462,Vnukovo International Airport,airport,Q1248784
Q206277,Copenhagen Airport,airport,Q1248784
Q477677,Boryspil International Airport,airport,Q1248784
Q17581,Sydney Airport,airport,Q1248784
Q8709,London Stansted Airport,airport,Q1248784
Q749497,Soekarno–Hatta International Airport,airport,Q1248784
Q211734,"Athens International Airport ""Eleftherios Venizelos""",airport,Q1248784
Q643562,Zayed International Airport,airport,Q1248784
Q215327,Helsinki Airport,airport,Q1248784
Q8688,San Francisco International Airport,airport,Q1248784
Q465071,Warsaw Chopin Airport,airport,Q1248784
Q319654,LaGuardia Airport,airport,Q1248784
Q60910,"Milan–Malpensa ""Silvio Berlusconi"" Airport",airport,Q1248784
Q8712,London Luton Airport,airport,Q1248784
Q242066,Toronto Pearson International Airport,airport,Q1248784
Q210559,Oslo Airport,airport,Q1248784
Q56973,Josep Tarradellas Airport Barcelona-El Prat,airport,Q1248784
Q723622,Istanbul Sabiha Gökçen International Airport,airport,Q1248784
Q160094,Phu Bai International Airport,airport,Q1248784
Q44868,Guangzhou Baiyun International Airport,airport,Q1248784
Q8982,London City Airport,airport,Q1248784
Q223499,Stockholm Arlanda Airport,airport,Q1248784
Q459096,Dallas/Fort Worth International Airport,airport,Q1248784
Q160556,Berlin Brandenburg Airport,airport,Q1248784
Q99172,Václav Havel Airport Prague,airport,Q1248784
Q127955,Belgrade Nikola Tesla Airport,airport,Q1248784
Q8694,Manchester Airport,airport,Q1248784
Q178021,Dublin Airport,airport,Q1248784
Q461793,Cairo International Airport,airport,Q1248784
Q44856,Taoyuan International Airport,airport,Q1248784
Q289972,Geneva International Airport,airport,Q1248784
Q744802,Kabul International Airport,airport,Q1248784
Q170343,Can Tho International Airport,airport,Q1248784
Q321224,Vancouver International Airport,airport,Q1248784
Q27706,Hamburg Airport,airport,Q1248784
Q504368,Chhatrapati Shivaji Maharaj International Airport,airport,Q1248784
Q500945,Budapest Ferenc Liszt International Airport,airport,Q1248784
Q849347,Venice Marco Polo Airport,airport,Q1248784
Q466786,Newark Liberty International Airport,airport,Q1248784
Q847711,Vilnius Airport,airport,Q1248784
Q330015,Denver International Airport,airport,Q1248784
Q384788,Ministro Pistarini International Airport,airport,Q1248784
Q44877,Paro Airport,airport,Q1248784
Q1198791,Hamad International Airport,airport,Q1248784
Q217226,Tirana International Airport Nënë Tereza,airport,Q1248784
Q517873,Bergamo-Il Caravaggio,airport,Q1248784
Q505421,Riga International Airport,airport,Q1248784
Q690122,Pulkovo Airport,airport,Q1248784
Q777855,Minsk National Airport,airport,Q1248784
Q58226,Düsseldorf Airport,airport,Q1248784
Q1139574,Beijing Daxing International Airport,airport,Q1248784
Q403671,Humberto Delgado Airport,airport,Q1248784
Q86446,Ninoy Aquino International Airport,airport,Q1248784
Q156971,EuroAirport Basel-Mulhouse-Freiburg,airport,Q1248784
Q153592,King Abdulaziz International Airport,airport,Q1248784
Q206349,Jomo Kenyatta International Airport,airport,Q1248784
Q733738,Melbourne Airport,airport,Q1248784
Q860559,Aeropuerto Internacional Benito Juárez,airport,Q1248784
Q127530,Miami International Airport,airport,Q1248784
Q139921,Keflavík Airport,airport,Q1248784
Q14295,Seattle–Tacoma International Airport,airport,Q1248784
Q257631,Henri Coandă International Airport,airport,Q1248784
Q912916,Phoenix Sky Harbor International Airport,airport,Q1248784
Q734729,Tehran Imam Khomeini International Airport,airport,Q1248784
Q503364,Kempegowda International Airport,airport,Q1248784
Q501083,Gibraltar International Airport,airport,Q1248784
Q821557,Nice Côte d'Azur Airport,airport,Q1248784
Q61066,Tribhuvan International Airport,airport,Q1248784
Q8721,Glasgow Airport,airport,Q1248784
Q1124922,Zvartnots International Airport,airport,Q1248784
Q650285,Ufa International Airport,airport,Q1248784
Q466835,Washington Dulles International Airport,airport,Q1248784
Q421811,Shanghai Hongqiao International Airport,airport,Q1248784
Q828386,Linate Airport,airport,Q1248784
Q158732,Stuttgart Airport,airport,Q1248784
Q385406,São Paulo-Guarulhos International Airport,airport,Q1248784
Q679345,Chubu Centrair International Airport,airport,Q1248784
Q128016,Zagreb Airport,airport,Q1248784
Q44923,Addis Ababa Bole International Airport,airport,Q1248784
Q9689,Berlin Schönefeld Airport,airport,Q1248784
Q8719,Birmingham Airport,airport,Q1248784
Q1547,Lyon–Saint-Exupéry Airport,airport,Q1248784
Q643783,Pristina International Airport Adem Jashari,airport,Q1248784
Q860952,Tashkent International Airport,airport,Q1248784
Q853886,Harry Reid International Airport,airport,Q1248784
Q671475,Logan International Airport,airport,Q1248784
Q821750,OR Tambo International Airport,airport,Q1248784
Q672289,Malta International Airport,airport,Q1248784
Q47157,King Khalid International Airport,airport,Q1248784
Q8716,Edinburgh Airport,airport,Q1248784
Q1132616,Rome Ciampino Airport,airport,Q1248784
Q1109558,Ljubljana Jože Pučnik Airport,airport,Q1248784
Q744748,George Bush Intercontinental Airport,airport,Q1248784
Q637639,Bahrain International Airport,airport,Q1248784
Q635826,Sharjah International Airport,airport,Q1248784
Q401700,Sardar Vallabhbhai Patel International Airport,airport,Q1248784
Q827480,Antalya Airport,airport,Q1248784
Q157741,Cologne Bonn Airport,airport,Q1248784
Q389241,Bologna Guglielmo Marconi Airport,airport,Q1248784
Q127951,Sofia Airport,airport,Q1248784
Q654636,Larnaca International Airport,airport,Q1248784
Q1133357,Muscat International Airport,airport,Q1248784
Q651190,Marseille Provence Airport,airport,Q1248784
Q512128,Philadelphia International Airport,airport,Q1248784
Q740392,Sarajevo International Airport (SJJ),airport,Q1248784
Q736627,Montréal–Trudeau International Airport,airport,Q1248784
Q502670,Chennai International Airport,airport,Q1248784
Q581545,John Paul II International Airport Kraków-Balice,airport,Q1248784
Q385191,Hurghada International Airport,airport,Q1248784
Q656993,Palma de Mallorca Airport,airport,Q1248784
Q778213,Tbilisi International Airport,airport,Q1248784
Q326268,Sharm el-Sheikh International Airport,airport,Q1248784
Q47151,Kazan International Airport,airport,Q1248784
Q45935,Perth Airport,airport,Q1248784
Q61052,Jinnah International Airport,airport,Q1248784
Q60900,Bandaranaike International Airport,airport,Q1248784
Q1348234,Eindhoven Airport,airport,Q1248784
Q1061846,Ngurah Rai International Airport,airport,Q1248784
Q304438,Baghdad International Airport,airport,Q1248784
Q733998,Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport,airport,Q1248784
Q858844,Almaty International Airport,airport,Q1248784
Q430490,Ankara Esenboğa Airport,airport,Q1248784
Q597649,Charlotte Douglas International Airport,airport,Q1248784
Q371471,Vágar Airport,airport,Q1248784
Q8979,Belfast International Airport,airport,Q1248784
Q955433,Mohammed V International Airport,airport,Q1248784
Q929859,Orlando International Airport,airport,Q1248784
Q872186,Luxembourg Airport,airport,Q1248784
Q491767,Pyongyang International Airport,airport,Q1248784
Q721494,Queen Alia International Airport,airport,Q1248784
Q854130,Cape Town International Airport,airport,Q1248784
Q849314,Alicante Airport,airport,Q1248784
Q844951,Chișinău International Airport,airport,Q1248784
Q828379,M. R. Štefánik Airport,airport,Q1248784
Q94895,Baltimore/Washington International Thurgood Marshall Airport,airport,Q1248784
Q387560,Chengdu Shuangliu International Airport,airport,Q1248784
Q45938,Auckland Airport,airport,Q1248784
Q45523,Brisbane Airport,airport,Q1248784
Q30603,Hazrat Shahjalal International Airport,airport,Q1248784
Q8727,Liverpool John Lennon Airport,airport,Q1248784
Q8725,Bristol Airport,airport,Q1248784
Q1138408,Sochi International Airport,airport,Q1248784
Q531178,Daniel K. Inouye International Airport,airport,Q1248784
Q527157,Kuwait International Airport,airport,Q1248784
Q251538,Salzburg Airport,airport,Q1248784
Q526488,Salt Lake City International Airport,airport,Q1248784
Q201785,El Dorado International Airport,airport,Q1248784
Q875749,Minneapolis–Saint Paul International Airport,airport,Q1248784
Q723325,Princess Juliana International Airport,airport,Q1248784
Q709169,Pisa International Airport “Galileo Galilei”,airport,Q1248784
Q158211,Hahn Airport,airport,Q1248784
Q388535,Netaji Subhas Chandra Bose International Airport,airport,Q1248784
Q586065,Entebbe International Airport,airport,Q1248784
Q540273,Catania-Fontanarossa Airport,airport,Q1248784
Q1328849,Tolmachevo Airport,airport,Q1248784
Q32997,Manas International Airport,airport,Q1248784
Q1371636,Kunming Changshui International Airport,airport,Q1248784
Q1137115,Gothenburg-Landvetter Airport,airport,Q1248784
Q278667,Rajiv Gandhi International Airport,airport,Q1248784
Q849383,Naples International Airport,airport,Q1248784
Q694434,Innsbruck Airport,airport,Q1248784
Q170169,Hannover Airport,airport,Q1248784
Q690894,Málaga-Costa del Sol,airport,Q1248784
Q844098,Noi Bai International Airport,airport,Q1248784
Q127671,Arturo Merino Benítez International Airport,airport,Q1248784
Q141677,Xi'an Xianyang International Airport,airport,Q1248784
Q668329,Beirut–Rafic Hariri International Airport,airport,Q1248784
Q570873,Damascus International Airport,airport,Q1248784
Q372615,Toulouse-Blagnac,airport,Q1248784
Q59633,Svalbard Airport,airport,Q1248784
Q9686,Berlin-Tempelhof Airport,airport,Q1248784
Q8994,Cardiff Airport,airport,Q1248784
Q1050707,Paphos International Airport,airport,Q1248784
Q1046755,Don Mueang International Airport,airport,Q1248784
Q265994,Nuremberg Airport,airport,Q1248784
Q522432,Bălți International Airport,airport,Q1248784
Q911155,King Fahd International Airport,airport,Q1248784
Q641967,Cancún International Airport,airport,Q1248784
Q639161,Madeira Cristiano-Ronaldo Airport,airport,Q1248784
Q174233,Nursultan Nazarbayev International Airport,airport,Q1248784
Q842297,Shenzhen Bao'an International Airport,airport,Q1248784
Q821984,Tenerife South Airport,airport,Q1248784
Q652505,Detroit Metropolitan Wayne County Airport,airport,Q1248784
Q127721,Carriel Sur International Airport,airport,Q1248784
Q667001,Faro Airport,airport,Q1248784
Q381677,José Martí International Airport,airport,Q1248784
Q765650,Ürümqi Tianshan International Airport,airport,Q1248784
Q1411192,Julius Nyerere International Airport,airport,Q1248784
Q1432234,Odesa International Airport,airport,Q1248784
Q29104,Velana International Airport,airport,Q1248784
Q1324587,Burgas Airport,airport,Q1248784
Q36460,Sir Seewoosagur Ramgoolam International Airport,airport,Q1248784
Q1130612,Gran Canaria Airport,airport,Q1248784
Q1043631,Murtala Muhammed International Airport,airport,Q1248784
Q943743,Francisco de Sá Carneiro Airport,airport,Q1248784
Q240694,Phuket International Airport,airport,Q1248784
Q178162,Graz Airport,airport,Q1248784
Q635361,Fort Lauderdale–Hollywood,airport,Q1248784
Q668382,Leipzig/Halle Airport,airport,Q1248784
Q788417,Chongqing Jiangbei International Airport,airport,Q1248784
Q559107,Nanjing Lukou International Airport,airport,Q1248784
Q571536,Tampa International Airport,airport,Q1248784
Q313587,Dortmund Airport,airport,Q1248784
Q60879,Allama Iqbal International Airport,airport,Q1248784
Q8699,Leeds Bradford Airport,airport,Q1248784
Q1333923,San Diego International Airport,airport,Q1248784
Q1232348,Chania International Airport,airport,Q1248784
Q20455825,Valencia Airport,airport,Q1248784
Q1165584,Oakland San Francisco Bay Airport,airport,Q1248784
Q1162558,Katowice International Airport,airport,Q1248784
Q1160343,Calgary International Airport,airport,Q1248784
Q1156904,Kutaisi International Airport,airport,Q1248784
Q1142219,Jorge Chávez International Airport,airport,Q1248784
Q1061330,Christchurch International Airport,airport,Q1248784
Q932514,Tenerife North Airport,airport,Q1248784
Q177689,Accra International Airport,airport,Q1248784
Q601091,Wuhan Tianhe International Airport,airport,Q1248784
Q577067,Vladivostok International Airport,airport,Q1248784
Q127958,"Thessaloniki Airport ""Makedonia""",airport,Q1248784
Q1406198,Chu Lai Airport,airport,Q1248784
Q1431549,Ibiza Airport,airport,Q1248784
Q14302,Adelaide Airport,airport,Q1248784
Q1345361,Cork Airport,airport,Q1248784
Q1200570,Batumi International Airport,airport,Q1248784
