qid,label,class_label,class_qid
Q213683,Pink Floyd – The Wall,album,Q482994
Q44447,Michael Jackson's This Is It,album,Q482994
Q15303590,Beyoncé,album,Q482994
Q44396,Moonwalker,album,Q482994
Q217023,Bullet in a Bible,album,Q482994
Q148763,The Beyoncé Experience – Live,album,Q482994
Q753109,Völkerball,album,Q482994
Q681424,Live 2003,album,Q482994
Q1616110,Live at Wembley,album,Q482994
Q148931,B'Day – Anthology Video Album,album,Q482994
Q287615,KylieFever2002: Live in Manchester,album,Q482994
Q1341045,On the Night,album,Q482994
Q239773,Garbage,album,Q482994
Q1088497,"The Big Four: Live from Sofia, Bulgaria",album,Q482994
Q1944546,Michael Jackson's Vision,album,Q482994
Q75531,Lichtspielhaus,album,Q482994
Q1028548,Jonas Brothers: The 3D Concert Experience,album,Q482994
Q155200,KylieX2008,album,Q482994
Q149351,Above and Beyoncé – Video Collection & Dance Mixes,album,Q482994
Q1779172,Live in Bucharest: The Dangerous Tour,album,Q482994
Q944880,MTV Unplugged,album,Q482994
Q1650850,Dangerous: The Short Films,album,Q482994
Q934282,Absolution Tour,album,Q482994
Q2264768,Maiden England,album,Q482994
Q1395129,Familiar to Millions,album,Q482994
Q1317234,Live in Atlanta,album,Q482994
Q1768536,Power of the Dollar,album,Q482994
Q328408,Body Language Live,album,Q482994
Q1767947,The Ultimate Performer,album,Q482994
Q5920952,Number Ones,album,Q482994
Q731387,"HIStory on Film, Volume II",album,Q482994
Q2330151,The Best Damn Tour: Live in Toronto,album,Q482994
Q666187,Good Girl Gone Bad Live,album,Q482994
Q1151689,Britney Spears: In the Zone,album,Q482994
Q220686,Time Out with Britney Spears,album,Q482994
Q1085726,Live in Gdańsk,album,Q482994
Q112057700,Thriller 40,album,Q482994
Q13579751,MDNA World Tour,album,Q482994
Q667054,The Reel Me,album,Q482994
Q2292850,My World,album,Q482994
Q1428417,The Rolling Stones Rock and Roll Circus,album,Q482994
Q941927,Video Greatest Hits – HIStory,album,Q482994
Q7530148,Sirens,album,Q482994
Q1260740,The Videos 1989–2004,album,Q482994
Q1073292,Live at Montreux 2006,album,Q482994
