qid,label,class_label,class_qid
Q939566,United Nations Messenger of Peace,ambassador,Q121998
Q4374313,Permanent Representative of Russia to the United Nations,ambassador,Q121998
Q5168039,Coordinator for Counterterrorism,ambassador,Q121998
Q28664386,Permanent Representative of Turkey to the United Nations,ambassador,Q121998
Q85990110,Permanent Representative of Indonesia to the United Nations in Geneva,ambassador,Q121998
Q7169246,Permanent Representative of Sweden to the United Nations,ambassador,Q121998
Q43165333,Permanent representative of Spain to the European Union,ambassador,Q121998
Q29325628,High Commissioner of Malaysia to Australia,ambassador,Q121998
Q48740804,Permanent Representative of Myanmar the United Nations Office at Geneva,ambassador,Q121998
Q43082849,Permanent Representative of Thailand to the United Nations Office at Geneva,ambassador,Q121998
Q28231404,Permanent Representative of Andorra to the United Nations Office at Geneva,ambassador,Q121998
Q28195929,Andorran permanent representative to the United Nations in New York City,ambassador,Q121998
Q117865956,Permanent Representative of the Democratic Republic of the Congo to the United Nations,ambassador,Q121998
Q136367636,Ambassador Head of Mission of Spain to the European Communities,ambassador,Q121998
Q120152052,Permanent Representative of Sudan to the United Nations,ambassador,Q121998
Q24943810,Holy See Representative,ambassador,Q121998
Q28224714,Permanent Representative of Andorra to the United Nations Office at Vienna,ambassador,Q121998
Q85847893,United States Ambassador to the United Nations International Organizations in Vienna,ambassador,Q121998
