qid,label,class_label,class_qid
Q33971,leaf,anatomical structure,Q4936952
Q58,penis,anatomical structure,Q4936952
Q133279,back,anatomical structure,Q4936952
Q1212935,placenta,anatomical structure,Q4936952
Q546523,bone marrow,anatomical structure,Q4936952
Q174471,scrotum,anatomical structure,Q4936952
Q134267,plant stem,anatomical structure,Q4936952
Q184453,bark,anatomical structure,Q4936952
Q174647,heel,anatomical structure,Q4936952
Q104280,gums,anatomical structure,Q4936952
Q2923673,branch,anatomical structure,Q4936952
Q107412,petal,anatomical structure,Q4936952
Q193472,trunk,anatomical structure,Q4936952
Q185138,phloem,anatomical structure,Q4936952
Q216635,stomata,anatomical structure,Q4936952
Q326228,mycelium,anatomical structure,Q4936952
Q188748,bulb,anatomical structure,Q4936952
Q107216,sepal,anatomical structure,Q4936952
Q666412,cervix,anatomical structure,Q4936952
Q193818,hip,anatomical structure,Q4936952
Q273543,incisor,anatomical structure,Q4936952
Q660059,tentacle,anatomical structure,Q4936952
Q380138,ovule,anatomical structure,Q4936952
Q111180,protoplasm,anatomical structure,Q4936952
Q62779,pistil,anatomical structure,Q4936952
Q148515,ovary,anatomical structure,Q4936952
Q1132089,fruiting body,anatomical structure,Q4936952
Q1427245,stigma,anatomical structure,Q4936952
Q1135563,mesentery,anatomical structure,Q4936952
Q10289985,petiole,anatomical structure,Q4936952
Q507027,prosencephalon,anatomical structure,Q4936952
Q504930,perianth,anatomical structure,Q4936952
Q304216,stipule,anatomical structure,Q4936952
Q694131,stipe,anatomical structure,Q4936952
Q768312,basidium,anatomical structure,Q4936952
Q749609,leucoplast,anatomical structure,Q4936952
Q694118,pileus,anatomical structure,Q4936952
Q1081574,labia majora,anatomical structure,Q4936952
Q661390,aril,anatomical structure,Q4936952
Q944420,rhizoid,anatomical structure,Q4936952
Q850653,archegonium,anatomical structure,Q4936952
Q914105,hymenium,anatomical structure,Q4936952
Q367423,periosteum,anatomical structure,Q4936952
Q1137072,rhombencephalon,anatomical structure,Q4936952
Q1134228,canopy,anatomical structure,Q4936952
Q497512,receptacle,anatomical structure,Q4936952
Q2933965,calyx,anatomical structure,Q4936952
Q482083,amyloplast,anatomical structure,Q4936952
Q269345,lamella,anatomical structure,Q4936952
Q1129321,antheridium,anatomical structure,Q4936952
Q2138208,tree crown,anatomical structure,Q4936952
Q1778517,earlobe,anatomical structure,Q4936952
Q1425870,tracheid,anatomical structure,Q4936952
Q1146306,Pappus,anatomical structure,Q4936952
Q987774,vascular bundle,anatomical structure,Q4936952
Q32838,mesenchyme,anatomical structure,Q4936952
Q898356,glycocalyx,anatomical structure,Q4936952
Q612960,conidium,anatomical structure,Q4936952
Q655824,awn,anatomical structure,Q4936952
Q924684,Brodmann area,anatomical structure,Q4936952
Q1995772,anther,anatomical structure,Q4936952
Q1312910,cork cambium,anatomical structure,Q4936952
Q1127402,neural tube,anatomical structure,Q4936952
Q1065886,aerial root,anatomical structure,Q4936952
Q876445,pericarp,anatomical structure,Q4936952
Q837377,sclerotium,anatomical structure,Q4936952
Q1163923,ductus arteriosus,anatomical structure,Q4936952
Q192576,pith,anatomical structure,Q4936952
Q2333565,aerenchyma,anatomical structure,Q4936952
Q765091,Mesosome,anatomical structure,Q4936952
Q723425,ascus,anatomical structure,Q4936952
Q794374,hydathode,anatomical structure,Q4936952
Q1392652,root cap,anatomical structure,Q4936952
Q11827976,stele,anatomical structure,Q4936952
Q1155708,lenticel,anatomical structure,Q4936952
Q887231,hypanthium,anatomical structure,Q4936952
Q1351263,root hair,anatomical structure,Q4936952
Q1293405,lumbar region,anatomical structure,Q4936952
Q11162356,twig,anatomical structure,Q4936952
Q767116,foramen ovale,anatomical structure,Q4936952
Q1295298,endodermis,anatomical structure,Q4936952
Q2392414,tree hollow,anatomical structure,Q4936952
Q987768,vessel element,anatomical structure,Q4936952
Q1869774,lophophore,anatomical structure,Q4936952
Q15098397,root nodule,anatomical structure,Q4936952
Q1500793,metencephalon,anatomical structure,Q4936952
Q203646,Mesoglea,anatomical structure,Q4936952
Q1546595,style,anatomical structure,Q4936952
Q1390205,periderm,anatomical structure,Q4936952
Q2163996,fasciation,anatomical structure,Q4936952
Q942777,epigastrium,anatomical structure,Q4936952
Q603570,etioplast,anatomical structure,Q4936952
Q1508277,hymenophore,anatomical structure,Q4936952
Q2354850,phytolith,anatomical structure,Q4936952
Q149316,spikelet,anatomical structure,Q4936952
Q1048141,casparian strip,anatomical structure,Q4936952
Q519516,epiblast,anatomical structure,Q4936952
Q1151026,salt gland,anatomical structure,Q4936952
Q220341,zoospore,anatomical structure,Q4936952
Q286677,prothallium,anatomical structure,Q4936952
Q1541152,volva,anatomical structure,Q4936952
Q786868,proteinoplast,anatomical structure,Q4936952
Q1919686,melon,anatomical structure,Q4936952
Q246023,cystidium,anatomical structure,Q4936952
Q965716,sclereid,anatomical structure,Q4936952
Q911072,buttress root,anatomical structure,Q4936952
Q540092,periodontal fiber,anatomical structure,Q4936952
Q3267446,pseudostratified columnar epithelium,anatomical structure,Q4936952
Q2445285,ascospore,anatomical structure,Q4936952
Q7611328,sterigma,anatomical structure,Q4936952
Q977796,Parotoid gland,anatomical structure,Q4936952
Q971417,glochid,anatomical structure,Q4936952
Q1642223,nectar guide,anatomical structure,Q4936952
Q634726,leaf scar,anatomical structure,Q4936952
Q1937516,veil,anatomical structure,Q4936952
Q1931566,turtle plastron,anatomical structure,Q4936952
Q1293511,cortex,anatomical structure,Q4936952
Q617412,hypoblast,anatomical structure,Q4936952
Q1428754,respiratory epithelium,anatomical structure,Q4936952
Q3299760,basidiospore,anatomical structure,Q4936952
Q567401,annulus,anatomical structure,Q4936952
Q2567471,pericycle,anatomical structure,Q4936952
Q1773178,spitzenkorper,anatomical structure,Q4936952
Q1653673,rhizodermis,anatomical structure,Q4936952
Q741032,trigger point,anatomical structure,Q4936952
Q620526,ascocarp,anatomical structure,Q4936952
Q943947,turion,anatomical structure,Q4936952
Q912203,nucleomorph,anatomical structure,Q4936952
Q1347099,epicotyl,anatomical structure,Q4936952
Q2316193,chlamydospore,anatomical structure,Q4936952
Q667141,gynostemium,anatomical structure,Q4936952
Q623097,pycnidium,anatomical structure,Q4936952
Q891887,corpora quadrigemina,anatomical structure,Q4936952
Q846958,thagomizer,anatomical structure,Q4936952
Q1889013,spur,anatomical structure,Q4936952
Q1323560,ink sac,anatomical structure,Q4936952
Q467724,exodermis,anatomical structure,Q4936952
Q557179,stroma,anatomical structure,Q4936952
Q2564865,simple columnar epithelium,anatomical structure,Q4936952
Q987404,Palisade cell,anatomical structure,Q4936952
Q1830938,mycelial cord,anatomical structure,Q4936952
Q621781,oospore,anatomical structure,Q4936952
Q1514677,gerontoplast,anatomical structure,Q4936952
Q1427103,flank,anatomical structure,Q4936952
Q447888,calyptra,anatomical structure,Q4936952
Q2664462,laticifer,anatomical structure,Q4936952
Q3321195,crown,anatomical structure,Q4936952
Q3267455,simple cuboidal epithelium,anatomical structure,Q4936952
Q2983009,Root crown,anatomical structure,Q4936952
Q1189806,corneal endothelium,anatomical structure,Q4936952
Q2456825,myelencephalon,anatomical structure,Q4936952
Q1082309,ochrea,anatomical structure,Q4936952
Q2107902,paraphysis,anatomical structure,Q4936952
