qid,label,class_label,class_qid
Q2216236,rooster,animal,Q729
Q177856,Griffon Vulture,animal,Q729
Q53662,Laika,animal,Q729
Q473194,oxen,animal,Q729
Q171433,Dolly the Sheep,animal,Q729
Q693690,bull,animal,Q729
Q186486,Hachikō,animal,Q729
Q201598,Bucephalus,animal,Q729
Q151922,Paul the Octopus,animal,Q729
Q650665,drone,animal,Q729
Q245388,Lucy,animal,Q729
Q11748378,cow,animal,Q729
Q159697,Knut,animal,Q729
Q1055802,Wojtek,animal,Q729
Q7714263,Grumpy Cat,animal,Q729
Q1104034,mare,animal,Q729
Q757833,stallion,animal,Q729
Q2262318,Larry,animal,Q729
Q1144606,Major General Sir Nils Olav III,animal,Q729
Q155695,Blondi,animal,Q729
Q589595,Mike the Headless Chicken,animal,Q729
Q28270,Ham,animal,Q729
Q805807,Balto,animal,Q729
Q6272382,Jonathan,animal,Q729
Q935895,Incitatus,animal,Q729
Q1127291,Clever Hans,animal,Q729
Q831999,Jumbo,animal,Q729
Q1348219,Koko,animal,Q729
Q16570,Lonesome George,animal,Q729
Q1257254,Mary,animal,Q729
Q24628,Avian Learning EXperiment,animal,Q729
Q452,52-hertz whale,animal,Q729
Q1201902,Tama,animal,Q729
Q2334305,Gustave,animal,Q729
Q1124341,Harriet,animal,Q729
Q893453,Unsinkable Sam,animal,Q729
Q2165169,Champawat Tiger,animal,Q729
Q1479200,Hanno,animal,Q729
Q687727,Sergeant Stubby,animal,Q729
Q27926432,Tombili,animal,Q729
Q19805029,Sudan,animal,Q729
Q1473852,Jack,animal,Q729
Q1429247,Snowflake,animal,Q729
Q130288176,Moo Deng,animal,Q729
Q391632,Cher Ami,animal,Q729
Q2597104,Creme Puff,animal,Q729
Q2433338,Tiliku,animal,Q729
Q1360835,Greyfriars Bobby,animal,Q729
Q1273495,Bo,animal,Q729
Q594,The King of Rome,animal,Q729
Q1514294,Sue,animal,Q729
Q498787,Muezza,animal,Q729
Q380097,Adwaita,animal,Q729
Q7627362,Stubbs,animal,Q729
Q125027,Lyuba,animal,Q729
Q335860,Abul-Abbas,animal,Q729
Q1185550,Oscar,animal,Q729
Q775697,Congo,animal,Q729
Q745463,Yatagarasu,animal,Q729
Q433259,Ardi,animal,Q729
Q1323381,Togo,animal,Q729
Q116658361,Bobi,animal,Q729
Q1393864,Fala,animal,Q729
Q1386318,F. D. C. Willard,animal,Q729
Q41935492,Grape-kun,animal,Q729
Q13080849,Ming,animal,Q729
Q708453,Flocke,animal,Q729
Q1637234,Humphrey,animal,Q729
Q2565461,Kanzi,animal,Q729
Q114218,Man o' War,animal,Q729
Q2634968,Maru,animal,Q729
Q2201314,hen,animal,Q729
Q667056,Barry,animal,Q729
Q605394,Enos,animal,Q729
Q26388682,Harambe,animal,Q729
Q5503291,Freya,animal,Q729
Q3083276,Lolong,animal,Q729
Q1500356,Seabiscuit,animal,Q729
Q1203752,Eclipse,animal,Q729
Q1027417,Nim Chimpsky,animal,Q729
Q107162754,Floppa,animal,Q729
Q3393547,Leopard of Rudraprayag,animal,Q729
Q115567508,Cocaine Bear,animal,Q729
Q2988585,Barney,animal,Q729
Q2880212,Miss Baker,animal,Q729
Q2624688,Sybil,animal,Q729
Q10612826,Osama bin Laden,animal,Q729
Q99658928,Magawa,animal,Q729
Q1095142,Clara,animal,Q729
Q809222,Bart the Bear,animal,Q729
Q133833472,"Romulus, Remus, and Khaleesi",animal,Q729
Q1587832,Haru Urara,animal,Q729
Q20739486,Cecil,animal,Q729
Q147683,Zarafa,animal,Q729
Q7235103,Potoooooooo,animal,Q729
Q2929800,ram,animal,Q729
Q280571,Pickles,animal,Q729
Q1477835,Medici giraffe,animal,Q729
Q1409992,Obaysch,animal,Q729
Q30600555,Saturn,animal,Q729
Q1166352,Darley Arabian,animal,Q729
Q1018502,Byerley Turk,animal,Q729
Q17389547,Muja,animal,Q729
Q1759652,Wilberforce,animal,Q729
Q3101359,Pigasus,animal,Q729
Q2098929,Simon,animal,Q729
Q2068301,Pelorus Jack,animal,Q729
Q9385224,Cacareco,animal,Q729
Q4923351,Chi Chi,animal,Q729
Q1410817,Timothy,animal,Q729
Q1321898,Red Hare,animal,Q729
Q138358320,Punch-kun,animal,Q729
Q63646545,Hvaldimir,animal,Q729
Q1078690,Christian,animal,Q729
Q629175,Godolphin Arabian,animal,Q729
Q25171691,Palmerston,animal,Q729
Q23486479,Kabosu,animal,Q729
Q21191331,Wisdom,animal,Q729
Q2437626,Mocha Dick,animal,Q729
Q2919415,Winnipeg the Bear,animal,Q729
Q2670921,Kaguya,animal,Q729
Q2166119,Tu'i Malila,animal,Q729
Q1536726,Martha,animal,Q729
Q1333406,Elsa,animal,Q729
Q1332220,Hogzilla,animal,Q729
Q110983191,Balltze,animal,Q729
Q4483668,Punxsutawney Phil,animal,Q729
Q378619,Q378619,animal,Q729
Q53747054,Number 16,animal,Q729
Q1164128,Copenhagen,animal,Q729
Q935312,Mozart's starling,animal,Q729
Q110852461,Abditosaurus,animal,Q729
Q109732925,Stepan,animal,Q729
Q109283521,Dhurbe,animal,Q729
Q18344290,Cassius,animal,Q729
Q8046257,Yaʽfūr,animal,Q729
Q16329540,Porphyrios,animal,Q729
Q1674271,Islero,animal,Q729
Q1933776,Petros,animal,Q729
Q4309285,Gold Ship,animal,Q729
Q5087246,Chaser,animal,Q729
