qid,label,class_label,class_qid
Q252,Indonesia,archipelago,Q33837
Q928,Philippines,archipelago,Q33837
Q1011,Cape Verde,archipelago,Q33837
Q826,Maldives,archipelago,Q33837
Q691,Papua New Guinea,archipelago,Q33837
Q1027,Mauritius,archipelago,Q33837
Q970,Comoros,archipelago,Q33837
Q766,Jamaica,archipelago,Q33837
Q786,Dominican Republic,archipelago,Q33837
Q778,The Bahamas,archipelago,Q33837
Q712,Fiji,archipelago,Q33837
Q1042,Seychelles,archipelago,Q33837
Q1039,São Tomé and Príncipe,archipelago,Q33837
Q686,Vanuatu,archipelago,Q33837
Q781,Antigua and Barbuda,archipelago,Q33837
Q769,Grenada,archipelago,Q33837
Q754,Trinidad and Tobago,archipelago,Q33837
Q672,Tuvalu,archipelago,Q33837
Q710,Kiribati,archipelago,Q33837
Q685,Solomon Islands,archipelago,Q33837
Q709,Marshall Islands,archipelago,Q33837
Q757,Saint Vincent and the Grenadines,archipelago,Q33837
Q18783,Pacific Ring of Fire,archipelago,Q33837
Q270844,The World,archipelago,Q33837
Q764547,Stockholm archipelago,archipelago,Q33837
Q2797542,Scotia Arc,archipelago,Q33837
Q2302018,Sunda Arc,archipelago,Q33837
Q12015812,Marker Wadden,archipelago,Q33837
Q11380537,Izu-Bonin-Mariana Arc,archipelago,Q33837
Q7385537,Ryukyu arc,archipelago,Q33837
Q5021639,Norrbotten archipelago,archipelago,Q33837
Q398,Bahrain,archipelago,Q33837
Q664609,Caribbean,archipelago,Q33837
Q5765,Balearic Islands,archipelago,Q33837
Q35672,Pitcairn Islands,archipelago,Q33837
Q35942,Polynesia,archipelago,Q33837
Q25231,Svalbard,archipelago,Q33837
Q38095,Galapagos Islands,archipelago,Q33837
Q38272,British Isles,archipelago,Q33837
Q80389,Kuril Islands,archipelago,Q33837
Q42314,Channel Islands,archipelago,Q33837
Q3803,Lesser Sunda Islands,archipelago,Q33837
Q47134,Shetland Islands,archipelago,Q33837
Q93259,Lesser Antilles,archipelago,Q33837
Q131198,Heard Island and McDonald Islands,archipelago,Q33837
Q100166,Orkney Islands,archipelago,Q33837
Q166131,Antilles,archipelago,Q33837
Q208643,Malay Archipelago,archipelago,Q33837
Q3038,Heligoland,archipelago,Q33837
Q3237,Rügen,archipelago,Q33837
Q153732,Mariana Islands,archipelago,Q33837
Q171132,Cyclades,archipelago,Q33837
Q172697,Marquesas Islands,archipelago,Q33837
Q185018,Franz Josef Land,archipelago,Q33837
Q192626,Hawaiian Islands,archipelago,Q33837
Q186822,Lofoten,archipelago,Q33837
Q123377,Hebrides,archipelago,Q33837
Q186233,Andaman Islands,archipelago,Q33837
Q180209,Isles of Scilly,archipelago,Q33837
Q26262,Virgin Islands,archipelago,Q33837
Q46772,Kerguelen Islands,archipelago,Q33837
Q85377,Canadian Arctic Archipelago,archipelago,Q33837
Q118920,Society Islands,archipelago,Q33837
Q179883,Aeolian Islands,archipelago,Q33837
Q183963,Tuamotus,archipelago,Q33837
Q175057,Fernando de Noronha,archipelago,Q33837
Q192281,Severnaya Zemlya,archipelago,Q33837
