qid,label,class_label,class_qid
Q508792,left gastric artery,artery,Q9655
Q491726,occipital artery,artery,Q9655
Q264834,deep temporal arteries,artery,Q9655
Q707290,anterior intercostal artery,artery,Q9655
Q101004,aorta,artery,Q9655
Q206280,pulmonary artery,artery,Q9655
Q214275,common carotid artery,artery,Q9655
Q616032,aortic arch,artery,Q9655
Q487595,circle of Willis,artery,Q9655
Q490059,subclavian artery,artery,Q9655
Q515848,internal carotid artery,artery,Q9655
Q503643,brachial artery,artery,Q9655
Q515917,brachiocephalic artery,artery,Q9655
Q707174,femoral artery,artery,Q9655
Q662857,radial artery,artery,Q9655
Q125276,external carotid artery,artery,Q9655
Q2264329,abdominal aorta,artery,Q9655
Q502164,axillary artery,artery,Q9655
Q516546,vertebral artery,artery,Q9655
Q519368,celiac artery,artery,Q9655
Q2349469,ascending aorta,artery,Q9655
Q599817,ulnar artery,artery,Q9655
Q707257,common iliac artery,artery,Q9655
Q707540,renal artery,artery,Q9655
Q367570,superior mesenteric artery,artery,Q9655
Q1163923,ductus arteriosus,artery,Q9655
Q500339,basilar artery,artery,Q9655
Q498179,middle cerebral artery,artery,Q9655
Q707326,splenic artery,artery,Q9655
Q494694,superficial temporal artery,artery,Q9655
Q498935,anterior cerebral artery,artery,Q9655
Q282371,facial artery,artery,Q9655
Q498171,maxillary artery,artery,Q9655
Q499316,superior thyroid artery,artery,Q9655
Q532558,internal iliac artery,artery,Q9655
Q707236,common hepatic artery,artery,Q9655
Q492482,posterior cerebral artery,artery,Q9655
Q497563,internal thoracic artery,artery,Q9655
Q497574,ophthalmic artery,artery,Q9655
Q1724233,umbilical artery,artery,Q9655
Q707384,inferior mesenteric artery,artery,Q9655
Q707468,popliteal artery,artery,Q9655
Q497582,lingual artery,artery,Q9655
Q585053,external iliac artery,artery,Q9655
Q3270170,descending aorta,artery,Q9655
Q185438,posterior communicating artery,artery,Q9655
Q429285,right coronary artery,artery,Q9655
Q956224,carotid sinus,artery,Q9655
Q500563,middle meningeal artery,artery,Q9655
Q707419,ovarian artery,artery,Q9655
Q707473,deep brachial artery,artery,Q9655
Q707616,testicular artery,artery,Q9655
Q489722,central retinal artery,artery,Q9655
Q493426,suprascapular artery,artery,Q9655
Q493410,thoracoacromial artery,artery,Q9655
Q744391,left coronary artery,artery,Q9655
Q927103,bronchial artery,artery,Q9655
Q542166,hepatic artery proper,artery,Q9655
Q615993,thoracic aorta,artery,Q9655
Q707135,cystic artery,artery,Q9655
Q707177,right gastric artery,artery,Q9655
Q707489,internal pudendal artery,artery,Q9655
Q707624,lateral thoracic artery,artery,Q9655
Q486797,ascending pharyngeal artery,artery,Q9655
Q707674,uterine artery,artery,Q9655
Q488711,inferior thyroid artery,artery,Q9655
