qid,label,class_label,class_qid
Q5338172,Edinburgh College of Art,artist,Q483501
Q7758619,The Protomen,artist,Q483501
Q116687441,Fröken Snusk,artist,Q483501
Q19840989,Viddsee,artist,Q483501
Q29870605,The One Enterprise,artist,Q483501
Q136764517,Breaking Rust,artist,Q483501
Q5004184,Byonsa,artist,Q483501
Q17417784,Marc Platt Productions,artist,Q483501
Q126849255,Orange Girl,artist,Q483501
Q65091536,Mamuta Art and Research Center,artist,Q483501
Q7936637,visualizer,artist,Q483501
Q4744570,American National Theater and Academy,artist,Q483501
Q25060164,Beirut Art Residency,artist,Q483501
Q19876370,Rita Angus Residency,artist,Q483501
Q17151372,DEMI GODZ,artist,Q483501
Q131176537,Robinah Nansubuga,artist,Q483501
Q123631201,"Musicians at the Edinburgh International Festival, 1967–1976",artist,Q483501
Q113962027,"Musicians at the Edinburgh International Festival, 1957–1966",artist,Q483501
Q110443772,"Musicians at the Edinburgh International Festival, 1947 to 1957",artist,Q483501
Q137538859,Ben Joravsky,artist,Q483501
Q552682,Hatsune Miku,artist,Q483501
Q1513261,Kashyapa,artist,Q483501
Q831999,Jumbo,artist,Q483501
Q1257254,Mary,artist,Q483501
Q1054235,John Titor,artist,Q483501
Q855089,Bhrigu,artist,Q483501
Q241908,Marichi,artist,Q483501
Q991278,Escape the Fate,artist,Q483501
Q1502051,Rin Tin Tin,artist,Q483501
Q890911,Keiko,artist,Q483501
Q2433338,Tiliku,artist,Q483501
Q2479214,Anasuya,artist,Q483501
Q600230,Russian web brigades,artist,Q483501
Q1090216,Chyavana,artist,Q483501
Q4806134,Kumamon,artist,Q483501
Q18536420,Jovian,artist,Q483501
Q2176828,Four Kumaras,artist,Q483501
Q997482,Bubbles,artist,Q483501
Q2679876,Crystal the Monkey,artist,Q483501
Q82356,Winter,artist,Q483501
Q64877768,Meduza,artist,Q483501
Q14832020,Lil Bub,artist,Q483501
Q677525,Orangey,artist,Q483501
Q809222,Bart the Bear,artist,Q483501
Q42742220,AKB48 Group,artist,Q483501
Q7141888,Benj Pasek and Justin Paul,artist,Q483501
Q7141888,Benj Pasek and Justin Paul,artist,Q483501
Q7141888,Benj Pasek and Justin Paul,artist,Q483501
Q697098,Strongheart,artist,Q483501
Q1632992,Uggie,artist,Q483501
Q7415538,Sanatkumara,artist,Q483501
Q1758822,Masters at Work,artist,Q483501
Q4239875,Kratu,artist,Q483501
Q5121358,Circassian beauties,artist,Q483501
Q7126106,Pal,artist,Q483501
Q7704028,Terry,artist,Q483501
Q11224956,IRis,artist,Q483501
Q614508,Trigger,artist,Q483501
Q113144514,Myaku-Myaku,artist,Q483501
Q24287657,Artik & Asti,artist,Q483501
Q1318678,Malajube,artist,Q483501
Q51140260,Berywam,artist,Q483501
Q56351943,Nyango Star,artist,Q483501
Q3608249,Koko,artist,Q483501
Q11277204,Funassyi,artist,Q483501
Q7682536,Tanec National Institution - Ensemble for Folk Dances - Skopje,artist,Q483501
Q21008079,CamelPhat,artist,Q483501
Q3648581,Azimuth Co-ordinator,artist,Q483501
Q3807723,Vitagraph Dog,artist,Q483501
Q6819212,Skippy,artist,Q483501
Q5930742,Cheeky Parade,artist,Q483501
Q492396,Moose,artist,Q483501
Q608062,Jean Joseph Dussault,artist,Q483501
Q18379191,Jimmy the raven,artist,Q483501
Q18450138,Douglas,artist,Q483501
Q65050463,Chiitan,artist,Q483501
Q10856427,Kyoko Date,artist,Q483501
Q7673957,Taco Bell chihuahua,artist,Q483501
Q3544700,Madison,artist,Q483501
Q4673047,Ace the Wonder Dog,artist,Q483501
Q6105760,J. Fred Muggs,artist,Q483501
Q6417173,Cook,artist,Q483501
Q11276181,Hikonyan,artist,Q483501
Q11293639,Old Bet,artist,Q483501
Q7285233,Raj-Koti,artist,Q483501
Q856093,Pankun,artist,Q483501
Q16938954,Brownie the Wonder Dog,artist,Q483501
Q40281162,Luke the Dog,artist,Q483501
Q96405697,Silver Streak,artist,Q483501
Q11265888,Gunma‐chan,artist,Q483501
Q7487799,Shamu,artist,Q483501
Q20686121,Bruno,artist,Q483501
Q26911901,ukka,artist,Q483501
Q3634580,Barbapedana,artist,Q483501
Q4820098,Audrey,artist,Q483501
Q5523168,Gargantua,artist,Q483501
Q131456865,Naevis,artist,Q483501
Q131549283,Burt,artist,Q483501
Q16200891,Hercules,artist,Q483501
Q1276251,Sam & Mark,artist,Q483501
Q58877898,Shadow Weaver,artist,Q483501
Q2012126,Total Science,artist,Q483501
Q2823426,Acousmonium,artist,Q483501
Q3216108,Chés Cabotans,artist,Q483501
Q87783199,Thunder the Dog,artist,Q483501
Q7451361,Sento-kun,artist,Q483501
Q7460006,Shabak Samech,artist,Q483501
Q7577178,Spike,artist,Q483501
Q21002368,Darla,artist,Q483501
Q21002371,Doug the Pug,artist,Q483501
Q21978595,Teddy,artist,Q483501
Q3658715,Koton,artist,Q483501
Q4853408,Bamboo Harvester,artist,Q483501
Q4985197,Budweiser Clydesdales,artist,Q483501
Q5024685,calypsonian,artist,Q483501
Q6192329,Jiggs,artist,Q483501
Q6243709,John L. Sullivan,artist,Q483501
Q6546419,Lightning,artist,Q483501
Q6629252,baal keriah,artist,Q483501
Q6913965,Morris the Cat,artist,Q483501
Q11555373,Hōdō,artist,Q483501
Q11572025,Nekomura Iroha,artist,Q483501
Q124822009,Messi,artist,Q483501
Q130542430,MrMarmot,artist,Q483501
Q130542430,MrMarmot,artist,Q483501
Q7319120,Rex,artist,Q483501
Q137761671,Indy,artist,Q483501
Q16154656,Lion comique,artist,Q483501
Q17115887,Champion the Wonder Horse,artist,Q483501
Q17594130,Shep,artist,Q483501
Q55611761,Flame (dog),artist,Q483501
Q65083394,Moonie,artist,Q483501
Q65941414,Kristen Millares Young,artist,Q483501
Q104433271,White House Director of Speechwriting,artist,Q483501
Q108069183,Kuzuha,artist,Q483501
Q109351509,Giolì & Assia,artist,Q483501
Q109348232,Golden Eagle Award Audience's Choice for Actress (China),artist,Q483501
Q7550288,Soccer,artist,Q483501
Q7515418,Silly Billy,artist,Q483501
Q7523859,Single Gun Theory,artist,Q483501
Q7994862,White House Chief Floral Designer,artist,Q483501
Q20686004,Bart the Bear 2,artist,Q483501
Q22906309,Left Shark,artist,Q483501
Q24876414,Chiryuppi,artist,Q483501
Q4697770,Buddy,artist,Q483501
Q4967881,Brigitte,artist,Q483501
Q5174238,Cosmo,artist,Q483501
Q5681145,Hatchii,artist,Q483501
Q11278533,Mayumaro,artist,Q483501
Q12277979,Jed,artist,Q483501
Q12600417,Sanggeun,artist,Q483501
Q115631633,Ganja White Night,artist,Q483501
Q115631633,Ganja White Night,artist,Q483501
Q16201826,Higgins,artist,Q483501
Q85809588,Tillie,artist,Q483501
Q48791299,Kokomo Jr.,artist,Q483501
Q60755872,Olivia,artist,Q483501
Q60792101,Kuma von Clifford,artist,Q483501
Q78820580,Daisy,artist,Q483501
Q106811422,Noise Factory,artist,Q483501
Q113549198,Poets Laureate of Idaho,artist,Q483501
Q113549262,Poets Laureate of Illinois,artist,Q483501
Q105413923,Seraphine,artist,Q483501
Q7560637,Son of Ghoul,artist,Q483501
Q7660509,Sykes,artist,Q483501
Q7857941,Twiggy the Water-Skiing Squirrel,artist,Q483501
Q7962658,Wall of Sound,artist,Q483501
Q28457432,Carlos,artist,Q483501
Q39075095,Funbox,artist,Q483501
Q4959306,Break Up,artist,Q483501
Q4973200,Brody the Bear,artist,Q483501
Q6407274,Killamanjaro,artist,Q483501
Q6447643,Kurzwellen,artist,Q483501
Q6480472,Lallah Rookh,artist,Q483501
Q6749859,Manis,artist,Q483501
Q124622992,PigPen Theatre Co.,artist,Q483501
Q124622992,PigPen Theatre Co.,artist,Q483501
Q130218344,The Nualas,artist,Q483501
Q7268539,Quaker City,artist,Q483501
Q7285629,Rajah,artist,Q483501
Q116169789,Kyra,artist,Q483501
Q119398196,K Patrick,artist,Q483501
Q135419750,Lord Nelson,artist,Q483501
Q137709688,Molly Rangiwai-McHale,artist,Q483501
Q138029985,Marie-Thérèse Fourneau,artist,Q483501
