qid,label,class_label,class_qid
Q428,Qur’an,artwork,Q838948
Q8275,Iliad,artwork,Q838948
Q19786,Old Testament,artwork,Q838948
Q8276,Mahabharata,artwork,Q838948
Q8258,One Thousand and One Nights,artwork,Q838948
Q107388,Gospel of Mark,artwork,Q838948
Q9190,Exodus,artwork,Q838948
Q35160,Odyssey,artwork,Q838948
Q39939,Gospel of Luke,artwork,Q838948
Q25338,The Little Prince,artwork,Q838948
Q480,Don Quixote,artwork,Q838948
Q15228,The Lord of the Rings,artwork,Q838948
Q34990,Torah,artwork,Q838948
Q12418,Mona Lisa,artwork,Q838948
Q42040,Book of Revelation,artwork,Q838948
Q40591,The Communist Manifesto,artwork,Q838948
Q208460,Nineteen Eighty-Four,artwork,Q838948
Q40309,Acts of the Apostles,artwork,Q838948
Q39671,Stonehenge,artwork,Q838948
Q37293,Ramayana,artwork,Q838948
Q41490,Leviticus,artwork,Q838948
Q46802,Bhagavad Gita,artwork,Q838948
Q8272,Epic of Gilgamesh,artwork,Q838948
Q40185,The Divine Comedy,artwork,Q838948
Q8279,Shahnameh,artwork,Q838948
Q43290,Talmud,artwork,Q838948
Q11642,pottery,artwork,Q838948
Q92640,Alice's Adventures in Wonderland,artwork,Q838948
Q1396889,Animal Farm,artwork,Q838948
Q80355,First Epistle to the Corinthians,artwork,Q838948
Q48203,Epistle to the Romans,artwork,Q838948
Q74287,The Hobbit,artwork,Q838948
Q8265,Dream of the Red Chamber,artwork,Q838948
Q128620,Epistle to the Galatians,artwork,Q838948
Q81240,Judges,artwork,Q838948
Q8269,The Tale of Genji,artwork,Q838948
Q408673,Epistle to the Ephesians,artwork,Q838948
Q128608,Epistle to the Hebrews,artwork,Q838948
Q60220,Aeneid,artwork,Q838948
Q51613,Epistle to the Philippians,artwork,Q838948
Q80038,Book of Ruth,artwork,Q838948
Q123808,Second Epistle to the Corinthians,artwork,Q838948
Q4579,Proverbs,artwork,Q838948
Q131104,Epistle to Philemon,artwork,Q838948
Q131180,First Epistle to Timothy,artwork,Q838948
Q727413,Rigveda,artwork,Q838948
Q6113985,Upanishads,artwork,Q838948
Q131493,Epistle to Titus,artwork,Q838948
Q131489,Second Epistle to Timothy,artwork,Q838948
Q147787,Anna Karenina,artwork,Q838948
Q165318,Crime and Punishment,artwork,Q838948
Q43361,Harry Potter and the Philosopher's Stone,artwork,Q838948
Q41675,Guinness World Records,artwork,Q838948
Q4577,Book of Job,artwork,Q838948
Q131115,First Epistle to the Thessalonians,artwork,Q838948
Q131107,Second Epistle to the Thessalonians,artwork,Q838948
Q48244,Mein Kampf,artwork,Q838948
Q47228,Kama Sutra,artwork,Q838948
Q123397,The Republic,artwork,Q838948
Q134425,Tao Te Ching,artwork,Q838948
Q483034,Robinson Crusoe,artwork,Q838948
Q170583,Pride and Prejudice,artwork,Q838948
Q178869,One Hundred Years of Solitude,artwork,Q838948
Q130924,Kalevala,artwork,Q838948
Q47209,Harry Potter and the Chamber of Secrets,artwork,Q838948
Q11831,Snow White,artwork,Q838948
Q131719,The Prince,artwork,Q838948
Q161531,War and Peace,artwork,Q838948
Q180736,Les Misérables,artwork,Q838948
Q170404,visa,artwork,Q838948
Q79961,Christ the Redeemer,artwork,Q838948
Q47598,Harry Potter and the Prisoner of Azkaban,artwork,Q838948
Q46751,Harry Potter and the Goblet of Fire,artwork,Q838948
Q46887,Harry Potter and the Half-Blood Prince,artwork,Q838948
Q179021,The Alchemist,artwork,Q838948
Q167918,grandparent,artwork,Q838948
Q80817,Harry Potter and the Order of the Phoenix,artwork,Q838948
Q46758,Harry Potter and the Deathly Hallows,artwork,Q838948
Q58784,Capital: A Critique of Political Economy,artwork,Q838948
Q26505,The Old Man and the Sea,artwork,Q838948
Q2397485,chain,artwork,Q838948
Q183157,The Brothers Karamazov,artwork,Q838948
Q140527,The Three Musketeers,artwork,Q838948
Q128910,The Last Supper,artwork,Q838948
Q150827,"Frankenstein; or, The Modern Prometheus",artwork,Q838948
Q11859,The Little Mermaid,artwork,Q838948
Q174596,Moby-Dick,artwork,Q838948
Q1975029,First Book of Samuel,artwork,Q838948
Q155980,Sirach,artwork,Q838948
