qid,label,class_label,class_qid
Q4661508,Chelyabinsk meteor,asteroid,Q3863
Q118931,99942 Apophis,asteroid,Q3863
Q140874,1566 Icarus,asteroid,Q3863
Q152907,4179 Toutatis,asteroid,Q3863
Q144927,1862 Apollo,asteroid,Q3863
Q11558,101955 Bennu,asteroid,Q3863
Q211960,367943 Duende,asteroid,Q3863
Q18944,3200 Phaethon,asteroid,Q3863
Q147561,2101 Adonis,asteroid,Q3863
Q156721,719 Albert,asteroid,Q3863
Q149374,25143 Itokawa,asteroid,Q3863
Q1385178,162173 Ryugu,asteroid,Q3863
Q146531,1981 Midas,asteroid,Q3863
Q141554,1620 Geographos,asteroid,Q3863
Q150892,3122 Florence,asteroid,Q3863
Q250683,4015 Wilson–Harrington,asteroid,Q3863
Q148748,2340 Hathor,asteroid,Q3863
Q2265762,Q2265762,asteroid,Q3863
Q63717,2102 Tantalus,asteroid,Q3863
Q154131,4450 Pan,asteroid,Q3863
Q74183,2135 Aristaeus,asteroid,Q3863
Q156131,6489 Golevka,asteroid,Q3863
Q154501,4581 Asclepius,asteroid,Q3863
Q124426,2201 Oljato,asteroid,Q3863
Q155278,5335 Damocles,asteroid,Q3863
Q154634,4769 Castalia,asteroid,Q3863
Q154560,4660 Nereus,asteroid,Q3863
Q151408,3361 Orpheus,asteroid,Q3863
Q211655,2008 TC3,asteroid,Q3863
Q154292,4486 Mithra,asteroid,Q3863
Q151971,3671 Dionysus,asteroid,Q3863
Q151412,3362 Khufu,asteroid,Q3863
Q131923081,Q131923081,asteroid,Q3863
Q152920,4183 Cuno,asteroid,Q3863
Q152485,(308635) 2005 YU55,asteroid,Q3863
Q8331812,(52768) 1998 OR2,asteroid,Q3863
Q152566,4034 Vishnu,asteroid,Q3863
Q144505,69230 Hermes,asteroid,Q3863
Q8632,(524522) Zoozve,asteroid,Q3863
Q24646251,Q24646251,asteroid,Q3863
Q777737,5011 Ptah,asteroid,Q3863
Q150329,(29075) 1950 DA,asteroid,Q3863
Q156226,6569 Ondaatje,asteroid,Q3863
Q155948,6239 Minos,asteroid,Q3863
Q945137,(4953) 1990 MU,asteroid,Q3863
Q156304,66391 Moshup,asteroid,Q3863
Q388504,5620 Jasonwheeler,asteroid,Q3863
Q383794,6478 Gault,asteroid,Q3863
Q568802,20461 Dioretsa,asteroid,Q3863
Q15195415,(357439) 2004 BL86,asteroid,Q3863
Q520847,5797 Bivoj,asteroid,Q3863
Q538103,5332 Davidaguilar,asteroid,Q3863
Q211609,2007 TU24,asteroid,Q3863
Q1065006,9162 Kwiila,asteroid,Q3863
Q737717,14827 Hypnos,asteroid,Q3863
Q152089,3757 Anagolay,asteroid,Q3863
Q539450,6050 Miwablock,asteroid,Q3863
Q157717,(89959) 2002 NT7,asteroid,Q3863
Q890195,(35396) 1997 XF11,asteroid,Q3863
Q440713,9172 Abhramu,asteroid,Q3863
Q676112,8709 Kadlu,asteroid,Q3863
Q2627152,12711 Tukmit,asteroid,Q3863
Q130301991,2024 PT5,asteroid,Q3863
Q211886,(367789) 2011 AG5,asteroid,Q3863
Q8661,(434326) 2004 JG6,asteroid,Q3863
Q2216727,16912 Rhiannon,asteroid,Q3863
Q155565,(5604) 1992 FE,asteroid,Q3863
Q2705191,11500 Tomaiyowit,asteroid,Q3863
Q548813,7358 Oze,asteroid,Q3863
Q211809,(419624) 2010 SO16,asteroid,Q3863
Q1480020,(10115) 1992 SK,asteroid,Q3863
Q156200,Q156200,asteroid,Q3863
Q13401078,(285263) 1998 QE2,asteroid,Q3863
Q743621,(5496) 1973 NA,asteroid,Q3863
Q709582,(137108) 1999 AN10,asteroid,Q3863
Q2523139,20460 Robwhiteley,asteroid,Q3863
Q2522761,12923 Zephyr,asteroid,Q3863
Q1413019,5626 Melissabrucker,asteroid,Q3863
Q985412,(7335) 1989 JA,asteroid,Q3863
Q2805310,11885 Summanus,asteroid,Q3863
Q140556,(153814) 2001 WN5,asteroid,Q3863
Q140530,(153591) 2001 SN263,asteroid,Q3863
Q139275,(144898) 2004 VD17,asteroid,Q3863
Q1988681,(7482) 1994 PC1,asteroid,Q3863
Q2272007,(143649) 2003 QQ47,asteroid,Q3863
Q155268,(53319) 1999 JM8,asteroid,Q3863
Q751547,(7025) 1993 QA,asteroid,Q3863
Q520639,11284 Belenus,asteroid,Q3863
Q2710236,164207 Cardea,asteroid,Q3863
Q2662101,(136617) 1994 CC,asteroid,Q3863
Q548749,24761 Ahau,asteroid,Q3863
Q536080,18106 Blume,asteroid,Q3863
Q241364,(5189) 1990 UQ,asteroid,Q3863
Q211466,(612901) 2004 XP14,asteroid,Q3863
Q1414596,(5587) 1990 SB,asteroid,Q3863
Q21154945,2015 TB145,asteroid,Q3863
Q1413076,(5645) 1990 SP,asteroid,Q3863
Q1412678,(5131) 1990 BG,asteroid,Q3863
Q746125,(5660) 1974 MA,asteroid,Q3863
Q736821,(5828) 1991 AM,asteroid,Q3863
Q2786568,161989 Cacus,asteroid,Q3863
Q1483742,(9400) 1994 TW1,asteroid,Q3863
Q1483546,(8507) 1991 CB1,asteroid,Q3863
Q1480026,(10165) 1995 BL2,asteroid,Q3863
Q266501,(9058) 1992 JB,asteroid,Q3863
Q1413669,(5693) 1993 EA,asteroid,Q3863
Q1413037,(6037) 1988 EG,asteroid,Q3863
Q946511,(8201) 1994 AH2,asteroid,Q3863
Q785931,(5836) 1993 MF,asteroid,Q3863
Q3166424,(8014) 1990 MF,asteroid,Q3863
Q440406,(196256) 2003 EH1,asteroid,Q3863
Q710905,(6047) 1991 TB1,asteroid,Q3863
Q676133,(7350) 1993 VA,asteroid,Q3863
Q638577,(6611) 1993 VW,asteroid,Q3863
Q3597608,16064 Davidharvey,asteroid,Q3863
Q2658519,37655 Illapa,asteroid,Q3863
Q151317,(33342) 1998 WT24,asteroid,Q3863
Q619748,(6491) 1991 OA,asteroid,Q3863
Q619434,(6455) 1992 HE,asteroid,Q3863
Q609163,(6053) 1993 BW3,asteroid,Q3863
Q571990,(7341) 1991 VK,asteroid,Q3863
Q1998439,(7474) 1992 TC,asteroid,Q3863
Q211456,2004 FU162,asteroid,Q3863
Q11060,2010 AL30,asteroid,Q3863
Q17977859,2014 RC,asteroid,Q3863
Q1313305,(8037) 1993 HO1,asteroid,Q3863
Q929658,(7236) 1987 PA,asteroid,Q3863
Q7915262,(8035) 1992 TB,asteroid,Q3863
Q762795,(5646) 1990 TR,asteroid,Q3863
Q3166373,(8176) 1991 WA,asteroid,Q3863
Q307852,(137924) 2000 BD19,asteroid,Q3863
Q4346166,(7753) 1988 XB,asteroid,Q3863
Q3597841,189011 Ogmios,asteroid,Q3863
Q4544252,(7822) 1991 CS,asteroid,Q3863
Q4643658,(7888) 1993 UC,asteroid,Q3863
Q2524559,85585 Mjolnir,asteroid,Q3863
Q15195194,(231937) 2001 FO32,asteroid,Q3863
Q1490432,354P/LINEAR,asteroid,Q3863
Q1482450,21088 Chelyabinsk,asteroid,Q3863
Q1481508,(16960) 1998 QS52,asteroid,Q3863
Q1480969,15745 Yuliya,asteroid,Q3863
Q4613767,(410777) 2009 FD,asteroid,Q3863
Q534690,164215 Doloreshill,asteroid,Q3863
Q3168312,(7977) 1977 QQ5,asteroid,Q3863
Q2805866,217628 Lugh,asteroid,Q3863
Q4544253,(7839) 1994 ND,asteroid,Q3863
Q3597552,154991 Vinciguerra,asteroid,Q3863
Q3597372,13553 Masaakikoyama,asteroid,Q3863
Q2469072,96189 Pygmalion,asteroid,Q3863
Q65950953,2019 OK,asteroid,Q3863
Q15194286,(163899) 2003 SD220,asteroid,Q3863
Q208721,1996 PW,asteroid,Q3863
Q28088262,2016 WF9,asteroid,Q3863
Q15077859,2013 TV135,asteroid,Q3863
Q4543131,(35107) 1991 VH,asteroid,Q3863
Q4542687,(276033) 2002 AJ129,asteroid,Q3863
Q4595331,1999 XS35,asteroid,Q3863
Q4541105,(12538) 1998 OH,asteroid,Q3863
Q3597386,137052 Tjelvar,asteroid,Q3863
Q3597388,136818 Selqet,asteroid,Q3863
Q15194903,136795 Tatsunokingo,asteroid,Q3863
Q211633,(450894) 2008 BT18,asteroid,Q3863
Q29346488,2014 JO25,asteroid,Q3863
Q15077380,(111253) 2001 XU10,asteroid,Q3863
Q8821283,(162000) 1990 OS,asteroid,Q3863
Q4543872,(52760) 1998 ML14,asteroid,Q3863
Q1091695,(163249) 2002 GT,asteroid,Q3863
Q4543020,(31669) 1999 JT6,asteroid,Q3863
Q4541269,(13651) 1997 BR,asteroid,Q3863
Q4029996,(668643) 2012 DR30,asteroid,Q3863
Q3597924,1991 BA,asteroid,Q3863
Q3597622,162011 Konnohmaru,asteroid,Q3863
Q307155,2010 RF12,asteroid,Q3863
Q4944776,(20086) 1994 LW,asteroid,Q3863
Q15040478,452307 Manawydan,asteroid,Q3863
Q4542038,(185851) 2000 DP107,asteroid,Q3863
Q6706852,(31345) 1998 PG,asteroid,Q3863
Q4541797,(16657) 1993 UB,asteroid,Q3863
Q13400649,314082 Dryope,asteroid,Q3863
Q11758787,(14402) 1991 DB,asteroid,Q3863
Q2806248,(53550) 2000 BF19,asteroid,Q3863
Q375194,2009 VA,asteroid,Q3863
Q331346,(214869) 2007 PA8,asteroid,Q3863
Q6458298,(25330) 1999 KV4,asteroid,Q3863
Q8851671,2008 TS26,asteroid,Q3863
Q11186553,Q11186553,asteroid,Q3863
Q2805441,(153958) 2002 AM31,asteroid,Q3863
Q307089,(433953) 1997 XR2,asteroid,Q3863
Q3491262,Q3491262,asteroid,Q3863
Q15160203,428694 Saule,asteroid,Q3863
Q136302663,2025 PN7,asteroid,Q3863
Q117031758,2023 DW,asteroid,Q3863
Q114978931,2022 AP7,asteroid,Q3863
Q15194888,(90075) 2002 VU94,asteroid,Q3863
Q15194886,(89958) 2002 LY45,asteroid,Q3863
Q15194868,(85713) 1998 SS49,asteroid,Q3863
Q15194846,(17511) 1992 QN,asteroid,Q3863
Q15194631,398188 Agni,asteroid,Q3863
Q15195029,(159857) 2004 LJ1,asteroid,Q3863
Q15194206,(85989) 1999 JD6,asteroid,Q3863
Q15194257,(153201) 2000 WO107,asteroid,Q3863
Q15200446,2010 WC9,asteroid,Q3863
Q17144847,2014 HQ124,asteroid,Q3863
Q15982738,2005 VX3,asteroid,Q3863
Q15218423,(323137) 2003 BM80,asteroid,Q3863
Q7470359,(37638) 1993 VB,asteroid,Q3863
Q4541915,(175706) 1996 FG3,asteroid,Q3863
Q15034002,(89830) 2002 CE,asteroid,Q3863
Q14440269,2011 EO40,asteroid,Q3863
Q13400833,(85640) 1998 OX4,asteroid,Q3863
Q440585,(391211) 2006 HZ51,asteroid,Q3863
Q5981539,(23187) 2000 PN9,asteroid,Q3863
Q6155158,(23548) 1994 EF2,asteroid,Q3863
Q5981284,(23183) 2000 OY21,asteroid,Q3863
Q2806115,(308242) 2005 GO21,asteroid,Q3863
Q4546287,(101869) 1999 MM,asteroid,Q3863
Q307381,2004 TG10,asteroid,Q3863
Q4622750,(415029) 2011 UL21,asteroid,Q3863
Q3321525,2010 GA6,asteroid,Q3863
Q3272478,6344 P-L,asteroid,Q3863
Q5189732,(21374) 1997 WS22,asteroid,Q3863
Q108257417,2021 PH27,asteroid,Q3863
Q101811622,2020 VT4,asteroid,Q3863
Q15194873,(86039) 1999 NC43,asteroid,Q3863
Q15194872,(85990) 1999 JV6,asteroid,Q3863
Q15194379,(341843) 2008 EV5,asteroid,Q3863
Q15195085,(164121) 2003 YT1,asteroid,Q3863
Q211671,2009 KK,asteroid,Q3863
Q15034727,481984 Cernunnos,asteroid,Q3863
Q211311,2002 NY40,asteroid,Q3863
Q15159163,(388188) 2006 DP14,asteroid,Q3863
Q15615089,2013 YP139,asteroid,Q3863
Q15201711,471926 Jörmungandr,asteroid,Q3863
Q8835901,(292220) 2006 SU49,asteroid,Q3863
Q8325384,(177049) 2003 EE16,asteroid,Q3863
Q15034536,(162058) 1997 AE12,asteroid,Q3863
Q15034217,(143651) 2003 QO104,asteroid,Q3863
Q7467221,(85236) 1993 KH,asteroid,Q3863
Q6579202,Q6579202,asteroid,Q3863
Q4541565,(152680) 1998 KJ9,asteroid,Q3863
Q13400817,2012 FC71,asteroid,Q3863
Q4600355,(163364) 2002 OD20,asteroid,Q3863
Q3740067,(444004) 2004 AS1,asteroid,Q3863
Q14945327,(454101) 2013 BP73,asteroid,Q3863
Q14945294,(163132) 2002 CU11,asteroid,Q3863
Q10397169,1979 XB,asteroid,Q3863
Q2719475,(137170) 1999 HF1,asteroid,Q3863
Q4544148,(68950) 2002 QF15,asteroid,Q3863
Q307072,2002 AT4,asteroid,Q3863
Q267652,(179806) 2002 TD66,asteroid,Q3863
Q4620468,(471240) 2011 BT15,asteroid,Q3863
Q15160376,(386454) 2008 XM,asteroid,Q3863
Q55497260,2017 YE5,asteroid,Q3863
Q47203807,2017 MB7,asteroid,Q3863
Q15200629,2011 ES4,asteroid,Q3863
Q15194884,(88710) 2001 SL9,asteroid,Q3863
Q15194871,(85938) 1999 DJ4,asteroid,Q3863
Q15194867,(85182) 1991 AQ,asteroid,Q3863
Q15195002,(154276) 2002 SY50,asteroid,Q3863
Q15157790,2001 GO2,asteroid,Q3863
Q15194010,326290 Akhenaten,asteroid,Q3863
Q15194089,2000 EM26,asteroid,Q3863
Q15035738,326732 Nice,asteroid,Q3863
Q15034897,(190166) 2005 UP156,asteroid,Q3863
Q22080683,2013 TX68,asteroid,Q3863
Q19636542,(523775) 2014 YB35,asteroid,Q3863
Q18614313,2014 UR116,asteroid,Q3863
Q15894946,2014 DX110,asteroid,Q3863
Q15037619,(436724) 2011 UW158,asteroid,Q3863
Q8178752,614470 Flordeneu,asteroid,Q3863
Q4544095,(65690) 1991 DG,asteroid,Q3863
Q4542704,(277810) 2006 FV35,asteroid,Q3863
Q4541713,(162039) 1996 JG,asteroid,Q3863
Q4541556,(152575) 1994 GY,asteroid,Q3863
Q4541555,(152561) 1991 RB,asteroid,Q3863
Q4541550,(152558) 1990 SA,asteroid,Q3863
Q4600628,280244 Ati,asteroid,Q3863
Q4602844,2004 HR56,asteroid,Q3863
Q13400570,(374158) 2004 UL,asteroid,Q3863
Q4589800,1994 WR12,asteroid,Q3863
Q4541278,(136849) 1998 CS1,asteroid,Q3863
Q14945319,2008 CK70,asteroid,Q3863
Q14752023,(277475) 2005 WK4,asteroid,Q3863
Q2805962,(242450) 2004 QY2,asteroid,Q3863
Q4544400,(86067) 1999 RM28,asteroid,Q3863
Q4544103,(65717) 1993 BX3,asteroid,Q3863
Q4544100,(65706) 1992 NA,asteroid,Q3863
Q307136,2010 RX30,asteroid,Q3863
Q307053,2012 LZ1,asteroid,Q3863
Q3550045,(480808) 1994 XL1,asteroid,Q3863
Q15157490,(488453) 1994 XD,asteroid,Q3863
Q117706186,Q117706186,asteroid,Q3863
Q50295562,2018 DV1,asteroid,Q3863
Q47165915,2018 AH,asteroid,Q3863
Q66276351,2018 VP1,asteroid,Q3863
Q31762994,2016 AZ8,asteroid,Q3863
Q15194918,(137427) 1999 TF211,asteroid,Q3863
Q15194902,(136793) 1997 AQ18,asteroid,Q3863
Q15157985,(385343) 2002 LV,asteroid,Q3863
Q15195021,(155140) 2005 UD,asteroid,Q3863
Q15194269,(163243) 2002 FB3,asteroid,Q3863
Q15194265,(162421) 2000 ET70,asteroid,Q3863
Q31753339,605911 Cecily,asteroid,Q3863
Q2382494,(417634) 2006 XG1,asteroid,Q3863
Q15034097,(138095) 2000 DK79,asteroid,Q3863
Q4541945,(177614) 2004 HK33,asteroid,Q3863
Q4541711,(162015) 1994 TF2,asteroid,Q3863
Q13400840,2006 JY26,asteroid,Q3863
Q4615112,(529366) 2009 WM1,asteroid,Q3863
Q4610383,(332446) 2008 AF4,asteroid,Q3863
Q13400818,2012 XE133,asteroid,Q3863
Q4541271,(136770) 1996 PC1,asteroid,Q3863
Q3887906,331P/Gibbs,asteroid,Q3863
Q11186594,(374851) 2006 VV2,asteroid,Q3863
Q4544541,(96590) 1998 XB,asteroid,Q3863
Q15159949,(456938) 2007 YV56,asteroid,Q3863
Q113380363,2022 NX1,asteroid,Q3863
Q109012303,2019 XS,asteroid,Q3863
Q108381945,2019 UO14,asteroid,Q3863
Q32882136,(457175) 2008 GO98,asteroid,Q3863
Q84893658,(809875) 2020 BX12,asteroid,Q3863
Q65403572,2019 LF6,asteroid,Q3863
Q31763421,506074 Svarog,asteroid,Q3863
Q15194869,(85774) 1998 UT18,asteroid,Q3863
Q15158645,2005 LW3,asteroid,Q3863
Q15195181,(226514) 2003 UX34,asteroid,Q3863
Q15195050,(162567) 2000 RW37,asteroid,Q3863
Q15194368,2006 QQ23,asteroid,Q3863
Q15195326,(311066) 2004 DC,asteroid,Q3863
Q15194175,(65679) 1989 UQ,asteroid,Q3863
Q15194080,(415713) 1998 XX2,asteroid,Q3863
Q15177139,(52340) 1992 SY,asteroid,Q3863
Q15035991,(348400) 2005 JF21,asteroid,Q3863
Q15035195,(242216) 2003 RN10,asteroid,Q3863
Q28681877,(523797) 2016 NM56,asteroid,Q3863
Q28197062,2017 AG13,asteroid,Q3863
Q20098061,P/2013 R3 (Catalina–PANSTARRS),asteroid,Q3863
Q15159503,2007 FT3,asteroid,Q3863
Q15311824,(162416) 2000 EH26,asteroid,Q3863
Q15201734,2013 LX28,asteroid,Q3863
Q4542529,(251732) 1998 HG49,asteroid,Q3863
Q4542357,(225312) 1996 XB27,asteroid,Q3863
Q15033747,(85275) 1994 LY,asteroid,Q3863
Q15033730,(68063) 2000 YJ66,asteroid,Q3863
Q15033703,(65674) 1988 SM,asteroid,Q3863
Q13400819,2013 BS45,asteroid,Q3863
Q13400838,2003 BR47,asteroid,Q3863
Q4611154,Q4611154,asteroid,Q3863
Q4611155,(528159) 2008 HS3,asteroid,Q3863
Q4611152,(518635) 2008 HO3,asteroid,Q3863
Q4608114,(481482) 2007 CA19,asteroid,Q3863
Q4605054,2005 WY55,asteroid,Q3863
Q11683289,2012 KP24,asteroid,Q3863
Q2917158,Q2917158,asteroid,Q3863
