qid,label,class_label,class_qid
Q7191,Nobel Prize,award,Q618779
Q19020,Academy Awards,award,Q618779
Q37922,Nobel Prize in Literature,award,Q618779
Q29643,Wi-Fi,award,Q618779
Q41254,Grammy Awards,award,Q618779
Q81096,engineer,award,Q618779
Q125482,imam,award,Q618779
Q1011547,Golden Globe Awards,award,Q618779
Q39531,Bluetooth,award,Q618779
Q46525,Pulitzer Prize,award,Q618779
Q133485,rabbi,award,Q618779
Q123737,Emmy Award,award,Q618779
Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,award,Q618779
Q2747456,prince,award,Q618779
Q166177,Ballon d'Or,award,Q618779
Q160082,Booker Prize,award,Q618779
Q185166,sheikh,award,Q618779
Q165503,baron,award,Q618779
Q48786,Sakharov Prize,award,Q618779
Q166382,Amir,award,Q618779
Q163727,bachelor's degree,award,Q618779
Q71719,Hollywood Walk of Fame,award,Q618779
Q3972943,publishing,award,Q618779
Q983927,major,award,Q618779
Q487865,dervish,award,Q618779
Q178473,Hero of the Soviet Union,award,Q618779
Q185351,jurist,award,Q618779
Q184402,ayatollah,award,Q618779
Q14420,Order of the British Empire,award,Q618779
Q40734,Le Monde's 100 Books of the Century,award,Q618779
Q191874,Tony Awards,award,Q618779
Q752297,Doctor of Philosophy,award,Q618779
Q184253,Ig Nobel Prize,award,Q618779
Q185992,mufti,award,Q618779
Q174389,César Award,award,Q618779
Q184951,pasha,award,Q618779
Q185493,Order of Lenin,award,Q618779
Q381160,expert,award,Q618779
Q188942,mullah,award,Q618779
Q179191,Rock and Roll Hall of Fame,award,Q618779
Q3798668,aerospace engineering,award,Q618779
Q188914,Hugo Award,award,Q618779
Q189188,FA Community Shield,award,Q618779
Q203184,First Lady,award,Q618779
Q40237,Golden Raspberry Awards,award,Q618779
Q625163,hafiz,award,Q618779
Q485048,FIFA 100,award,Q618779
Q192499,Doctor of the Church,award,Q618779
Q182529,FIFA World Player of the Year,award,Q618779
Q208167,Hero of Socialist Labour,award,Q618779
Q4618975,Doctor,award,Q618779
Q749212,gentleman,award,Q618779
Q732997,British Academy Film Awards,award,Q618779
Q2291862,FIFA Ballon d'Or,award,Q618779
Q849697,doctorate,award,Q618779
Q154590,Golden Bear,award,Q618779
Q187300,Prix Goncourt,award,Q618779
Q112197,Righteous Among the Nations,award,Q618779
