qid,label,class_label,class_qid
Q24261011,Big South League,baseball league,Q6631808
Q104878857,Constellation Energy League,baseball league,Q6631808
Q1163715,Major League Baseball,baseball league,Q6631808
Q1146127,Nippon Professional Baseball,baseball league,Q6631808
Q625168,KBO League,baseball league,Q6631808
Q717976,Chinese Professional Baseball League,baseball league,Q6631808
Q1053900,Central League,baseball league,Q6631808
Q1360147,National League East,baseball league,Q6631808
Q183222,Cuban National Series,baseball league,Q6631808
Q745287,Pacific League,baseball league,Q6631808
Q1209761,National League West,baseball league,Q6631808
Q1186801,Southern League,baseball league,Q6631808
Q1186782,California League,baseball league,Q6631808
Q1208358,Eastern League,baseball league,Q6631808
Q681711,Dominican Professional Baseball League,baseball league,Q6631808
Q1186822,Northwest League,baseball league,Q6631808
Q1966945,National Association of Professional Base Ball Players,baseball league,Q6631808
Q925256,South Atlantic League,baseball league,Q6631808
Q1134569,Texas League,baseball league,Q6631808
Q1135467,New York–Penn League,baseball league,Q6631808
Q1276641,Players' League,baseball league,Q6631808
Q870585,Pioneer League,baseball league,Q6631808
Q1052962,Dominican Summer League,baseball league,Q6631808
Q1054418,Mexican Pacific League,baseball league,Q6631808
Q1135495,Midwest League,baseball league,Q6631808
Q1139131,Israel Baseball League,baseball league,Q6631808
Q1071209,China Baseball League,baseball league,Q6631808
Q1050345,Arizona Complex League,baseball league,Q6631808
Q647274,Tokyo Big6 Baseball League,baseball league,Q6631808
Q1566374,National Association of Base Ball Players,baseball league,Q6631808
Q3240330,Arizona Fall League,baseball league,Q6631808
Q119720167,Baseball United,baseball league,Q6631808
Q857927,Baseball Challenge League,baseball league,Q6631808
Q492695,Korea Baseball Futures League,baseball league,Q6631808
Q4743069,American Association of Professional Baseball,baseball league,Q6631808
Q5360123,Girls Professional Baseball League,baseball league,Q6631808
Q5360418,Japanese Baseball League,baseball league,Q6631808
Q7122299,Pacific Association of Professional Baseball Clubs,baseball league,Q6631808
Q3240266,Canadian American Association of Professional Baseball,baseball league,Q6631808
Q105706480,Double-A Central,baseball league,Q6631808
Q105706874,Double-A Northeast,baseball league,Q6631808
Q105706186,Double-A South,baseball league,Q6631808
Q105702200,High-A Central,baseball league,Q6631808
Q105702201,High-A East,baseball league,Q6631808
Q105702202,High-A West,baseball league,Q6631808
Q105702203,Low-A East,baseball league,Q6631808
Q105702204,California League,baseball league,Q6631808
Q105702196,Triple-A East,baseball league,Q6631808
Q105702198,Triple-A West,baseball league,Q6631808
Q105759891,Low-A Southeast,baseball league,Q6631808
Q85845652,China National Baseball League,baseball league,Q6631808
Q21820688,Euro League Baseball,baseball league,Q6631808
Q48796234,Argentine Baseball League,baseball league,Q6631808
Q104868692,Middle Texas League,baseball league,Q6631808
Q113112264,Abalone League,baseball league,Q6631808
Q2951808,Latvian Baseball League,baseball league,Q6631808
Q3878566,Northern League,baseball league,Q6631808
Q3957249,Serie A2,baseball league,Q6631808
Q5684451,Hawaii Winter Baseball,baseball league,Q6631808
Q6048347,International Association for Professional Base Ball Players,baseball league,Q6631808
Q6364439,Kansai Big 6 Baseball League,baseball league,Q6631808
Q7060335,Northwestern League,baseball league,Q6631808
Q7813315,Tohto University Baseball League,baseball league,Q6631808
Q96406069,South Atlantic League,baseball league,Q6631808
Q104869915,Maine State League,baseball league,Q6631808
Q104867145,Ontario–Quebec–Vermont League,baseball league,Q6631808
Q104868653,Panhandle-Pecos Valley League,baseball league,Q6631808
Q104870226,South Carolina League,baseball league,Q6631808
Q104876525,Southern California Trolley League,baseball league,Q6631808
Q107027779,Central Nebraska League,baseball league,Q6631808
Q4929150,Blue Grass League,baseball league,Q6631808
Q5547300,Georgia–Florida League,baseball league,Q6631808
Q7122586,Pacific Northwest League,baseball league,Q6631808
Q7423243,Sarasota Rookie League,baseball league,Q6631808
Q6392159,Kentucky-Illinois-Tennessee League,baseball league,Q6631808
Q104841934,Southern California League,baseball league,Q6631808
Q104864888,Indiana State League,baseball league,Q6631808
Q104855396,International Girls Baseball League,baseball league,Q6631808
Q104856535,Missouri-Iowa-Nebraska-Kansas League,baseball league,Q6631808
Q104849947,Red River Valley League,baseball league,Q6631808
Q104866095,South Dakota League,baseball league,Q6631808
Q104856514,Southwest Iowa League,baseball league,Q6631808
Q104866658,Vermont State League,baseball league,Q6631808
Q104862784,Virginia–North Carolina League,baseball league,Q6631808
Q15844867,Portugal Baseball League,baseball league,Q6631808
Q17150938,Lewis & Clark Baseball League,baseball league,Q6631808
Q20711077,Mountain States League,baseball league,Q6631808
Q39087703,California Fall League,baseball league,Q6631808
Q39087701,Maryland Fall Baseball,baseball league,Q6631808
Q60767777,M.I.N.K. Collegiate Baseball League,baseball league,Q6631808
Q65121331,Atlantic Association,baseball league,Q6631808
Q85812114,United States League,baseball league,Q6631808
Q86750613,Northern New York League,baseball league,Q6631808
