qid,label,class_label,class_qid
Q208385,ale,beer,Q44
Q253481,lager,beer,Q44
Q152281,pilsner,beer,Q44
Q131413,wheat beer,beer,Q44
Q217825,stout,beer,Q44
Q954166,porter,beer,Q44
Q1543214,India Pale Ale,beer,Q44
Q687737,Bock,beer,Q44
Q505815,Trappist beer,beer,Q44
Q597787,smoked beer,beer,Q44
Q4626,Kölsch,beer,Q44
Q524679,low-alcohol beer,beer,Q44
Q526314,lambic,beer,Q44
Q2271859,pale ale,beer,Q44
Q1756073,kriek,beer,Q44
Q2564161,banana beer,beer,Q44
Q348229,Belgian beer,beer,Q44
Q773568,rye beer,beer,Q44
Q27201,bitter,beer,Q44
Q1273660,schwarzbier,beer,Q44
Q1760222,Märzen,beer,Q44
Q808329,barley wine,beer,Q44
Q261105,helles,beer,Q44
Q1265882,Dunkel,beer,Q44
Q1520229,gueuze,beer,Q44
Q561987,Gose,beer,Q44
Q1161714,saison,beer,Q44
Q11818755,Grodziskie,beer,Q44
Q2725773,brown ale,beer,Q44
Q1512528,Dortmunder Export,beer,Q44
Q1919628,Tella,beer,Q44
Q15709638,pale lager,beer,Q44
Q1168351,bière de garde,beer,Q44
Q2719638,tripel,beer,Q44
Q2542177,Dubbel,beer,Q44
Q134899,Zhigulevskoye,beer,Q44
Q1935215,Steinbier,beer,Q44
Q2905073,Flanders red ale,beer,Q44
Q1050906,abbey beer,beer,Q44
Q615718,Pauwel Kwak,beer,Q44
Q533180,Brunswick Mum,beer,Q44
Q2397992,malt liquor,beer,Q44
Q2790699,Vlaams oud bruin,beer,Q44
Q241949,ice beer,beer,Q44
Q218424,Zoigl,beer,Q44
Q1546845,Grimbergen,beer,Q44
Q3433031,Old ale,beer,Q44
Q3510707,fruit beer,beer,Q44
Q1046968,happoshu,beer,Q44
Q5171042,corn beer,beer,Q44
Q1748225,framboise,beer,Q44
Q3126187,svagdricka,beer,Q44
Q15940735,American pale ale,beer,Q44
Q13430975,Scotch ale,beer,Q44
Q55597285,Irish Red Ale,beer,Q44
Q3297222,Zlatopramen,beer,Q44
Q7268438,quadrupel,beer,Q44
Q5168060,Coors Light,beer,Q44
Q1814622,light beer,beer,Q44
Q3625571,Herkenrode Tripel,beer,Q44
Q5183358,cream ale,beer,Q44
Q1958948,Beer riots in Bavaria,beer,Q44
Q2792509,blond,beer,Q44
Q4873642,Bavaria non alcoholic beer,beer,Q44
Q3509685,Dačický,beer,Q44
Q3502920,Herold,beer,Q44
Q2905033,dark beer,beer,Q44
Q67112501,Kveik,beer,Q44
Q7621182,Strakonický Dudák,beer,Q44
Q6731949,Budweiser trademark dispute,beer,Q44
Q2168133,red beer,beer,Q44
Q457026,Amber Ale,beer,Q44
Q28745369,Near beer,beer,Q44
Q25041816,seasonal beer,beer,Q44
Q2905029,flavoured beer,beer,Q44
Q16951485,copper ale,beer,Q44
Q12045524,Platan,beer,Q44
Q65964380,Siwa,beer,Q44
Q106119819,Michelob ULTRA,beer,Q44
Q7234531,Postřižinské,beer,Q44
Q20712588,Rogue Beard Beer,beer,Q44
Q4745555,American wild ale,beer,Q44
Q2922667,bouza,beer,Q44
Q7160484,Peeterman Artois,beer,Q44
Q5532723,Genesee Cream Ale,beer,Q44
Q610672,Budweiser,beer,Q44
Q854383,Heineken,beer,Q44
Q33105701,Chimay,beer,Q44
Q855563,Rochefort,beer,Q44
Q848355,Orval,beer,Q44
Q2028046,Ožujsko,beer,Q44
Q2028046,Ožujsko,beer,Q44
Q610086,Achel Brewery,beer,Q44
Q887730,Newcastle Brown Ale,beer,Q44
Q45298,Gambrinus,beer,Q44
Q18191476,Goldstar beer,beer,Q44
Q942393,Three Horses Beer,beer,Q44
Q2538109,Victoria Bitter,beer,Q44
Q795163,1664,beer,Q44
Q2519514,Harp Lager,beer,Q44
Q760961,Karjala,beer,Q44
Q797517,Koff,beer,Q44
Q2298563,Duchesse de Bourgogne,beer,Q44
Q867652,White House Honey Ale,beer,Q44
Q55739163,Tynt Meadow,beer,Q44
Q8248915,Blue Moon,beer,Q44
Q3390014,Voll-Damm,beer,Q44
Q3467674,Xibeca,beer,Q44
Q1402670,Maes pils,beer,Q44
Q135988488,Bia hơi,beer,Q44
Q2354390,Velebitsko,beer,Q44
Q23461394,Castle Lager,beer,Q44
Q2146615,Grisette,beer,Q44
Q27972948,Laurentina,beer,Q44
Q8344306,Cristal,beer,Q44
Q10608200,Old Speckled Hen,beer,Q44
Q3319682,Molson Export,beer,Q44
Q632775,Don de Dieu,beer,Q44
Q2213236,Mouten Kop,beer,Q44
Q861698,Heineken Oud Bruin,beer,Q44
Q3971125,Heineken Tarwebok,beer,Q44
Q16545279,Curtius,beer,Q44
Q4763320,Angkor Extra Stout,beer,Q44
Q55606946,Champion breweries,beer,Q44
Q104902665,Thomas Hardy's Ale,beer,Q44
Q8071505,Ziegenbock,beer,Q44
Q15985396,Crabbelaer,beer,Q44
Q16995034,Heady Topper,beer,Q44
Q4921899,Black Star Beer,beer,Q44
Q5616573,Guinness Black Lager,beer,Q44
Q110269679,Hawkstone Lager,beer,Q44
Q17986454,Chiswick Bitter,beer,Q44
