qid,label,class_label,class_qid
Q17243,Monopoly,board game,Q131436
Q170436,Scrabble,board game,Q131436
Q210339,tic-tac-toe,board game,Q131436
Q17271,The Settlers of Catan,board game,Q131436
Q953491,Battleship,board game,Q131436
Q937315,Royal Game of Ur,board game,Q131436
Q796171,Pachisi,board game,Q131436
Q748139,Othello,board game,Q131436
Q1030283,Ludo,board game,Q131436
Q844874,Hex,board game,Q131436
Q908381,Gomoku,board game,Q131436
Q545129,Mensch ärgere dich nicht,board game,Q131436
Q17254,Connect Four,board game,Q131436
Q241538,Stratego,board game,Q131436
Q980091,Halma,board game,Q131436
Q1457040,Puerto Rico,board game,Q131436
Q575620,Oware,board game,Q131436
Q706464,Yut,board game,Q131436
Q540081,Blokus,board game,Q131436
Q527125,Quarto,board game,Q131436
Q1395834,Fanorona,board game,Q131436
Q1700475,patolli,board game,Q131436
Q205906,Liar's Dice,board game,Q131436
Q807050,Bao,board game,Q131436
Q2180601,English draughts,board game,Q131436
Q945556,Parchís,board game,Q131436
Q473986,Congkak,board game,Q131436
Q17663922,hnefatafl,board game,Q131436
Q1117085,Turkish draughts,board game,Q131436
Q989473,International draughts,board game,Q131436
Q734162,GIPF project,board game,Q131436
Q1461807,cheskers,board game,Q131436
Q580993,Kolejka,board game,Q131436
Q1511387,Parcheesi,board game,Q131436
Q9439618,fidchell,board game,Q131436
Q840299,Trax,board game,Q131436
Q379731,Advanced Squad Leader,board game,Q131436
Q3179300,partaka,board game,Q131436
Q2091142,Chaupar,board game,Q131436
Q4400684,Russian draughts,board game,Q131436
Q1431363,Lamlameta,board game,Q131436
Q1138894,Cranium,board game,Q131436
Q15727318,Seega,board game,Q131436
Q903935,Breakthrough,board game,Q131436
Q63973259,Just One,board game,Q131436
Q53726996,The Mind,board game,Q131436
Q3521217,Pallanguzhi,board game,Q131436
Q4817622,Mangala,board game,Q131436
Q4688395,aeroplane chess,board game,Q131436
Q180138,score four,board game,Q131436
Q1278480,Space Alert,board game,Q131436
Q1057836,Adji-boto,board game,Q131436
Q6093162,Italian draughts,board game,Q131436
Q821804,Tock,board game,Q131436
Q669917,Jeu des petits chevaux,board game,Q131436
Q378234,Qubic,board game,Q131436
Q359049,Pong Hau K'i,board game,Q131436
Q268563,Ba-awa,board game,Q131436
Q201274,1830: The Game of Railroads and Robber Barons,board game,Q131436
Q1544528,Around the World in 80 Days,board game,Q131436
Q1194258,Lord of the Rings,board game,Q131436
Q1055920,Hawalis,board game,Q131436
Q7721106,The Campaign for North Africa,board game,Q131436
Q7581894,Squad Leader,board game,Q131436
Q391802,Das Bohnenspiel,board game,Q131436
Q106955476,MicroMacro: Crime City,board game,Q131436
Q2869534,Atmosfear,board game,Q131436
Q2387023,Tactics,board game,Q131436
Q2303559,Sorry!,board game,Q131436
Q5201823,Czech draughts,board game,Q131436
Q32282577,Frisian-rules draughts,board game,Q131436
Q118186288,Dorfromantik: The Board Game,board game,Q131436
Q1115820,Chopat,board game,Q131436
Q7228578,Pool checkers,board game,Q131436
Q16596777,Robinson Crusoe: Adventures on the Cursed Island,board game,Q131436
Q15891834,Trouble,board game,Q131436
Q657144,Krur,board game,Q131436
Q3813995,Katro,board game,Q131436
Q5398614,Eson xorgol,board game,Q131436
Q4805958,Ashte kashte,board game,Q131436
Q4545492,Owela,board game,Q131436
Q4469050,Ugolki,board game,Q131436
Q30753708,Unlock!,board game,Q131436
Q204454,18XX,board game,Q131436
Q1395568,Coppit,board game,Q131436
Q1186543,Demonworld,board game,Q131436
Q7728000,The Creature That Ate Sheboygan,board game,Q131436
Q5475176,four-field kono,board game,Q131436
Q5446022,Feudal,board game,Q131436
Q17092289,Igisoro,board game,Q131436
Q431840,Andada,board game,Q131436
Q3631287,Aw-li On-nam Ot-tjin,board game,Q131436
Q5243012,Dayakattai,board game,Q131436
Q5212163,Dameo,board game,Q131436
Q4355918,Kimble,board game,Q131436
Q28403488,Tanzanian draughts,board game,Q131436
Q18423478,Battles of Westeros,board game,Q131436
Q1144394,Cups,board game,Q131436
Q7968700,War of the Ring,board game,Q131436
Q7876789,Uckers,board game,Q131436
Q7761893,The Russian Campaign,board game,Q131436
Q7683686,Tannhäuser,board game,Q131436
Q6746657,Management,board game,Q131436
Q6460635,La'b Hakimi,board game,Q131436
Q6031124,The Plot to Assassinate Hitler,board game,Q131436
Q5689496,Headache,board game,Q131436
Q5554735,Gettysburg,board game,Q131436
Q5455913,five-field kono,board game,Q131436
Q642391,3M bookshelf game series,board game,Q131436
Q593466,Enkeshui,board game,Q131436
Q110992194,Verquere,board game,Q131436
Q98079361,Dungeon Lords,board game,Q131436
Q97260584,Ayoayo,board game,Q131436
Q105654089,Stardew Valley: The Board Game,board game,Q131436
Q3968414,Starship Troopers,board game,Q131436
Q3827461,Latho,board game,Q131436
Q3815553,Kiothi,board game,Q131436
Q3631385,Endodoi,board game,Q131436
Q3620522,Anywoli,board game,Q131436
Q2891792,Battle Cry,board game,Q131436
Q4832507,Azhanti High Lightning,board game,Q131436
Q4692235,Aggravation,board game,Q131436
Q42341640,Wahoo,board game,Q131436
Q38599373,History of the World,board game,Q131436
Q28134115,Kingdom Death: Monster,board game,Q131436
Q8343811,Category:Card exchange games,board game,Q131436
Q8073464,Zohn Ahl,board game,Q131436
Q7927585,Victory in the Pacific,board game,Q131436
Q7927575,Victory at Sea,board game,Q131436
Q7841268,Tricolor,board game,Q131436
Q7811264,To the Green Fields Beyond,board game,Q131436
Q7703658,Terrible Swift Sword,board game,Q131436
Q7601107,Star Wars: The Interactive Video Board Game,board game,Q131436
Q7601019,Star Trek: The Next Generation Interactive VCR Board Game – A Klingon Challenge,board game,Q131436
Q7597260,Stalingrad,board game,Q131436
Q6460636,La'b Madjnuni,board game,Q131436
Q5759972,Highway to the Reich,board game,Q131436
Q5612138,Grunt,board game,Q131436
Q5412030,Europa,board game,Q131436
Q17010150,Midway,board game,Q131436
Q16995030,Internet Diplomacy,board game,Q131436
Q16249580,Edris A Jin,board game,Q131436
Q112205643,Coral Sea,board game,Q131436
Q112119090,Fulda Gap,board game,Q131436
Q112072668,The Fast Carriers,board game,Q131436
Q111972992,The American Civil War: 1861–1865,board game,Q131436
Q111943821,The Battle of Britain,board game,Q131436
Q111940942,The American Revolution: 1775–1783,board game,Q131436
Q111940957,Sticks & Stones,board game,Q131436
Q111948310,Dieppe,board game,Q131436
Q111911966,Alpha Omega,board game,Q131436
Q111181040,Tunisia,board game,Q131436
Q111181262,EastFront,board game,Q131436
Q111169532,Piercing the Reich,board game,Q131436
Q110800088,1942,board game,Q131436
Q96650504,Great War at Sea: U.S. Navy Plan Orange,board game,Q131436
Q96408662,The English Civil War,board game,Q131436
Q96408558,The Company War,board game,Q131436
Q96394874,Napoleon at Leipzig,board game,Q131436
Q96391746,Manassas,board game,Q131436
Q96386581,La Bataille de la Moscowa,board game,Q131436
Q96377897,Fields of Honor: The American War for Independence,board game,Q131436
Q96375075,Cityfight: Modern Combat in the Urban Environment,board game,Q131436
Q96372822,Avalanche: The Salerno Landings,board game,Q131436
Q75566728,The Siege of Jerusalem,board game,Q131436
Q65053002,The Ironclads,board game,Q131436
Q56277265,Grav Armor,board game,Q131436
Q55635595,The Trojan War (board game),board game,Q131436
Q55611627,Fifth Frontier War,board game,Q131436
Q48997863,War of the Sky Cities,board game,Q131436
Q48998219,War in the Ice,board game,Q131436
Q48998216,Rivets,board game,Q131436
Q48998709,Kings & Castles,board game,Q131436
Q48998214,Invasion of the Air-eaters,board game,Q131436
Q48998208,Ice War,board game,Q131436
Q48999122,Hof Gap,board game,Q131436
Q48998204,Godsfire,board game,Q131436
Q48999120,Fifth Corps,board game,Q131436
Q48998033,Dark Nebula,board game,Q131436
Q48997930,Artifact,board game,Q131436
Q110654694,"Arcola, The Battle for Italy 1796",board game,Q131436
Q110612597,Lee at the Crossroads,board game,Q131436
Q110536037,NATO Division Commander,board game,Q131436
Q110488354,Operation Grenade,board game,Q131436
Q110413297,The Art of Siege,board game,Q131436
Q110313129,Arnhem Bridge,board game,Q131436
Q109830444,Ticktack,board game,Q131436
Q109635684,Laquet,board game,Q131436
Q109570605,Fire in the East,board game,Q131436
Q108569834,West of Alamein,board game,Q131436
Q108569870,Team Yankee,board game,Q131436
Q108392280,Lee vs. Grant: The Wilderness Campaign of 1864,board game,Q131436
Q106856040,NATO: Operational Combat in Europe in the 1970s,board game,Q131436
Q106771100,Wacht am Rhein,board game,Q131436
Q105846573,Cry Havoc,board game,Q131436
Q105472511,"Wellington's Victory: Battle of Waterloo Game – June 18th, 1815",board game,Q131436
Q104821874,Inferno (board game),board game,Q131436
Q5374046,Empire Builder,board game,Q131436
Q5160188,Conflict of Heroes,board game,Q131436
Q4284729,Mixmath,board game,Q131436
Q48997462,Warriors of the Green Planet,board game,Q131436
Q48996843,War of the Sky Galleons,board game,Q131436
Q48996732,The Ythri,board game,Q131436
Q48996982,The Warlord Game,board game,Q131436
Q48997210,The Siege of Minas Tirith,board game,Q131436
Q48996741,Sorcerer,board game,Q131436
Q48996838,Rift Trooper,board game,Q131436
Q48997094,Mayday,board game,Q131436
Q48997635,King Arthur,board game,Q131436
Q48997181,Cyborg,board game,Q131436
Q48996955,BattleFleet Mars,board game,Q131436
Q48997212,Battle of the Five Armies,board game,Q131436
Q48996984,Atlantis - 12500 B.C.,board game,Q131436
Q48976921,Time War,board game,Q131436
Q48976954,Starfire II,board game,Q131436
Q48976951,Engage & Destroy,board game,Q131436
Q48976837,Asteroid Zero-Four,board game,Q131436
Q48968321,Dixie,board game,Q131436
Q48784899,Streets of Stalingrad,board game,Q131436
Q48770262,Red Storm Rising,board game,Q131436
Q42849632,Sauron,board game,Q131436
Q42749367,Gondor: The Siege of Minas Tirith,board game,Q131436
Q42552921,War of the Ring: The Game of Middle Earth,board game,Q131436
Q25245247,Napoleon's Last Battles,board game,Q131436
Q25217154,The Warlord,board game,Q131436
Q25213014,Julius Caesar,board game,Q131436
Q21072528,Turning Point: Stalingrad,board game,Q131436
Q19871016,Axis & Allies: World War I 1914,board game,Q131436
Q125243648,Line of Battle,board game,Q131436
Q123010292,Objective Moscow,board game,Q131436
Q122238495,John Company,board game,Q131436
Q121854357,Veracruz: U.S. Invasion of Mexico 1847,board game,Q131436
Q121189981,Turning Point: The Battle of Stalingrad,board game,Q131436
Q119443431,Revolt in the East,board game,Q131436
Q118903142,"Supercharge: Battle of El Alamein, October 1942",board game,Q131436
Q118902877,Submarine,board game,Q131436
Q118900568,Kasserine: Baptism of Fire,board game,Q131436
Q118903241,"Crusader: Battle for Tobruk, November 1941",board game,Q131436
Q117810620,"Cauldron: Battle of Gazala, May 1942",board game,Q131436
Q117481432,Sixth Fleet,board game,Q131436
Q117210096,Wavre: The Lost Opportunity,board game,Q131436
Q117085947,Unentschieden,board game,Q131436
Q117019386,Acre: Richard Lionheart's Siege,board game,Q131436
Q116973517,Eurorails,board game,Q131436
Q116954655,Fredericksburg: The Union Repulsed,board game,Q131436
Q116938927,Raketny Kreyser,board game,Q131436
Q116922406,Cross of Iron,board game,Q131436
Q116909689,Hooker and Lee,board game,Q131436
Q116825582,"Chattanooga: Gateway to Victory, Nov. 24-25, 1863",board game,Q131436
Q116814660,Bloody Buna,board game,Q131436
Q116636106,"Battle of the Wilderness: Gaining the Initiative, May 5-6, 1864",board game,Q131436
Q116549830,"The Punic Wars: Rome vs Carthage, 264-146 B.C.",board game,Q131436
Q116507897,The Peloponnesian War,board game,Q131436
Q116507920,La Bataille de Corunna–Espagnol,board game,Q131436
Q116233330,The 20th Maine,board game,Q131436
Q116196898,7th Cavalry,board game,Q131436
Q116169786,Road to Richmond,board game,Q131436
Q116158488,Proud Monster,board game,Q131436
Q116044770,Port Arthur,board game,Q131436
Q116030226,Quatre Bras: Stalemate on the Brussels Road,board game,Q131436
Q115959771,Mukden: Sino-Soviet Combat in the '70s,board game,Q131436
Q115959710,Ancient Conquest,board game,Q131436
Q115957149,"Antietam: The Bloodiest Day, 17 September 1862",board game,Q131436
Q115939536,Napoleon's Last Campaigns,board game,Q131436
Q115937813,Missile Boat,board game,Q131436
Q115917682,MiG Killers,board game,Q131436
Q115880189,Mercenary,board game,Q131436
Q115816015,Torgau,board game,Q131436
Q115813159,The Great War in the East,board game,Q131436
Q115810088,"The Battle of Nations: The Encirclement at Leipzig, 16–19 October 1813",board game,Q131436
Q115806163,Spitfire,board game,Q131436
Q115806079,Operacao Littorio,board game,Q131436
Q115805670,La Belle Alliance: The Battle of Waterloo,board game,Q131436
Q115805981,Grenadier,board game,Q131436
Q115803569,Flying Tigers,board game,Q131436
Q115807721,Flying Circus,board game,Q131436
Q115805371,East Front,board game,Q131436
Q115806777,Descent on Crete,board game,Q131436
Q115806181,Bay of Pigs,board game,Q131436
Q115806157,Arms Race,board game,Q131436
Q115474974,MBT,board game,Q131436
Q113954135,Eagle Day: The Battle of Britain,board game,Q131436
Q113635192,"Bloody April: The Battle of Shiloh, 1862",board game,Q131436
Q113614173,Beda Fomm,board game,Q131436
Q113331396,Breitenfeld,board game,Q131436
Q113289101,Rocroi,board game,Q131436
Q113213665,Thirty Years War,board game,Q131436
Q113071132,Napoleon at Waterloo,board game,Q131436
Q112939354,Musket & Pike,board game,Q131436
Q112913213,The Moscow Campaign,board game,Q131436
Q112623214,Luftwaffe,board game,Q131436
Q112228290,Lee Moves North,board game,Q131436
Q135628892,The Civil War 1861–1865,board game,Q131436
Q135100096,Reich,board game,Q131436
Q134563659,Sopwith,board game,Q131436
