qid,label,class_label,class_qid
Q16343,clavicle,bone,Q265868
Q38155,nasal bone,bone,Q265868
Q16295,frontal bone,bone,Q265868
Q16298,parietal bone,bone,Q265868
Q16317,occipital bone,bone,Q265868
Q16321,sphenoid bone,bone,Q265868
Q193527,vomer,bone,Q265868
Q212721,lacrimal bone,bone,Q265868
Q1077717,Ishango bone,bone,Q265868
Q581731,Lebombo bone,bone,Q265868
Q475670,Mauer 1,bone,Q265868
Q19121886,Penghu 1,bone,Q265868
Q20050714,Manot 1,bone,Q265868
Q4041999,KNM ER 992,bone,Q265868
Q7162905,Peninj Mandible,bone,Q265868
Q1798114,LH 4,bone,Q265868
Q110951988,Daniel Sickles's leg,bone,Q265868
Q6389023,Kendrick's Cave Decorated Horse Jaw,bone,Q265868
Q182895,maxilla,bone,Q265868
Q671433,postorbital bone,bone,Q265868
Q1749960,AL 200-1,bone,Q265868
Q17114686,Olduvai Hominid 8,bone,Q265868
Q131459684,ossicular chain,bone,Q265868
Q135742201,Os opticus,bone,Q265868
Q136029807,Medullary bone,bone,Q265868
