qid,label,class_label,class_qid
Q272530,Records of the Grand Historian,book,Q571
Q201561,Diagnostic and Statistical Manual of Mental Disorders,book,Q571
Q846905,Book of Han,book,Q571
Q103411,V for Vendetta,book,Q571
Q1541914,The Handmaid's Tale,book,Q571
Q747720,Spring and Autumn Annals,book,Q571
Q211062,Très Riches Heures du duc de Berry,book,Q571
Q76210,The Blue Lotus,book,Q571
Q247318,Records of the Three Kingdoms,book,Q571
Q55692,Active Directory,book,Q571
Q430428,Book of the Later Han,book,Q571
Q392937,The Protestant Ethic and the Spirit of Capitalism,book,Q571
Q27912,Struwwelpeter,book,Q571
Q618719,Asterix the Gaul,book,Q571
Q494611,Jikji,book,Q571
Q1089336,Tabula Rogeriana,book,Q571
Q95976070,Law of the People's Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region,book,Q571
Q784710,Book of Common Prayer,book,Q571
Q1053942,The 7 Habits of Highly Effective People,book,Q571
Q2434476,Tintin in Tibet,book,Q571
Q837304,Cigars of the Pharaoh,book,Q571
Q1574967,Orientalism,book,Q571
Q1368633,Theatrum Orbis Terrarum,book,Q571
Q1066598,The Open Society and Its Enemies,book,Q571
Q172723,King Ottokar's Sceptre,book,Q571
Q912873,The Black Island,book,Q571
Q837333,The Broken Ear,book,Q571
Q636870,Tintin in the Congo,book,Q571
Q1280589,Meshari,book,Q571
Q901375,Tintin in America,book,Q571
Q1154753,Book of Jin,book,Q571
Q1143142,Book of Song,book,Q571
Q1131283,The Red Sea Sharks,book,Q571
Q949863,The Shooting Star,book,Q571
Q935984,The Calculus Affair,book,Q571
Q934536,The Seven Crystal Balls,book,Q571
Q1218477,Asterix and the Golden Sickle,book,Q571
Q2868351,Ashtadhyayi,book,Q571
Q699477,Siku Quanshu,book,Q571
Q1430632,Flight 714,book,Q571
Q1327843,The Origins of Totalitarianism,book,Q571
Q1992642,Los goetia,book,Q571
Q604219,photo-book,book,Q571
Q544025,COBIT,book,Q571
Q747964,Asterix the Gladiator,book,Q571
Q742624,Asterix and Cleopatra,book,Q571
Q921522,The Secret of the Unicorn,book,Q571
Q774844,Red Rackham's Treasure,book,Q571
Q650027,Typikon,book,Q571
Q1309201,Explorers on the Moon,book,Q571
Q1138084,Prisoners of the Sun,book,Q571
Q1502722,Yasna,book,Q571
Q534855,Asterix at the Olympic Games,book,Q571
Q1213734,The Castafiore Emerald,book,Q571
Q1320289,Destination Moon,book,Q571
Q80827,Sex,book,Q571
Q14943256,Roman Missal,book,Q571
Q240406,Land of Black Gold,book,Q571
Q748378,Asterix and the Goths,book,Q571
Q113531,Little Nemo,book,Q571
Q849305,gradual,book,Q571
Q2379164,Dipavamsa,book,Q571
Q925553,Red Book of Endangered Languages,book,Q571
Q1431686,Spirou,book,Q571
Q677479,Asterix in Britain,book,Q571
Q1194700,Asterix and the Big Fight,book,Q571
Q1188118,Strong's Concordance,book,Q571
Q1372207,Euchologion,book,Q571
Q1929868,Pilote,book,Q571
Q2181840,Tintin and Alph-Art,book,Q571
Q612595,Tintin and the Picaros,book,Q571
Q605943,Asterix in Belgium,book,Q571
Q1438448,The Theory of Moral Sentiments,book,Q571
Q1285767,Book of Liang,book,Q571
Q2418484,Tolkāppiyam,book,Q571
Q1510188,Asterix and the Banquet,book,Q571
Q1462577,Asterix and the Roman Agent,book,Q571
Q748125,Asterix in Switzerland,book,Q571
Q1192857,Book of Qi,book,Q571
Q707566,Goryeosa,book,Q571
Q1333316,Old History of the Five Dynasties,book,Q571
Q1275744,Book of Chen,book,Q571
Q1069956,The Bluest Eye,book,Q571
Q2657399,Reims Gospel,book,Q571
Q685019,Tarikh-i Jahangushay-i Juvaini,book,Q571
Q593947,Asterix and the Laurel Wreath,book,Q571
Q586744,sacramentary,book,Q571
Q534369,Asterix in Spain,book,Q571
Q1415108,Sefer HaRazim,book,Q571
Q887421,Queen's Blade,book,Q571
Q1933270,Shennong Bencaojing,book,Q571
Q1216875,The Mansions of the Gods,book,Q571
Q3500395,Gramática de la lengua castellana,book,Q571
Q19724891,Asterix and the Missing Scroll,book,Q571
Q22257011,The Book of Abramelin,book,Q571
Q13107953,Asterix and the Picts,book,Q571
Q2704678,The Archaeology of Knowledge,book,Q571
Q2094663,Pif gadget,book,Q571
Q965587,The Beano,book,Q571
Q947559,Asterix and Obelix All at Sea,book,Q571
Q1198803,Asterix and the Great Divide,book,Q571
Q748394,Asterix and the Normans,book,Q571
Q748360,Asterix and the Cauldron,book,Q571
Q747981,Asterix the Legionary,book,Q571
Q838746,Truth and Method,book,Q571
Q63786032,Asterix and the Chieftain's Daughter,book,Q571
Q3020428,Of Grammatology,book,Q571
Q676258,Asterix and the Chieftain's Shield,book,Q571
Q4281242,1 Litre no Namida,book,Q571
Q947972,A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,book,Q571
Q625477,Asterix and Son,book,Q571
Q599154,Asterix and the Magic Carpet,book,Q571
Q1492454,Asterix and the Falling Sky,book,Q571
Q1468556,Obelix and Co.,book,Q571
Q383457,Mahābhāṣya,book,Q571
Q757183,Atlas Maior,book,Q571
Q1218560,Asterix and the Great Crossing,book,Q571
Q64666984,Poem of Sidi Boushaki,book,Q571
Q263790,pontifical,book,Q571
Q1215264,Asterix and the Black Gold,book,Q571
Q1877619,Farnese Hours,book,Q571
Q654659,Heavy Metal,book,Q571
Q1055599,Institutes of Justinian,book,Q571
Q117220177,Asterix and the White Iris,book,Q571
Q2186033,The Postmodern Condition,book,Q571
Q999790,Grandes Heures of Anne of Brittany,book,Q571
Q509302,Asterix and the Secret Weapon,book,Q571
Q1196871,Asterix and the Soothsayer,book,Q571
Q748291,Asterix and the Actress,book,Q571
Q747995,Asterix in Corsica,book,Q571
Q747903,Asterix and Obelix's Birthday,book,Q571
Q1168335,Asterix and Caesar's Gift,book,Q571
Q648336,First Grammatical Treatise,book,Q571
Q646668,Kiss of the Spider Woman,book,Q571
Q1042324,Azuma Kagami,book,Q571
Q106283795,Asterix and the Griffin,book,Q571
Q115765981,Wikipedia:Books/archive/Eye diseases,book,Q571
Q115754466,Wikipedia:Books/archive/Ears nose throat,book,Q571
Q115739862,Wikipedia:Books/archive/Children's health,book,Q571
Q2557351,Galdrabók,book,Q571
Q2525280,Black Book,book,Q571
Q2200244,Stielers Handatlas,book,Q571
Q1682411,How Obelix Fell into the Magic Potion When he was a Little Boy,book,Q571
Q846730,Distinction,book,Q571
Q1816474,Lincoln Bible,book,Q571
Q760138,Chroniques de Jérusalem,book,Q571
Q1068344,Burning Chrome,book,Q571
Q2557109,Piae Cantiones,book,Q571
Q2536710,Cancioneiro da Biblioteca Nacional,book,Q571
Q2724920,Cancionero de Upsala,book,Q571
Q4116034,Mafatih al-Janan,book,Q571
Q1516907,Hours of Jeanne d'Evreux,book,Q571
Q748240,Asterix and the Class Act,book,Q571
Q1959777,"Belles Heures of Jean de France, Duc de Berry",book,Q571
Q1987925,Varney the Vampire,book,Q571
Q1114530,Understanding Comics: The Invisible Art,book,Q571
Q1093748,Novell eDirectory,book,Q571
Q133305716,Asterix in Lusitania,book,Q571
Q2869450,Miller Atlas,book,Q571
Q2638992,"Petites Heures of Jean de France, Duc de Berry",book,Q571
Q3184260,Grimorium Verum,book,Q571
Q2067866,"Black Hours, Morgan Library",book,Q571
Q3507302,Missale Romanum Glagolitice,book,Q571
Q1541253,Roman Gradual,book,Q571
Q571844,Dicta Boelcke,book,Q571
Q1770842,Uncle Scrooge,book,Q571
Q1769723,Klencke Atlas,book,Q571
Q845904,Art of Grammar,book,Q571
Q321320,Mainz Psalter,book,Q571
Q1223685,Lettre à M. Dacier,book,Q571
Q1052569,Bergey's Manual of Systematic Bacteriology,book,Q571
Q1671114,Hours of Étienne Chevalier,book,Q571
Q1570405,Name Service Switch,book,Q571
Q105044058,Later,book,Q571
Q7775455,The Wolves in the Walls,book,Q571
