qid,label,class_label,class_qid
Q44440,Golden Gate Bridge,bridge,Q12280
Q83125,Tower Bridge,bridge,Q12280
Q125006,Brooklyn Bridge,bridge,Q12280
Q130206,London Bridge,bridge,Q12280
Q99236,Millau Viaduct,bridge,Q12280
Q297871,Øresund Bridge,bridge,Q12280
Q184213,Akashi Kaikyō Bridge,bridge,Q12280
Q54495,Sydney Harbour Bridge,bridge,Q12280
Q2652980,Crimean Bridge,bridge,Q12280
Q188528,Stari Most,bridge,Q12280
Q204871,Charles Bridge,bridge,Q12280
Q189764,Pont du Gard,bridge,Q12280
Q4484,15 July Martyrs Bridge,bridge,Q12280
Q244947,Aqueduct of Segovia,bridge,Q12280
Q275,Forth Bridge,bridge,Q12280
Q125673,Verrazzano-Narrows Bridge,bridge,Q12280
Q210055,Mehmed Paša Sokolović Bridge,bridge,Q12280
Q233737,Vasco da Gama Bridge,bridge,Q12280
Q52517,Bridge of Sighs,bridge,Q12280
Q52505,Rialto Bridge,bridge,Q12280
Q595768,Danyang–Kunshan Grand Bridge,bridge,Q12280
Q456960,Westminster Bridge,bridge,Q12280
Q208633,Ponte Vecchio,bridge,Q12280
Q125821,George Washington Bridge,bridge,Q12280
Q44057,Millennium Bridge,bridge,Q12280
Q7784788,Yavuz Sultan Selim Bridge,bridge,Q12280
Q213962,Great Belt Fixed Link,bridge,Q12280
Q8077503,1915 Çanakkale Bridge,bridge,Q12280
Q331996,Vizcaya Bridge,bridge,Q12280
Q465534,Széchenyi Chain Bridge,bridge,Q12280
Q1191515,Hong Kong–Zhuhai–Macau Bridge,bridge,Q12280
Q335277,Pont Neuf,bridge,Q12280
Q48353,Rio-Antirrio bridge,bridge,Q12280
Q827735,King Fahd Causeway,bridge,Q12280
Q369967,Fatih Sultan Mehmet Bridge,bridge,Q12280
Q125050,Manhattan Bridge,bridge,Q12280
Q209710,Russky Bridge,bridge,Q12280
Q3907993,Polcevera Viaduct,bridge,Q12280
Q501003,Waterloo Bridge,bridge,Q12280
Q81523,Galata Bridge,bridge,Q12280
Q581526,Menai Suspension Bridge,bridge,Q12280
Q1132510,Lake Pontchartrain Causeway,bridge,Q12280
Q870476,Ponte Sant'Angelo,bridge,Q12280
Q284444,pont Saint-Bénézet,bridge,Q12280
Q5482413,Francis Scott Key Bridge,bridge,Q12280
Q837291,Bridge of the Slovak National Uprising,bridge,Q12280
Q216061,Bridge of the Americas,bridge,Q12280
Q1127325,Ponte Milvio,bridge,Q12280
Q849786,Trajan's Bridge,bridge,Q12280
Q504710,Pont de Normandie,bridge,Q12280
Q1329141,Pont des Arts,bridge,Q12280
Q326249,Hangzhou Bay Bridge,bridge,Q12280
Q996197,Alcántara Bridge,bridge,Q12280
Q667674,Si-o-se Pol,bridge,Q12280
Q915195,Liberty Bridge,bridge,Q12280
Q125068,Williamsburg Bridge,bridge,Q12280
Q1141014,Humber Bridge,bridge,Q12280
Q1324578,Southwark Bridge,bridge,Q12280
Q497367,Qingdao Jiaozhou Bay Bridge,bridge,Q12280
Q721152,25 de Abril Bridge,bridge,Q12280
Q296799,Öland Bridge,bridge,Q12280
Q203004,Danube Bridge,bridge,Q12280
Q25225,Chapel Bridge,bridge,Q12280
Q16396,Tsing Ma Bridge,bridge,Q12280
Q1077240,New Europe Bridge,bridge,Q12280
Q99200,The Iron Bridge,bridge,Q12280
Q1130666,Lambeth Bridge,bridge,Q12280
Q1367127,Rio–Niterói Bridge,bridge,Q12280
Q865076,Confederation Bridge,bridge,Q12280
Q640980,Magdeburg Water Bridge,bridge,Q12280
Q917862,First Thai–Lao Friendship Bridge,bridge,Q12280
Q338136,Donghai Bridge,bridge,Q12280
Q1142134,Vauxhall Bridge,bridge,Q12280
Q1277685,Latin Bridge,bridge,Q12280
Q125157,Queensboro Bridge,bridge,Q12280
Q1322447,Luis I Bridge,bridge,Q12280
Q880843,Blackfriars Bridge,bridge,Q12280
Q1972207,Albert Bridge,bridge,Q12280
Q1621256,pont de l'Alma,bridge,Q12280
Q918066,Britannia Bridge,bridge,Q12280
Q699098,Elisabeth Bridge,bridge,Q12280
Q694708,Glienicke Bridge,bridge,Q12280
Q226035,Tacoma Narrows Bridge (2007),bridge,Q12280
Q52509,Ponte dell'Accademia,bridge,Q12280
Q1155248,Pelješac Bridge,bridge,Q12280
Q1046736,Rainbow Bridge,bridge,Q12280
Q1089516,Mária Valéria Bridge,bridge,Q12280
Q1060121,Lugou Bridge,bridge,Q12280
Q12568,Mackinac Bridge,bridge,Q12280
Q806452,Burapha Withi Expressway,bridge,Q12280
Q1069141,Chelsea Bridge,bridge,Q12280
Q1348188,Erasmusbrug,bridge,Q12280
Q777301,Megyeri Bridge,bridge,Q12280
Q640092,Pons Aemilius,bridge,Q12280
Q1436185,Hungerford Bridge and Golden Jubilee Bridges,bridge,Q12280
Q1427489,Quebec Bridge,bridge,Q12280
Q933000,Forth Road Bridge,bridge,Q12280
Q916120,Margaret Bridge,bridge,Q12280
Q695082,Oberbaum Bridge,bridge,Q12280
Q684821,Reichsbrücke,bridge,Q12280
Q117857889,Huajiang Canyon Bridge,bridge,Q12280
Q1134699,Ponte della Libertà,bridge,Q12280
Q2642363,Paton Bridge,bridge,Q12280
Q1850537,Severn Bridge,bridge,Q12280
Q540781,Pont d'Iéna,bridge,Q12280
Q1275181,Suramadu Bridge,bridge,Q12280
Q1780883,Stone Bridge in Skopje,bridge,Q12280
Q1424674,Little Belt Bridge,bridge,Q12280
Q696762,Hohenzollern Bridge,bridge,Q12280
Q291093,Pont Mirabeau,bridge,Q12280
Q113645,Landwasser Viaduct,bridge,Q12280
Q27925184,Zhangjiajie Glass Bridge,bridge,Q12280
Q25338950,Osmangazi Bridge,bridge,Q12280
Q1140475,Friendship Bridge,bridge,Q12280
Q540546,Ponte Pietra,bridge,Q12280
Q2450190,Pulteney Bridge,bridge,Q12280
Q806225,Band-e Kaisar,bridge,Q12280
Q862779,I-35W Mississippi River bridge,bridge,Q12280
Q660029,Dragon Bridge,bridge,Q12280
Q644398,Pont de la Concorde,bridge,Q12280
Q520543,Europabrücke,bridge,Q12280
Q944688,Pons Fabricius,bridge,Q12280
Q1573860,Hammersmith Bridge,bridge,Q12280
Q1193916,Samuel Beckett Bridge,bridge,Q12280
Q148970,Palace Bridge,bridge,Q12280
Q317453,Sino-Korean Friendship Bridge,bridge,Q12280
Q52501,ponte della Costituzione,bridge,Q12280
Q97625652,Puente romano,bridge,Q12280
Q18109819,Duge Bridge,bridge,Q12280
Q4855911,Chenab Bridge,bridge,Q12280
Q1155649,Penang Bridge,bridge,Q12280
Q611964,Suez Canal Bridge,bridge,Q12280
Q1272855,Ada Bridge,bridge,Q12280
Q1323635,Petit Pont,bridge,Q12280
Q781659,Petőfi Bridge,bridge,Q12280
Q1466700,Pons Sublicius,bridge,Q12280
Q1075303,Octávio Frias de Oliveira Bridge,bridge,Q12280
Q676315,Triple Bridge,bridge,Q12280
Q2475012,Kyiv Metro Bridge,bridge,Q12280
Q509824,Afghanistan–Uzbekistan Friendship Bridge,bridge,Q12280
Q734903,Pons Cestius,bridge,Q12280
Q842102,Krk Bridge,bridge,Q12280
Q1333442,Garabit Viaduct,bridge,Q12280
Q284125,Roman Bridge,bridge,Q12280
Q162170,Clifton Suspension Bridge,bridge,Q12280
Q12575,Ambassador Bridge,bridge,Q12280
Q20808678,Kazungula Bridge,bridge,Q12280
Q12367079,Stone Bridge,bridge,Q12280
Q1057872,Jerusalem Chords Bridge,bridge,Q12280
Q2336867,Puente de la Mujer,bridge,Q12280
Q1930127,Gateshead Millennium Bridge,bridge,Q12280
Q787108,Rákóczi Bridge,bridge,Q12280
Q1353494,Puente del Alamillo,bridge,Q12280
Q856285,Mes Bridge,bridge,Q12280
Q1539750,Tatara Bridge,bridge,Q12280
Q1740490,Khaju Bridge,bridge,Q12280
Q747908,"Centennial Bridge, Panama",bridge,Q12280
Q707706,Göltzsch Viaduct,bridge,Q12280
Q1329076,pont Saint-Michel,bridge,Q12280
Q1327827,pont au Change,bridge,Q12280
Q205682,Three Countries Bridge,bridge,Q12280
Q252452,Árpád Bridge,bridge,Q12280
Q27574,Bridge of Peace,bridge,Q12280
Q6480690,Tay Rail Bridge,bridge,Q12280
Q1854285,Pamban Bridge,bridge,Q12280
Q2004707,Puente Nuevo,bridge,Q12280
Q586329,Ponte Sisto,bridge,Q12280
Q1550899,Ponte de D. Maria Pia,bridge,Q12280
Q2307722,Pont d'Austerlitz,bridge,Q12280
Q805835,Baluarte Bridge,bridge,Q12280
Q1110979,Sidu River Bridge,bridge,Q12280
Q892615,Johor–Singapore Causeway,bridge,Q12280
Q1430275,Runyang Yangtze River Bridge,bridge,Q12280
Q2361244,Krymsky Bridge,bridge,Q12280
Q1344400,Magere Brug,bridge,Q12280
Q712133,Allenby Bridge,bridge,Q12280
Q55954790,Golden Bridge,bridge,Q12280
Q1140060,pont Saint-Louis,bridge,Q12280
Q1155735,Glenfinnan Viaduct,bridge,Q12280
Q568902,Sutong Yangtze River Bridge,bridge,Q12280
Q550953,Anichkov Bridge,bridge,Q12280
Q850305,Brusio spiral viaduct,bridge,Q12280
Q1267436,Millennium Bridge,bridge,Q12280
Q1073098,Pont des Invalides,bridge,Q12280
Q1061959,pont Notre-Dame,bridge,Q12280
Q655018,Juscelino Kubitschek bridge,bridge,Q12280
Q2511710,Red Bridge,bridge,Q12280
Q1758497,Pont Royal,bridge,Q12280
Q834287,Zhivopisny Bridge,bridge,Q12280
Q1494544,Bolshoy Obukhovsky Bridge,bridge,Q12280
Q314515,Hardanger Bridge,bridge,Q12280
Q254087,Kazarma Mycenaean Bridge,bridge,Q12280
Q22342143,Laguna Garzón Bridge,bridge,Q12280
Q1151193,Cần Thơ Bridge,bridge,Q12280
Q589000,Pont du Carrousel,bridge,Q12280
Q588535,Puente Romano,bridge,Q12280
Q1035131,Hell Gate Bridge,bridge,Q12280
Q880838,Blackfriars Railway Bridge,bridge,Q12280
Q1092231,Rama VIII Bridge,bridge,Q12280
Q643881,Waldschlösschen Bridge,bridge,Q12280
Q945944,Tromsø bridge,bridge,Q12280
Q1196688,Pont de Sully,bridge,Q12280
Q1196667,Pont Louis-Philippe,bridge,Q12280
Q1196460,Kintai Bridge,bridge,Q12280
Q693731,Grosvenor Bridge,bridge,Q12280
Q810945,Battersea Bridge,bridge,Q12280
Q250115,Monnow Bridge,bridge,Q12280
Q52508,Ponte degli Scalzi,bridge,Q12280
Q2037013,San Juanico Bridge,bridge,Q12280
Q551446,Zhaozhou Bridge,bridge,Q12280
Q1289417,Iron Gate I Hydroelectric Power Station,bridge,Q12280
Q1034624,Ha'penny Bridge,bridge,Q12280
Q677754,Ludendorff Bridge,bridge,Q12280
Q1062588,Chaotianmen Bridge,bridge,Q12280
Q977841,Governor Nobre de Carvalho Bridge,bridge,Q12280
Q618937,Apollo Bridge,bridge,Q12280
Q483949,Incheon Bridge,bridge,Q12280
Q1196470,Kanmon Bridge,bridge,Q12280
