qid,label,class_label,class_qid
Q169889,American Broadcasting Company,broadcast network,Q141683
Q43380,CBS,broadcast network,Q141683
Q13974,NBC,broadcast network,Q141683
Q3587,TV Globo,broadcast network,Q141683
Q166419,Fox Broadcasting Company,broadcast network,Q141683
Q136538,Telemundo,broadcast network,Q141683
Q4015057,TV5,broadcast network,Q141683
Q928831,Seoul Broadcasting System,broadcast network,Q141683
Q22868,RT,broadcast network,Q141683
Q212252,The CW,broadcast network,Q141683
Q1143518,Q1143518,broadcast network,Q141683
Q48989,ZDF,broadcast network,Q141683
Q220072,ITV,broadcast network,Q141683
Q330067,Channel One Russia,broadcast network,Q141683
Q597933,Televisión Nacional de Chile,broadcast network,Q141683
Q215616,PBS,broadcast network,Q141683
Q8073,Arte,broadcast network,Q141683
Q671510,NPR,broadcast network,Q141683
Q156073,Jetix,broadcast network,Q141683
Q2138163,TV5 Monde,broadcast network,Q141683
Q781365,Australian Broadcasting Corporation,broadcast network,Q141683
Q767221,CTV Television Network,broadcast network,Q141683
Q731824,Univision,broadcast network,Q141683
Q965371,Sistema Brasileiro de Televisão,broadcast network,Q141683
Q844972,The WB,broadcast network,Q141683
Q539296,Eurosport 1,broadcast network,Q141683
Q80478,Las Estrellas,broadcast network,Q141683
Q1778984,National State Television and Radio Company of the Republic of Belarus,broadcast network,Q141683
Q1022311,C-SPAN,broadcast network,Q141683
Q1075994,Special Broadcasting Service,broadcast network,Q141683
Q846168,Televiziunea Română,broadcast network,Q141683
Q767920,Network 10,broadcast network,Q141683
Q1522776,Vietnam Television,broadcast network,Q141683
Q1432195,Nine Network,broadcast network,Q141683
Q206272,UPN,broadcast network,Q141683
Q18878,Nicktoons,broadcast network,Q141683
Q1973495,TVRI,broadcast network,Q141683
Q1458581,Record,broadcast network,Q141683
Q908659,Seven Network,broadcast network,Q141683
Q21484379,Eurosport,broadcast network,Q141683
Q1142327,Global Television Network,broadcast network,Q141683
Q4204952,Soviet Central Television,broadcast network,Q141683
Q1186424,Television New Zealand,broadcast network,Q141683
Q2252456,TG4,broadcast network,Q141683
Q399643,GMA Network,broadcast network,Q141683
Q2530659,América Television,broadcast network,Q141683
Q5257835,RCTI,broadcast network,Q141683
Q2713068,Band,broadcast network,Q141683
Q250336,Radio Maria,broadcast network,Q141683
Q178601,Yugoslav Radio Television,broadcast network,Q141683
Q28089296,China Global Television Network,broadcast network,Q141683
Q1079074,Christian Broadcasting Network,broadcast network,Q141683
Q54857,Radio Disney,broadcast network,Q141683
Q2484603,Indosiar,broadcast network,Q141683
Q2857708,antv,broadcast network,Q141683
Q476608,TVN,broadcast network,Q141683
Q3348663,Bangladesh Television,broadcast network,Q141683
Q2297082,MTV Global,broadcast network,Q141683
Q5257843,SCTV,broadcast network,Q141683
Q1262316,DuMont Television Network,broadcast network,Q141683
Q1148579,MyNetworkTV,broadcast network,Q141683
Q3519827,Radio Mirchi,broadcast network,Q141683
Q2625977,France Ô,broadcast network,Q141683
Q3046059,Algerian Television,broadcast network,Q141683
Q262523,Universal TV,broadcast network,Q141683
Q1022955,CBC Television,broadcast network,Q141683
Q1626518,Radio New Zealand,broadcast network,Q141683
Q564971,Aztec One,broadcast network,Q141683
Q2629071,ANT1,broadcast network,Q141683
Q724186,Phoenix Television,broadcast network,Q141683
Q844060,Japan News Network,broadcast network,Q141683
Q1513499,Outre-Mer 1ère,broadcast network,Q141683
Q2720134,HowStuffWorks,broadcast network,Q141683
Q473334,Reichs-Rundfunk-Gesellschaft,broadcast network,Q141683
