qid,label,class_label,class_qid
Q9531,British Broadcasting Corporation,broadcaster,Q15265344
Q169889,American Broadcasting Company,broadcaster,Q15265344
Q154958,Nickelodeon,broadcaster,Q15265344
Q166419,Fox Broadcasting Company,broadcaster,Q15265344
Q13477,Al Jazeera,broadcaster,Q15265344
Q178837,Disney Channel,broadcaster,Q15265344
Q228389,Voice of America,broadcaster,Q15265344
Q745484,Venevisión,broadcaster,Q15265344
Q498825,Korean Broadcasting System,broadcaster,Q15265344
Q482607,Munhwa Broadcasting Corporation,broadcaster,Q15265344
Q485500,Radio Free Europe/Radio Liberty,broadcaster,Q15265344
Q43404,Discovery Channel,broadcaster,Q15265344
Q22868,RT,broadcaster,Q15265344
Q1035332,Caracol Televisión,broadcaster,Q15265344
Q333424,tvN,broadcaster,Q15265344
Q207936,China Central Television,broadcaster,Q15265344
Q8478,Euronews,broadcaster,Q15265344
Q1143518,Q1143518,broadcaster,Q15265344
Q212128,NHK,broadcaster,Q15265344
Q191472,BBC One,broadcaster,Q15265344
Q183718,last.fm,broadcaster,Q15265344
Q80263,Canal RCN,broadcaster,Q15265344
Q220072,ITV,broadcaster,Q15265344
Q213097,JTBC,broadcaster,Q15265344
Q483164,Slavonic Channel International,broadcaster,Q15265344
Q190238,Norwegian Broadcasting Corporation,broadcaster,Q15265344
Q330067,Channel One Russia,broadcaster,Q15265344
Q157118,National Geographic,broadcaster,Q15265344
Q166180,France 24,broadcaster,Q15265344
Q215616,PBS,broadcaster,Q15265344
Q423289,BBC World Service,broadcaster,Q15265344
Q215363,Sveriges Television,broadcaster,Q15265344
Q744800,Fuji Television,broadcaster,Q15265344
Q208491,BBC News,broadcaster,Q15265344
Q490182,Mnet,broadcaster,Q15265344
Q375117,China Radio International,broadcaster,Q15265344
Q216108,BBC Two,broadcaster,Q15265344
Q8073,Arte,broadcaster,Q15265344
Q211511,Russia-1,broadcaster,Q15265344
Q501070,Channel 4,broadcaster,Q15265344
Q214683,TF1,broadcaster,Q15265344
Q54718,Yle,broadcaster,Q15265344
Q525894,France 2,broadcaster,Q15265344
Q680634,Vatican Radio,broadcaster,Q15265344
Q287149,Freeform,broadcaster,Q15265344
Q83389,Turkish Radio and Television Corporation,broadcaster,Q15265344
Q734663,TV Tokyo,broadcaster,Q15265344
Q1164334,DR,broadcaster,Q15265344
Q217228,Sky News,broadcaster,Q15265344
Q671510,NPR,broadcaster,Q15265344
Q262386,Österreichischer Rundfunk,broadcaster,Q15265344
Q600805,Canal 13,broadcaster,Q15265344
Q1032540,Canal+,broadcaster,Q15265344
Q19912,Radio France Internationale,broadcaster,Q15265344
Q1142035,Crunchyroll,broadcaster,Q15265344
Q329494,Raidió Teilifís Éireann,broadcaster,Q15265344
Q864910,Nippon Television,broadcaster,Q15265344
Q1124861,France Télévisions,broadcaster,Q15265344
Q2537294,VGTRK,broadcaster,Q15265344
Q597946,Mega,broadcaster,Q15265344
Q258131,Rai 1,broadcaster,Q15265344
Q49727,Das Erste,broadcaster,Q15265344
Q649618,Rádio e Televisão de Portugal,broadcaster,Q15265344
Q574625,NTV,broadcaster,Q15265344
Q155702,RTL,broadcaster,Q15265344
Q781365,Australian Broadcasting Corporation,broadcaster,Q15265344
Q787211,BBC Four,broadcaster,Q15265344
Q687427,BBC Three,broadcaster,Q15265344
Q1322641,France 3,broadcaster,Q15265344
Q366507,Radio Television of Serbia,broadcaster,Q15265344
Q908436,TV Asahi,broadcaster,Q15265344
Q795585,BBC Radio 1,broadcaster,Q15265344
Q920206,Grimeton VLF transmitter,broadcaster,Q15265344
Q1763315,Doordarshan,broadcaster,Q15265344
Q313621,Disney Jr.,broadcaster,Q15265344
Q310172,Al Arabiya,broadcaster,Q15265344
Q945592,Latvijas Televīzija,broadcaster,Q15265344
Q914349,Rai 2,broadcaster,Q15265344
Q912735,Croatian Radiotelevision,broadcaster,Q15265344
Q212196,Voice of Russia,broadcaster,Q15265344
Q161405,Animax,broadcaster,Q15265344
Q2044826,Zee TV,broadcaster,Q15265344
Q1334457,Albanian Radio Television,broadcaster,Q15265344
Q1282786,Q1282786,broadcaster,Q15265344
Q328268,Sun Television,broadcaster,Q15265344
Q80478,Las Estrellas,broadcaster,Q15265344
Q40322,Radio Free Asia,broadcaster,Q15265344
Q1340204,Sky Sports,broadcaster,Q15265344
Q1321122,All India Radio,broadcaster,Q15265344
Q3077586,Bilibili,broadcaster,Q15265344
Q343446,İctimai Television,broadcaster,Q15265344
Q167618,Arirang TV,broadcaster,Q15265344
Q438543,Estonian Public Broadcasting,broadcaster,Q15265344
Q151135,Youku,broadcaster,Q15265344
Q624509,KBS 2TV,broadcaster,Q15265344
Q1881062,M6,broadcaster,Q15265344
Q935802,CBBC,broadcaster,Q15265344
Q912429,Press TV,broadcaster,Q15265344
Q1191688,Q1191688,broadcaster,Q15265344
Q1440772,France 5,broadcaster,Q15265344
Q341134,Česká televize,broadcaster,Q15265344
Q575876,France 4,broadcaster,Q15265344
Q155172,TV Rain,broadcaster,Q15265344
Q1145059,Hellenic Broadcasting Corporation,broadcaster,Q15265344
Q787216,BBC News,broadcaster,Q15265344
Q1004068,Bulgarian National Television,broadcaster,Q15265344
Q749928,Echo of Moscow,broadcaster,Q15265344
Q1550538,Lithuanian National Radio and Television,broadcaster,Q15265344
Q1571768,Channel 3,broadcaster,Q15265344
Q369153,La Red,broadcaster,Q15265344
Q367300,Magyar Televízió,broadcaster,Q15265344
Q594073,Eurovision,broadcaster,Q15265344
Q301129,Telecinco,broadcaster,Q15265344
Q313332,Sat.1,broadcaster,Q15265344
Q544560,Televisión Española,broadcaster,Q15265344
Q600815,Chilevisión,broadcaster,Q15265344
Q846168,Televiziunea Română,broadcaster,Q15265344
Q795598,BBC Radio 4,broadcaster,Q15265344
Q2440380,Suspilne,broadcaster,Q15265344
Q1190356,RTBF,broadcaster,Q15265344
Q168717,ProSieben,broadcaster,Q15265344
Q628101,Russia-24,broadcaster,Q15265344
Q1062280,Channel 5,broadcaster,Q15265344
Q795641,BBTV Channel 7,broadcaster,Q15265344
Q1522776,Vietnam Television,broadcaster,Q15265344
Q282171,Polsat,broadcaster,Q15265344
Q423651,ATV,broadcaster,Q15265344
Q12858,Flemish Radio and Television Broadcasting Organization,broadcaster,Q15265344
Q2067812,Star TV,broadcaster,Q15265344
Q643447,Rai 3,broadcaster,Q15265344
Q1973495,TVRI,broadcaster,Q15265344
Q1058461,La 1,broadcaster,Q15265344
Q795578,BBC Radio 2,broadcaster,Q15265344
Q742964,RCTV,broadcaster,Q15265344
Q571833,Antena 3,broadcaster,Q15265344
Q426637,S4C,broadcaster,Q15265344
Q310659,TeleSUR,broadcaster,Q15265344
Q115146,Tokyo Metropolitan Television,broadcaster,Q15265344
Q15913890,iQIYI,broadcaster,Q15265344
Q626419,OCN,broadcaster,Q15265344
Q2000845,BBC Cymru Wales,broadcaster,Q15265344
Q616799,AzTV,broadcaster,Q15265344
Q2301650,TVP1,broadcaster,Q15265344
Q2280893,Radio Television of BH,broadcaster,Q15265344
Q3317589,Travel Channel,broadcaster,Q15265344
Q1754271,STS,broadcaster,Q15265344
Q1723591,Q1723591,broadcaster,Q15265344
Q208996,1FLTV,broadcaster,Q15265344
Q161257,1+1,broadcaster,Q15265344
Q262627,Q262627,broadcaster,Q15265344
Q13975,Bloomberg Television,broadcaster,Q15265344
Q617643,Canale 5,broadcaster,Q15265344
Q2985356,NDTV,broadcaster,Q15265344
Q777278,KBS 1TV,broadcaster,Q15265344
Q787206,BBC Parliament,broadcaster,Q15265344
Q787203,BBC Entertainment,broadcaster,Q15265344
Q967294,TRT 1,broadcaster,Q15265344
Q177747,Radio Televisyen Malaysia,broadcaster,Q15265344
Q15991875,Stichting Nederlandse Publieke Omroep,broadcaster,Q15265344
Q749608,BBC Radio 3,broadcaster,Q15265344
Q1537624,San Marino RTV,broadcaster,Q15265344
Q1186424,Television New Zealand,broadcaster,Q15265344
Q701811,ORF 1,broadcaster,Q15265344
Q488795,Korean Educational Broadcasting System,broadcaster,Q15265344
Q294397,Georgian Public Broadcaster,broadcaster,Q15265344
Q229805,3sat,broadcaster,Q15265344
Q300262,AXN,broadcaster,Q15265344
Q313173,Toon Disney,broadcaster,Q15265344
Q2033167,Sky UK,broadcaster,Q15265344
Q1088023,Rete 4,broadcaster,Q15265344
Q1067189,Polskie Radio,broadcaster,Q15265344
Q775216,WOWOW,broadcaster,Q15265344
Q1331921,Mainichi Broadcasting System,broadcaster,Q15265344
Q737263,Viasat Explore,broadcaster,Q15265344
Q1241628,Naked News,broadcaster,Q15265344
Q727176,Radio and Television of Slovakia,broadcaster,Q15265344
Q1165360,La Sexta,broadcaster,Q15265344
Q674608,ITV1,broadcaster,Q15265344
Q1466723,TV4,broadcaster,Q15265344
Q2931786,CNN Türk,broadcaster,Q15265344
Q510452,La 2,broadcaster,Q15265344
Q292996,Q292996,broadcaster,Q15265344
Q577922,Radio Télévision Libre des Mille Collines,broadcaster,Q15265344
Q399643,GMA Network,broadcaster,Q15265344
Q96270646,Kapamilya Channel,broadcaster,Q15265344
Q2022113,ABS-CBN,broadcaster,Q15265344
Q2706279,RTP1,broadcaster,Q15265344
Q2006738,Show TV,broadcaster,Q15265344
Q1087488,Channel 9 MCOT HD,broadcaster,Q15265344
Q1025656,NRK1,broadcaster,Q15265344
Q1072242,Cyprus Broadcasting Corporation,broadcaster,Q15265344
Q973341,BBC Arabic Television,broadcaster,Q15265344
Q971163,TMC,broadcaster,Q15265344
Q935960,TV3,broadcaster,Q15265344
Q684994,Super RTL,broadcaster,Q15265344
Q1770000,Russia-K,broadcaster,Q15265344
Q1155356,DR1,broadcaster,Q15265344
Q1807092,Latvijas Radio,broadcaster,Q15265344
Q366601,B92,broadcaster,Q15265344
Q298702,AT-X,broadcaster,Q15265344
Q594636,Rustavi 2,broadcaster,Q15265344
Q591346,Yle TV1,broadcaster,Q15265344
Q341323,Czech Radio,broadcaster,Q15265344
Q536346,Italia 1,broadcaster,Q15265344
Q19908,France Culture,broadcaster,Q15265344
Q5257835,RCTI,broadcaster,Q15265344
Q600527,Slovenská televízia,broadcaster,Q15265344
Q854003,Mezzo TV,broadcaster,Q15265344
Q2031832,Yle TV2,broadcaster,Q15265344
Q1368796,Mediacorp,broadcaster,Q15265344
Q1818552,NASA TV,broadcaster,Q15265344
Q684981,VOX,broadcaster,Q15265344
Q1479649,REN TV,broadcaster,Q15265344
Q170149,Playhouse Disney,broadcaster,Q15265344
Q28136991,Tencent Video,broadcaster,Q15265344
Q19622314,LaC TV,broadcaster,Q15265344
Q7257517,Public Radio of Armenia,broadcaster,Q15265344
Q3416558,Radio BIP,broadcaster,Q15265344
Q855707,Viasat History,broadcaster,Q15265344
Q1079074,Christian Broadcasting Network,broadcaster,Q15265344
Q1058962,Minimax,broadcaster,Q15265344
Q1025113,Cadena SER,broadcaster,Q15265344
Q1026496,TVP Polonia,broadcaster,Q15265344
Q1812233,Logo TV,broadcaster,Q15265344
Q3196539,Radio Luxembourg,broadcaster,Q15265344
Q286969,TVP2,broadcaster,Q15265344
Q517444,Q517444,broadcaster,Q15265344
Q20574161,GMM 25,broadcaster,Q15265344
Q6729143,Maeil Broadcasting Network,broadcaster,Q15265344
Q7929430,Viki,broadcaster,Q15265344
Q664996,Radio Netherlands Worldwide,broadcaster,Q15265344
Q909336,NHK General TV,broadcaster,Q15265344
Q6063045,TRT World,broadcaster,Q15265344
Q4710305,NOW,broadcaster,Q15265344
Q2031951,SIC,broadcaster,Q15265344
Q843957,Nippon BS Broadcasting,broadcaster,Q15265344
Q1975145,TNT,broadcaster,Q15265344
Q2302267,RNE,broadcaster,Q15265344
Q2367034,Viasat Nature/Crime,broadcaster,Q15265344
Q1853722,TV 2 Direkte,broadcaster,Q15265344
Q1142031,Bulgarian National Radio,broadcaster,Q15265344
Q2484603,Indosiar,broadcaster,Q15265344
Q741376,Q741376,broadcaster,Q15265344
Q3245159,PBS Kids,broadcaster,Q15265344
Q1569219,Khabar Agency,broadcaster,Q15265344
Q3595754,Peace TV,broadcaster,Q15265344
Q492438,Channel A,broadcaster,Q15265344
Q1432558,MTV3,broadcaster,Q15265344
Q3929503,Rai Isoradio,broadcaster,Q15265344
Q486605,TV Chosun,broadcaster,Q15265344
Q594177,RTL Zwei,broadcaster,Q15265344
Q286478,Al-Manar,broadcaster,Q15265344
Q222937,2×2,broadcaster,Q15265344
Q310616,Al-Aqsa TV,broadcaster,Q15265344
Q115076,Deutscher Fernsehfunk,broadcaster,Q15265344
Q20854272,Match TV,broadcaster,Q15265344
Q671501,TVE Internacional,broadcaster,Q15265344
Q635278,Disney Cinemagic,broadcaster,Q15265344
Q3348663,Bangladesh Television,broadcaster,Q15265344
Q1087303,TV3,broadcaster,Q15265344
Q1079257,Real Madrid TV,broadcaster,Q15265344
Q1025663,NRK2,broadcaster,Q15265344
Q795600,BBC Radio 6 Music,broadcaster,Q15265344
Q1032504,Canal 24 Horas,broadcaster,Q15265344
Q1959672,Welt,broadcaster,Q15265344
Q765515,Magyar Rádió,broadcaster,Q15265344
Q2276435,BBC Knowledge,broadcaster,Q15265344
Q1324062,TV Aichi,broadcaster,Q15265344
Q795563,BBC Radio 1Xtra,broadcaster,Q15265344
Q2876749,BBC Food,broadcaster,Q15265344
Q2857708,antv,broadcaster,Q15265344
Q2481730,RTP2,broadcaster,Q15265344
Q1235821,Rai 4,broadcaster,Q15265344
Q727145,Asia Television,broadcaster,Q15265344
Q1714952,Kol Yisrael,broadcaster,Q15265344
Q689295,ORF 2,broadcaster,Q15265344
Q700932,Taiwan Television,broadcaster,Q15265344
Q681822,BBC Scotland,broadcaster,Q15265344
Q1271733,HRT 1,broadcaster,Q15265344
Q292940,Q292940,broadcaster,Q15265344
Q476608,TVN,broadcaster,Q15265344
Q222061,2M TV,broadcaster,Q15265344
Q19905,France Inter,broadcaster,Q15265344
Q19904,Franceinfo,broadcaster,Q15265344
Q17434169,Africanews,broadcaster,Q15265344
Q13422541,EITB,broadcaster,Q15265344
Q6528173,TV8,broadcaster,Q15265344
Q5257843,SCTV,broadcaster,Q15265344
Q7220288,Petersburg – Channel 5,broadcaster,Q15265344
Q2004060,Televisão Independente,broadcaster,Q15265344
Q1142348,Yomiuri Telecasting Corporation,broadcaster,Q15265344
Q1961596,NTV,broadcaster,Q15265344
Q1961385,NRK3,broadcaster,Q15265344
Q1961361,NRJ,broadcaster,Q15265344
Q2325066,Mega Channel,broadcaster,Q15265344
Q3140623,Public Establishment of Television,broadcaster,Q15265344
Q1334450,New Tang Dynasty Television,broadcaster,Q15265344
Q795588,BBC Radio 5 Live,broadcaster,Q15265344
Q795566,BBC Prime,broadcaster,Q15265344
Q2530606,BNT 1,broadcaster,Q15265344
Q962340,Cuatro,broadcaster,Q15265344
Q2625977,France Ô,broadcaster,Q15265344
Q698884,Radio Taiwan International,broadcaster,Q15265344
Q686817,RTL 4,broadcaster,Q15265344
Q1156382,E4,broadcaster,Q15265344
Q2590321,Belarus 1,broadcaster,Q15265344
Q1793016,Kurdistan TV,broadcaster,Q15265344
Q1724518,TVP Info,broadcaster,Q15265344
Q2914786,Inter,broadcaster,Q15265344
Q1282036,VPRO,broadcaster,Q15265344
Q597209,RTL Télé Lëtzebuerg,broadcaster,Q15265344
Q464570,American Forces Network,broadcaster,Q15265344
Q535725,TRT Haber,broadcaster,Q15265344
Q7274874,Zvezda,broadcaster,Q15265344
Q664960,Eurosport 2,broadcaster,Q15265344
Q2004597,Radio Algeria,broadcaster,Q15265344
Q858759,Cartoon Network Arabic,broadcaster,Q15265344
Q2715155,ITV2,broadcaster,Q15265344
Q2299634,National Geographic People,broadcaster,Q15265344
Q2021575,First Channel,broadcaster,Q15265344
Q1971979,Radio Mayak,broadcaster,Q15265344
Q1065614,Kyoto Broadcasting System,broadcaster,Q15265344
Q2124713,RTP Internacional,broadcaster,Q15265344
Q1034646,HLN,broadcaster,Q15265344
Q1032483,Argentina TV,broadcaster,Q15265344
Q1939322,Radio Prague International,broadcaster,Q15265344
Q1936592,Radio Caroline,broadcaster,Q15265344
Q1337011,TRT Çocuk,broadcaster,Q15265344
Q2096518,RTÉ One,broadcaster,Q15265344
Q793699,iHeartRadio,broadcaster,Q15265344
Q3416973,Q3416973,broadcaster,Q15265344
Q3083542,CNews,broadcaster,Q15265344
Q968899,Top Channel,broadcaster,Q15265344
Q968850,Nova TV,broadcaster,Q15265344
Q738394,Rai 5,broadcaster,Q15265344
