qid,label,class_label,class_qid
Q6882996,WISE 1049-5319,brown dwarf,Q101600
Q15057245,PSO J318.5-22,brown dwarf,Q101600
Q128175,CFBDSIR 2149-0403,brown dwarf,Q101600
Q1153018,DENIS 0255-4700,brown dwarf,Q101600
Q1039158,SIMP J013656.5+093347,brown dwarf,Q101600
Q2237059,WISEPA J182831.08+265037.8,brown dwarf,Q101600
Q965930,CoRoT-3 b,brown dwarf,Q101600
Q1327722,DENIS 1048-3956,brown dwarf,Q101600
Q1344094,Q1344094,brown dwarf,Q101600
Q1068318,LP 944-20,brown dwarf,Q101600
Q222284,Q222284,brown dwarf,Q101600
Q2579984,UGPS J072227.51−054031.2,brown dwarf,Q101600
Q4016986,WISE 1506+7027,brown dwarf,Q101600
Q15291487,HD 106906 b,brown dwarf,Q101600
Q4669261,WISE 0350-5658,brown dwarf,Q101600
Q222425,2MASS 0939-2448,brown dwarf,Q101600
Q1023441,CFBDS J005910.90-011401.3,brown dwarf,Q101600
Q222453,Q222453,brown dwarf,Q101600
Q1118609,S Ori 52,brown dwarf,Q101600
Q606057,Kappa Andromedae b,brown dwarf,Q101600
Q1152575,Gliese 229 B,brown dwarf,Q101600
Q1500751,S Ori 70,brown dwarf,Q101600
Q5097388,Q5097388,brown dwarf,Q101600
Q87494017,2M1510,brown dwarf,Q101600
Q222260,2MASS J04151954−0935066,brown dwarf,Q101600
Q1093461,WISE 1541-2250,brown dwarf,Q101600
Q841765,Gliese 758 B,brown dwarf,Q101600
Q851214,ULAS J003402.77−005206.7,brown dwarf,Q101600
Q4633153,Q4633153,brown dwarf,Q101600
Q5178030,WD 0137-349,brown dwarf,Q101600
Q222525,2M 1237+6526,brown dwarf,Q101600
Q55613259,HR 2562 b,brown dwarf,Q101600
Q222102,2MASS J00361617+1821104,brown dwarf,Q101600
Q222239,2MASS 0348-6022,brown dwarf,Q101600
Q222296,2MASS 0532+8246,brown dwarf,Q101600
Q222613,2MASS 1507-1627,brown dwarf,Q101600
Q222608,2MASS J15031961+2525196,brown dwarf,Q101600
Q5098293,WISEPC J121756.91+162640.2,brown dwarf,Q101600
Q5178416,WISE 1639−6847,brown dwarf,Q101600
Q5178300,WISEPA J041022.71+150248.5,brown dwarf,Q101600
Q5178691,WISE 1405+5534,brown dwarf,Q101600
Q14914809,Kelu-1,brown dwarf,Q101600
Q14914805,WISE J0521+1025,brown dwarf,Q101600
Q22086976,WISEP J190648.47+401106.8,brown dwarf,Q101600
Q129521,Q129521,brown dwarf,Q101600
Q138965,2MASS J11145133−2618235,brown dwarf,Q101600
Q154807,Q154807,brown dwarf,Q101600
