qid,label,class_label,class_qid
Q9188,Empire State Building,building,Q41176
Q2946,Palace of Versailles,building,Q41176
Q11208,The Pentagon,building,Q41176
Q80290,Forbidden City,building,Q41176
Q1143049,Château de Montsoreau,building,Q41176
Q45178,Sydney Opera House,building,Q41176
Q29294,Willis Tower,building,Q41176
Q43244,Lighthouse of Alexandria,building,Q41176
Q47476,Alhambra,building,Q41176
Q4152,Neuschwanstein Castle,building,Q41176
Q80541,Sultan Ahmed Mosque,building,Q41176
Q42646,Windsor Castle,building,Q41176
Q71229,Potala Palace,building,Q41176
Q99309,Pantheon,building,Q41176
Q170495,Topkapı Palace,building,Q41176
Q23308,British Library,building,Q41176
Q5471,La Scala,building,Q41176
Q182147,Winter Palace,building,Q41176
Q11245,One World Trade Center,building,Q41176
Q51252,Uffizi Gallery,building,Q41176
Q231140,Hiroshima Peace Memorial,building,Q41176
Q178643,Süleymaniye Mosque,building,Q41176
Q477675,National Diet Library,building,Q41176
Q191763,Itsukushima Shrine,building,Q41176
Q184534,Selimiye Mosque,building,Q41176
Q179199,Guggenheim Museum Bilbao,building,Q41176
Q188740,Museum of Modern Art,building,Q41176
Q178065,Centre Georges Pompidou,building,Q41176
Q179191,Rock and Roll Hall of Fame,building,Q41176
Q187840,Palais Garnier,building,Q41176
Q201219,Egyptian Museum,building,Q41176
Q183334,Tretyakov Gallery,building,Q41176
Q4132,Summer Palace,building,Q41176
Q18536,The Shard,building,Q41176
Q836531,Hawa Mahal,building,Q41176
Q189883,Doge's Palace,building,Q41176
Q189764,Pont du Gard,building,Q41176
Q145093,Apostolic Palace,building,Q41176
Q214654,Sorbonne,building,Q41176
Q211818,Belvedere,building,Q41176
Q201469,Solomon R. Guggenheim Museum,building,Q41176
Q234364,Tuileries Palace,building,Q41176
Q215897,Castel del Monte,building,Q41176
Q91274,Galata Tower,building,Q41176
Q55018,Royal Opera House,building,Q41176
Q244169,Itaipu Dam,building,Q41176
Q2854543,Catherine Palace,building,Q41176
Q189358,Kronborg Castle,building,Q41176
Q46242,Hofburg Palace,building,Q41176
Q503823,Tomb of Askia,building,Q41176
Q207385,Kensington Palace,building,Q41176
Q210610,Golestan Palace,building,Q41176
Q274141,Dolmabahçe Palace,building,Q41176
Q151330,Sanssouci Palace,building,Q41176
Q207028,Mariinsky Theatre,building,Q41176
Q205666,Hampton Court Palace,building,Q41176
Q28964,Auditorio de Tenerife,building,Q41176
Q329852,Luxembourg Palace,building,Q41176
Q208358,Pyramid of Khafre,building,Q41176
Q131631,Nymphenburg Palace,building,Q41176
Q209937,Vienna State Opera house,building,Q41176
Q272162,St James's Palace,building,Q41176
Q245151,Tower of Hercules,building,Q41176
Q167566,Palace of Culture and Science,building,Q41176
Q11297,Headquarters of the United Nations,building,Q41176
Q216357,Grande Arche,building,Q41176
Q202902,The Crystal Palace,building,Q41176
Q29238,Pyramid of the Sun,building,Q41176
Q477157,Changdeokgung,building,Q41176
Q501851,Bibliotheca Alexandrina,building,Q41176
Q338889,Palace of the Shirvanshahs,building,Q41176
Q244816,Dancing House,building,Q41176
Q4872,Pushkin Museum of Fine Arts,building,Q41176
Q842822,Maiden Tower,building,Q41176
Q332342,Trinity College,building,Q41176
Q46313,Buda Castle,building,Q41176
Q2583681,Grand Egyptian Museum,building,Q41176
Q525811,Generalife,building,Q41176
Q457453,Villa Tugendhat,building,Q41176
Q372647,Chillon Castle,building,Q41176
Q820892,Petit Palais,building,Q41176
Q220728,Flatiron Building,building,Q41176
Q323767,Montparnasse Tower,building,Q41176
Q242803,Yasukuni Shrine,building,Q41176
Q719422,Nesvizh Castle,building,Q41176
Q498261,Reales Alcázares,building,Q41176
Q157316,Neues Museum,building,Q41176
Q156316,Würzburg Residence,building,Q41176
Q848397,Maiden's Tower,building,Q41176
Q391620,Palace of Whitehall,building,Q41176
Q239028,Stoclet Palace,building,Q41176
Q192680,New York Times Building,building,Q41176
Q143463,Palais des Papes,building,Q41176
Q171517,Royal Palace of Madrid,building,Q41176
Q164150,Palace of the Parliament,building,Q41176
Q482485,Gyeongbokgung,building,Q41176
Q628491,Teatro di San Carlo,building,Q41176
Q151765,Commerzbank Tower,building,Q41176
Q223942,Teatro La Fenice,building,Q41176
Q13397,Louvre Pyramid,building,Q41176
Q687168,Ise Jingū,building,Q41176
Q456817,Amber Fort,building,Q41176
Q506234,Altare della Patria,building,Q41176
Q505950,Holyrood Palace,building,Q41176
Q502098,Baths of Caracalla,building,Q41176
Q641556,Verona Arena,building,Q41176
Q1140026,Azadi Tower,building,Q41176
Q211053,Amalienborg,building,Q41176
Q43280,Oslo Opera House,building,Q41176
Q732489,Mariinskyi Palace,building,Q41176
Q623345,Aquincum,building,Q41176
Q155107,Zwinger,building,Q41176
Q524249,National Museum of Anthropology,building,Q41176
Q911720,New Mosque,building,Q41176
Q936633,Palais Bourbon,building,Q41176
Q638423,Opéra Bastille,building,Q41176
Q338330,Gallerie dell'Accademia,building,Q41176
Q714828,Fushimi Inari-taisha,building,Q41176
Q753791,Temple of Vesta,building,Q41176
Q482423,Hwaseong Fortress,building,Q41176
Q940733,Christiansborg Palace,building,Q41176
Q646334,Lubyanka Building,building,Q41176
Q1140429,State Historical Museum,building,Q41176
Q1128327,Temple of Kukulcan,building,Q41176
Q162052,Linderhof Palace,building,Q41176
Q217727,875 North Michigan Avenue,building,Q41176
Q216511,Basilica Cistern,building,Q41176
Q271695,Aon Center,building,Q41176
Q127097,Semperoper,building,Q41176
Q48623,Azerbaijan State Academic Opera and Ballet Theater,building,Q41176
Q694178,Googleplex,building,Q41176
Q852429,Mukden Palace,building,Q41176
Q216865,Transamerica Pyramid,building,Q41176
Q69513,Pena Palace,building,Q41176
Q36833,Hungarian State Opera House,building,Q41176
Q2425839,Royal Palaces of Abomey,building,Q41176
Q756189,Fatih Istanbul Mosque,building,Q41176
Q1075988,Louvre Palace,building,Q41176
Q848386,Palazzo Farnese,building,Q41176
Q206101,Rosenborg Castle,building,Q41176
Q176380,Ortaköy Mosque,building,Q41176
Q203797,"Eggenberg Castle, Graz",building,Q41176
