qid,label,class_label,class_qid
Q207302,Magic: The Gathering,card game,Q142714
Q17267,Uno,card game,Q142714
Q767979,whist,card game,Q142714
Q1056309,Pokémon Trading Card Game,card game,Q142714
Q546064,Yu-Gi-Oh! Trading Card Game,card game,Q142714
Q4921133,Black Lady,card game,Q142714
Q1238110,Dominion,card game,Q142714
Q17276,7 Wonders,card game,Q142714
Q6433358,belote,card game,Q142714
Q729935,Munchkin,card game,Q142714
Q867799,Hearts,card game,Q142714
Q5038791,Cards Against Humanity,card game,Q142714
Q655453,Piquet,card game,Q142714
Q1019517,Bezique,card game,Q142714
Q258972,Take 5,card game,Q142714
Q1076377,Preferans,card game,Q142714
Q973596,"oh, hell",card game,Q142714
Q890839,Bohnanza,card game,Q142714
Q630389,sixty-six,card game,Q142714
Q17263,Mille Bornes,card game,Q142714
Q2890963,Shithead,card game,Q142714
Q2141869,Fluxx,card game,Q142714
Q574653,Schafkopf,card game,Q142714
Q3460677,Saboteur,card game,Q142714
Q2493002,Vampire: The Eternal Struggle,card game,Q142714
Q16675811,Schnapsen,card game,Q142714
Q1194027,The Great Dalmuti,card game,Q142714
Q1506969,Lost Cities,card game,Q142714
Q1473805,Phase 10,card game,Q142714
Q1396749,SKIP-BO,card game,Q142714
Q1243075,Doppelkopf,card game,Q142714
Q33120381,Sedma,card game,Q142714
Q1047595,Cassino,card game,Q142714
Q458258,Karnöffel,card game,Q142714
Q613148,Call of Cthulhu: The Card Game,card game,Q142714
Q1812303,Mao,card game,Q142714
Q3564758,Mariáš,card game,Q142714
Q220469,Race for the Galaxy,card game,Q142714
Q7538723,slapjack,card game,Q142714
Q3411255,Pyramid,card game,Q142714
Q2587022,Wizard,card game,Q142714
Q17343013,Cucumber,card game,Q142714
Q839962,Catan Card Game,card game,Q142714
Q3456553,all fours,card game,Q142714
Q5134805,Clock patience,card game,Q142714
Q1219713,Forbidden Island,card game,Q142714
Q1129250,A Game of Thrones,card game,Q142714
Q244559,Zwicken,card game,Q142714
Q3618789,Antiquities,card game,Q142714
Q25385754,Bohemian Schneider,card game,Q142714
Q7575448,Speed,card game,Q142714
Q7295370,Rat-a-Tat Cat,card game,Q142714
Q3148583,Once Upon a Time,card game,Q142714
Q3040096,The Lord of the Rings Trading Card Game,card game,Q142714
Q4994675,Unlimited Edition,card game,Q142714
Q4992231,Sim City: The Card Game,card game,Q142714
Q111181282,Unmatched,card game,Q142714
Q109657155,Flesh & Blood,card game,Q142714
Q1617036,Visions,card game,Q142714
Q1615366,Weatherlight,card game,Q142714
Q1415140,7th Edition,card game,Q142714
Q4529713,Evolution: The Origin of Species,card game,Q142714
Q3887159,8th Edition,card game,Q142714
Q3829836,Legends,card game,Q142714
Q7198545,Pit,card game,Q142714
Q10500636,Swedish whist,card game,Q142714
Q3237349,Lexicon,card game,Q142714
Q2911658,TAKI,card game,Q142714
Q2340726,Homelands,card game,Q142714
Q2292633,Vira (card game),card game,Q142714
Q2015935,officers' skat,card game,Q142714
Q1823090,Pitch,card game,Q142714
Q5551245,German Solo,card game,Q142714
Q4642659,6th Edition,card game,Q142714
Q4641296,5th Edition,card game,Q142714
Q4018190,Warhammer: Invasion,card game,Q142714
Q4004666,Unhinged,card game,Q142714
Q3983135,Tempest,card game,Q142714
Q3818127,The Dark,card game,Q142714
Q3534741,304,card game,Q142714
Q3522724,The Simpsons Trading Card Game,card game,Q142714
Q3493951,Planechase,card game,Q142714
Q57195178,Mistigri,card game,Q142714
Q22815202,Limited Edition,card game,Q142714
Q1117561,Unglued,card game,Q142714
Q952905,4th Edition,card game,Q142714
Q739436,9th Edition,card game,Q142714
Q260502,Rammeln,card game,Q142714
Q142853,Solo whist,card game,Q142714
Q8039493,Wyatt Earp,card game,Q142714
Q7853597,tuppi,card game,Q142714
Q7601169,Star Wars Trading Card Game,card game,Q142714
Q2502458,Experiment,card game,Q142714
Q2022958,Oma Skat,card game,Q142714
Q6888771,Modern Masters,card game,Q142714
Q5527040,Gatecrash,card game,Q142714
Q5472935,Forty-fives,card game,Q142714
Q5305065,Dragon's Maze,card game,Q142714
Q136595699,Bloomburrow,card game,Q142714
Q99972596,Kaldheim,card game,Q142714
Q116881966,Schlauch,card game,Q142714
Q114056556,Streets of New Capenna,card game,Q142714
Q107524929,Dungeons & Dragons: Adventures in the Forgotten Realms,card game,Q142714
Q107072107,Gilten,card game,Q142714
Q1554083,Guillotine,card game,Q142714
Q1787445,Baloot,card game,Q142714
Q1301255,Schieberamsch,card game,Q142714
Q1281279,Lupfen,card game,Q142714
Q3993852,Torment,card game,Q142714
Q3753618,From the Vault (Magic: The Gathering),card game,Q142714
Q3748701,Stronghold,card game,Q142714
Q3746327,Scourge,card game,Q142714
Q54865335,Dreierschnapsen,card game,Q142714
Q47469902,Solo 66,card game,Q142714
Q17116326,Préférence,card game,Q142714
Q14540495,Minnesota whist,card game,Q142714
Q1124610,Planeshift,card game,Q142714
Q1071458,Chez Geek,card game,Q142714
Q857904,Bierlachs,card game,Q142714
Q386576,New Phyrexia,card game,Q142714
Q8060807,Yukon,card game,Q142714
Q7647212,Survival of the Witless,card game,Q142714
Q7602541,Starter,card game,Q142714
Q7386164,Réunion,card game,Q142714
Q7282844,Rage,card game,Q142714
Q7231469,Portal,card game,Q142714
Q6901881,Monopoly: The Card Game,card game,Q142714
Q6730497,Magic: The Gathering Commander,card game,Q142714
Q5564375,Girl Genius: The Works,card game,Q142714
Q4877026,Beatdown,card game,Q142714
Q4870106,Battle Royale,card game,Q142714
Q4837805,Babette,card game,Q142714
Q4771838,Anthologies,card game,Q142714
Q4693730,Agram,card game,Q142714
Q98833855,Zendikar Rising,card game,Q142714
Q105318401,Strixhaven: School of Mages,card game,Q142714
Q3704532,Deckmasters,card game,Q142714
Q69144150,Theros Beyond Death,card game,Q142714
Q69144163,Ikoria: Lair of Behemoths,card game,Q142714
Q66551075,War of the Spark,card game,Q142714
Q66551077,Throne of Eldraine,card game,Q142714
Q66551072,Ravnica Allegiance,card game,Q142714
Q50331232,Dominaria,card game,Q142714
Q48842953,Unstable,card game,Q142714
Q28127199,Trumped Up Cards,card game,Q142714
Q25205807,Towie,card game,Q142714
Q22906649,Magic Origins,card game,Q142714
