qid,label,class_label,class_qid
Q548679,Marina Bay Sands,casino,Q133215
Q1147483,Sahara Las Vegas,casino,Q133215
Q1340365,Westgate Las Vegas Resort & Casino,casino,Q133215
Q21006892,888casino,casino,Q133215
Q16669013,Parque España-Shima Spain Village,casino,Q133215
Q111973105,Stake,casino,Q133215
Q6082378,Islamic Centre of England,casino,Q133215
Q5527683,Gaumont State Cinema,casino,Q133215
Q7126199,"Palace Theatre, Swansea",casino,Q133215
Q5595080,Grand Sierra Resort,casino,Q133215
Q2416198,MGM Grand Detroit,casino,Q133215
Q7777441,"Theatre Royal, Wakefield",casino,Q133215
Q7734910,"The Forum, Bath",casino,Q133215
Q7494518,Shepherd’s Bush Pavilion,casino,Q133215
Q7074101,Oaklawn Racing & Gaming,casino,Q133215
Q6894122,Mohegan Sun at Pocono Downs,casino,Q133215
Q6658517,Liverpool Olympia,casino,Q133215
Q17552178,"Carlton Cinema, Islington",casino,Q133215
Q12063873,Palace Theatre,casino,Q133215
Q55605275,Betika,casino,Q133215
Q46996031,Hollywoodbets,casino,Q133215
Q4724451,Alhambra Theatre,casino,Q133215
Q7234767,Potawatomi Casino Hotel,casino,Q133215
Q8035011,Workington Opera House,casino,Q133215
Q7777435,"Theatre Royal, Manchester",casino,Q133215
Q7380091,Runnymede Theatre,casino,Q133215
Q7337243,River City Casino,casino,Q133215
Q7237915,Prairie Knights Casino and Resort,casino,Q133215
Q5905988,Horseshoe Bossier City,casino,Q133215
Q17816411,Alhambra Theatre,casino,Q133215
Q17798859,"Shoe Warehouse, 45, 47, 49 Bankhall Street, Glasgow",casino,Q133215
Q16986574,InterCasino,casino,Q133215
Q16930479,Coventry Theatre,casino,Q133215
Q16707735,"Granada Theatre, Clapham Junction",casino,Q133215
Q15771334,"Odeon, Kingstanding",casino,Q133215
Q15192767,Astoria Theatre,casino,Q133215
Q11839326,New Bedford Cinema,casino,Q133215
Q26664792,Capitol,casino,Q133215
Q26664759,Odeon Cinema,casino,Q133215
Q26655867,Majestic Cinema,casino,Q133215
Q26490603,Corn Exchange,casino,Q133215
Q23822832,"Victoria Theatre, Salford",casino,Q133215
Q18351067,MGM Springfield,casino,Q133215
Q60747813,Grand Casino Hinckley,casino,Q133215
Q41423740,Scott Cinema,casino,Q133215
Q124858271,City of Dreams Mediterranean,casino,Q133215
Q116824688,Desert Diamond Casinos,casino,Q133215
Q107089893,Covers,casino,Q133215
Q5594079,"Granada, Tooting",casino,Q133215
Q5311890,Dudley Hippodrome,casino,Q133215
Q4745796,Ameristar Casino East Chicago,casino,Q133215
Q38251162,Belle of Baton Rouge,casino,Q133215
Q38713589,Empire Cinema,casino,Q133215
Q31210281,Regent Cinema,casino,Q133215
Q32269794,Empress Theatre of Varieties,casino,Q133215
Q7703646,Terrible's St. Jo Frontier Casino,casino,Q133215
Q7673704,Tachi Palace,casino,Q133215
Q7202948,PlayNow.com,casino,Q133215
Q7162444,Pendle Hippodrome Theatre,casino,Q133215
Q6804402,Mecca Dance Hall Tottenham,casino,Q133215
Q6470366,Lady Luck Casino Caruthersville,casino,Q133215
Q5663807,Harrah's Joliet,casino,Q133215
Q17060955,Mystic Lake Casino Hotel,casino,Q133215
Q16893878,Lady Luck Casino Marquette,casino,Q133215
Q16251666,Argosy Empress Casino,casino,Q133215
Q26659915,"Garrick Theatre, Southport",casino,Q133215
Q26552800,Grand Theatre,casino,Q133215
Q26537551,Empire Theatre,casino,Q133215
Q21062395,Towers Cinema,casino,Q133215
Q20712370,Suquamish Clearwater Casino Resort,casino,Q133215
Q25205850,Admiral,casino,Q133215
Q96372338,Argosy Casino Riverside,casino,Q133215
Q85770127,Nustar Resort and Casino,casino,Q133215
Q85742892,Argosy Casino Sioux City,casino,Q133215
Q85742889,Argosy Casino Alton,casino,Q133215
Q85741176,Amelia Belle Casino,casino,Q133215
Q79590329,Ameristar Casino Council Bluffs,casino,Q133215
Q65560726,Ameristar Casino Vicksburg,casino,Q133215
Q54959682,The Meadows Casino & Hotel,casino,Q133215
Q106103336,Golden Nugget Online,casino,Q133215
Q5579091,GoldenPalace.com,casino,Q133215
Q4745797,Ameristar Casino Kansas City,casino,Q133215
Q31679946,Empire Theatre,casino,Q133215
Q28136524,Partycasino,casino,Q133215
Q845846,"The STRAT Hotel, Casino & SkyPod",casino,Q133215
Q25007,Bellagio Hotel & Casino,casino,Q133215
Q569978,Caesars Palace,casino,Q133215
Q713960,MGM Grand Las Vegas,casino,Q133215
Q1049209,The Venetian,casino,Q133215
Q1368043,Mandalay Bay,casino,Q133215
Q900983,The Mirage,casino,Q133215
Q691491,Paris Las Vegas,casino,Q133215
Q1156708,The Venetian Macao,casino,Q133215
