qid,label,class_label,class_qid
Q177549,Krak des Chevaliers,castle,Q23413
Q486382,Castel Sant'Angelo,castle,Q23413
Q71279,Malbork Castle,castle,Q23413
Q500367,Qal'at Bani Hammad,castle,Q23413
Q372647,Chillon Castle,castle,Q23413
Q498261,Reales Alcázares,castle,Q23413
Q205558,Spiš Castle,castle,Q23413
Q277531,Citadel of Salah Ed-Din,castle,Q23413
Q639208,Bodiam Castle,castle,Q23413
Q907052,Shuri Castle,castle,Q23413
Q161988,Hohenschwangau Castle,castle,Q23413
Q557337,Royal Alcázar of Segovia,castle,Q23413
Q317096,Habsburg Castle,castle,Q23413
Q79217,Predjama Castle,castle,Q23413
Q1271457,Kantara Castle,castle,Q23413
Q1132683,Hever Castle,castle,Q23413
Q746983,Dunnottar Castle,castle,Q23413
Q1333330,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,castle,Q23413
Q1049259,Loarre Castle,castle,Q23413
Q2581527,Kalat,castle,Q23413
Q24024872,Alcazaba y Murallas del Cerro de San Cristóbal,castle,Q23413
Q1362749,Montréal Castle,castle,Q23413
Q612364,Čachtice Castle,castle,Q23413
Q772781,Yeni-Kale,castle,Q23413
Q933219,Pharaoh's Island,castle,Q23413
Q571409,Königsberg Castle,castle,Q23413
Q829299,Glücksburg Castle,castle,Q23413
Q2049047,Bled Castle,castle,Q23413
Q1024886,Arsuf,castle,Q23413
Q537641,Qasr Kharana,castle,Q23413
Q700562,Königstein Fortress,castle,Q23413
Q637827,Wewelsburg,castle,Q23413
Q3127243,Alcazaba of Málaga,castle,Q23413
Q1367052,Gifu Castle,castle,Q23413
Q1033649,Canossa Castle,castle,Q23413
Q301376,Buffavento Castle,castle,Q23413
Q576534,Château de Coucy,castle,Q23413
Q931371,Palace of the Grand Master of the Knights of Rhodes,castle,Q23413
Q727760,Lincoln Castle,castle,Q23413
Q80637,York Castle,castle,Q23413
Q14201945,Montfort Castle,castle,Q23413
Q1236511,Corfe Castle,castle,Q23413
Q539538,Beeston Castle,castle,Q23413
Q476801,Beaufort Castle,castle,Q23413
Q3187042,Van Fortress,castle,Q23413
Q1543972,Gravensteen,castle,Q23413
Q2078555,Dolbadarn Castle,castle,Q23413
Q2426916,Muiderslot,castle,Q23413
Q212625,Alcázar de los Reyes Cristianos,castle,Q23413
Q700384,Hammershus,castle,Q23413
Q1477613,Rumkale,castle,Q23413
Q508866,Nakijin Castle,castle,Q23413
Q1010980,Belvoir Fortress,castle,Q23413
Q2512369,Cēsis Castle,castle,Q23413
Q508519,Trosky Castle,castle,Q23413
Q899545,Culzean Castle,castle,Q23413
Q721728,Castle of Eger,castle,Q23413
Q922422,Warkworth Castle,castle,Q23413
Q79160,Kisimul Castle,castle,Q23413
Q1672292,Norwich Castle,castle,Q23413
