qid,label,class_label,class_qid
Q42712,Sphynx,cat,Q146
Q2262318,Larry,cat,Q146
Q42663,Peterbald,cat,Q146
Q851190,Mrs. Chippy,cat,Q146
Q2098929,Simon,cat,Q146
Q15840011,Peta,cat,Q146
Q3500553,Trim,cat,Q146
Q7224612,Stewie,cat,Q146
Q15840080,Peter III,cat,Q146
Q6536227,Lewis,cat,Q146
Q6110907,Jack,cat,Q146
Q130377351,Simpkin,cat,Q146
Q123554191,Nala,cat,Q146
Q110565455,Jorts,cat,Q146
Q12165555,Félicette,cat,Q146
Q1201902,Tama,cat,Q146
Q893453,Unsinkable Sam,cat,Q146
Q27926432,Tombili,cat,Q146
Q2597104,Creme Puff,cat,Q146
Q498787,Muezza,cat,Q146
Q1371145,Socks,cat,Q146
Q7627362,Stubbs,cat,Q146
Q28792126,Gli,cat,Q146
Q1185550,Oscar,cat,Q146
Q1386318,F. D. C. Willard,cat,Q146
Q1637234,Humphrey,cat,Q146
Q2634968,Maru,cat,Q146
Q5503291,Freya,cat,Q146
Q2060630,India,cat,Q146
Q2624688,Sybil,cat,Q146
Q14832020,Lil Bub,cat,Q146
Q677525,Orangey,cat,Q146
Q1759652,Wilberforce,cat,Q146
Q25171691,Palmerston,cat,Q146
Q378619,Q378619,cat,Q146
Q6817786,Meow,cat,Q146
Q109732925,Stepan,cat,Q146
Q110727478,Willow,cat,Q146
Q1207136,Dewey Readmore Books,cat,Q146
Q1413628,Nora,cat,Q146
Q5105465,Choupette,cat,Q146
Q16605098,Colonel Meow,cat,Q146
Q94100602,Olivia Benson,cat,Q146
Q4421603,Scarlett,cat,Q146
Q5049074,Casper,cat,Q146
Q5317221,Dusty the Klepto Kitty,cat,Q146
Q7366253,Room 8,cat,Q146
Q51596094,Crimean Tom,cat,Q146
Q51841231,Peter,cat,Q146
Q54087698,Foss,cat,Q146
Q55632071,Rubble,cat,Q146
Q5496635,Fred the Undercover Kitty,cat,Q146
Q6651160,Q6651160,cat,Q146
Q19880492,Frank and Louie,cat,Q146
Q27190410,Gladstone,cat,Q146
Q124611357,Eros,cat,Q146
Q43260736,Paddles,cat,Q146
Q51827254,Peter II,cat,Q146
Q2300851,Winnie,cat,Q146
Q61133276,Şero,cat,Q146
Q10813994,Tsim Tung Brother Cream,cat,Q146
Q7430467,Scarlett's Magic,cat,Q146
Q14916910,Buurtpoes Bledder,cat,Q146
Q15851429,Treasury Bill,cat,Q146
Q17115877,Tara,cat,Q146
Q1622688,Hodge,cat,Q146
Q58310774,Longcat,cat,Q146
Q7105840,Oscar,cat,Q146
Q7243868,Prince Chunk,cat,Q146
Q7380911,Rusik,cat,Q146
Q7553023,Sockington,cat,Q146
Q15835811,Munich Mouser,cat,Q146
Q1050083,Catmando,cat,Q146
Q130601238,Bobby Kertanegara,cat,Q146
Q50378472,Nutmeg,cat,Q146
Q57251591,Beerbohm,cat,Q146
Q100451536,Sanjūrō,cat,Q146
Q65091914,Venus,cat,Q146
Q66737405,Mittens,cat,Q146
Q115757163,Mikan,cat,Q146
Q5648508,Hank the Cat,cat,Q146
Q6913965,Morris the Cat,cat,Q146
Q6928344,Mr. Nuts,cat,Q146
Q15836515,Nelson,cat,Q146
Q15991501,Hamish McHamish,cat,Q146
Q24298806,Tibs the Great,cat,Q146
Q131468628,Brünnhilde,cat,Q146
Q30600575,Orlando,cat,Q146
Q116233237,Browser,cat,Q146
Q6703608,Luna the Fashion Kitty,cat,Q146
Q6845813,Mike,cat,Q146
Q7172400,"Peter, the Lord's cat",cat,Q146
Q7800822,Tiddles,cat,Q146
Q16835794,Dorofei,cat,Q146
Q16950243,Smudge,cat,Q146
Q136764754,Kkongkkong,cat,Q146
Q125884194,Billi,cat,Q146
Q136505436,Cheeto,cat,Q146
Q107535403,Tuxedo Stan,cat,Q146
Q108391847,Smudge,cat,Q146
Q118410922,Pot Roast,cat,Q146
Q4728618,All Ball,cat,Q146
Q5715272,Henri,cat,Q146
Q21002390,Corduroy,cat,Q146
