qid,label,class_label,class_qid
Q44889,Son Doong Cave,cave,Q35509
Q184427,Ajanta Caves,cave,Q35509
Q43171,Thien Duong Cave,cave,Q35509
Q331603,Bhimbetka rock shelters,cave,Q35509
Q242681,Mammoth Cave National Park,cave,Q35509
Q273834,Longmen Grottoes,cave,Q35509
Q273195,Carlsbad Caverns National Park,cave,Q35509
Q15903,Postojna Cave,cave,Q35509
Q308805,Yungang Grottoes,cave,Q35509
Q500376,Škocjan Caves,cave,Q35509
Q919184,Krubera Cave,cave,Q35509
Q605185,Blue Grotto,cave,Q35509
Q1355749,Gorham's Cave,cave,Q35509
Q403134,Fingal's Cave,cave,Q35509
Q1135796,Naracoorte Caves National Park,cave,Q35509
Q778747,Horse Cave,cave,Q35509
Q254117,Eisriesenwelt,cave,Q35509
Q1029322,Denisova Cave,cave,Q35509
Q1552568,Jeita Grotto,cave,Q35509
Q1884722,Magura Cave,cave,Q35509
Q284340,Dobšinská Ice Cave,cave,Q35509
Q2880621,Vjetrenica,cave,Q35509
Q1641035,Optymistychna Cave,cave,Q35509
Q1234019,Kizil Caves,cave,Q35509
Q980774,Bezeklik Thousand Buddha Caves,cave,Q35509
Q2302464,Petralona cave,cave,Q35509
Q899302,Cave of Altamira and Paleolithic Cave Art of Northern Spain,cave,Q35509
Q908287,Domica,cave,Q35509
Q1501051,Neptune's Grotto,cave,Q35509
Q2607150,Kungur Ice Cave,cave,Q35509
Q1737670,Kebara Cave,cave,Q35509
Q1075804,Ochtinská Aragonite Cave,cave,Q35509
Q42202,New Athos Cave,cave,Q35509
Q914743,Font-de-Gaume,cave,Q35509
Q1450358,Marmurova Pechera,cave,Q35509
Q1688770,Cave of Swallows,cave,Q35509
Q882491,Blue Grotto,cave,Q35509
Q1994964,Frasassi Caves,cave,Q35509
Q770666,Cave of El Castillo,cave,Q35509
Q899513,Cueva de los Verdes,cave,Q35509
Q1643807,Dikteon Andron,cave,Q35509
Q1033211,Cango Caves,cave,Q35509
Q875718,Spannagel Cave,cave,Q35509
Q1885375,Maijishan Grottoes,cave,Q35509
Q429431,Coves del Drach,cave,Q35509
Q4838907,Bacho Kiro cave,cave,Q35509
Q1650601,Rosh HaNikra grottoes,cave,Q35509
Q2169018,Cueva de Nerja,cave,Q35509
Q631356,Baradla cave,cave,Q35509
Q631440,Blue Grotto,cave,Q35509
Q13424609,Theopetra Cave,cave,Q35509
Q1758359,Pech Merle cave,cave,Q35509
Q583655,St. Michael's Cave,cave,Q35509
Q571145,Caves of Han-sur-Lesse,cave,Q35509
Q38593,Baatara gorge waterfall,cave,Q35509
Q673317,Macocha Gorge,cave,Q35509
Q1062421,Karain Cave,cave,Q35509
Q550252,Rouffignac Cave,cave,Q35509
Q34003,Mezmaiskaya cave,cave,Q35509
